Container Number,Container Type,Project,Field ID,Treatment,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,SCM Seed,Phorid Seed,Other Damage,Wireworms,Other Seeds,Wireworm Presence/absence,Grub presence/absence,Checked?,Ordered Entered,Notes
25_D_1450,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,211,
25_D_1452,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,16,0,0,0,0,1,0,1,NO,NO,Y,210,
25_D_1454,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,185,
25_D_1455,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,184,
25_D_1458,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,180,
25_D_1461,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,1,0,1,0,0,0,0,NO,NO,Y,212,
25_D_1465,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,206,
25_D_1466,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,15,2,0,2,0,1,0,1,NO,YES,Y,202,
25_D_1471,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,1,0,1,0,0,0,0,NO,NO,Y,205,
25_D_1472,DELI,R,CHO_GEN,NEONIC,6/6/24,SOY,15,0,0,0,0,1,0,1,NO,NO,Y,196,
25_D_1473,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,14,0,0,0,0,0,0,0,NO,NO,Y,169,
25_D_1478,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,16,0,0,0,0,0,0,0,NO,NO,Y,235,
25_D_1483,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,15,1,0,1,0,2,0,2,NO,NO,Y,230,
25_D_1484,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,229,
25_D_1485,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,15,0,0,0,0,2,0,2,NO,NO,Y,227,
25_D_1486,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,13,0,0,0,0,0,0,0,NO,NO,Y,228,
25_D_1619,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,458,
25_D_1620,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,431,
25_D_1621,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,438,
25_D_1622,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,1,0,0,0,0,0,0,YES,NO,Y,248,
25_D_1623,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,1,0,0,0,0,1,0,YES,NO,Y,246,
25_D_1624,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,1,1,0,0,0,1,0,YES,NO,Y,245,
25_D_1625,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,478,
25_D_1626,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,,,
25_D_1627,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,12,0,0,0,0,0,3,0,YES,NO,Y,456,
25_D_2025,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,14,0,0,0,0,0,0,0,YES,NO,Y,512,
25_D_2026,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y, ,Could be 2025-2033
25_D_2027,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,522,
25_D_2028,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,13,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_2029,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,15,0,0,0,0,0,2,0,YES,NO,Y,524,
25_D_2030,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,16,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_2031,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,523,
25_D_2032,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,514,
25_D_2033,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,15,1,0,0,0,0,1,0,YES,NO,Y,,
25_D_1628,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,442,
25_D_1629,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,435,
25_D_1630,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,441,
25_D_1631,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,440,
25_D_1632,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,469,
25_D_1633,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,468,
25_D_1634,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,467,
25_D_1635,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,466,
25_D_1636,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,473,
25_D_1637,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,472,
25_D_1638,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,YES,Y,448,
25_D_1639,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,YES,Y,439,
25_D_1640,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,471,
25_D_1641,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,1,0,YES,NO,Y,465,
25_D_1642,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,470,
25_D_1643,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_1644,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,464,
25_D_1645,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,YES,Y,463,
25_D_1393,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,150,
25_D_1394,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,13,0,0,0,0,0,0,0,YES,NO,Y,162,
25_D_1395,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,157,
25_D_1396,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,151,
25_D_1397,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,14,0,0,0,0,0,1,0,YES,NO,Y,163,
25_D_1398,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,1,0,1,NO,NO,Y,155,
25_D_1399,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,176,
25_D_1400,DELI,R,DEG_FRI_1,FUNG,5/30/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,175,
25_D_1401,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,156,
25_D_1402,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,177,
25_D_1403,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,154,
25_D_1404,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,178,
25_D_1405,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,16,1,0,0,0,0,0,0,NO,NO,Y,168,
25_D_1406,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,11,0,0,0,0,0,0,0,YES,NO,Y,161,
25_D_1407,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,126,
25_D_1408,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,15,0,0,0,0,1,0,1,NO,NO,Y,153,
25_D_1409,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,174,
25_D_1410,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,15,0,1,0,0,0,0,0,YES,NO,Y,160,
25_D_1127,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,15,0,0,0,0,8,0,8,NO,NO,Y,23,
25_D_1128,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,18,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_1129,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,16,0,1,0,0,1,0,1,NO,NO,Y,30,
25_D_1130,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,18,0,0,0,0,0,0,0,NO,NO,Y,507,
25_D_1131,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,16,0,0,0,0,0,0,0,NO,NO,Y,511,
25_D_1132,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,13,0,0,0,0,0,0,0,NO,NO,Y,510,
25_D_1133,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,15,0,0,0,0,1,0,1,NO,NO,Y,509,
25_D_1134,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,17,0,0,0,0,0,0,0,NO,NO,Y,32,
25_D_1135,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,15,1,0,1,0,0,0,0,NO,NO,Y,505,
25_D_1136,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,506,
25_D_1137,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,17,0,0,0,0,0,0,0,NO,NO,Y,31,
25_D_1138,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,17,0,0,0,0,0,0,0,NO,NO,Y,34,
25_D_1139,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,18,0,0,0,0,0,0,0,NO,NO,Y,33,
25_D_1140,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,16,0,0,0,0,0,0,0,NO,NO,Y,38,
25_D_1141,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,14,0,0,0,0,1,0,1,NO,NO,Y,,
25_D_1142,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,13,0,0,0,0,0,0,0,NO,NO,Y,37,
25_D_1143,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,19,0,0,0,0,0,0,0,NO,NO,Y,36,
25_D_1144,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,18,0,0,0,0,0,0,0,NO,NO,Y,35,
25_D_1608,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,481,
25_D_1609,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,480,
25_D_1610,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,244,
25_D_1611,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,,
25_D_1612,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,13,0,0,0,0,0,0,0,NO,NO,Y,432,
25_D_1613,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,0,1,0,0,0,0,0,YES,NO,Y,252,
25_D_1614,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,14,0,0,0,0,0,0,0,YES,NO,Y,251,
25_D_1615,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,250,
25_D_1616,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,15,1,0,0,0,0,0,0,YES,NO,Y,249,
25_D_1617,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,247,
25_D_1618,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,YES,NO,Y,433,
25_D_2034,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_2035,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,515,
25_D_2036,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_2037,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_2038,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_2039,DELI,R,DEG_LAF_1,FUNG,6/12/25,FIELD CORN,14,0,0,0,0,0,1,1,YES,NO,Y,,
25_D_2040,DELI,R,DEG_LAF_1,NEONIC,6/12/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_1411,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,18,0,0,0,0,0,0,0,NO,YES,Y,146,
25_D_1412,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,15,0,0,0,0,3,0,3,NO,NO,Y,172,
25_D_1413,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,16,0,0,0,0,3,0,3,YES,NO,Y,149,
25_D_1414,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,16,0,0,0,0,0,0,0,NO,NO,Y,147,
25_D_1415,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,16,1,0,1,0,3,0,3,NO,NO,Y,132,
25_D_1416,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,15,0,0,0,0,2,0,2,NO,NO,Y,131,
25_D_1417,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,16,0,0,0,0,3,0,3,NO,NO,Y,133,
25_D_1418,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,144,
25_D_1419,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,17,0,0,0,0,2,0,2,NO,NO,Y,134,
25_D_1420,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,N/A,0,0,0,0,4,0,4,NO,NO,Y,137,NUMBER OF SEEDS NOT WRITTEN
25_D_1421,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,16,0,0,0,0,3,0,3,NO,NO,Y,136,
25_D_1422,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,15,0,0,0,0,3,0,3,NO,NO,Y,135,
25_D_1423,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,15,0,0,0,0,6,0,6,NO,YES,Y,130,
25_D_1442,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,15,0,0,0,0,1,0,1,NO,NO,Y,142,
25_D_1443,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,16,0,0,0,0,0,0,0,NO,NO,Y,122,
25_D_1444,DELI,R,DEG_LAF_2,FUNG,6/4/25,SOY,17,0,0,0,0,0,0,0,NO,NO,Y,120,
25_D_1445,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,16,0,0,0,0,0,1,0,YES,YES,Y,170,
25_D_1446,DELI,R,DEG_LAF_2,NEONIC,6/4/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,148,
25_D_1424,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,16,0,0,0,0,0,0,0,NO,NO,Y,129,
25_D_1425,DELI,R,DEG_PER_1,FUNG,6/4/25,FIELD CORN,17,0,0,0,0,0,0,0,NO,NO,Y,164,
25_D_1426,DELI,R,DEG_PER_1,FUNG,6/5/25,FIELD CORN,15,0,1,0,0,0,0,0,NO,NO,Y,138,
25_D_1427,DELI,R,DEG_PER_1,FUNG,6/6/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,139,
25_D_1428,DELI,R,DEG_PER_1,FUNG,6/7/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,140,
25_D_1429,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,15,0,1,0,0,0,0,0,NO,NO,Y,127,
25_D_1430,DELI,R,DEG_PER_1,FUNG,6/4/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,165,
25_D_1431,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,128,
25_D_1432,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,173,
25_D_1433,DELI,R,DEG_PER_1,FUNG,6/4/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,171,
25_D_1434,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,16,0,0,0,0,0,0,0,NO,NO,Y,145,
25_D_1435,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,143,
25_D_1436,DELI,R,DEG_PER_1,FUNG,6/6/25,FIELD CORN,12,0,0,0,0,0,1,0,YES,NO,Y,179,
25_D_1437,DELI,R,DEG_PER_1,FUNG,6/4/25,FIELD CORN,15,0,0,0,0,0,1,0,YES,NO,Y,166,
25_D_1438,DELI,R,DEG_PER_1,FUNG,6/4/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,123,
25_D_1439,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,152,
25_D_1440,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,167,
25_D_1441,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,15,0,1,0,0,0,0,0,NO,NO,Y,121,
25_D_1019,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,17,6,0,2,0,0,0,0,NO,NO,Y,657,
25_D_1020,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,17,0,0,0,0,0,0,0,NO,NO,Y,643,
25_D_1021,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,18,3,0,2,0,0,0,0,NO,NO,Y,644,
25_D_1022,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,18,17,0,2,0,0,0,0,NO,NO,Y,670,
25_D_1023,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,21,18,0,5,0,0,0,0,NO,NO,Y,645,
25_D_1024,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,21,17,0,0,0,0,0,0,NO,NO,Y,638,
25_D_1025,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,13,6,0,5,0,0,0,0,YES,NO,Y,261,
25_D_1026,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,16,4,0,4,0,0,0,0,NO,NO,Y,681,
25_D_1032,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,1,1,0,0,0,0,0,0,NO,NO,Y,680,
25_D_1034,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,15,1,0,0,0,0,0,0,NO,NO,Y,660,
25_D_1035,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,17,2,0,2,0,0,0,0,NO,NO,Y,672,
25_D_1039,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,15,1,0,0,0,0,4,0,YES,NO,Y,637,
25_D_1042,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,15,3,0,2,0,0,0,0,NO,NO,Y,665,
25_D_1044,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,14,1,0,1,0,2,0,2,NO,NO,Y,673,
25_D_1045,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,16,9,0,1,0,1,0,1,NO,NO,Y,654,
25_D_1047,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,17,0,0,0,0,0,0,0,NO,NO,Y,,
25_D_1048,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,14,9,0,1,0,1,0,1,NO,NO,Y,503,
25_D_1052,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,16,0,0,0,0,0,0,0,NO,NO,Y,669,
25_D_1027,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,682,
25_D_1028,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,13,0,0,0,0,0,0,0,NO,NO,Y,659,
25_D_1029,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,658,
25_D_1030,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,16,2,0,2,0,0,0,0,NO,NO,Y,655,
