Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Plant growth stage,Number of plants,Total weight (g),Notes,Untared weight (g)
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,5,V4,15,585.7,Corrected for 42.3 g bag,628
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,6,V4,15,601.7,Corrected for 42.3 g bag,644
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,7,V4,15,586.7,Corrected for 42.3 g bag,629
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,8,V4,15,512.7,Corrected for 42.3 g bag,555
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,9,V4,15,530.7,Corrected for 42.3 g bag,573
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,1,V3,15,79.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,2,V3,15,73.8,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,3,V3,15,73.4,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,4,V3,15,78.6,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,5,V3,15,97.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,6,V3,15,82.3,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,7,V3,15,91.3,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,8,V3,15,73.4,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Neonic,9,V3,15,89.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,1,V3,15,80.2,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,2,V3,15,88.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,3,V3,15,79.2,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,4,V3,15,102.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,5,V3,15,112.5,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,6,V3,15,110.5,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,7,V3,15,92.8,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,8,V3,15,91.2,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/25,V3/V4,Soybean,Fung,9,V3,15,86.8,,
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,1,V6/V7,15,370,Adjust for 45 g,415
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,2,V6/V7,15,250,Adjust for 45 g,295
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,3,V6,15,210,Adjust for 45 g,255
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,4,V6,15,230,Adjust for 45 g,275
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,5,V6/V7,15,290,Adjust for 45 g,335
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,6,V5/V6,15,250,Adjust for 45 g,295
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,7,V6/V7,15,290,Adjust for 45 g,335
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,8,V6/V7,15,270,Adjust for 45 g,315
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Neonic,9,V6/V7,15,270,Adjust for 45 g,315
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,1,V3/V4,15,30,Adjust for 45 g,75
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,2,V3/V5,15,150,Adjust for 45 g,195
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,3,V4/V6,15,330,Adjust for 45 g,375
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,4,V5/V6,15,330,Adjust for 45 g,375
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,5,V5/V7,15,350,Adjust for 45 g,395
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,6,V4/V6,15,350,Adjust for 45 g,395
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,7,V5/V5,15,230,Adjust for 45 g,275
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,8,V4/V6,15,270,Adjust for 45 g,315
Janice Degni,DEG_DIE,7/1/25,V3/V4,Field corn,Fung,9,V5/V6,15,390,Adjust for 45 g,435
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,1,V5/V6,15,270,Adjust by 45g,315
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,2,V5/V6,15,190,Adjust by 45g,235
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,3,V5/V6,15,230,Adjust by 45g,275
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,4,V8/V9,15,210,Adjust by 45g,255
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,5,V6/V7,15,190,Adjust by 45g,235
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,6,V5,15,90,Adjust by 45g,135
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,7,V5/V7,15,350,Adjust by 45g,395
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,8,V6/V7,15,330,Adjust by 45g,375
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Neonic,9,V6/V7,15,390,Adjust by 45g,435
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,1,V5/V6,15,410,Adjust by 45g,455
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,2,V5/V6,15,290,Adjust by 45g,335
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,3,V5/V7,15,370,Adjust by 45g,415
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,4,V5/V7,15,350,Adjust by 45g,395
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,5,V5/V6,15,250,Adjust by 45g,295
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,6,V3/V6,15,250,Adjust by 45g,295
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,7,V5/V6,15,250,Adjust by 45g,295
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,8,V6/V7,15,350,Adjust by 45g,395
Janice Degni,DEG_FOU,7/1/25,V3/V4,Field corn,Fung,9,V6/V7,15,390,Adjust by 45g,435
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,1,V6/V7,15,450,Adjust for 45 g,495
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,2,V6/V8,15,510,Adjust for 45 g,555
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,3,V7/V8,15,490,Adjust for 45 g,535
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,4,V8/V9,15,690,Adjust for 45 g,735
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,5,V8/V9,15,1090,Adjust for 45 g,1135
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,6,V8/V9,15,1410,Adjust for 45 g,1455
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,7,V5/V7,15,1150,Adjust for 45 g,1195
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,8,V6/V7,15,610,Adjust for 45 g,655
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Neonic,9,V7/V8,15,850,Adjust for 45 g,895
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,1,V6/V7,15,630,Adjust for 45 g,675
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,2,V6/V7,15,650,Adjust for 45 g,695
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,3,V6/V7,15,630,Adjust for 45 g,675
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,4,V6/V7,15,730,Adjust for 45 g,775
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,5,V6/V8,15,950,Adjust for 45 g,995
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,6,V6/V7,15,790,Adjust for 45 g,835
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,7,V6/V7,15,630,Adjust for 45 g,675
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,8,V8/V9,15,930,Adjust for 45 g,975
Janice Degni,DEG_FRI_1,6/28/25,V3/V4,Field corn,Fung,9,V7/V8,15,570,Adjust for 45 g,615
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,1,V3,15,82,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,2,V3,15,104,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,3,V2/V4,15,96,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,4,V3,15,129,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,5,V3,15,78,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,6,V3/V4,15,95,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,7,V3/V4,15,107,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,8,V3/V4,15,89,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Neonic,9,V3/V4,15,101,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,1,V3/V4,15,67,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,2,V3/V4,15,86,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,3,V3/V4,15,91,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,4,V5/V6,15,190,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,5,V3/V5,15,137,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,6,V3/V4,15,157,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,7,V3/V4,15,103,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,8,V3/V5,15,126,,
Janice Degni,DEG_FRI_2,6/28/25,V3/V4,Soybean,Fung,9,V3/V5,15,113,,
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,1,V6/V7,15,450,Adjust for 45 g,495
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,2,V6/V8,15,510,Adjust for 45 g,555
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,3,V7/V8,15,490,Adjust for 45 g,535
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,4,V8/V9,15,690,Adjust for 45 g,735
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,5,V8/V9,15,100,Adjust for 45 g,145
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,6,V8/V9,15,78,Adjust for 45 g,123
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,7,V5/V7,15,134,Adjust for 45 g,179
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,8,V6/V7,15,610,Adjust for 45 g,655
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Neonic,9,V7/V8,15,850,Adjust for 45 g,895
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,1,V2/V3,15,630,Adjust for 45 g,675
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,2,V2/V3,15,650,Adjust for 45 g,695
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,3,V2/V3,15,630,Adjust for 45 g,675
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,4,V2/V3,15,730,Adjust for 45 g,775
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,5,V2/V3,15,122,Adjust for 45 g,167
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,6,V2/V3,15,790,Adjust for 45 g,835
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,7,V2/V3,15,630,Adjust for 45 g,675
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,8,V2/V3,15,122,Adjust for 45 g,167
Janice Degni,DEG_LAF_1,6/28/25,V3/V4,Field corn,Fung,9,V2/V3,15,570,Adjust for 45 g,615
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,1,V2/V3,15,102,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,2,V2/V3,15,112,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,3,V2/V3,15,108,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,4,V2/V3,15,104,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,5,V2/V3,15,110,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,6,V2/V3,15,117,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,7,V2/V3,15,85,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,8,V2/V3,15,95,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Neonic,9,V2/V3,15,89,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,1,V2/V3,15,104,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,2,V2/V3,15,82,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,3,V2/V3,15,101,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,4,V2/V3,15,95,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,5,V2/V3,15,105,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,6,V2/V3,15,98,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,7,V2/V3,15,98,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,8,V2/V3,15,106,,
Janice Degni,DEG_LAF_2,6/30/25,V3/V4,Soybean,Fung,9,V2/V3,15,110,,
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,1,V3/V6,15,144.8,Adjust for 43.6 g container,188.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,2,V3/V4,15,61.8,Adjust for 43.6 g container,105.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,3,V4/V5,15,91.8,Adjust for 43.6 g container,135.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,4,V4/V5,15,154.8,Adjust for 43.6 g container,198.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,5,V4/V5,15,149.8,Adjust for 43.6 g container,193.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,6,V5/V6,15,127.8,Adjust for 43.6 g container,171.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,7,V4/V5,15,1.8,Adjust for 43.6 g container,45.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,8,V3/V4,15,-6.2,Adjust for 43.6 g container,37.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Neonic,9,V4/V5,15,51.8,Adjust for 43.6 g container,95.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,1,V4/V5,15,102.8,Adjust for 43.6 g container,146.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,2,V4/V5,15,84.8,Adjust for 43.6 g container,128.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,3,V4/V5,15,142.8,Adjust for 43.6 g container,186.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,4,V4/V6,15,191.8,Adjust for 43.6 g container,235.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,5,V4/V6,15,248.8,Adjust for 43.6 g container,292.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,6,V4/V5,15,213.8,Adjust for 43.6 g container,257.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,7,V5/V6,15,294.8,Adjust for 43.6 g container,338.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,8,V4/V5,15,127.8,Adjust for 43.6 g container,171.4
Janice Degni,DEG_PER_1,6/25/25,V3/V4,Field corn,Fung,9,V4/V5,15,98.8,Adjust for 43.6 g container,142.4
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,1,V2/V4,15,40.4,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,2,V3/V4,15,74.3,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,3,V3/V4,15,97.7,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,4,V3/V4,15,68.1,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,5,V3/V4,15,60.4,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,6,V3/V4,15,69.4,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,7,V3/V4,15,59.2,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,8,V3/V4,15,70.5,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Neonic,9,V2/V4,15,65.7,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,1,V3/V4,15,67.4,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,2,V3/V4,15,56.3,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,3,V3/V4,15,56.1,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,4,V3/V4,15,60.9,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,5,V3/V4,15,80.3,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,6,V3/V4,15,59.3,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,7,V3/V4,15,44.5,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,8,V3/V4,15,31.9,,
Janice Degni,DEG_PER_2,6/25/25,V3/V4,Soybean,Fung,9,V3/V4,15,66.3,,
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,1,V6/V7,15,452.8,Adjust for 43.6 g container,496.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,2,V6/V7,15,292.8,Adjust for 43.6 g container,336.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,3,V6/V7,15,392.8,Adjust for 43.6 g container,436.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,4,V6/V7,15,412.8,Adjust for 43.6 g container,456.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,5,V6/V7,15,292.8,Adjust for 43.6 g container,336.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,6,V6/V7,15,272.8,Adjust for 43.6 g container,316.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,7,V6/V7,15,472.8,Adjust for 43.6 g container,516.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,8,V6/V7,15,352.8,Adjust for 43.6 g container,396.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Neonic,9,V6/V7,15,212.8,Adjust for 43.6 g container,256.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,1,V6/V7,15,532.8,Adjust for 43.6 g container,576.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,2,V6/V7,15,432.8,Adjust for 43.6 g container,476.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,3,V6/V7,15,392.8,Adjust for 43.6 g container,436.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,4,V6/V7,15,332.8,Adjust for 43.6 g container,376.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,5,V6/V7,15,352.8,Adjust for 43.6 g container,396.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,6,V6/V7,15,192.8,Adjust for 43.6 g container,236.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,7,V6/V7,15,392.8,Adjust for 43.6 g container,436.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,8,V6/V7,15,332.8,Adjust for 43.6 g container,376.4
Janice Degni,DEG_VIL,6/25/25,V3/V4,Field corn,Fung,9,V6/V7,15,412.8,Adjust for 43.6 g container,456.4
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,1,V3,15,11.18,Adjust for 7.59g bag,18.77
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,2,V3,15,14.53,Adjust for 7.59g bag,22.12
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,3,V3,15,16.47,Adjust for 7.59g bag,24.06
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,4,V3,15,8.74,Adjust for 7.59g bag,16.33
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,5,V3,15,15.85,Adjust for 7.59g bag,23.44
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,6,V3,15,9.48,Adjust for 7.59g bag,17.07
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,7,V2/V3,15,11.53,Adjust for 7.59g bag,19.12
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,8,V1/V3,15,20.91,Adjust for 7.59g bag,28.5
Julie Kikkert,KIK_HAR,7/1/25,V3/V4,Sweet corn,Neonic,9,V1/V2,15,10.87,Adjust for 7.59g bag,18.46
