Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Seeds present,Dead seeds,White grubs,Wireworm,Seedcorn maggot,Other damage,Notes
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,3,0,0,No,No,No,No,No stand loss
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,4,9,1,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,5,0,0,No,No,Yes,No,4 foot skip - planter or pest?
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,6,0,0,No,No,No,No,No stand loss
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,7,0,0,No,No,No,No,No stand loss
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,8,0,0,No,No,No,No,No stand loss
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,9,0,0,No,No,No,No,No stand loss
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,1,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,2,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,3,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,4,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,5,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,6,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,7,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,8,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Neonic,9,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,1,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,2,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,3,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,4,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,5,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,6,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,7,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,8,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_COB,6/20/2025,V3/V4,Soybean,Fung,9,0,0,No,No,No,No,"No skips greater than 6 inches, no seeds present when dug up "
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,1,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,2,3,1,No,No,No,No,"Very compacted, no visible signs of pests"
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,3,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,4,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,5,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,6,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,7,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,8,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Neonic,9,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,1,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,2,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,3,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,4,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,5,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,6,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,7,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,8,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/17/2025,VE/V1,Field corn,Fung,9,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,1,1,0,No,No,No,Some rot,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,2,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,3,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,4,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,5,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,6,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,7,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,8,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Neonic,9,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,1,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,2,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,3,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,4,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,5,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,6,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,7,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,8,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_1,6/27/2025,V3/V4,Field corn,Fung,9,0,0,No,No,No,No,No gaps present
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,1,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,2,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,3,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,4,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,5,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,6,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,7,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,8,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Neonic,9,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,1,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,2,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,3,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,4,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,5,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,6,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,7,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,8,0,0,No,No,No,Cutworm,
Katelyn Miller,MIL_CRO_2,6/17/2025,VE/V1,Field corn,Fung,9,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,1,1,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,2,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,3,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,4,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,5,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,6,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,7,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,8,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Neonic,9,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,1,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,2,0,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,3,1,0,No,No,No,No,
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,4,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,5,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,6,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,7,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,8,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_CRO_2,6/27/2025,V3/V4,Field corn,Fung,9,0,0,No,No,No,No,No gaps
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,1,0,0,No,No,No,No,Planter issue and rocks
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,2,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,3,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,4,4,3,No,No,No,No,Compaction and rocks
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,5,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,6,1,0,No,No,No,No,Compaction and rocks
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,7,1,1,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,8,0,0,No,No,No,No,Planter issue in rut
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Neonic,9,1,1,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,1,0,0,No,No,No,No,Planter issue?
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,2,1,0,No,No,No,No,Rocks preventing emergence
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,3,3,1,No,No,No,No,Limited seeds planted
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,4,0,0,No,No,No,No,Seed gap due to rocks
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,5,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,6,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,7,0,0,No,No,No,No,Rocks
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,8,0,0,No,No,No,No,Rocks
Katelyn Miller,MIL_BAR_1,6/13/2025,VE/V1,Soybean,Fung,9,3,1,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,1,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,2,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,3,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,4,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,5,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,6,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,7,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,8,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Neonic,9,0,0,No,No,No,No,
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,1,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,2,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,3,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,4,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,5,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,6,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,7,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,8,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_BAR_1,7/1/2025,V3/V4,Soybean,Fung,9,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,1,0,0,No,No,No,No,
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,2,2,1,No,No,No,No,
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,3,1,1,No,No,No,No,
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,4,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,5,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,6,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,7,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,8,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Neonic,9,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,1,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,2,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,3,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,4,2,0,No,No,No,No,
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,5,0,0,No,No,No,No,No skips
Katelyn Miller,MIL_TEL,6/25/2025,VE/V1,Field corn,Fung,6,0,0,No,No,No,No,No skips
