Container Number,Container Type,Project,Field ID,Treatment,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,Phorid Seed,Other Damage,Wireworms,Other Seeds,Wireworm Presence/absence,Grub prsence/absence,Checked?,Ordered Entered,Notes
25_D_1507,DELI,R,MIL_BAR_1,NEONIC,6/6/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,445,
25_D_1514,DELI,R,MIL_BAR_1,NEONIC,6/6/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,447,
25_D_1594,DELI,R,MIL_ZIT_2,NEONIC,6/10/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,437,
25_D_1614,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,432,
25_D_1013,DELI,R,MIL_COB,FUNG,5/15/25,SOY,14,0,0,0,0,0,0,NO,YES,Y,635,
25_D_1029,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,658,
25_D_1038,DELI,R,DEG_VIL,NEONIC,5/21/25,FIELD CORN,14,1,0,0,0,0,0,NO,NO,Y,646,
25_D_1048,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,14,9,0,0,1,0,1,NO,NO,Y,503,
25_D_1054,DELI,R,DEG_VIL,NEONIC,5/21/25,FIELD CORN,14,1,0,0,0,0,0,NO,NO,Y,661,
25_D_1056,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,14,4,0,0,0,0,0,NO,NO,Y,504,
25_D_1068,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,640,
25_D_1072,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,664,
25_D_1075,DELI,R,SMI_DOU,NEONIC,5/20/25,SOY,14,6,0,0,3,0,3,NO,YES,Y,493,
25_D_1076,DELI,R,SMI_DOU,NEONIC,5/20/25,SOY,14,0,0,0,1,2,3,YES,NO,Y,258,
25_D_1116,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,14,0,0,0,0,1,0,NO,NO,Y,499,
25_D_1147,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,60,
25_D_1150,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,14,1,0,0,0,0,0,NO,NO,Y,269,
25_D_1151,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,14,2,0,0,0,0,0,NO,NO,Y,267,
25_D_1175,DELI,R,LET_VER,NEONIC,5/23/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,20,
25_D_1181,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,14,1,0,0,1,3,0,YES,YES,Y,294,
25_D_1182,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,293,
25_D_1195,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,384,
25_D_1202,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,387,
25_D_1323,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,332,
25_D_1332,DELI,R,SMI_CON_2_N,NEONIC,5/28/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,333,
25_D_1383,DELI,R,SMI_ARN_2_N,NEONIC,6/3/25,SOY,14,0,0,0,0,0,0,NO,NO,Y,94,
25_D_1388,DELI,R,SMI_ARN_2_N,NEONIC,6/3/25,SOY,14,0,0,0,1,0,1,NO,NO,Y,95,
25_D_1396,DELI,R,DEG_FRI_1,NEONIC,6/6/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,151,
25_D_1397,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,14,0,0,0,0,1,0,YES,NO,Y,163,
25_D_1430,DELI,R,DEG_PER_1,FUNG,6/4/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,165,
25_D_1432,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,14,0,0,0,3,0,3,NO,NO,Y,173,
25_D_1435,DELI,R,DEG_PER_1,NEONIC,6/4/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,143,
25_D_1448,DELI,R,STA_REE_1,FUNG,6/4/25,SOY,14,0,0,0,0,0,0,NO,NO,Y,237,
25_D_1451,DELI,R,STA_REE_1,FUNG,6/4/25,SOY,14,0,0,0,0,0,0,NO,NO,Y,208,
25_D_1473,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,14,0,0,0,0,0,0,NO,NO,Y,169,
25_D_1614,DELI,R,DEG_LAF_1,FUNG,6/10/25,FIELD CORN,14,0,0,0,0,0,0,YES,NO,Y,251,
25_D_1621,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,438,
25_D_1628,DELI,R,DEG_FOU,FUNG,6/11/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,442,
25_D_1769,DELI,R,STA_BLO,FUNG,6/16/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,572,
25_D_2025,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,14,0,0,0,0,0,0,YES,NO,Y,512,
25_D_2032,DELI,R,DEG_DIE,FUNG,6/13/25,FIELD CORN,14,0,0,0,0,0,0,NO,NO,Y,514,
25_D_1002,DELI,R,MIL_COB,FUNG,5/15/25,SOY,15,0,0,0,0,0,0,NO,NO,Y,260,
25_D_1034,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,15,0,0,0,0,0,0,NO,NO,Y,660,
25_D_1039,DELI,R,DEG_PER_2,NEONIC,5/19/25,SOY,15,1,0,0,0,4,0,YES,NO,Y,637,
25_D_1057,DELI,R,STA_WIL,FUNG,5/21/25,FIELD CORN,15,0,0,0,1,0,1,YES,NO,Y,256,
25_D_1058,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,15,7,0,0,1,0,1,NO,YES,Y,255,
25_D_1060,DELI,R,STA_WIL,FUNG,5/21/25,FIELD CORN,15,4,0,0,0,0,0,NO,NO,Y,653,
25_D_1061,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,652,
25_D_1066,DELI,R,STA_WIL,FUNG,5/21/25,FIELD CORN,15,8,0,0,0,0,0,NO,NO,Y,656,
25_D_1067,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,15,4,0,0,0,0,0,NO,NO,Y,663,
25_D_1069,DELI,R,STA_WIL,NEONIC,5/21/25,FIELD CORN,15,2,0,0,0,0,0,NO,NO,Y,639,
25_D_1073,DELI,R,SMI_DOU_1,FUNG,5/20/25,SOY,15,8,0,0,3,0,3,NO,YES,Y,265,
25_D_1074,DELI,R,SMI_DOU_1,NEONIC,5/20/25,SOY,15,0,0,0,1,0,1,NO,NO,Y,494,
25_D_1078,DELI,R,SMI_DOU_1,FUNG,5/20/25,SOY,15,3,0,0,0,0,0,NO,YES,Y,266,
25_D_1083,DELI,R,SMI_DOU_1,NEONIC,5/20/25,SOY,15,0,0,0,4,0,4,NO,NO,Y,263,
25_D_1084,DELI,R,SMI_DOU_1,FUNG,5/20/25,SOY,15,4,0,0,3,0,3,NO,YES,Y,264,
25_D_1088,DELI,R,SMI_DOU_1,FUNG,5/20/25,SOY,15,2,0,0,4,0,4,NO,YES,Y,491,
25_D_1090,DELI,R,SMI_DOU_1,FUNG,5/20/25,SOY,15,9,0,0,3,0,3,NO,YES,Y,492,
25_D_1091,DELI,R,SMI_COB_1,FUNG,5/20/25,FIELD CORN,15,1,0,0,0,0,0,NO,YES,Y,497,
25_D_1092,DELI,R,SMI_COB_1,FUNG,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,496,
25_D_1093,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,495,
25_D_1094,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,498,
25_D_1095,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,322,
25_D_1097,DELI,R,SMI_COB_1,FUNG,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,41,
25_D_1100,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,1,0,1,NO,NO,Y,29,
25_D_1101,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,42,
25_D_1102,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,27,
25_D_1103,DELI,R,SMI_COB,NEONIC,5/20/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,28,
25_D_1109,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,309,
25_D_1111,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,39,
25_D_1112,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,502,
25_D_1113,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,43,
25_D_1114,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,46,
25_D_1117,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,310,
25_D_1118,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,1,0,NO,NO,Y,500,
25_D_1119,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,44,
25_D_1120,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,1,1,NO,NO,Y,45,
25_D_1122,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,254,
25_D_1123,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,1,0,NO,NO,Y,312,"wireworms found in sample, but not circled on sheet"
25_D_1124,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,501,
25_D_1126,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,311,
25_D_1127,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,15,0,0,0,8,0,8,NO,NO,Y,23,
25_D_1133,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,15,0,0,0,1,0,1,NO,NO,Y,509,
25_D_1135,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,15,1,0,0,0,0,0,NO,NO,Y,505,
25_D_1136,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,15,0,0,0,0,0,0,NO,NO,Y,506,
25_D_1146,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,4,2,0,0,0,0,NO,NO,Y,4,
25_D_1149,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,268,
25_D_1153,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,10,0,0,0,0,0,NO,NO,Y,10,
25_D_1154,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,291,
25_D_1155,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,4,0,0,0,0,0,NO,NO,Y,18,
25_D_1156,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,17,
25_D_1157,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,2,0,0,0,0,0,NO,NO,Y,16,
25_D_1158,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,1,1,0,0,1,1,YES,NO,Y,15,
25_D_1159,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,296,
25_D_1160,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,295,
25_D_1161,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,3,0,0,1,0,1,NO,NO,Y,3,
25_D_1162,DELI,R,STA_WOO,FUNG,5/23/25,FIELD CORN,15,3,0,0,1,0,1,NO,NO,Y,2,
25_D_1164,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,1,0,0,0,0,0,NO,NO,Y,11,
25_D_1166,DELI,R,LET_VER,NEONIC,5/23/25,FIELD CORN,15,2,0,0,0,0,0,NO,NO,Y,25,
25_D_1168,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,2,0,0,0,0,0,NO,NO,Y,1,
25_D_1169,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,17,0,0,0,0,0,NO,NO,Y,8,
25_D_1170,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,2,0,0,0,0,0,NO,NO,Y,9,
25_D_1171,DELI,R,LET_VER,NEONIC,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,6,
25_D_1172,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,3,0,0,0,0,0,NO,NO,Y,5,
25_D_1173,DELI,R,LET_VER,NEONIC,5/23/25,FIELD CORN,15,3,0,0,0,0,0,NO,NO,Y,22,
25_D_1174,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,6,0,0,0,0,0,NO,NO,Y,21,
25_D_1177,DELI,R,LET_VER,NEONIC,5/23/25,FIELD CORN,15,5,0,0,0,0,0,NO,NO,Y,52,
25_D_1178,DELI,R,LET_VER,NEONIC,5/23/25,FIELD CORN,15,9,1,0,0,0,0,NO,NO,Y,26,
25_D_1180,DELI,R,LET_VER,FUNG,5/23/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,13,
25_D_1184,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,308,
25_D_1185,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,2,0,0,0,0,0,NO,NO,Y,51,
25_D_1186,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,5,0,0,0,0,0,NO,NO,Y,50,
25_D_1187,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,49,
25_D_1188,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,1,0,YES,NO,Y,365,
25_D_1189,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,382,
25_D_1191,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,1,0,0,0,0,0,NO,NO,Y,381,
25_D_1192,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,54,
25_D_1193,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,53,
25_D_1196,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,307,
25_D_1197,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,305,
25_D_1198,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,306,
25_D_1200,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,289,
25_D_1201,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,388,
25_D_1203,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,59,
25_D_1204,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,58,
25_D_1205,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,57,
25_D_1206,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,56,
25_D_1207,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,2,2,YES,NO,Y,63,
25_D_1209,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,379,
25_D_1210,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,1,0,0,0,0,0,NO,NO,Y,378,
25_D_1211,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,1,0,0,0,1,0,YES,NO,Y,377,
25_D_1212,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,376,
25_D_1213,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,2,0,0,0,1,0,YES,NO,Y,375,
25_D_1215,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,508,
25_D_1216,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,1,0,0,0,0,0,NO,YES,Y,373,
25_D_1321,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,420,
25_D_1322,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,419,
25_D_1326,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,55,
25_D_1327,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,336,
25_D_1328,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,422,
25_D_1329,DELI,R,SMI_CON_2_F,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,421,
25_D_1330,DELI,R,SMI_CON_2_N,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,335,
25_D_1333,DELI,R,SMI_CON_2_N,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,328,
25_D_1334,DELI,R,SMI_CON_2_N,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,325,
25_D_1338,DELI,R,SMI_CON_2_N,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,327,
25_D_1339,DELI,R,STA_STA,NEONIC,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,85,
25_D_1341,DELI,R,STA_STA,NEONIC,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,84,
25_D_1342,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,83,
25_D_1343,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,66,
25_D_1345,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,68,
25_D_1346,DELI,R,STA_STA,NEONIC,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,118,
25_D_1348,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,1,0,1,NO,NO,Y,114,
25_D_1349,DELI,R,STA_STA,FUNG,6/8/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,141,
25_D_1350,DELI,R,STA_STA,NEONIC,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,96,
25_D_1351,DELI,R,STA_STA,NEONIC,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,98,
25_D_1353,DELI,R,STA_STA,NEONIC,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,119,
25_D_1354,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,158,
25_D_1355,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,159,
25_D_1356,DELI,R,STA_STA,FUNG,5/29/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,112,
25_D_1357,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,103,
25_D_1358,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,67,
25_D_1359,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,82,
25_D_1360,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,65,
25_D_1361,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,117,
25_D_1362,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,124,
25_D_1363,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,125,
25_D_1364,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,70,
25_D_1365,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,71,
25_D_1366,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,79,
25_D_1367,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,80,
25_D_1368,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,99,
25_D_1369,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,113,
25_D_1370,DELI,R,SMI_BUR_F,FUNG,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,64,
25_D_1371,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,YES,Y,81,
25_D_1372,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,100,
25_D_1373,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,102,
25_D_1374,DELI,R,SMI_BUR_N,NEONIC,6/2/25,FIELD CORN,15,0,0,0,0,0,0,NO,NO,Y,101,
25_D_1377,DELI,R,SMI_ARN_2_N,NEONIC,6/3/25,SOY,15,0,0,0,0,0,0,NO,NO,Y,90,
25_D_1380,DELI,R,SMI_ARN_2_F,FUNG,6/3/25,SOY,15,0,0,0,0,0,0,NO,NO,Y,92,
25_D_1382,DELI,R,SMI_ARN_2_N,NEONIC,6/3/25,SOY,15,0,0,0,2,0,2,NO,NO,Y,93,
25_D_1386,DELI,R,SMI_ARN_2_N,NEONIC,6/3/25,SOY,15,0,0,0,2,0,2,NO,NO,Y,87,
