ID,Container Number,Project,Seed type,Number Seeds,SCM Seeds,Other Seeds,Total SCM Maggots,Total SCM Pupae,Number Wireworm,Phorid Seeds,Total Phorid Maggots,Total Phorid Pupae,Notes
49,3066,R,Corn,10,0,0,0,0,0,0,0,0,this trap could either be from SMI_JOH_1 or SMI_JOH_2. Erik mislabelled cups
50,3066,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
51,3066,R,Total,10,0,0,0,0,0,0,0,0,
52,3040,R,Corn,10,0,2,0,0,0,0,0,0,
53,3040,R,Loose,NA,NA,NA,0,0,2,NA,0,0,
54,3040,R,Total,10,0,2,0,0,2,0,0,0,
55,3039,R,Bean,3,0,1,0,0,0,0,0,0,majority of seeds eaten by animal
56,3039,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
57,3039,R,Total,3,0,1,0,0,0,0,0,0,
58,3008,R,Corn,9,0,0,0,2,0,0,0,0,
59,3008,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
60,3008,R,Total,9,0,0,0,2,0,0,0,0,
61,3006,R,Bean,10,0,1,0,30,0,0,0,3,
62,3006,R,Loose,NA,NA,NA,0,2,0,NA,0,>10,
63,3006,R,Total,10,0,1,0,32,0,0,0,>10,
64,3026,R,Corn,10,0,2,0,0,0,0,0,0,
65,3026,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
66,3026,R,Total,10,0,2,0,0,0,0,0,0,
67,3044,R,Bean,10,0,2,0,0,0,0,0,0,
68,3044,R,Loose,NA,NA,NA,0,0,0,NA,>10,>10,
69,3044,R,Total,10,0,2,0,0,0,0,>10,>10,
70,3038,R,Corn,10,0,2,0,0,0,0,0,0,
71,3038,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
72,3038,R,Total,10,0,2,0,0,0,0,0,0,
73,3037,R,Bean,10,0,6,0,0,0,0,0,3,
74,3037,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
75,3037,R,Total,10,0,6,0,0,0,0,0,3,
76,3030,R,Bean,8,0,0,0,0,0,8,>10,>10,
77,3030,R,Loose,NA,NA,NA,0,0,1,NA,>10,>10,
78,3030,R,Total,8,0,0,0,0,1,8,>10,>10,
79,3029,R,Corn,10,0,0,0,0,0,0,0,0,
80,3029,R,Loose,NA,NA,NA,0,0,0,NA,0,1,
81,3029,R,Total,10,0,0,0,0,0,0,0,1,
82,3025,R,Bean,9,0,0,0,0,0,0,0,1,3 butt dot maggots
83,3025,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
84,3025,R,Total,9,0,0,0,0,0,0,0,1,
85,3043,R,Corn,10,0,0,0,0,0,0,0,0,
86,3043,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
87,3043,R,Total,10,0,0,0,0,0,0,0,0,
88,3036,R,Bean,9,0,1,0,0,0,2,2,1,
89,3036,R,Loose,NA,NA,NA,0,0,0,NA,0,>10,
90,3036,R,Total,9,0,1,0,0,0,2,2,>10,
91,3035,R,Corn,10,0,1,0,0,0,0,0,0,
92,3035,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
93,3035,R,Total,10,0,1,0,0,0,0,0,0,
94,3032,R,Bean,6,0,4,0,0,0,1,1,0,
95,3032,R,Loose,NA,NA,NA,0,8,0,NA,0,0,
96,3032,R,Total,6,0,4,0,8,0,1,1,0,
97,3031,R,Corn,9,0,0,0,0,0,0,0,0,
98,3031,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
99,3031,R,Total,9,0,0,0,0,0,0,0,0,
100,3033,R,Bean,10,0,0,0,0,0,8,8,8,
101,3033,R,Loose,NA,NA,NA,0,0,0,NA,>10,>10,
102,3033,R,Total,10,0,0,0,0,0,8,>10,>10,
103,3034,R,Corn,10,0,3,0,0,0,0,0,0,
104,3034,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
105,3034,R,Total,10,0,3,0,0,0,0,0,0,
106,3027,R,Corn,10,0,1,0,0,0,0,0,0,
107,3027,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
108,3027,R,Total,10,0,1,0,0,0,0,0,0,
109,3028,R,Bean,10,0,0,0,0,0,0,0,3,
110,3028,R,Loose,NA,NA,NA,0,0,0,NA,2,2,
111,3028,R,Total,10,0,0,0,0,0,0,2,5,
112,3073,R,Corn,10,0,5,0,0,0,0,0,1,
113,3073,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
114,3073,R,Total,10,0,5,0,0,0,0,0,1,
115,3081,R,Corn,10,0,2,0,0,0,0,0,0,
116,3081,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
117,3081,R,Total,10,0,2,0,0,0,0,0,0,
118,3078,R,Corn,10,0,2,0,0,0,0,0,0,
119,3078,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
120,3078,R,Total,10,0,2,0,0,0,0,0,0,
121,3150,R,Bean,8,0,2,0,0,0,1,1,0,
122,3150,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
123,3150,R,Total,8,0,2,0,0,0,1,1,0,
124,3159,R,Bean,9,1,3,1,0,0,0,0,1,
125,3159,R,Loose,NA,NA,NA,1,2,0,NA,0,0,
126,3159,R,Total,9,1,3,2,2,0,0,0,1,
127,3151,R,Bean,4,0,2,0,0,2,0,0,0,
128,3151,R,Loose,NA,NA,NA,1,0,0,NA,0,0,
129,3151,R,Total,4,0,2,1,0,2,0,0,0,
130,3152,R,Corn,10,0,4,0,0,0,0,0,0,
131,3152,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
132,3152,R,Total,10,0,4,0,0,0,0,0,0,
133,3137,I,Bean,9,2,1,2,1,2,0,0,0,
134,3137,I,Loose,NA,NA,NA,0,2,2,NA,2,0,
135,3137,I,Total,9,2,1,2,3,4,0,2,0,
136,3129,I,Bean,8,0,2,0,0,0,0,0,0,
137,3129,I,Loose,NA,NA,NA,0,0,0,NA,4,1,
138,3129,I,Total,8,0,2,0,0,0,0,4,1,
139,3114,I,Bean,10,2,2,2,0,0,3,7,0,
140,3114,I,Loose,NA,NA,NA,0,0,0,NA,10,1,
141,3114,I,Total,10,2,2,2,0,0,3,>10,1,
142,3108,I,Bean,8,0,3,0,0,0,3,5,0,
143,3108,I,Loose,NA,NA,NA,0,0,0,NA,0,1,
144,3108,I,Total,8,0,3,0,0,0,3,5,1,
145,3094,I,Bean,8,4,0,8,0,0,4,>10,>10,
146,3094,I,Loose,NA,NA,NA,2,0,0,NA,>10,0,
147,3094,I,Total,8,4,0,10,0,0,4,0,0,
148,3099,I,Bean,10,1,1,1,0,0,8,>10,>10,tiny hole in the bottom of cup
149,3099,I,Loose,NA,NA,NA,0,1,0,NA,>10,>10,
150,3099,I,Total,10,1,1,1,1,0,8,>10,>10,
151,3121,I,Bean,10,6,0,8,0,0,3,9,0,
152,3121,I,Loose,NA,NA,NA,1,0,0,NA,>10,3,
153,3121,I,Total,10,6,0,9,0,0,3,>10,3,
154,3125,I,Bean,8,0,5,0,0,0,2,2,2,
155,3125,I,Loose,NA,NA,NA,0,1,0,NA,1,0,
156,3125,I,Total,8,0,5,0,1,0,2,3,2,
157,3127,I,Bean,9,0,0,0,0,0,7,>10,0,
158,3127,I,Loose,NA,NA,NA,0,0,0,NA,>10,6,
159,3127,I,Total,9,0,0,0,0,0,7,>10,6,
160,3100,I,Bean,9,0,0,0,0,0,8,>10,4,
161,3100,I,Loose,NA,NA,NA,0,0,0,NA,>10,>10,
162,3100,I,Total,9,0,0,0,0,0,8,>10,>10,
163,3142,I,Bean,10,8,0,18,0,0,1,2,0,
164,3142,I,Loose,NA,NA,NA,1,0,0,NA,3,1,
165,3142,I,Total,10,8,0,19,0,0,1,5,1,
166,3126,I,Bean,10,0,1,0,0,0,7,>10,1,
167,3126,I,Loose,NA,NA,NA,0,0,0,NA,9,5,
168,3126,I,Total,10,0,1,0,0,0,7,>10,6,
169,3097,I,Bean,9,0,0,0,0,0,9,>10,0,
170,3097,I,Loose,NA,NA,NA,0,0,0,NA,>10,1,
171,3097,I,Total,9,0,0,0,0,0,9,>10,1,
172,3113,I,Bean,10,1,3,1,0,0,2,2,0,
173,3113,I,Loose,NA,NA,NA,0,0,0,NA,2,0,
174,3113,I,Total,10,1,3,1,0,0,2,4,0,
175,3076,R,Corn,10,0,0,0,0,0,0,0,0,
176,3076,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
177,3076,R,Total,10,0,0,0,0,0,0,0,0,
178,3077,R,Bean,9,0,0,0,0,0,0,0,7,
179,3077,R,Loose,NA,NA,NA,0,0,0,NA,0,1,
180,3077,R,Total,9,0,0,0,0,0,0,0,8,
181,3079,R,Bean,11,0,0,0,0,0,0,0,0,
182,3079,R,Loose,NA,NA,NA,0,0,0,NA,1,0,
183,3079,R,Total,11,0,0,0,0,0,0,1,0,
184,3082,R,Bean,10,0,0,0,12,0,0,0,4,
185,3082,R,Loose,NA,NA,NA,0,3,0,NA,0,0,
186,3082,R,Total,10,0,0,0,15,0,0,0,4,
187,3080,R,Corn,10,0,1,0,0,0,0,0,0,
188,3080,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
189,3080,R,Total,10,0,1,0,0,0,0,0,0,
190,3074,R,Bean,11,0,0,0,0,0,0,0,>10,
191,3074,R,Loose,NA,NA,NA,0,0,0,NA,0,3,
192,3074,R,Total,11,0,0,0,0,0,0,0,>10,
193,3160,R,Corn,10,0,0,0,0,0,0,0,0,
194,3160,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
195,3160,R,Total,10,0,0,0,0,0,0,0,0,
196,3149,R,Corn,10,0,2,0,0,0,0,0,0,
197,3149,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
198,3149,R,Total,10,0,2,0,0,0,0,0,0,
199,3134,I,Bean,9,0,1,0,0,0,3,3,0,
200,3134,I,Loose,NA,NA,NA,0,0,0,NA,1,0,
201,3134,I,Total,9,0,1,0,0,0,3,4,0,
202,3111,I,Bean,9,0,0,0,0,0,1,1,0,
203,3111,I,Loose,NA,NA,NA,0,0,0,NA,3,0,
204,3111,I,Total,9,0,0,0,0,0,1,4,0,
205,3219,R,Bean,8,4,0,23,0,0,0,0,0,
206,3219,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
207,3219,R,Total,8,4,0,23,0,0,0,0,0,
208,3220,R,Bean,10,0,0,0,0,0,0,0,0,
209,3220,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
210,3220,R,Total,10,0,0,0,0,0,0,0,0,
211,3183,T,Bean,8,3,0,4,0,0,0,0,0,
212,3183,T,Loose,NA,NA,NA,0,8,0,NA,0,0,
213,3183,T,Total,8,3,0,4,8,0,0,0,0,
214,3207,R,Bean,10,0,0,0,0,0,0,0,0,
215,3207,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
216,3207,R,Total,10,0,0,0,0,0,0,0,0,
217,3216,R,Corn,10,0,0,0,0,0,0,0,0,
218,3216,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
219,3216,R,Total,10,0,0,0,0,0,0,0,0,
220,3172,R,Bean,8,0,0,0,0,0,0,0,0,Beans were out on the ground
221,3172,R,Loose,NA,NA,NA,0,0,0,NA,1,0,
222,3172,R,Total,8,0,0,0,0,0,0,1,0,
223,3209,R,Corn,10,0,0,0,0,0,0,0,0,
224,3209,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
225,3209,R,Total,10,0,0,0,0,0,0,0,0,
226,3174,R,Corn,11,0,0,0,0,0,0,0,0,
227,3174,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
228,3174,R,Total,11,0,0,0,0,0,0,0,0,
229,3175,R,Bean,10,1,0,1,0,0,0,0,0,
230,3175,R,Loose,NA,NA,NA,1,1,0,NA,0,0,
231,3175,R,Total,10,1,0,2,1,0,0,0,0,
232,3158,R,Corn,10,0,3,0,0,0,0,0,0,
233,3158,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
234,3158,R,Total,10,0,3,0,0,0,0,0,0,
235,3161,R,Bean,10,0,7,0,0,0,0,0,7,
236,3161,R,Loose,NA,NA,NA,0,0,0,NA,0,8,
237,3161,R,Total,10,0,7,0,0,0,0,0,>10,
238,3135,I,Bean,7,0,2,0,0,0,0,0,0,
239,3135,I,Loose,NA,NA,NA,2,0,0,NA,0,1,
240,3135,I,Total,7,0,2,2,0,0,0,0,1,
241,3221,R,Corn,10,0,0,0,0,0,0,0,0,
242,3221,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
243,3221,R,Total,10,0,0,0,0,0,0,0,0,
244,3217,R,Corn,10,0,0,0,0,0,0,0,0,
245,3217,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
246,3217,R,Total,10,0,0,0,0,0,0,0,0,
247,3110,I,Bean,8,0,0,0,0,0,0,0,0,
248,3110,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
249,3110,I,Total,8,0,0,0,0,0,0,0,0,
250,3139,I,Bean,8,0,1,0,0,0,1,1,0,
251,3139,I,Loose,NA,NA,NA,0,0,0,NA,1,0,
252,3139,I,Total,8,0,1,0,0,0,1,2,0,
253,3140,I,Bean,9,0,2,0,0,0,2,2,0,
254,3140,I,Loose,NA,NA,NA,0,0,2,NA,>10,0,
255,3140,I,Total,9,0,2,0,0,2,2,>10,0,
256,3153,R,Corn,10,0,0,0,0,0,0,0,0,
257,3153,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
258,3153,R,Total,10,0,0,0,0,0,0,0,0,
259,3118,I,Bean,10,2,0,2,0,0,7,>10,0,
260,3118,I,Loose,NA,NA,NA,1,0,0,NA,>10,0,
261,3118,I,Total,10,2,0,3,0,0,7,>10,0,
262,3101,I,Bean,9,2,0,0,0,0,0,0,0,
263,3101,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
264,3101,I,Total,9,2,0,0,0,0,0,0,0,
265,3112,I,Bean,9,0,0,0,0,0,4,6,0,
266,3112,I,Loose,NA,NA,NA,0,0,0,NA,>10,0,
267,3112,I,Total,9,0,0,0,0,0,4,>10,0,
268,3120,I,Bean,8,0,0,0,0,0,2,3,0,
269,3120,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
270,3120,I,Total,8,0,0,0,0,0,2,3,0,
271,3105,I,Bean,10,3,1,4,0,0,2,2,0,
272,3105,I,Loose,NA,NA,NA,1,0,0,NA,5,0,
273,3105,I,Total,10,3,1,5,0,0,2,7,0,
274,3109,I,Bean,9,0,0,0,0,0,2,>10,6,
275,3109,I,Loose,NA,NA,NA,0,0,0,NA,>10,0,
276,3109,I,Total,9,0,0,0,0,0,2,>10,6,
277,3117,I,Bean,10,2,0,2,0,0,3,4,0,
278,3117,I,Loose,NA,NA,NA,3,6,0,NA,0,1,
279,3117,I,Total,10,2,0,5,6,0,3,4,1,
280,3106,I,Bean,10,0,0,0,0,0,9,>10,0,
281,3106,I,Loose,NA,NA,NA,0,0,0,NA,>10,0,
282,3106,I,Total,10,0,0,0,0,0,9,>10,0,
283,3138,I,Bean,10,0,0,0,0,0,4,9,>10,
284,3138,I,Loose,NA,NA,NA,0,0,0,NA,>10,3,
285,3138,I,Total,10,0,0,0,0,0,4,>10,>10,
286,3136,I,Bean,9,0,0,0,0,0,1,1,>10,
287,3136,I,Loose,NA,NA,NA,0,0,0,NA,1,4,
288,3136,I,Total,9,0,0,0,0,0,1,2,>10,
289,3115,I,Bean,9,0,0,0,1,0,0,0,>10,
290,3115,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
291,3115,I,Total,9,0,0,0,1,0,0,0,>10,
292,3131,I,Bean,10,0,0,0,3,0,3,3,6,
293,3131,I,Loose,NA,NA,NA,0,0,0,NA,2,1,
294,3131,I,Total,10,0,0,0,3,0,3,5,7,
295,3119,I,Bean,9,0,4,0,0,0,1,2,3,
296,3119,I,Loose,NA,NA,NA,0,0,0,NA,2,3,
297,3119,I,Total,9,0,4,0,0,0,1,4,6,
298,3107,I,Bean,6,0,3,0,0,0,3,4,0,
299,3107,I,Loose,NA,NA,NA,0,0,0,NA,0,2,
300,3107,I,Total,6,0,3,0,0,0,3,4,2,
301,3128,I,Bean,8,0,4,0,0,2,2,2,0,
302,3128,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
303,3128,I,Total,8,0,4,0,0,2,2,2,0,
304,3104,I,Bean,8,0,8,0,0,0,0,0,0,
305,3104,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
306,3104,I,Total,8,0,8,0,0,0,0,0,0,
307,3132,I,Bean,9,0,0,0,0,0,1,2,1,
308,3132,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
309,3132,I,Total,9,0,8,0,0,0,1,2,1,
310,3133,I,Bean,9,1,0,1,0,0,2,7,>10,
311,3133,I,Loose,NA,NA,NA,3,0,0,NA,>10,0,
312,3133,I,Total,9,1,0,4,0,0,2,>10,>10,
313,3103,I,Bean,9,0,1,0,6,0,0,0,0,
314,3103,I,Loose,NA,NA,NA,0,1,0,NA,1,0,
315,3103,I,Total,9,0,1,0,7,0,0,1,0,
316,3123,I,Bean,10,0,1,0,0,0,2,3,>10,
317,3123,I,Loose,NA,NA,NA,0,0,0,NA,>10,2,
318,3123,I,Total,10,0,1,0,0,0,2,>10,>10,
319,3098,I,Bean,10,0,4,0,2,0,0,0,5,
320,3098,I,Loose,NA,NA,NA,0,0,1,NA,0,0,
321,3098,I,Total,10,0,4,0,2,1,0,0,5,
322,3093,I,Bean,10,0,4,0,0,3,0,0,3,
323,3093,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
324,3093,I,Total,10,0,4,0,0,3,0,0,3,
325,3102,I,Bean,9,0,0,0,0,0,0,0,0,
326,3102,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
327,3102,I,Total,9,0,0,0,0,0,0,0,0,
328,3124,I,Bean,9,0,2,0,0,0,0,0,0,
329,3124,I,Loose,NA,NA,NA,0,0,2,NA,0,0,
330,3124,I,Total,9,0,2,0,0,2,0,0,0,
331,3116,I,Bean,9,0,0,0,0,0,0,0,2,
332,3116,I,Loose,NA,NA,NA,0,0,0,NA,1,2,
333,3116,I,Total,9,0,0,0,0,0,0,1,4,
334,3096,I,Bean,11,0,0,0,0,0,7,>10,1,
335,3096,I,Loose,NA,NA,NA,5,0,0,NA,>10,0,
336,3096,I,Total,11,0,0,5,0,0,7,>10,1,
337,3214,I,Bean,7,0,0,0,0,0,0,0,1,
338,3214,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
339,3214,I,Total,7,0,0,0,0,0,0,0,1,
340,3028,R,Corn,10,0,1,0,0,0,0,0,0,
341,3028,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
342,3028,R,Total,10,0,1,0,0,0,0,0,0,
343,3213,R,Corn,10,0,0,0,0,0,0,0,0,
344,3213,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
345,3213,R,Total,10,0,0,0,0,0,0,0,0,
346,3210,R,Bean,10,0,0,0,0,0,0,0,0,
347,3210,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
348,3210,R,Total,10,0,0,0,0,0,0,0,0,
349,3130,I,Corn,9,2,8,2,0,0,5,>10,0,
350,3130,I,Loose,NA,NA,NA,2,0,0,NA,2,0,
351,3130,I,Total,9,2,8,4,0,0,5,>10,0,
352,3141,I,Bean,8,3,3,3,0,0,6,>10,0,
353,3141,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
354,3141,I,Total,8,3,3,3,0,0,6,>10,0,
355,3180,T,Bean,4,0,0,0,0,0,3,3,>10,
356,3180,T,Loose,NA,NA,NA,0,0,0,NA,>10,0,
357,3180,T,Total,4,0,0,0,0,0,3,>10,>10,
358,3523,M,Bean,7,0,1,0,0,0,0,0,0,
359,3523,M,Loose,NA,NA,NA,0,0,0,NA,0,0,
360,3523,M,Total,7,0,1,0,0,0,0,0,0,
361,3188,R,Corn,10,0,0,0,0,0,0,0,0,
362,3188,R,Loose,NA,0,0,0,0,0,NA,0,0,
363,3188,R,Total,10,0,0,0,0,0,0,0,0,
364,3527,M,Bean,9,7,2,12,0,0,0,0,0,
365,3527,M,Loose,NA,NA,NA,6,0,0,NA,0,0,
366,3527,M,Total,9,7,2,18,0,0,0,0,0,
367,3528,M,Corn,10,1,3,1,0,0,0,0,0,
368,3528,M,Loose,NA,NA,NA,3,0,0,NA,0,0,
369,3528,M,Total,10,1,3,4,0,0,0,0,0,
370,3179,T,Bean,5,0,0,0,0,0,0,0,0,
371,3179,T,Loose,NA,NA,NA,0,0,0,NA,0,0,
372,3179,T,Total,5,0,0,0,0,0,0,0,0,
373,3182,T,Bean,4,0,0,0,0,0,0,0,0,
374,3182,T,Loose,NA,NA,NA,NA,0,0,NA,0,0,
375,3182,T,Total,4,0,0,0,0,0,0,0,0,
376,3187,T,Bean,5,0,0,0,0,0,0,0,0,
377,3187,T,Loose,NA,NA,NA,0,0,0,NA,0,0,
378,3187,T,Total,5,0,0,0,0,0,0,0,0,
379,3178,T,Bean,5,0,0,0,0,0,0,0,0,Unsure if Bean or Corn
380,3178,T,Loose,NA,NA,NA,0,0,0,NA,0,0,
381,3178,T,Total,5,0,0,0,0,0,0,0,0,
382,3211,R,Corn,10,0,1,0,0,3,0,0,0,
383,3211,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
384,3211,R,Total,10,0,1,0,0,3,0,0,0,
385,3122,I,Bean,9,0,5,0,0,0,0,0,0,Abundance of lesser dung fly larvae
386,3122,I,Loose,NA,NA,NA,0,0,0,NA,0,0,
387,3122,I,Total,9,0,5,0,0,0,0,0,0,
388,3222,R,Bean,7,0,1,0,0,6,3,4,1,
389,3222,R,Loose,NA,NA,NA,0,0,5,NA,1,5,
390,3222,R,Total,7,0,1,0,0,11,3,5,6,
391,3212,R,Bean,9,0,0,0,0,>10,1,1,0,
392,3212,R,Loose,NA,NA,NA,0,0,2,NA,1,3,
393,3212,R,Total,9,0,0,0,0,>10,1,2,3,
394,3218,R,Bean,9,0,1,0,0,1,0,0,0,
395,3218,R,Loose,NA,NA,NA,0,0,2,NA,0,0,
396,3218,R,Total,9,0,1,0,0,3,0,0,0,
397,3184,T,Bean,5,0,1,0,0,0,0,0,8,
398,3184,T,Loose,NA,NA,NA,0,0,0,NA,0,10,
399,3184,T,Total,5,0,1,0,0,0,0,0,18,
400,3484,M,Bean,10,9,0,25,0,1,0,0,0,
401,3484,M,Loose,NA,NA,NA,1,0,0,NA,0,0,
402,3484,M,Total,10,9,0,26,0,1,0,0,0,
403,3520,M,Corn,10,0,0,0,0,0,0,0,0,
404,3520,M,Loose,NA,NA,NA,0,0,0,NA,0,0,
405,3520,M,Total,10,0,0,0,0,0,0,0,0,
406,3463,M,Corn,10,0,0,0,0,0,0,0,0,
407,3463,M,Loose,NA,NA,NA,0,0,1,NA,0,0,
408,3463,M,Total,10,0,0,0,0,1,0,0,0,
409,3461,M,Bean,4,4,0,16,0,0,0,0,0,
410,3461,M,Loose,NA,NA,NA,10,0,1,NA,0,0,
411,3461,M,Total,4,4,0,26,0,1,0,0,0,
412,3503,M,Corn,10,0,0,0,0,0,0,0,0,
413,3503,M,Loose,NA,NA,NA,0,0,0,NA,0,0,
414,3503,M,Total,10,0,0,0,0,0,0,0,0,
415,3493,M,Bean,10,3,0,3,0,0,0,0,0,
416,3493,M,Loose,NA,NA,NA,0,0,0,NA,0,0,
417,3493,M,Total,10,3,0,3,0,0,0,0,0,
418,3486,M,Bean,10,0,0,0,0,0,0,0,0,
419,3486,M,Loose,NA,NA,NA,0,0,0,NA,0,0,
420,3486,M,Total,10,0,0,0,0,0,0,0,0,
421,3487,M,Bean,10,2,1,3,0,0,0,0,0,
422,3487,M,Loose,NA,NA,NA,0,0,1,NA,0,0,
423,3487,M,Total,10,2,1,3,0,1,0,0,0,
424,3522,M,Bean,10,7,0,22,0,0,0,0,0,
425,3522,M,Loose,NA,NA,NA,5,0,0,NA,0,0,
426,3522,M,Total,10,7,0,27,0,0,0,0,0,
427,3530,M,Bean,9,8,0,27,0,0,0,0,0,
428,3530,M,Loose,NA,NA,NA,12,0,1,NA,0,0,
429,3530,M,Total,9,8,0,39,0,1,0,0,0,
430,3490,M,Bean,10,6,0,10,0,0,0,0,0,
431,3490,M,Loose,NA,NA,NA,5,0,0,NA,0,0,
432,3490,M,Total,10,6,0,15,0,0,0,0,0,
433,3524,M,Bean,8,6,0,60,0,0,0,0,0,
434,3524,M,Loose,NA,NA,NA,9,0,0,NA,0,0,
435,3524,M,Total,8,6,0,69,0,0,0,0,0,
436,3537,M,Corn,10,1,0,2,0,0,0,0,0,
437,3537,M,Loose,NA,NA,NA,0,0,0,NA,0,0,
438,3537,M,Total,10,1,0,2,0,0,0,0,0,
