Container_Nr,Date_collected,Seed Type,Date_1st_measure,Nr_Seeds_germinated_1st_measure,Date_2nd measure,Nr_Seeds_germinated_2nd measure,Nr_Seeds_with_root_only,Nr_Seeds_with_shoot_only,Nr_Seeds_with_Both_root_and_shoot,Nr_Seeds_not germinated,Dry_aboveground_biomass_of_seedlings,Dry_belowground_biomass_of_seedlings
3230,5/2/23,corn,5/3/23,9,5/9/23,10,1,0,9,0,0.15129,2.47426
3231,5/3/23,corn,5/3/23,10,,,,,,,0.14462,1.95066
3232,5/3/23,lima,5/3/23,0,5/9/23,0,0,0,0,10,,
3320,4/27/23,corn,5/4/23,5,no 2nd measure,,,,5,5,0.06537,1.38053
3321,4/27/23,lima,5/4/23,0,no 2nd measure,,,,,,,
3322,4/27/23,lima,5/4/23,0,no 2nd measure,,,,,,,
3323,4/27/23,corn,5/4/23,8,no 2nd measure,,,,,,0.16162,1.79042
3324,4/28/23,lima,5/4/23,0,no 2nd measure,,,,,,,
3328,5/1/23,lima,5/4/23,0,5/9/23,0,0,0,0,10,,
3329,5/1/23,corn,5/4/23,10,5/9/23,10,2,0,8,0,0.18685,1.79276
3330,5/1/23,corn,5/4/23,7,5/9/23,9,1,0,8,1,0.26757,1.67436
3331,5/1/23,lima,5/4/23,0,5/9/23,0,0,0,0,10,,
3542,5/3/23,corn,5/8/23,7,,,,,,,0.26416,1.90271
3543,5/3/23,lima,5/8/23,0,,,,,,,,
3544,5/3/23,corn,5/8/23,1,,,,,,,0.05088,1.31706
3545,5/3/23,lima,5/8/23,0,,,,,,,,
3546,5/3/23,lima,5/8/23,0,,,,,,,,
3547,5/3/23,corn,5/8/23,10,,,,,,,0.37774,2.06606
3548,5/3/23,lima,5/8/23,0,,,,,,,,
3549,5/3/23,corn,5/8/23,7,,,,,,,0.16582,1.56812
3550,5/3/23,lima,5/8/23,0,,,,,,,,
3551,5/3/23,corn,5/8/23,4,,,,,,,0.21826,1.1752
3552,5/2/23,lima,5/8/23,0,5/9/23,1,1,0,0,9,0,0.12274
3553,5/2/23,corn,5/8/23,7,5/9/23,10,0,0,10,0,0.25069,2.43879
3554,5/2/23,corn,5/8/23,7,,,,,,,0.21555,2.55018
3555,5/2/23,lima,5/8/23,0,5/9/23,0,0,0,0,10,,
3556,5/2/23,corn,5/8/23,4,,,,,,,0.10495,1.69312
3557,5/2/23,lima,5/8/23,1,5/9/23,2,0,0,2,8,0.37068,0.43215
3558,5/2/23,corn,5/8/23,9,5/9/23,10,0,0,10,0,0.30912,1.8025
3559,5/2/23,lima,5/8/23,1,,,,,,,0,0.31005
3626,5/8/23,lima,5/10/23,0,,,,,,,0.22934,0.03457
3627,5/8/23,corn,5/10/23,7,,,,,,,0.33651,2.47348
3628,5/8/23,corn,5/12/23,7,,,,,,,0.00342,1.7954
3629,5/8/23,lima,5/12/23,0,,,,,,,,
3630,5/9/23,corn,5/12/23,10,,,,,,,0.13877,1.67161
3631,5/9/23,lima,5/12/23,0,,,,,,,,
3632,5/3/23,lima,5/12/23,3,,,,,,,1.48003,0.12109
3633,5/3/23,corn,5/12/23,0,,,,,,,,
3634,5/3/23,lima,5/12/23,4,5/15/23,4,0,0,4,6,0.88937,0.93191
3635,5/5/23,???,5/12/23,no seeds,,,,,,,,
3636,5/5/23,corn,5/12/23,,,,,,,,0.32363,1.48736
3637,5/3/23,corn,5/12/23,,,,,,,,,
3638,5/11/23,lima,5/15/23,0,,,,,,,,
3639,5/11/23,corn,5/15/23,10,,,,,,,0.12148,1.64387
3640,5/12/23,corn,5/15/23,10,,,,,,,0.12233,2.2568
3641,5/12/23,lima,5/15/23,0,,,,,,,,
3642,5/11/23,lima,5/15/23,0,,,,,,,,
3643,5/11/23,corn,5/15/23,8,,,,,,,0.1147,1.90987
3644,5/11/23,lima,5/15/23,0,,,,,,,,
3645,5/11/23,corn,5/15/23,7,,,,,,,0.02123,1.88352
3646,5/11/23,lima,5/15/23,0,,,,,,,,
3647,5/11/23,corn,5/15/23,8,,,,,,,1.5577,1.80952
3648,5/5/23,lima,5/15/23,,no second date measure,,,,,,0.18462,0.1614
3649,5/5/23,corn,5/15/23,,no second date measure,,,,,,0.25247,1.63523
3650,5/5/23,corn,5/15/23,,no second date measure,,,,,,,
3651,5/5/23,lima,5/15/23,,no second date measure,,,,,,,
3696,5/16/23,corn,5/17/23,8,,,,,,,0.03327,1.62612
3697,5/16/23,lima,5/17/23,0,,,,,,,,
3698,5/16/23,lima,5/17/23,1,5/31/23,1,0,0,1,9,0.18146,0.0626
3699,5/16/23,corn,5/17/23,10,5/31/23,10,0,0,10,0,0.28522,1.35763
3700,5/16/23,corn,5/17/23,3,5/31/23,6,2,4,0,4,0.02341,2.18105
3701,5/16/23,lima,5/17/23,5,,,,,,,0,2.83861
3702,5/16/23,corn,5/17/23,10,,,,,,,0.1981,1.46232
3703,5/16/23,lima,5/17/23,0,5/31/23,0,0,0,0,10,,
4042,5/15/23,lima,5/19/23,0,,,,,,,,
4043,5/15/23,corn,5/19/23,7,,,,,,,0.14887,1.85178
4044,5/15/23,lima,5/19/23,0,,,,,,,,
4045,5/15/23,corn,5/19/23,10,,,,,,,0.11231,1.65207
4046,5/15/23,lima,5/19/23,0,,,,,,,,
4047,5/15/23,corn,5/19/23,8,,,,,,,0.09925,1.91009
4048,5/15/23,corn,5/19/23,10,,,,,,,0.12345,1.16034
4049,5/15/23,lima,5/19/23,0,,,,,,,,
4050,5/15/23,corn,5/19/23,10,,,,,,,0.25631,1.55216
4051,5/15/23,lima,5/19/23,0,,,,,,,0,0.33166
4052,5/15/23,corn,5/19/23,10,,,,,,,,
4053,5/15/23,lima,5/19/23,1,,,,,,,,
4054,5/16/23,lima,5/19/23,3,5/31/23,2,2,0,0,8,0.03012,0.57083
4055,5/16/23,corn,5/19/23,10,5/31/23,10,0,0,10,0,,
4056,5/15/23,corn,5/19/23,10,5/31/23,10,0,0,10,0,0.13233,1.33021
4057,5/15/23,lima,5/19/23,0,5/31/23,0,0,0,0,10,,
4058,5/16/23,corn,5/19/23,10,,,,,,,0.16791,1.48645
4059,5/16/23,lima,5/19/23,0,,,,,,,,
4060,5/15/23,lima,5/19/23,0,,,,,,,,
4061,5/15/23,corn,5/19/23,4,,,,,,,0.06655,1.46182
4062,5/16/23,corn,5/19/23,10,5/31/23,10,1,0,9,0,0.3454,1.328
4063,5/16/23,lima,5/19/23,0,5/31/23,1,0,0,1,9,0.17586,0.04621
4064,5/15/23,corn,5/19/23,6,,,,,,,0.17995,1.39152
4065,5/15/23,lima,5/19/23,0,5/31/23,0,0,0,0,10,,
4066,5/15/23,lima,5/19/23,0,,,,,,,,
4067,5/15/23,corn,5/19/23,10,,,,,,,0.24922,1.66626
4068,5/15/23,lima,5/19/23,0,,,,,,,,
4069,5/15/23,corn,5/19/23,10,,,,,,,0.14476,1.75695
4070,5/15/23,corn,5/19/23,4,,,,,,,0.25822,1.71157
4071,5/15/23,lima,5/19/23,0,,,,,,,,
4072,5/15/23,lima,5/19/23,0,,,,,,,,
4073,5/15/23,corn,5/19/23,4,,,,,,,0,1.5149
4074,5/15/23,corn,5/19/23,10,5/31/23,8,0,0,8,2,0.18346,0.77306
4075,5/15/23,lima,5/19/23,1,5/31/23,0,0,0,0,10,,
4076,5/15/23,lima,5/19/23,1,,,,,,,0,0.29486
4077,5/15/23,corn,5/19/23,10,,,,,,,0.27699,3.2021
4078,5/15/23,corn,5/19/23,10,,,,,,,0.24243,2.63415
4079,5/15/23,lima,5/19/23,0,,,,,,,,
4173,5/17/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4174,5/17/23,corn,5/24/23,10,5/31/23,7,0,0,7,3,0.16033,0.76044
4175,5/19/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4176,5/19/23,corn,5/24/23,0,5/31/23,0,0,0,0,10,0,1.89929
4177,5/23/23,corn,5/24/23,0,5/31/23,5,5,0,0,5,0,1.82999
4178,5/23/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4179,5/23/23,corn,5/24/23,10,5/31/23,10,0,1,9,0,0.17728,1.55166
4180,5/23/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4201,5/17/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4202,5/19/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4203,5/17/23,corn,5/24/23,10,5/31/23,10,1,0,9,0,0.17541,1.14747
4204,5/17/23,corn,5/24/23,9,5/31/23,9,1,0,9,1,0.07081,1.61226
4205,5/19/23,corn,5/24/23,10,5/31/23,10,0,0,10,0,0.34697,1.19999
4206,5/17/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4207,5/19/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4208,5/19/23,corn,5/24/23,10,5/31/23,10,0,0,10,0,0.13028,1.51603
4209,5/19/23,corn,5/24/23,9,5/31/23,9,0,0,9,1,0.25304,1.04282
4210,5/19/23,lima,5/24/23,0,5/31/23,0,0,0,0,10,,
4216,5/25/23,lima,5/25/23,0,6/12/23,0,0,0,0,10,,
4275,5/25/23,corn,5/25/23,6,6/12/23,6,5,0,1,4,0.0121,1.96934
4279,5/23/23,lima,5/25/23,0,6/12/23,0,0,0,0,10,,
4280,5/23/23,corn,5/25/23,10,6/12/23,10,0,0,10,0,0.09028,1.62157
4541,5/26/23,corn,6/1/23,10,6/2/23,10,0,0,10,0,0.26609,2.68972
4542,5/26/23,lima,6/1/23,1,6/2/23,1,1,0,0,9,0.03834,0.3333
4543,5/18/23,lima,6/1/23,2,no second date measured,,2,,,,0,0.6431
4544,5/18/23,corn,6/1/23,9,no second date measured,,,,9,1,0.11513,2.19
4545,5/26/23,lima,6/1/23,7,6/2/23,7,0,0,7,3,1.25796,0.65794
4546,5/26/23,corn,6/1/23,10,6/2/23,10,1,0,9,0,0.40598,2.93137
4782,6/2/23,lima,6/2/23,7,6/7/23,8,,,8,,,
4781,6/2/23,corn,6/2/23,5,6/7/23,5,,,5,,0.35412,1.27641
4787,5/26/23,corn,6/2/23,9,no second date measured,,1,0,8,1,,
4788,5/26/23,corn,6/2/23,10,no second date measured,,,1,9,0,0.07619,1.8591
4789,5/26/23,lima,6/2/23,0,no second date measured,,,,,,,
4790,5/26/23,corn,6/2/23,10,no second date measured,,0,0,10,0,0.12431,1.79767
4791,5/26/23,lima,6/2/23,2,no second date measured,,0,0,2,8,0.55107,0.16219
4792,5/26/23,lima,6/2/23,2,no second date measured,,2,0,0,8,0,0.76977
4793,5/31/23,lima,6/2/23,4,6/7/23,4,,,4,,0.62426,0.30279
4825,5/31/23,corn,6/2/23,10,6/7/23,10,,,10,,0.50102,1.8976
4826,5/31/23,lima,6/2/23,2,6/7/23,2,,,2,,0.54121,0.03045
4824,5/26/23,corn,6/2/23,11,no second date measured,,1,,10,,0.05601,2.14238
4823,5/26/23,lima,6/2/23,9,no second date measured,,,,9,,2.73174,0.23999
4859,5/30/23,corn,6/7/23,7,no second date measured,,1,0,6,3,0.17747,1.82835
4794,5/31/23,lima,6/2/23,0,6/7/23,0,0,,0,10,,
4860,5/30/23,lima,6/7/23,0,no second measure,,,,,,,
4861,5/17/23,corn,6/7/23,10,no second measure,,,,10,,0.33116,2.17236
4862,5/17/23,lima,6/7/23,2,no second measure,,,,2,,0.19924,0.45354
4863,5/31/23,lima,6/7/23,0,no second measure,,,,,,,
4864,5/30/23,lima,6/7/23,0,no second measure,,,,,,,
4865,5/30/23,corn,6/7/23,0,no second measure,,,,,,0,2.21053
4866,5/31/23,corn,6/7/23,7,no second measure,,4,,3,,0,1.98119
4867,5/30/23,lima,6/7/23,0,no second measure,,,,,,,
4868,5/30/23,corn,6/7/23,0,no second measure,,,,,,0,1.85148
4869,5/30/23,lima,6/7/23,0,no second measure,,,,,,,
4870,5/30/23,corn,6/7/23,10,no second measure,,,,10,,0.27246,1.63093
4871,6/1/23,corn,6/7/23,4,6/12/23,7,4,0,3,3,0.1653,1.0837
4872,6/1/23,lima,6/7/23,7,6/12/23,7,,,7,3,0.74771,0.25274
4873,5/31/23,lima,6/7/23,1,no second measure,,,,1,,0.32262,0.01916
4874,5/31/23,corn,6/7/23,9,no second measure,,,,9,,0.2158,1.98671
4875,5/30/23,lima,6/7/23,0,no second measure,,,,,,,
4876,5/31/23,corn,6/7/23,3,no second measure,,,,3,,0.01226,1.99329
4877,5/30/23,lima,6/7/23,0,no second measure,,,,,,,
4878,5/30/23,corn,6/7/23,0,no second measure,,,,,,0,1.97608
4879,5/31/23,corn,6/7/23,9,no second measure,,2,2,5,1,0.10853,1.84088
4880,5/31/23,corn,6/7/23,10,no second measure,,,,10,,0.04755,1.61469
4881,5/30/23,corn,6/7/23,8,no second measure,,1,,7,2,0.12705,2.20013
4882,5/31/23,lima,6/7/23,3,no second measure,,,,3,,0.58332,0.70949
4883,5/31/23,lima,6/7/23,0,no second measure,,,,,,,
4884,5/31/23,lima,6/7/23,0,no second measure,,,,,,,
4885,5/31/23,lima,6/7/23,0,no second measure,,,,,,,
4886,5/31/23,corn,6/7/23,9,no second measure,,,,9,1,0.28448,1.69651
5015,5/31/23,lima,6/8/23,2,no second measure,,,,,,,
5016,6/5/23,lima,6/8/23,2,6/12/23,3,,,3,,0.45137,0.37857
5017,5/31/23,lima,6/8/23,2,no second measure,,1,,1,,0.25795,0.60192
5018,5/31/23,corn,6/8/23,10,no second measure,,,,10,,0.46564,2.23637
5019,5/31/23,corn,6/8/23,10,no second measure,,4,,6,,0.27446,2.24271
5020,6/5/23,corn,6/8/23,4,6/12/23,10,,,10,,0.18785,1.20131
5021,6/2/23,lima,6/8/23,0,6/12/23,0,0,0,0,10,,
5022,6/2/23,corn,6/8/23,5,6/12/23,10,,,10,,0.32186,1.3971
5023,6/2/23,lima,6/8/23,4,6/12/23,7,,,7,,0.64095,0.65193
5024,6/2/23,corn,6/8/23,7,6/12/23,7,,,7,,0.07178,0.63471
5036,6/6/23,lima,6/12/23,0,6/16/23,0,0,0,0,10,,
5037,6/6/23,corn,6/12/23,3,6/16/23,4,,,4,,0.17248,1.76739
5101,6/13/23,lima,6/22/23,8,no second measure,,,,8,,1.86557,1.08136
5102,6/13/23,lima,6/22/23,6,no second measure,,,,6,,,
5105,6/13/23,corn,6/22/23,3,no second measure,,,,3,,0.08358,0.51577
5107,6/13/23,corn,6/22/23,3,no second measure,,,,3,,,
5119,6/9/23,lima ,6/23/23,0,no second measure,,,,,,,
5120,6/9/23,lima,6/23/23,0,no second measure,,,,,,,
5121,6/9/23,corn,6/23/23,0,no second measure,,,,,,,
5122,6/9/23,lima,6/23/23,0,no second measure,,,,,,,
5123,6/9/23,corn,6/23/23,9,no second measure,,,2,7,,0.13003,1.16949
5124,6/9/23,lima,6/23/23,0,no second measure,,,,,,,
5125,6/14/23,lima,6/23/23,7,no second measure,,,,7,,2.31932,0.40147
5126,6/12/23,lima,6/23/23,0,no second measure,,,,,,,
5127,6/12/23,lima,6/23/23,8,no second measure,,,,8,,0.87443,1.35312
5128,6/14/23,corn,6/23/23,9,no second measure,,,,9,,0.23664,0.66757
5129,6/13/23,corn,6/23/23,6,no second measure,,,,6,,0.22444,0.93491
5130,6/12/23,corn,6/23/23,10,no second measure,,,,10,,0.4695,1.84498
5131,6/12/23,corn,6/23/23,9,no second measure,,,,9,,0.02108,1.74634
5132,6/13/23,lima,6/23/23,6,no second measure,,,,6,,1.05764,0.69758
5133,6/12/23,lima,6/23/23,0,no second measure,,,,,,,
5134,6/12/23,corn,6/23/23,10,no second measure,,,,10,,0.08997,2.08501
5135,6/27/23,corn,7/3/23,8,,,,,,,,
5136,6/27/23,lima,7/3/23,8,,,,,,,,
5137,6/27/23,lima,7/3/23,10,,,,,,,,
5138,6/27/23,corn,7/3/23,10,,,,,,,,
4783,,,,,,,,,,,1.51086,0.74461
5014,,,,,,,,,,,0.5333,0.07336
4043,,,,,,,,,,,0.54062,0.35735
3277,,,,,,,,,,,0.23305,2.44175
