card_id,collection_date,week,total_m,total_f,total_scm,container_number,seed_type,number_seeds,scm_seeds,other_seeds,total_scm_maggots,total_scm_pupae,number_wireworm,phorid_seeds,total_phorid_maggots,total_phorid_pupae,record_id
2326,5/2/23,18,5,5,10,3575,Corn,10,0,1,0,0,0,0,0,0,SMI_JOH_2
2326,5/2/23,18,5,5,10,3574,Corn,10,0,0,0,0,0,0,0,0,SMI_JOH_2
2326,5/2/23,18,5,5,10,3575,Corn,9,0,0,0,0,0,0,0,0,SMI_JOH_2
2328,5/2/23,18,42,36,78,3574,Corn,10,0,0,0,0,0,0,0,0,SMI_HOF
2330,5/2/23,18,38,129,167,3575,Bean,10,0,1,0,0,0,0,0,0,SMI_DUR
2330,5/2/23,18,38,129,167,3575,Bean,9,0,0,0,0,0,0,0,0,SMI_DUR
2330,5/2/23,18,38,129,167,3575,Corn,10,0,1,0,0,0,0,0,0,SMI_DUR
2330,5/2/23,18,38,129,167,3575,Corn,9,0,0,0,0,0,0,0,0,SMI_DUR
2332,5/3/23,18,28,73,101,3567,Bean,9,0,0,0,0,0,0,0,0,STA_HEM
2332,5/3/23,18,28,73,101,3562,Corn,10,0,0,0,0,0,0,0,0,STA_HEM
2334,5/3/23,18,56,20,76,3561,Bean,10,0,0,0,0,0,0,0,0,STA_HEM_2
2334,5/3/23,18,56,20,76,3566,Corn,10,0,0,0,0,0,0,0,0,STA_HEM_2
2336,5/3/23,18,19,5,24,3569,Bean,8,0,0,0,0,0,1,1,0,STA_SWE
2336,5/3/23,18,19,5,24,3568,Corn,10,0,0,0,0,0,0,0,0,STA_SWE
2338,5/3/23,18,14,11,25,3563,Bean,9,0,0,0,0,0,0,0,1,STA_COL
2338,5/3/23,18,14,11,25,3565,Corn,10,0,0,0,0,0,0,0,0,STA_COL
2340,5/3/23,18,47,14,61,3560,Bean,10,0,0,0,0,0,0,0,2,STA_WIL
2340,5/3/23,18,47,14,61,3564,Corn,10,0,0,0,0,0,0,0,0,STA_WIL
2386,5/8/23,19,65,22,87,3677,Bean,0,0,0,0,0,0,0,0,4,LET_NOB
2386,5/8/23,19,65,22,87,3676,Corn,10,0,0,0,0,0,0,0,0,LET_NOB
2388,5/8/23,19,17,9,26,3675,Bean,9,0,0,0,0,0,0,0,10,LET_TAB
2388,5/8/23,19,17,9,26,3674,Corn,10,0,0,0,0,1,0,0,0,LET_TAB
2418,5/9/23,19,72,93,165,3669,Bean,8,1,1,2,1,0,0,0,0,ZUE_REE
2418,5/9/23,19,72,93,165,3670,Corn,10,0,0,0,0,0,0,0,0,ZUE_REE
2420,5/5/23,18,34,32,66,3679,Bean,5,0,0,0,0,0,1,1,0,WIS_MEG
2420,5/5/23,18,34,32,66,3678,Corn,10,0,0,0,0,0,0,0,0,WIS_MEG
2422,5/5/23,18,69,9,78,3680,Bean,6,0,0,1,2,0,0,0,0,WIS_KEN
2422,5/5/23,18,69,9,78,3681,Corn,10,0,0,0,0,0,0,0,0,WIS_KEN
2424,5/3/23,18,9,2,11,3683,Bean,9,0,0,1,0,0,0,0,0,WIS_COO
2424,5/3/23,18,9,2,11,3682,Corn,10,0,0,0,0,0,0,0,0,WIS_COO
2426,5/3/23,18,23,8,31,3684,Bean,10,0,0,0,0,0,0,0,0,WIS_COO_2
2426,5/3/23,18,23,8,31,3685,Corn,10,0,0,0,0,0,0,0,0,WIS_COO_2
2428,5/11/23,19,29,7,36,3671,Bean,9,0,0,1,0,0,0,0,0,MIL_CHA
2428,5/11/23,19,29,7,36,3666,Corn,10,0,0,0,0,0,0,0,0,MIL_CHA
2430,5/11/23,19,2,2,4,3668,Bean,10,1,6,1,0,0,0,0,0,MIL_YOD
2430,5/11/23,19,2,2,4,3672,Corn,10,0,0,0,0,0,0,0,0,MIL_YOD
2432,5/11/23,19,15,6,21,3667,Bean,10,0,0,0,0,0,1,1,0,MIL_MCC
2432,5/11/23,19,15,6,21,3673,Corn,10,0,0,0,0,0,0,0,0,MIL_MCC
2434,5/16/23,20,0,0,0,3691,Bean,7,1,0,4,0,1,0,0,0,POV_DUN
2434,5/16/23,20,0,0,0,3688,Corn,10,0,1,0,0,0,0,0,0,POV_DUN
2436,5/16/23,20,2,1,3,3690,Bean,3,0,1,0,0,0,0,0,0,DIP_CUR
2436,5/16/23,20,2,1,3,3689,Corn,9,0,0,0,0,0,0,0,0,DIP_CUR
2438,5/16/23,20,2,1,3,3694,Corn,9,0,0,0,0,1,0,0,0,DIP_FLE
2440,5/16/23,20,14,16,30,3692,Bean,10,0,0,0,0,0,0,0,0,DIP_PAT
2440,5/16/23,20,14,16,30,3693,Corn,10,0,0,0,0,0,0,0,0,DIP_PAT
2462,5/15/23,20,2,6,8,4116,Bean,9,0,0,4,0,0,0,0,4,GAB_ALL
2462,5/15/23,20,2,6,8,4115,Corn,6,0,1,0,0,2,0,0,0,GAB_ALL
2466,5/15/23,20,5,2,7,4085,Bean,9,0,2,0,0,0,0,0,0,GAB_STE
2466,5/15/23,20,5,2,7,4114,Corn,10,0,0,0,0,0,0,0,0,GAB_STE
2468,5/16/23,20,117,9,126,4102,Bean,10,0,2,0,0,0,0,0,0,LET_NOB
2468,5/16/23,20,117,9,126,4100,Corn,10,0,0,0,0,0,0,0,0,LET_NOB
2472,5/16/23,20,80,24,104,4095,Bean,10,0,10,0,0,0,0,0,0,STA_COL
2472,5/16/23,20,80,24,104,4091,Corn,8,0,0,0,0,1,0,0,0,STA_COL
2474,5/16/23,20,23,3,26,4101,Bean,7,0,3,0,0,0,0,0,0,STA_WIL
2484,5/15/23,20,0,3,3,4111,Bean,5,0,1,0,0,0,0,0,0,SMI_DOU
2484,5/15/23,20,0,3,3,4106,Corn,8,0,0,0,0,0,0,0,0,SMI_DOU
2490,5/15/23,20,3,2,5,4086,Bean,6,0,3,0,1,10,0,0,1,SMI_CAN
2490,5/15/23,20,3,2,5,4103,Corn,10,0,0,0,0,0,0,0,0,SMI_CAN
2496,5/15/23,20,1,0,1,4093,Bean,11,0,1,0,0,0,0,0,0,SMI_CRO
2496,5/15/23,20,1,0,1,4088,Corn,8,0,0,0,0,0,0,0,0,SMI_CRO
2502,5/15/23,20,0,1,1,4112,Bean,5,0,3,0,0,1,0,0,0,SMI_MCC
2502,5/15/23,20,0,1,1,4105,Corn,7,0,0,0,0,0,0,0,0,SMI_MCC
2508,5/15/23,20,0,0,0,4096,Bean,5,0,1,0,0,3,0,0,0,SMI_KEL
2508,5/15/23,20,0,0,0,4108,Corn,9,0,0,0,0,0,0,0,0,SMI_KEL
2514,5/15/23,20,8,1,9,4098,Bean,4,0,0,0,0,0,0,0,1,SMI_COB
2514,5/15/23,20,8,1,9,4092,Corn,10,0,1,0,0,0,0,0,0,SMI_COB
2520,5/15/23,20,8,2,10,4099,Bean,5,2,2,2,0,0,0,0,0,SMI_HOL
2520,5/15/23,20,8,2,10,4082,Corn,10,0,1,0,0,0,0,0,0,SMI_HOL
2526,5/15/23,20,1,2,3,5005,Bean,10,0,2,0,0,0,0,0,0,SMI_HOF
2526,5/15/23,20,1,2,3,4113,Corn,10,0,0,0,0,0,0,0,0,SMI_HOF
2532,5/15/23,20,6,5,11,4104,Bean,8,0,3,0,0,0,0,0,0,SMI_LAT
2532,5/15/23,20,6,5,11,4110,Corn,10,0,1,0,0,0,0,0,0,SMI_LAT
2538,5/15/23,20,6,3,9,4080,Bean,9,0,8,0,0,0,0,0,0,SMI_DUR
2538,5/15/23,20,6,3,9,4081,Corn,8,0,0,0,0,0,0,0,0,SMI_DUR
2544,5/15/23,20,6,9,15,4087,Bean,7,0,6,0,0,0,0,0,0,SMI_JOH
2544,5/15/23,20,6,9,15,4083,Corn,10,0,0,0,0,0,0,0,0,SMI_JOH
2550,5/15/23,20,6,1,7,4109,Bean,8,0,1,0,9,1,0,0,0,SMI_JOH_2
2550,5/15/23,20,6,1,7,4107,Corn,10,0,0,0,0,0,0,0,0,SMI_JOH_2
2606,5/17/23,20,26,22,48,4197,Bean,6,0,0,0,0,0,0,0,0,WIS_COO
2606,5/17/23,20,26,22,48,4196,Corn,4,0,0,0,0,0,0,0,0,WIS_COO
2610,5/17/23,20,0,0,0,4199,Corn,9,0,0,0,0,0,0,0,0,WIS_COO_2
2610,5/17/23,20,0,0,0,4198,Corn,4,0,1,0,0,0,0,0,0,WIS_COO_2
2614,5/19/23,20,0,4,4,4211,Bean,9,0,1,0,0,0,0,0,0,WIS_HIG
2614,5/19/23,20,0,4,4,4212,Corn,10,0,0,0,0,0,0,0,0,WIS_HIG
2618,5/5/23,18,14,7,21,3687,Bean,4,0,0,0,0,0,0,0,0,WIS_HIG
2618,5/5/23,18,14,7,21,3686,Corn,10,0,0,0,0,0,0,0,0,WIS_HIG
2620,5/19/23,20,15,19,34,4214,Bean,0,0,0,0,0,0,0,0,0,WIS_KEN
2620,5/19/23,20,15,19,34,4213,Corn,9,0,0,0,0,0,0,0,0,WIS_KEN
2634,5/23/23,21,50,19,69,4195,Bean,10,0,0,0,0,0,1,1,0,LET_TAB
2634,5/23/23,21,50,19,69,4194,Corn,10,0,0,0,0,0,0,0,0,LET_TAB
2682,5/26/23,21,5,7,12,4550,Bean,10,0,0,1,0,1,0,0,0,GAB_ALL
2682,5/26/23,21,5,7,12,4547,Bean,8,0,0,0,0,0,0,0,0,GAB_ALL
2686,5/26/23,21,15,21,36,4551,Bean,10,0,0,0,0,0,0,0,0,GAB_STE
2686,5/26/23,21,15,21,36,4552,Corn,10,0,0,0,0,0,0,0,0,GAB_STE
2690,5/26/23,21,36,6,42,4786,Bean,10,0,1,0,0,0,0,0,0,STA_SWE
2690,5/26/23,21,36,6,42,4785,Corn,9,0,0,0,0,0,0,0,0,STA_SWE
2696,5/31/23,22,38,31,69,4828,Bean,10,2,2,5,1,0,0,0,0,STA_HEM
2696,5/31/23,22,38,31,69,4827,Corn,10,0,0,0,0,0,0,0,0,STA_HEM
2698,5/31/23,22,16,10,26,4830,Bean,10,0,0,0,0,0,0,0,0,STA_HEM_2
2698,5/31/23,22,16,10,26,4829,Corn,10,0,3,0,0,0,0,0,0,STA_HEM_2
2712,5/26/23,21,2,4,6,4798,Bean,11,1,4,1,0,0,0,0,0,MIL_CHA
2712,5/26/23,21,2,4,6,4801,Corn,10,0,0,0,0,0,0,0,0,MIL_CHA
2714,5/26/23,21,46,42,88,4800,Bean,4,0,0,0,0,0,0,0,0,MIL_MCC
2714,5/26/23,21,46,42,88,4799,Corn,10,0,3,0,0,0,0,0,0,MIL_MCC
2716,5/26/23,21,17,14,31,4797,Bean,9,0,1,0,5,0,0,0,0,MIL_YOD
2716,5/26/23,21,17,14,31,4802,Corn,10,0,0,0,0,0,0,0,0,MIL_YOD
2736,5/17/23,20,40,1,41,4168,Bean,8,0,3,0,1,0,0,0,0,SEA_HOO
2736,5/17/23,20,40,1,41,4167,Corn,10,0,0,0,0,0,0,0,0,SEA_HOO
2740,5/31/23,22,22,15,37,4932,Bean,10,1,0,3,0,0,0,0,0,SEA_HOO
2740,5/31/23,22,22,15,37,4931,Bean,9,0,2,0,0,0,0,0,0,SEA_HOO
2762,5/23/23,21,17,14,31,4171,Bean,10,0,0,0,0,0,0,0,0,DIP_FLE
2762,5/23/23,21,17,14,31,4172,Corn,10,0,0,0,0,0,0,0,0,DIP_FLE
2776,6/1/23,22,115,22,137,4918,Bean,10,0,1,0,0,0,0,0,0,LET_NOB
2776,6/1/23,22,115,22,137,4921,Corn,10,0,2,0,0,0,0,0,0,LET_NOB
2778,5/30/23,22,0,1,1,4935,Bean,10,0,0,0,0,0,0,0,0,SMI_CRO
2778,5/30/23,22,0,1,1,4927,Corn,10,0,1,0,0,0,0,0,0,SMI_CRO
2780,5/30/23,22,14,6,20,4929,Bean,10,0,1,0,0,0,0,0,0,SMI_KEL
2780,5/30/23,22,14,6,20,4934,Corn,10,0,0,0,0,0,0,0,0,SMI_KEL
2782,5/31/23,22,136,130,266,4930,Bean,9,0,3,0,0,0,0,0,0,SMI_DUR
2782,5/31/23,22,136,130,266,4928,Corn,10,0,0,0,0,0,0,0,0,SMI_DUR
2784,5/30/23,22,10,7,17,4920,Bean,10,0,0,0,1,0,0,0,0,SMI_MCC
2784,5/30/23,22,10,7,17,4922,Corn,10,0,0,0,0,0,0,0,0,SMI_MCC
2786,5/31/23,22,14,28,42,4919,Bean,10,0,2,0,0,0,0,0,0,SMI_CAN
2786,5/31/23,22,14,28,42,4924,Corn,10,0,0,0,0,0,0,0,0,SMI_CAN
2788,5/30/23,22,0,1,1,4923,Bean,10,0,0,0,0,0,0,0,0,SMI_DOU
2788,5/30/23,22,0,1,1,4933,Corn,10,0,0,0,0,0,0,0,0,SMI_DOU
2790,5/31/23,22,3,0,3,4917,Bean,8,0,0,0,0,0,0,0,0,SMI_HOF
2790,5/31/23,22,3,0,3,4908,Corn,10,0,0,0,0,0,0,0,0,SMI_HOF
2792,5/30/23,22,9,0,9,4909,Bean,9,0,0,0,0,0,0,0,0,SMI_COB
2792,5/30/23,22,9,0,9,4910,Corn,10,0,0,0,0,0,0,0,0,SMI_COB
2794,5/30/23,22,21,6,27,4913,Bean,10,0,0,0,0,0,0,0,0,SMI_HOL
2794,5/30/23,22,21,6,27,4916,Corn,9,0,0,0,0,0,0,0,0,SMI_HOL
2796,5/31/23,22,20,1,21,4912,Bean,8,0,2,0,4,0,0,0,0,SMI_LAT
2796,5/31/23,22,20,1,21,4915,Corn,10,0,0,0,0,0,0,0,0,SMI_LAT
2798,5/31/23,22,2,4,6,4926,Bean,6,0,4,0,0,0,0,0,0,SMI_JOH
2798,5/31/23,22,2,4,6,4914,Corn,10,0,2,0,0,0,0,0,0,SMI_JOH
2800,5/31/23,22,33,24,57,4911,Bean,10,0,1,0,0,1,0,0,6,SMI_JOH_2
2800,5/31/23,22,33,24,57,4925,Corn,10,0,0,0,0,0,0,0,0,SMI_JOH_2
2818,5/31/23,22,19,2,21,5011,Bean,8,0,4,0,3,0,0,0,0,WIS_COO
2818,5/31/23,22,19,2,21,5012,Corn,10,0,1,0,0,0,0,0,0,WIS_COO
2822,5/31/23,22,1,2,3,5010,Bean,10,0,4,0,0,1,0,0,0,WIS_COO_2
2822,5/31/23,22,1,2,3,5009,Corn,6,0,0,0,0,0,0,0,0,WIS_COO_2
2826,6/2/23,22,0,2,2,5008,Corn,10,0,0,0,0,0,0,0,0,WIS_MEG
2830,6/2/23,22,2,0,2,5007,Bean,7,0,0,0,0,0,0,0,0,WIS_KEN
2898,6/13/23,24,0,1,1,5103,Bean,11,0,0,0,0,0,0,0,0,STA_WIL
2898,6/13/23,24,0,1,1,5108,Corn,10,0,0,0,0,0,0,0,0,STA_WIL
2900,6/13/23,24,11,11,22,5104,Corn,10,0,0,0,0,0,0,0,0,STA_COL
2952,6/9/23,23,6,2,8,5098,Bean,10,0,0,0,0,0,0,0,0,MIL_CHA
2952,6/9/23,23,6,2,8,5099,Corn,12,0,0,0,0,0,0,0,0,MIL_CHA
2958,6/9/23,23,32,12,44,5097,Bean,9,0,1,0,0,0,0,0,1,MIL_MCC
2958,6/9/23,23,32,12,44,5100,Corn,10,0,0,0,0,0,0,0,0,MIL_MCC
2964,6/9/23,23,55,17,72,5095,Bean,8,0,2,0,0,0,0,0,0,MIL_YOD
2964,6/9/23,23,55,17,72,5096,Corn,10,0,0,0,0,0,0,0,0,MIL_YOD
2992,6/13/23,24,4,0,4,5115,Bean,10,0,4,2,0,0,0,0,0,SMI_JOH_2
2992,6/13/23,24,4,0,4,5116,Corn,10,0,0,0,0,0,0,0,0,SMI_JOH_2
2996,6/14/23,24,34,27,61,5112,Bean,10,0,0,0,0,0,0,0,0,SMI_HOF
2996,6/14/23,24,34,27,61,5111,Corn,10,0,0,0,0,0,0,0,0,SMI_HOF
2998,6/12/23,24,59,44,103,5109,Bean,10,0,2,0,0,0,0,0,0,SMI_CAN
2998,6/12/23,24,59,44,103,5110,Corn,10,0,0,0,0,1,0,0,0,SMI_CAN
6006,6/12/23,24,69,13,82,5117,Bean,10,0,2,0,0,0,0,0,0,SMI_HOL
6006,6/12/23,24,69,13,82,5118,Corn,10,0,1,0,0,0,0,0,0,SMI_HOL
6008,6/12/23,24,51,87,138,5113,Bean,10,0,4,0,0,0,0,0,0,SMI_KEL
6008,6/12/23,24,51,87,138,5114,Corn,10,0,0,0,0,0,0,0,0,SMI_KEL
