Site_ID_and_buffer,Site_ID,buffer_scale,Corn,Open Water,Sweet Corn,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grass/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Barley,Broccoli,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Spring Wheat,Winter Wheat,Blueberries,Cabbage,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Othe rHay/Non Alfalfa,Buckwheat,Sorghum,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Soybeans,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Sunflower,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears
PAN_LET-500,PAN_LET,500,461,1,0,37,5,4,3,4,90,0,24,0,42,5,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,141,11,0,0,0,4,3,0,0,1,7,0,0,0,0,1,0,0,2,0,3,0,0,2,0
WIS_BRU-500,WIS_BRU,500,174,30,3,43,11,5,0,1,127,4,22,0,242,95,4,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,2,3,0,0,13,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,24,0,0,3,0,0,0
WIS_WAL-500,WIS_WAL,500,51,0,4,51,19,10,2,0,430,15,111,0,90,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
EPN_TRIAL-500,EPN_TRIAL,500,3,0,1,137,54,30,12,0,147,0,18,0,255,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,22,0,0,1,0,0,0
WIS_COO_2-500,WIS_COO_2,500,44,1,0,21,1,0,0,0,84,0,1,0,301,13,1,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,1,1,0,0,127,76,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,4,0,0,0
WIS_KEN-500,WIS_KEN,500,5,52,0,94,108,64,21,1,228,2,19,1,145,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,66,0,0,0
WIS_COO_1-500,WIS_COO_1,500,73,2,1,22,52,14,0,1,294,2,18,3,104,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,8,0,0,0,0,0,0
SMI_HOL-500,SMI_HOL,500,402,54,0,26,8,0,0,4,123,12,100,0,26,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SMI_KEL-500,SMI_KEL,500,54,0,0,46,12,2,0,0,277,17,48,0,68,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,168,0,0,0,2,0,0,0,0,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SMI_DOU-500,SMI_DOU,500,69,0,0,69,16,3,0,0,147,9,9,0,181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,309,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_DUR-500,SMI_DUR,500,273,1,1,41,17,7,1,0,220,16,8,3,98,98,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,42,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0
SMI_JOH_1-500,SMI_JOH_1,500,236,0,0,33,12,11,5,0,193,3,9,0,158,24,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,97,60,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_JOH_2-500,SMI_JOH_2,500,198,1,0,51,44,28,26,20,216,43,28,7,127,58,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SMI_MCC-500,SMI_MCC,500,117,0,0,39,13,0,0,0,223,0,2,0,173,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,267,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_CAN-500,SMI_CAN,500,185,2,0,47,22,29,8,7,264,0,5,3,138,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,61,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMI_HOF-500,SMI_HOF,500,201,1,0,18,27,12,2,33,122,4,37,1,237,28,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,87,33,0,1,0,2,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SMI_CRO-500,SMI_CRO,500,348,0,0,0,0,0,0,0,23,15,4,0,52,9,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,96,62,0,0,23,145,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEG_MCM_W7-500,DEG_MCM_W7,500,351,0,0,39,16,3,0,0,76,2,3,1,121,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,193,51,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DEG_DIE_SH-500,DEG_DIE_SH,500,182,1,0,39,23,10,0,0,180,1,3,1,304,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DEG_EVA_PGREEN-500,DEG_EVA_PGREEN,500,94,0,0,24,14,10,1,8,74,11,34,2,321,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
DEG_DIE_100-500,DEG_DIE_100,500,118,0,3,26,20,4,0,1,223,66,57,2,79,28,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,18,19,0,0,0,1,0,0,0,0,168,0,0,0,0,1,0,0,2,0,0,0,0,0,0
DEG_STR_1-500,DEG_STR_1,500,128,0,0,47,2,0,0,0,533,9,22,2,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEG_DIE_ERSWC-500,DEG_DIE_ERSWC,500,227,1,2,52,22,3,0,0,185,17,27,0,137,18,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,17,55,0,0,0,0,0,0,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DEG_HAI_ACROSSROAD-500,DEG_HAI_ACROSSROAD,500,147,1,1,31,30,11,1,0,51,4,7,0,384,18,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,72,0,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DEG_MCM_CH-500,DEG_MCM_CH,500,306,4,0,49,14,2,0,0,69,0,5,1,206,6,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,62,88,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GORHAM-500,GORHAM,500,497,0,13,32,6,0,1,0,127,0,14,1,66,49,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,11,6,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WICKHAM-500,WICKHAM,500,137,0,0,29,15,1,0,0,22,0,1,0,68,51,0,0,0,0,0,0,0,0,0,0,0,27,0,0,115,0,0,0,0,0,8,5,0,0,0,1,43,0,0,0,337,0,0,1,0,0,0,0,1,0,0,0,2,0,0
ONE_OAK_1-500,ONE_OAK_1,500,292,0,0,53,16,14,2,1,85,1,8,1,174,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,94,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ONE_ADO_1-500,ONE_ADO_1,500,17,0,0,49,2,1,0,0,558,19,9,0,55,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONE_AKI_1-500,ONE_AKI_1,500,582,0,0,33,9,1,3,0,6,2,0,2,140,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ONE_MCK_1-500,ONE_MCK_1,500,219,82,0,53,34,12,4,1,101,8,3,3,199,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ONE_ORT_1-500,ONE_ORT_1,500,116,102,0,94,65,36,11,1,148,5,7,3,185,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ONE_STA_1-500,ONE_STA_1,500,658,0,0,38,15,8,3,3,64,1,2,0,18,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,3,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ONE_HUN_1-500,ONE_HUN_1,500,38,0,0,79,6,0,0,1,371,15,9,3,192,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,76,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
ONE_CHA_1-500,ONE_CHA_1,500,248,0,0,24,25,8,0,0,4,0,1,1,430,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,36,64,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0
PED1-500,PED1,500,247,62,0,57,29,9,0,2,13,0,0,0,68,4,5,0,0,0,0,0,0,0,0,1,0,0,83,0,14,0,2,1,0,1,177,23,0,0,0,0,0,0,0,0,54,0,0,0,0,2,0,0,8,0,0,0,3,0,0
PED2-500,PED2,500,255,91,2,48,17,6,0,2,73,0,6,1,74,35,6,0,0,0,0,0,0,0,0,1,0,0,103,0,0,0,3,1,0,1,69,14,0,0,0,0,0,0,0,0,41,0,0,0,0,2,0,0,13,0,0,0,3,0,0
PED3-500,PED3,500,312,1,10,43,29,3,0,0,131,0,0,1,114,15,2,1,0,0,0,19,0,0,0,0,0,0,2,0,1,0,7,0,0,0,69,17,0,0,0,1,0,0,0,0,60,0,0,18,1,0,0,0,5,0,0,0,7,1,0
GAT1-500,GAT1,500,184,1,0,2,0,0,0,0,206,0,8,0,58,100,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,180,22,0,1,0,46,0,0,0,0,28,0,0,0,0,1,0,0,7,0,0,1,16,3,0
GAT2-500,GAT2,500,212,0,1,46,45,11,0,0,21,0,7,0,158,33,0,1,0,0,0,0,0,0,0,1,0,0,26,0,1,0,0,3,0,0,154,34,0,0,0,4,1,0,0,0,87,0,0,0,0,4,0,0,13,0,0,2,3,1,0
GAT3-500,GAT3,500,204,0,0,31,3,1,0,0,134,0,0,0,104,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,252,26,0,1,0,4,0,0,0,0,61,0,0,0,0,1,0,0,4,0,0,3,16,5,0
MUS1-500,MUS1,500,222,14,0,17,39,14,1,0,135,1,2,0,48,4,2,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,1,0,0,0,141,15,0,0,0,1,0,0,0,0,148,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MUS2-500,MUS2,500,212,15,0,18,37,13,1,0,132,1,3,0,47,5,2,0,0,0,0,0,0,0,0,1,0,0,63,0,0,0,1,0,0,0,142,15,0,0,0,1,0,0,0,0,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WES-500,WES,500,7,0,0,76,55,17,6,0,81,2,31,8,487,7,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,14,33,1,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,1,0,0,0,0,0,0
FRE1-500,FRE1,500,54,0,2,34,53,6,0,1,61,2,22,1,288,39,3,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,3,0,0,93,169,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,1,0,0
FRE2-500,FRE2,500,68,0,4,30,51,14,4,0,48,0,15,1,297,13,1,2,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,8,0,0,103,137,0,0,0,3,0,0,0,0,50,0,0,0,0,9,0,0,2,0,0,0,3,0,0
MUD-500,MUD,500,187,0,0,44,4,0,0,0,256,12,174,1,111,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,21,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
REM1-500,REM1,500,47,0,15,60,26,10,1,1,142,0,9,3,292,12,1,2,0,0,0,0,0,3,0,0,0,0,2,0,4,0,0,5,0,0,70,40,0,8,0,0,0,0,0,0,107,0,0,0,0,4,0,0,2,0,0,0,1,0,0
REM2-500,REM2,500,133,0,3,50,17,5,0,1,143,4,24,3,200,8,0,1,0,1,0,0,0,0,0,0,0,0,48,0,1,0,0,2,0,0,129,65,0,2,0,0,0,0,0,0,13,0,0,0,0,7,0,0,2,0,0,0,3,0,0
SWE-500,SWE,500,117,2,10,37,109,58,11,2,52,0,1,0,114,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,2,0,104,41,1,2,0,1,0,2,0,0,180,0,0,0,0,0,0,0,2,0,0,0,3,0,0
STI-500,STI,500,90,0,3,65,57,26,9,0,78,0,17,2,281,8,0,4,0,1,0,0,0,0,0,0,0,0,47,0,0,0,7,6,0,0,39,34,0,1,0,1,0,0,0,0,86,0,0,0,0,1,0,0,0,0,0,0,4,0,0
YOU-500,YOU,500,3,0,0,58,36,7,0,0,306,11,156,0,235,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HAT-500,HAT,500,79,0,0,43,28,11,14,10,287,55,64,1,183,38,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,17,23,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MOO-500,MOO,500,248,0,0,31,16,4,0,0,85,10,27,0,176,8,1,1,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,46,0,0,95,26,0,0,0,1,0,0,0,0,62,0,0,0,0,4,0,0,0,0,0,0,0,0,0
URI-500,URI,500,207,12,0,11,44,14,1,0,120,2,2,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0,199,18,0,0,0,1,0,0,0,0,142,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIL_HUM-500,MIL_HUM,500,225,0,0,26,31,20,12,0,63,0,3,1,40,1,0,1,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,102,17,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STA_LOT-1000,STA_LOT,1000,599,1,3,114,65,30,3,7,179,0,10,0,280,60,0,1,0,0,0,0,0,0,0,0,1,0,18,0,0,0,13,0,0,0,143,327,0,0,0,0,2,0,0,0,1607,0,0,0,0,0,0,0,4,0,0,0,0,0,0
STA_PAD-1000,STA_PAD,1000,907,1,0,398,318,31,6,1,353,1,55,0,617,108,3,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,1,0,0,0,26,21,0,0,0,0,0,0,0,0,148,0,0,0,0,1,0,0,10,1,0,0,0,1,0
STA_CRA-1000,STA_CRA,1000,180,0,0,163,42,11,2,5,650,7,92,2,498,388,8,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,1,4,0,0,192,161,0,0,0,106,0,0,0,0,358,0,0,0,0,2,0,0,8,2,0,14,3,2,0
POV_DUN-1000,POV_DUN,1000,10,4,0,315,105,26,5,6,960,16,577,8,913,100,11,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,65,319,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,5,0,0,0,0,1,1
DEG_FES_OVO4-1000,DEG_FES_OVO4,1000,962,0,0,151,89,12,1,0,899,13,39,1,273,37,0,3,0,0,0,0,0,0,0,0,0,0,209,0,0,0,1,0,0,0,623,142,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0
DEG_FOU_ELM-1000,DEG_FOU_ELM,1000,1336,1,0,181,124,6,1,1,717,26,99,4,401,47,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,289,217,0,0,0,1,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,2,0
MIL_MCC-1000,MIL_MCC,1000,496,0,1,302,115,8,2,0,1050,36,34,5,720,106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,246,74,0,0,0,0,0,0,0,0,265,0,0,0,0,1,0,0,2,0,0,0,0,0,0
MIL_YOD-1000,MIL_YOD,1000,480,1,0,149,43,13,0,2,1071,12,12,5,537,22,2,2,0,0,0,0,0,0,0,0,0,0,119,0,0,0,1,25,0,0,619,137,1,4,0,0,0,0,0,0,207,0,0,0,0,3,0,0,0,0,0,1,0,0,0
MIL_CHA-1000,MIL_CHA,1000,702,2,1,163,51,17,3,1,692,40,159,3,410,56,3,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,609,80,0,0,0,16,0,0,0,0,419,0,0,0,0,0,0,0,30,0,0,0,0,0,0
GAB_JUS/GAB_PET-1000,GAB_JUS/GAB_PET,1000,191,54,0,112,86,16,3,84,242,92,918,3,515,451,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,501,55,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GAB_STA_1-1000,GAB_STA_1,1000,635,0,0,193,132,41,3,3,652,40,554,7,592,261,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,267,73,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GAB_JON-1000,GAB_JON,1000,101,6,0,140,66,44,7,3,936,23,73,2,431,393,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,0,0,0,0,0,0,0,0,1142,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GAB_KUK-1000,GAB_KUK,1000,110,3,0,176,159,47,0,0,1730,51,74,3,226,175,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,12,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GAB_STO-1000,GAB_STO,1000,405,174,10,48,103,65,10,157,430,4,12,2,1267,172,27,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,8,34,0,0,323,145,0,1,0,0,0,0,0,0,47,0,0,0,0,2,0,0,3,0,0,9,0,0,0
