,Name,Data Collector,Site ID,Crop,Planting Date,Lat,Long,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Corn_Prop,Soybean_Prop,Forest_Prop
25,MIL_ZIT_1,Katelyn Miller,MIL_ZIT_1,Soybean,6/23/25,42.6886,-78.8081,1051,1,737,0,0,0,92,0,2,153,866,0,0,2,0,0,4,0,2,0,2,0,49,0,0,8,0,0,0,1,758,217,30,14,4,956,11,392,0,975,80,0,9,1,0,0,0,0,0,6380.8805,2064,0.32346633,1443,0.226144339,975,0.152800229,0.164710811,0.115501301,0.212980011
26,MIL_ZIT_2,Katelyn Miller,MIL_ZIT_2,Field Corn,6/3/25,42.6797,-78.8072,1606,1,996,3,0,0,27,0,6,454,507,0,0,1,0,0,0,3,0,0,2,0,119,0,0,9,0,0,0,0,324,115,18,3,1,1118,29,371,0,679,19,3,4,0,0,0,0,0,0,6381.8725,3112,0.487631177,1541,0.241465181,679,0.106395106,0.25165028,0.156067048,0.237861223
27,MIL_ZIT_3,Katelyn Miller,MIL_ZIT_3,Field Corn,6/23/25,42.6886,-78.8081,1051,1,737,0,0,0,92,0,2,153,866,0,0,2,0,0,4,0,2,0,2,0,49,0,0,8,0,0,0,1,758,217,30,14,4,956,11,392,0,975,80,0,9,1,0,0,0,0,0,6380.8805,2064,0.32346633,1443,0.226144339,975,0.152800229,0.164710811,0.115501301,0.212980011
28,SMI_ARN_1,Erik Smith,SMI_ARN_1,Field Corn,5/13/25,42.983,-74.0357,472,0,32,0,0,0,0,8,0,832,633,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,85,208,119,31,0,4,929,623,720,6,870,766,144,0,0,0,0,0,0,0,6452.9473,1344,0.208276922,3192,0.494657689,870,0.134822115,0.073144871,0.004958974,0.352087177
29,SMI_ARN_2,Erik Smith,SMI_ARN_2,Soybean,5/28/25,42.9702,-74.0259,302,0,123,0,0,0,9,6,12,894,597,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,29,95,218,64,10,3,844,332,543,9,1825,550,3,0,0,0,0,0,0,0,6442.9443,1350,0.209531534,2284,0.354496313,1825,0.283255592,0.04687298,0.019090651,0.266803486
30,SMI_BUR,Erik Smith,SMI_BUR,Field Corn,5/27/25,43.2314,-75.0354,374,0,47,0,2,0,5,0,6,132,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,97,71,3,3,3383,619,426,5,675,88,1,1,0,0,0,0,0,0,6497.196,567,0.087268415,4525,0.696454286,675,0.103890971,0.057563293,0.00723389,0.681524769
31,SMI_COB,Erik Smith,SMI_COB,Field Corn,5/14/25,42.6638,-74.5153,735,3,18,0,0,0,5,1,2,1187,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,365,384,195,61,7,1239,58,270,13,1344,237,13,0,0,0,0,0,0,0,6383.1485,1951,0.305648537,1837,0.287789012,1344,0.2105544,0.115146937,0.002819925,0.245490137
32,SMI_CON_1,Erik Smith,SMI_CON_1,Soybean,6/25/25,42.8264,-74.5775,1590,0,483,0,0,0,0,16,10,683,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,173,102,35,15,1,923,24,230,4,1020,31,2,0,0,0,0,0,0,0,6414.2489,2782,0.433721866,1215,0.189422023,1020,0.159020957,0.24788561,0.0753011,0.183497712
33,SMI_CON_2,Erik Smith,SMI_CON_2,Field Corn,5/20/25,42.8393,-74.6135,479,0,50,0,0,0,0,2,1,119,2398,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,184,159,47,8,0,636,11,50,0,2101,193,5,0,0,0,0,0,0,0,6414.2258,651,0.101493153,895,0.139533597,2101,0.327553171,0.074677758,0.007795173,0.108664712
34,SMI_DOU,Erik Smith,SMI_DOU,Soybean,5/13/25,43.053,-74.8352,310,0,324,0,0,0,1,2,25,560,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,263,65,16,2,0,1073,25,37,4,1627,19,15,3,0,0,0,0,0,0,6464.2178,1225,0.189504753,1173,0.18146047,1627,0.251693252,0.047956305,0.050122074,0.175581955
35,SMI_HOF_1,Erik Smith,SMI_HOF_1,Field Corn,6/19/25,42.3444,-75.7133,631,0,190,0,1,0,10,0,2,276,157,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,138,293,58,11,0,35,1108,312,1498,19,1328,270,12,0,0,0,0,0,0,0,6317.6311,1112,0.176015342,3254,0.515066478,1328,0.210205373,0.099879209,0.030074564,0.461881986
36,SMI_HOF_2,Erik Smith,SMI_HOF_2,Soybean,6/21/25,42.751,-74.571,1149,0,147,0,0,0,0,0,0,1353,285,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,190,69,23,2,0,1501,254,155,0,813,472,2,0,0,0,0,0,0,0,6397.18,2649,0.414088708,2384,0.372664205,813,0.127087248,0.179610391,0.022978875,0.298569057
37,SMI_LAT,Erik Smith,SMI_LAT,Field Corn,6/5/25,42.7094,-75.5684,345,0,30,0,0,0,2,0,3,482,481,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,172,37,1,3,0,1953,452,505,6,1615,322,4,0,0,0,0,0,0,0,6389.141,864,0.135229446,3242,0.507423455,1615,0.252772634,0.053997869,0.004695467,0.455460288
38,SMI_MCC,Erik Smith,SMI_MCC,Field Corn,6/3/25,43.1153,-74.8422,547,0,448,0,0,0,0,1,1,257,1545,0,0,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,2,213,108,21,4,0,1447,9,26,5,1785,81,0,0,0,0,0,0,0,0,6477.2731,1258,0.194217533,1568,0.242077179,1785,0.275578932,0.084449118,0.069164908,0.228799987
39,STA_BLO,Mike Stanyard,STA_BLO,Field Corn,6/8/25,42.8921,-77.5712,1687,0,39,0,0,0,42,0,0,146,131,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,99,325,37,13,3,0,1426,4,103,10,1823,551,18,0,0,0,0,0,0,0,6427.3209,1915,0.297946847,2112,0.328597254,1823,0.283632952,0.26247328,0.006067847,0.238513064
40,STA_FRE,Mike Stanyard,STA_FRE,Soybean,6/4/25,42.8069,-76.8167,465,1,3093,0,6,0,623,0,48,248,200,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88,0,0,0,3,198,239,59,2,7,200,0,20,4,853,81,0,0,0,0,0,0,2,1,6410.9902,4579,0.71424224,312,0.048666429,853,0.133052769,0.072531697,0.482452773,0.034316072
41,STA_KRE,Mike Stanyard,STA_KRE,Field Corn,6/4/25,43.0494,-77.5666,242,0,79,3,0,0,55,2,14,135,74,0,0,28,1,0,0,0,1,0,2,0,14,0,2,2,2,0,0,142,815,735,148,7,5,1399,30,257,13,1470,695,122,2,0,0,0,0,0,0,6461.4828,570,0.088215046,2521,0.390158123,1470,0.22750196,0.037452704,0.012226296,0.260930819
42,STA_MAC,Mike Stanyard,STA_MAC,Field Corn,6/17/25,42.7642,-77.7358,194,3,650,0,0,0,508,0,42,1400,139,0,0,37,0,0,0,0,2,0,1,0,3,0,0,0,0,0,2,295,258,122,40,0,4,2085,4,128,1,420,48,13,34,0,0,1,0,0,0,6399.0284,2872,0.448818136,2283,0.356772913,420,0.065634964,0.030317103,0.101577921,0.346458847
43,STA_MAR,Mike Stanyard,STA_MAR,Field Corn,6/3/25,42.7282,-77.0414,2082,2,1535,0,0,0,742,1,5,1368,42,0,0,0,1,0,0,0,0,0,2,0,0,0,0,17,2,0,0,0,198,39,8,1,1,138,0,3,0,194,35,1,3,0,1,0,0,0,3,6389.6868,5764,0.902078643,178,0.02785739,194,0.030361426,0.325837567,0.240230867,0.022066809
44,STA_REE_1,Mike Stanyard,STA_REE_1,Soybean,5/28/25,43.1297,-76.7792,1145,0,1039,0,0,0,639,1,2,87,191,0,0,0,0,0,0,0,0,0,1,0,6,0,31,0,6,0,0,8,357,28,3,1,6,812,3,25,2,567,1492,50,1,0,2,0,0,2,2,6475.3505,2958,0.456809249,2390,0.36909199,567,0.087562828,0.176824405,0.160454635,0.129722708
45,STA_REE_2,Mike Stanyard,STA_REE_2,Soybean,5/28/25,43.097,-76.7868,723,0,498,0,0,0,712,0,1,63,63,0,0,0,0,0,0,0,0,0,3,0,2,0,9,0,0,0,0,30,412,41,8,0,0,1304,24,68,0,422,1910,214,0,0,0,0,0,0,0,6473.3102,2009,0.310351264,3520,0.543771253,422,0.065190758,0.11168938,0.076931274,0.215654736
46,STA_STA,Mike Stanyard,STA_STA,Field Corn,5/20/25,43.1239,-78.2148,805,0,1223,1,0,0,8,0,4,36,15,0,2,154,1,0,116,2,0,0,0,2,1,0,2,0,2,0,3,19,129,53,21,0,0,315,13,15,2,194,3286,62,19,2,0,2,0,0,0,6473.9091,2381,0.367783972,3693,0.570443598,194,0.029966439,0.124345274,0.188912137,0.052981899
47,STA_WIL,Mike Stanyard,STA_WIL,Field Corn,5/12/25,43.0647,-76.8254,1815,0,925,0,0,0,10,0,0,32,36,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,236,400,118,31,3,21,1202,17,94,2,386,1120,48,0,0,0,0,0,0,0,6468.2393,2786,0.430719995,2504,0.38712235,386,0.059676209,0.280601863,0.143006459,0.202991871
48,STA_WOO,Mike Stanyard,STA_WOO,Field Corn,5/15/25,43.3127,-78.3658,1453,0,546,0,0,0,6,0,22,412,56,0,0,296,67,0,0,0,14,0,0,0,13,1,1266,12,2,0,0,2,256,182,25,2,0,766,0,75,0,327,309,1,0,439,0,0,0,0,3,6517.9469,4539,0.696384931,1151,0.176589349,327,0.050169172,0.222922958,0.083768709,0.12902836
