Date,Farm,Region,Temp,Weather,Non or Insecticide,Active Ingredients,Calamosternus granarius,Colobopterus erraticus, Aphodius fimetarius/pedellus ,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Teuchestes fossor,Labarrus pseudolividus/lividus,Blackburneus stercorosus,Pseudagolius bicolor,Eupleurus subterraneus,Onthophagus taurus ,Onthophagus pennsylvanicus,Onthophagus hecate ,Histeridae ,Hydrophilidae,Staphylinidae,Scarabaeidae,Horn_Flies,Face_Flies,GPS
5/26/22,Rugenstein Family Farm,Northwest,80,Sunshine,Insecticide,Diflubenzuron,8,4,,,,,,,,,,,,,,,3,,12,0,3,"43.06299375705573, -77.30374234638641"
6/2/22,Rugenstein Family Farm,Northwest,80,Sunshine,Insecticide,Diflubenzuron,,3,,,,,,,,,,,,,,1,15,4,3,0,3,"43.06299375705573, -77.30374234638641"
6/10/22,Rugenstein Family Farm,Northwest,66,Sunshine,Insecticide,Diflubenzuron,,2,,,,,,,,,,,,,,,14,,2,29,7,"43.06299375705573, -77.30374234638641"
6/17/22,Rugenstein Family Farm,Northwest,76,Sunshine,Insecticide,Diflubenzuron,,2,,,,,,,,,,,,,,,17,,2,9,5,"43.06299375705573, -77.30374234638641"
6/24/22,Rugenstein Family Farm,Northwest,23,Sunshine,Insecticide,Diflubenzuron,1,,6,,,,,,,,,,,,,,2,1,7,,,"43.06299375705573, -77.30374234638641"
6/29/22,Rugenstein Family Farm,Northwest,74,Sunshine,Insecticide,Diflubenzuron,,4,4,,,,,,,,,,,,,1,26,,8,25,15,"43.06299375705573, -77.30374234638641"
7/6/22,Rugenstein Family Farm,Northwest,66,Cloudy,Insecticide,Diflubenzuron,1,4,20,1,,,,,,,,,,,,2,21,,26,25,14,"43.06299375705573, -77.30374234638641"
7/14/22,Rugenstein Family Farm,Northwest,75,Sunshine,Insecticide,Diflubenzuron,,21,,,,,,,,,,,,,,2,10,,21,12,13,"43.06299375705573, -77.30374234638641"
7/21/22,Rugenstein Family Farm,Northwest,80,Cloudy,Insecticide,Diflubenzuron,3,,,,,,,,,,,,,,,,18,,3,4,5,"43.06299375705573, -77.30374234638641"
7/28/22,Rugenstein Family Farm,Northwest,80,Cloudy,Insecticide,Diflubenzuron,,,,,,,,,,,,,1,,,,5,,1,12,5,"43.06299375705573, -77.30374234638641"
8/4/22,Rugenstein Family Farm,Northwest,80,Sunshine,Insecticide,Diflubenzuron,,,,,,,,,,,,,,,,,17,,0,13,8,"43.06299375705573, -77.30374234638641"
8/11/22,Rugenstein Family Farm,Northwest,76,Sunshine,Insecticide,Diflubenzuron,,,,3,,,,,,,,,1,,,1,11,,4,14,7,"43.06299375705573, -77.30374234638641"
8/18/22,Rugenstein Family Farm,Northwest,80,Cloudy,Insecticide,Diflubenzuron,,,,2,,,,,,1,,,2,,,1,4,1,5,,,"43.06299375705573, -77.30374234638641"
8/25/22,Rugenstein Family Farm,Northwest,76,Sunshine,Insecticide,Diflubenzuron,,,,1,,,,,,,,,1,,,,14,2,2,18,14,"43.06299375705573, -77.30374234638641"
9/1/22,Rugenstein Family Farm,Northwest,66,Sunshine,Insecticide,Diflubenzuron,,,,2,,,,,,,,,,,,,13,,2,20,16,"43.06299375705573, -77.30374234638641"
9/8/22,Rugenstein Family Farm,Northwest,48,Cloudy,Insecticide,Diflubenzuron,,,,,,,,,,,,,,,,1,2,,0,,,"43.06299375705573, -77.30374234638641"
9/15/22,Rugenstein Family Farm,Northwest,48,Cloudy,Insecticide,Diflubenzuron,,,1,,,,,,,,,,,,,,3,,1,0,0,"43.06299375705573, -77.30374234638641"
9/22/22,Rugenstein Family Farm,Northwest,50,Sunshine,Insecticide,Diflubenzuron,,,1,,,,,,,,,,,,,,11,,1,0,0,"43.06299375705573, -77.30374234638641"
9/29/22,Rugenstein Family Farm,Northwest,50,Sunshine,Insecticide,Diflubenzuron,,,,,,,,,,,,,,,,,2,,0,0,0,"43.06299375705573, -77.30374234638641"
5/5/22,Shephard farm,Catskills,65,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,,2,2,0,0,0,"42.322393, -74.891982"
5/12/22,Shephard farm,Catskills,70,Sunshine,Insecticide,Tetrachlorvinphos,1,,,,,,,,,,,,,,,,2,,1,0.2,0,"42.322393, -74.891982"
5/19/22,Shephard farm,Catskills,55,Rain,Insecticide,Tetrachlorvinphos,1,4,,,,,,,,,,,,,,,7,,5,0,0,"42.322393, -74.891982"
5/26/22,Shephard farm,Catskills,60,Sunshine,Insecticide,Tetrachlorvinphos,,1,,,,,,,,,,,,,,,6,,1,31,4,"42.322393, -74.891982"
6/2/22,Shephard farm,Catskills,70,Cloudy,Insecticide,Tetrachlorvinphos,2,17,1,,,,,,,,,,,,,,23,1,20,31,4,"42.322393, -74.891982"
6/10/22,Shephard farm,Catskills,75,Sunshine,Insecticide,Tetrachlorvinphos,,1,,,,,,,,,,,,,,,7,,1,8,8,"42.322393, -74.891982"
6/16/22,Shephard farm,Catskills,65,Cloudy,Insecticide,Tetrachlorvinphos,,,,,1,,,,,,,,,,,,16,,1,22,21,"42.322393, -74.891982"
6/23/22,Shephard farm,Catskills,70,Sunshine,Insecticide,Tetrachlorvinphos,,,,4,,,,2,,,,,,,,1,17,4,6,5,13,"42.322393, -74.891982"
6/30/22,Shephard farm,Catskills,80,Sunshine,Insecticide,Tetrachlorvinphos,,3,,8,,,,,,,,,,,,1,3,2,11,114,9,"42.322393, -74.891982"
7/8/22,Shephard farm,Catskills,80,Sunshine,Insecticide,Tetrachlorvinphos,,24,1,,,,,,,,,,,,,,1,17,25,54,23,"42.322393, -74.891982"
7/15/22,Shephard farm,Catskills,75,Sunshine,Insecticide,Tetrachlorvinphos,,22,2,,,,,,,,,,1,,,,20,,25,54,23,"42.322393, -74.891982"
7/21/22,Shephard farm,Catskills,78,Sunshine,Insecticide,Tetrachlorvinphos,,28,10,9,,1,,,,,,,,,,,88,9,48,15,10,"42.322393, -74.891982"
7/28/22,Shephard farm,Catskills,70,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,1,,,,,,,9,,1,7,8,"42.322393, -74.891982"
8/4/22,Shephard farm,Catskills,70,Sunshine,Insecticide,Tetrachlorvinphos,,,1,1,,,,,,,,,,,,,43,3,2,7,8,"42.322393, -74.891982"
8/11/22,Shephard farm,Catskills,80,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,,2,,0,21,13,"42.322393, -74.891982"
8/19/22,Shephard farm,Catskills,80,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,,4,2,0,60,30,"42.322393, -74.891982"
8/25/22,Shephard farm,Catskills,80,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,,15,1,0,60,26,"42.322393, -74.891982"
9/1/22,Shephard farm,Catskills,60,Sunshine,Insecticide,Tetrachlorvinphos,,,,1,,,,,,,,,,,,,16,5,1,65,20,"42.322393, -74.891982"
9/7/22,Shephard farm,Catskills,65,Cloudy,Insecticide,Tetrachlorvinphos,,,,,1,,,,,,,,,,,,,,1,180,20,"42.322393, -74.891982"
9/15/22,Shephard farm,Catskills,53,Cloudy,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,1,,1,,16,1,2,44,10,"42.322393, -74.891982"
9/22/22,Shephard farm,Catskills,49,Cloudy,Insecticide,Tetrachlorvinphos,,,3,,,,,,,,,,,,,,14,2,3,10,0,"42.322393, -74.891982"
9/29/22,Shephard farm,Catskills,50,Sunshine,Insecticide,Tetrachlorvinphos,,,,,,,,,,,,,,,,,,,0,6,3,"42.322393, -74.891982"
5/10/22,Wallbridge,Mid_Hudson,75,Sunshine,Insecticide,Diflubenzuron,,1,,,,,,,,,,,,,,,,,1,0,0,"41.774997612249, -73.6515655461982"
5/18/22,Wallbridge,Mid_Hudson,75,Sunshine,Insecticide,Diflubenzuron,,2,,,,,,2,,,,,,,,,24,,4,1,15,"41.774997612249, -73.6515655461982"
5/26/22,Wallbridge,Mid_Hudson,65,Sunshine,Insecticide,Diflubenzuron,,2,,12,,,,,,,,,,,,2,31,,14,32,10,"41.774997612249, -73.6515655461982"
6/1/22,Wallbridge,Mid_Hudson,71,Cloudy,Insecticide,Diflubenzuron,1,18,,7,,,,,,,,,,,,1,31,1,26,44,91,"41.774997612249, -73.6515655461982"
6/6/22,Wallbridge,Mid_Hudson,80,Sunshine,Insecticide,Diflubenzuron,,,,5,,,,,,,,,,1,,,5,1,6,91,45,"41.774997612249, -73.6515655461982"
6/13/22,Wallbridge,Mid_Hudson,75,Cloudy,Insecticide,Diflubenzuron,2,,,,,,,,,,,,,,,4,22,2,2,95,35,"41.774997612249, -73.6515655461982"
6/21/22,Wallbridge,Mid_Hudson,78,Sunshine,Insecticide,Diflubenzuron,,21,,,,,,,,,,,,,,3,14,7,21,,,"41.774997612249, -73.6515655461982"
6/30/22,Wallbridge,Mid_Hudson,80,Sunshine,Insecticide,Diflubenzuron,,36,,13,,,,,,,,,3,,,,28,10,52,,,"41.774997612249, -73.6515655461982"
7/5/22,Wallbridge,Mid_Hudson,83,Sunshine,Insecticide,Diflubenzuron,,31,1,,,,,,,,,,,,,,32,3,32,,,"41.774997612249, -73.6515655461982"
7/11/22,Wallbridge,Mid_Hudson,78,Sunshine,Insecticide,Diflubenzuron,,39,,4,,,,,,,,,,,,,58,,43,92,36,"41.774997612249, -73.6515655461982"
7/19/22,Wallbridge,Mid_Hudson,90,Sunshine,Insecticide,Diflubenzuron,,3,,9,,,,,,,,,,,,,6,,12,84,45,"41.774997612249, -73.6515655461982"
7/25/22,Wallbridge,Mid_Hudson,85,Cloudy,Insecticide,Diflubenzuron,,3,,3,,,,,,,,,10,,,,15,,16,204,66,"41.774997612249, -73.6515655461982"
8/1/22,Wallbridge,Mid_Hudson,87,Sunshine,Insecticide,Diflubenzuron,,,,,,,,,,,,,,,,,3,,0,146,75,"41.774997612249, -73.6515655461982"
8/8/22,Wallbridge,Mid_Hudson,80,Sunshine,Insecticide,Diflubenzuron,,,,1,,,,,,,,,,,,,5,,1,225,51,"41.774997612249, -73.6515655461982"
8/15/22,Wallbridge,Mid_Hudson,89,Sunshine,Insecticide,Diflubenzuron,,,,1,,,,,,,,,,,,,10,,1,,,"41.774997612249, -73.6515655461982"
8/22/22,Wallbridge,Mid_Hudson,90,Sunshine,Insecticide,Diflubenzuron,,2,,,,,,,,,,,,,,,6,,2,127,38,"41.774997612249, -73.6515655461982"
8/29/22,Wallbridge,Mid_Hudson,80,Sunshine,Insecticide,Diflubenzuron,,,,1,,,,,,,,,,,,,1,,1,148,41,"41.774997612249, -73.6515655461982"
9/5/22,Wallbridge,Mid_Hudson,75,Sunshine,Insecticide,Diflubenzuron,,,,4,,,,,,,,,,,,1,1,,4,170,51,"41.774997612249, -73.6515655461982"
9/12/22,Wallbridge,Mid_Hudson,72,Sunshine,Insecticide,Diflubenzuron,,,,13,,,,,1,,,,1,,,,3,4,15,105,38,"41.774997612249, -73.6515655461982"
9/19/22,Wallbridge,Mid_Hudson,62,Sunshine,Insecticide,Diflubenzuron,,,,,,,,,3,,,,1,,,,,10,4,69,27,"41.774997612249, -73.6515655461982"
9/26/22,Wallbridge,Mid_Hudson,60,Sunshine,Insecticide,Diflubenzuron,,,,,,,,,,,,,,,,,,,0,,,"41.774997612249, -73.6515655461982"
5/3/22,Chaseholm,Mid_Hudson,55,Sunshine,Non,,20,,,,,,,,,,,,,,,,7,1,20,0,0,"41.98788599305552, -73.61780360369838"
5/10/22,Chaseholm,Mid_Hudson,75,Sunshine,Non,,,33,,2,,,,,,,,,,,,,14,3,35,,,"41.98788599305552, -73.61780360369838"
5/17/22,Chaseholm,Mid_Hudson,64,Sunshine,Non,,1,181,1,3,,,,,,,,,2,,,,50,,188,50,0,"41.98788599305552, -73.61780360369838"
6/6/22,Chaseholm,Mid_Hudson,80,Sunshine,Non,,,3,,3,,,,,,,,,,2,,,30,2,8,24,81,"41.98788599305552, -73.61780360369838"
6/13/22,Chaseholm,Mid_Hudson,75,Cloudy,Non,,,1,,3,,,,,,,,,,,,,12,1,4,,,"41.98788599305552, -73.61780360369838"
6/21/22,Chaseholm,Mid_Hudson,82,Sunshine,Non,,,,,,,,,,,,,,,,,,2,,0,87,32,"41.98788599305552, -73.61780360369838"
7/5/22,Chaseholm,Mid_Hudson,80,Sunshine,Non,,,16,5,4,,,,,,,,,,,,4,127,7,25,125,53,"41.98788599305552, -73.61780360369838"
7/12/22,Chaseholm,Mid_Hudson,93,Sunshine,Non,,,3,,1,,,,,,,,,,,,,35,,4,,,"41.98788599305552, -73.61780360369838"
7/20/22,Chaseholm,Mid_Hudson,87,Cloudy,Non,,,5,5,4,,,,,,,,,,,,,40,,14,181,59,"41.98788599305552, -73.61780360369838"
8/1/22,Chaseholm,Mid_Hudson,89,Sunshine,Non,,,,,,,,,,,,,,2,,,,5,,2,,,"41.98788599305552, -73.61780360369838"
8/9/22,Chaseholm,Mid_Hudson,87,Sunshine,Non,,,,,1,,,,,,,,,1,,,,4,,2,136,62,"41.98788599305552, -73.61780360369838"
8/18/22,Chaseholm,Mid_Hudson,88,Sunshine,Non,,,,,3,,,,,,1,,,,,,,10,,4,,,"41.98788599305552, -73.61780360369838"
8/29/22,Chaseholm,Mid_Hudson,80,Sunshine,Non,,,,,1,,,,,,,,,,1,,,,,2,,,"41.98788599305552, -73.61780360369838"
9/5/22,Chaseholm,Mid_Hudson,75,Sunshine,Non,,,,,4,,,,,21,,,,,,,,6,13,25,182,51,"41.98788599305552, -73.61780360369838"
9/12/22,Chaseholm,Mid_Hudson,72,Sunshine,Non,,,,,6,,,,,1,,,,1,,,1,,1,8,117,32,"41.98788599305552, -73.61780360369838"
9/19/22,Chaseholm,Mid_Hudson,62,Sunshine,Non,,,,,9,,,,,,,,,2,,,,1,,11,71,21,"41.98788599305552, -73.61780360369838"
9/26/22,Chaseholm,Mid_Hudson,60,Sunshine,Non,,,,1,,,,,,,,1,,,,,,13,2,2,,,"41.98788599305552, -73.61780360369838"
5/5/22,Eisele farm,Catskills,65,Sunshine,Non,,,6,,,,,,,,,,,,,,,12,1,6,0,0,"42.158070, -74.802461"
5/12/22,Eisele farm,Catskills,70,Sunshine,Non,,65,,,1,,,,,,,,,2,,,,63,4,68,1,0,"42.158070, -74.802461"
5/19/22,Eisele farm,Catskills,53,Rain,Non,,18,8,12,,,,,,,,,,1,,,,10,,39,0,0,"42.158070, -74.802461"
5/26/22,Eisele farm,Catskills,55,Sunshine,Non,,1,9,,,,,,,,,,,,,,,79,,10,21,14,"42.158070, -74.802461"
6/2/22,Eisele farm,Catskills,75,Cloudy,Non,,,1,,,,,,,,,,,,,,,78,,1,21,14,"42.158070, -74.802461"
6/10/22,Eisele farm,Catskills,75,Cloudy,Non,,1,6,,,,,,,,,,,,,,1,38,,7,17,54,"42.158070, -74.802461"
6/16/22,Eisele farm,Catskills,60,Cloudy,Non,,2,11,,,,,,,,,,,,,,,20,,13,0,27,"42.158070, -74.802461"
6/23/22,Eisele farm,Catskills,70,Sunshine,Non,,,3,,3,,,,,,,,,,,,,10,,6,17,23,"42.158070, -74.802461"
6/30/22,Eisele farm,Catskills,80,Sunshine,Non,,,4,,2,,,,,,,,,,,,,23,,6,22,7,"42.158070, -74.802461"
7/6/22,Eisele farm,Catskills,80,Cloudy,Non,,,34,9,8,,,,,,,,,,,,,183,3,51,14,29,"42.158070, -74.802461"
7/14/22,Eisele farm,Catskills,75,Sunshine,Non,,,1,,,,,,,,,,,,,,,21,,1,17,19,"42.158070, -74.802461"
7/21/22,Eisele farm,Catskills,75,Sunshine,Non,,,1,,,,,,,,,,,,,,1,91,3,1,17,19,"42.158070, -74.802461"
7/28/22,Eisele farm,Catskills,67,Sunshine,Non,,3,2,,3,,,,,,,,,,,,,78,1,8,9,11,"42.158070, -74.802461"
8/4/22,Eisele farm,Catskills,70,Sunshine,Non,,,,,,,,,,,,,,,,,,23,1,0,60,30,"42.158070, -74.802461"
8/11/22,Eisele farm,Catskills,65,Sunshine,Non,,,,,6,,,,,,,,,3,,,,57,,9,60,30,"42.158070, -74.802461"
8/19/22,Eisele farm,Catskills,80,Sunshine,Non,,,,,3,,,,,,,,,3,,2,,23,2,8,21,13,"42.158070, -74.802461"
8/25/22,Eisele farm,Catskills,80,Sunshine,Non,,,,,,,,,,,,,,,,,,3,,0,10,15,"42.158070, -74.802461"
9/1/22,Eisele farm,Catskills,60,Sunshine,Non,,,,,,,,,,,,,,,,,,,1,0,5,5,"42.158070, -74.802461"
9/7/22,Eisele farm,Catskills,65,Cloudy,Non,,,,,,,,,,,,,,,,,,,2,0,6,8,"42.158070, -74.802461"
9/15/22,Eisele farm,Catskills,53,Cloudy,Non,,,,,,,,,,,,,,,,,,1,,0,5,5,"42.158070, -74.802461"
9/22/22,Eisele farm,Catskills,55,Cloudy,Non,,,,,,,,,,,,,,1,,,,3,,1,4,5,"42.158070, -74.802461"
9/29/22,Eisele farm,Catskills,50,Cloudy,Non,,,,,,,,,,,,,,,,,,,,0,3,4,"42.158070, -74.802461"
5/12/22,Honeyhill,Northwest,71,Sunshine,Non,,34,204,,1,,,,,,,,,2,,,,9,12,241,0,10,"42.7876199,-77.6811557"
5/19/22,Honeyhill,Northwest,59,Cloudy,Non,,2,8,,1,,,,,,,,,,,,,4,2,11,0,10,"42.7876199,-77.6811557"
5/26/22,Honeyhill,Northwest,74,Sunshine,Non,,1,35,,1,,,1,,,1,,,2,,,,20,,41,9,4,"42.7876199,-77.6811557"
6/2/22,Honeyhill,Northwest,74,Sunshine,Non,,,5,,1,,,,,,,,,1,,,,3,1,7,16,7,"42.7876199,-77.6811557"
6/10/22,Honeyhill,Northwest,62,Sunshine,Non,,,11,,1,,,,,,,,,,,,1,,,12,20,27,"42.7876199,-77.6811557"
6/17/22,Honeyhill,Northwest,72,Sunshine,Non,,,8,,,,,,,,,,,,,,2,8,1,8,20,27,"42.7876199,-77.6811557"
6/24/22,Honeyhill,Northwest,84,Sunshine,Non,,2,,1,,,,,,,,,,,,,1,7,1,3,,,"42.7876199,-77.6811557"
6/29/22,Honeyhill,Northwest,70,Sunshine,Non,,,3,,,,,,,,5,,,,,,,4,,8,31,39,"42.7876199,-77.6811557"
7/6/22,Honeyhill,Northwest,64,Cloudy,Non,,,16,1,,,1,,,,1,,,,,,,60,7,19,28,35,"42.7876199,-77.6811557"
7/14/22,Honeyhill,Northwest,73,Cloudy,Non,,,2,,,,,,,,,,,,,,1,12,,2,42,45,"42.7876199,-77.6811557"
7/21/22,Honeyhill,Northwest,75,Cloudy,Non,,,5,1,,,,,,,,,,,,,3,3,,6,68,46,"42.7876199,-77.6811557"
7/28/22,Honeyhill,Northwest,75,Cloudy,Non,,,1,,1,,,,,,,,,1,,,,28,,3,100,47,"42.7876199,-77.6811557"
8/4/22,Honeyhill,Northwest,77,Cloudy,Non,,,1,1,5,,,,,,,,,5,,,1,28,,12,120,50,"42.7876199,-77.6811557"
8/11/22,Honeyhill,Northwest,72,Cloudy,Non,,,,,4,,,,,,1,,,6,,,3,11,,11,136,56,"42.7876199,-77.6811557"
8/18/22,Honeyhill,Northwest,75,Cloudy,Non,,,,,6,,,,,,,,,2,,,,3,1,8,23,22,"42.7876199,-77.6811557"
