Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
SMI_HOL,399,0,1,0,0,0,0,0,0,0,0,0,114,875,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,4,0,0,0,107,3,45,0,22,8,0,0,0,0,0,0,0,0,1617,514,163,22,38,0,0.317872604,0.100803958,0.013605442,0.023500309,0,0.246753247,0.000618429,500
DIP_PAT,470,0,13,0,0,0,0,0,0,0,0,0,490,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,491,1,6,8,1,109,8,0,0,0,0,0,0,0,1618,973,623,1,0,0,0.601359703,0.385043263,0.000618047,0,0,0.290482077,0.008034611,500
MIL_YOD,289,0,274,0,0,0,0,1,0,0,0,0,248,36,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,663,0,1,4,40,0,0,0,0,0,0,0,0,0,1622,812,668,40,0,0,0.500616523,0.411837238,0.024660912,0,0,0.178175092,0.16892725,500
MIL_CHA,711,0,109,0,0,1,0,0,0,0,0,0,418,6,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,145,2,0,0,2,112,0,0,4,98,6,0,0,0,0,0,0,0,0,1624,1240,124,98,149,0,0.763546798,0.07635468,0.060344828,0.091748768,0,0.437807882,0.067118227,500
MIL_MCC,684,0,227,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,1,0,0,0,410,36,46,1,60,108,8,0,0,0,0,0,0,0,1617,934,609,60,11,0,0.577612863,0.376623377,0.037105751,0.006802721,0,0.423005566,0.140383426,500
KAT_SAU,392,2,43,0,0,14,0,0,0,2,2,0,22,294,0,110,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,68,0,0,0,0,397,19,101,3,70,1,0,0,0,0,0,0,0,0,1574,587,521,70,68,0,0.372935197,0.331003812,0.044472681,0.043202033,0,0.249047014,0.027318933,500
KAT_SAU_2,301,30,12,1,0,51,0,0,0,36,0,0,143,467,0,0,0,0,0,0,0,0,8,0,34,0,0,0,0,0,0,0,107,0,0,0,0,160,7,48,5,162,4,2,0,0,0,0,0,0,0,1578,582,226,162,107,0,0.368821293,0.143219265,0.102661597,0.067807351,0,0.190747782,0.007604563,500
KAT_TEE,155,0,1,0,0,0,0,0,0,0,0,0,229,181,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,84,15,0,0,0,645,13,110,0,76,61,7,0,0,0,0,0,0,0,1587,385,836,76,99,0,0.242596093,0.526780088,0.047889099,0.062381853,0,0.097668557,0.00063012,500
KAT_TEE_2,188,0,3,0,0,0,2,4,0,0,0,0,70,201,0,16,94,0,0,0,0,0,0,0,191,0,0,2,0,0,0,0,50,0,0,0,0,582,30,82,0,68,0,2,1,0,0,0,1,0,0,1587,381,696,68,50,0,0.240075614,0.438563327,0.042848141,0.031505986,0,0.118462508,0.001890359,500
KAT_HAB_2,164,0,139,0,0,0,0,2,0,3,0,0,31,726,0,8,4,0,0,0,0,0,0,0,121,0,0,6,0,0,0,0,84,5,0,0,8,158,50,34,0,55,2,1,0,0,0,0,0,0,0,1601,357,253,55,97,0,0.222985634,0.158026234,0.034353529,0.060587133,0,0.102435978,0.086820737,500
KAT_HAB,583,0,152,0,0,2,0,0,0,0,0,0,9,193,0,0,1,0,0,0,0,0,0,0,12,0,0,3,50,0,0,0,135,5,0,0,0,299,0,55,1,90,2,4,0,0,0,0,0,0,0,1596,800,361,90,140,0,0.501253133,0.226190476,0.056390977,0.087719298,0,0.365288221,0.095238095,500
KAT_BAR,412,0,9,0,1,0,0,6,2,2,0,0,44,50,0,108,0,0,0,0,0,0,2,0,24,0,0,0,9,8,0,39,88,71,58,2,20,309,15,156,6,74,38,16,0,0,0,0,0,0,0,1569,603,560,74,239,39,0.384321224,0.356915233,0.047163799,0.152326322,0.024856597,0.262587635,0.005736138,500
SMI_LAT,415,0,4,0,0,0,0,3,0,95,0,0,301,66,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,128,14,1,0,0,423,0,14,3,127,4,1,0,0,0,0,0,0,0,1606,818,445,127,143,0,0.509339975,0.277085928,0.079078456,0.089041096,0,0.258405978,0.00249066,500
SMI_DUR,439,0,34,0,2,7,0,0,0,0,0,0,18,99,0,6,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2,77,20,1,0,2,439,35,28,25,153,186,8,0,0,0,3,0,0,0,1626,509,723,153,100,2,0.31303813,0.444649446,0.094095941,0.061500615,0.001230012,0.2699877,0.020910209,500
SMI_HOF,306,0,9,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61,78,47,1,0,0,536,51,287,4,6,154,22,0,0,0,0,0,0,0,1587,327,1054,6,126,61,0.206049149,0.664146188,0.003780718,0.079395085,0.038437303,0.192816635,0.005671078,500
SMI_JOH,527,0,16,0,0,1,0,0,0,0,0,0,183,64,0,4,0,2,0,0,0,0,10,0,14,0,0,0,0,0,0,0,66,18,7,3,1,435,6,14,15,201,36,1,0,0,0,0,0,0,0,1624,743,508,201,95,0,0.457512315,0.312807882,0.123768473,0.058497537,0,0.324507389,0.009852217,500
SMI_JOH_2,45,0,52,0,0,488,0,2,2,11,0,0,62,20,0,6,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,91,72,6,0,0,0,485,31,21,17,83,75,5,0,0,0,0,0,0,0,1629,668,634,83,78,91,0.410067526,0.389195826,0.050951504,0.047882136,0.055862492,0.027624309,0.031921424,500
GAB_ALL,10,0,0,0,0,0,0,0,0,0,0,0,17,44,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,22,114,144,24,7,2,441,18,284,0,50,415,10,0,0,0,0,0,0,0,1618,30,1170,50,291,22,0.018541409,0.723114957,0.030902349,0.179851669,0.013597033,0.00618047,0,500
KAT_JEF,188,0,7,0,0,0,0,0,0,0,0,0,57,264,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,68,4,0,0,6,453,148,170,0,175,23,0,0,0,0,0,0,0,0,1582,252,800,175,78,0,0.159292035,0.505689001,0.110619469,0.049304678,0,0.118836915,0.004424779,500
KAT_JEF_2,220,0,3,0,0,1,0,0,0,1,0,0,35,448,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,73,18,2,0,5,314,7,93,0,130,182,31,0,0,0,0,0,0,0,1582,260,632,130,98,4,0.164348925,0.399494311,0.082174463,0.061946903,0.002528445,0.139064475,0.001896334,500
STA_WIL,279,0,11,0,0,0,0,116,0,2,0,0,448,23,0,4,0,0,0,0,0,0,1,0,111,0,0,0,0,0,0,0,132,11,0,0,0,221,0,10,3,185,63,8,0,0,0,0,0,0,0,1628,861,305,185,143,0,0.528869779,0.187346437,0.113636364,0.087837838,0,0.171375921,0.006756757,500
STA_HEM_2,223,0,39,0,0,0,0,144,4,0,0,0,360,32,0,4,0,0,0,0,0,2,0,0,256,0,0,4,8,0,0,1,37,32,10,3,1,149,0,16,5,51,81,5,5,0,0,0,0,0,142,1614,935,257,51,83,1,0.579306072,0.159231722,0.031598513,0.051425031,0.000619579,0.138166047,0.024163569,500
STA_HEM,656,0,22,0,0,0,0,1,0,0,0,0,69,53,0,0,0,0,0,0,0,0,0,0,34,0,0,0,121,0,0,11,117,12,0,0,0,228,0,33,0,176,80,4,0,0,0,0,0,0,0,1617,869,345,176,129,11,0.537414966,0.213358071,0.108843537,0.079777365,0.006802721,0.405689549,0.013605442,500
STA_SWE,147,0,0,0,0,0,0,296,0,0,0,1,583,39,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,10,132,29,0,0,0,120,0,13,2,115,41,29,0,0,0,0,0,0,0,1608,1028,205,115,161,10,0.639303483,0.127487562,0.071517413,0.100124378,0.006218905,0.09141791,0,500
STA_COL,805,0,37,0,0,0,0,1,0,0,0,0,131,4,0,14,0,0,0,0,0,0,2,0,397,0,0,6,0,3,0,0,32,31,0,0,5,44,0,36,13,56,14,0,0,0,0,0,0,0,7,1638,1006,112,56,68,0,0.614163614,0.068376068,0.034188034,0.041514042,0,0.491452991,0.022588523,500
WIS_COO_2,317,0,0,0,0,0,0,0,0,0,0,0,87,153,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,6,97,40,10,0,0,540,1,13,0,48,227,8,0,0,0,0,0,0,0,1557,406,789,48,147,6,0.260757868,0.506743738,0.030828516,0.094412331,0.003853565,0.20359666,0,500
WIS_COO,482,0,8,0,0,0,0,0,0,0,0,0,389,111,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,22,0,0,0,0,189,0,5,1,308,20,6,1,0,0,0,0,0,0,1565,880,221,308,22,0,0.562300319,0.141214058,0.196805112,0.014057508,0,0.30798722,0.005111821,500
LET_NOB,296,0,14,0,2,0,0,5,0,0,0,0,710,24,0,30,1,0,0,0,1,5,0,0,179,0,0,3,0,0,0,3,61,31,10,5,5,165,0,12,2,46,3,0,0,0,0,0,0,0,0,1613,1067,187,46,112,3,0.66150031,0.115933044,0.028518289,0.069435834,0.001859888,0.183508989,0.008679479,500
LET_TAB,135,0,0,0,0,0,0,0,0,0,0,0,801,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,128,5,4,0,0,416,7,57,2,34,2,0,0,0,0,0,0,0,0,1605,936,484,34,137,0,0.58317757,0.301557632,0.021183801,0.085358255,0,0.08411215,0,500
WIS_HIG,13,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,2,3,77,0,0,0,4,146,130,102,6,7,843,0,11,0,98,86,0,0,0,0,0,0,0,0,1554,100,947,98,391,4,0.064350064,0.609395109,0.063063063,0.251608752,0.002574003,0.008365508,0.003217503,500
WIS_MEG,67,0,0,0,248,3,0,0,9,0,0,0,15,114,0,0,0,0,0,0,0,0,6,0,32,0,0,8,0,0,0,25,134,222,60,2,8,367,0,9,0,203,25,15,0,0,0,0,0,0,0,1572,356,424,203,426,25,0.226463104,0.269720102,0.12913486,0.270992366,0.015903308,0.042620865,0,500
WIS_KEN,3,1,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,1,0,0,0,0,21,0,6,205,0,0,2,76,237,119,76,22,5,516,4,25,4,66,44,31,2,0,0,0,0,0,0,1551,225,629,66,459,76,0.145067698,0.40554481,0.042553191,0.295938104,0.049000645,0.001934236,0,500
ZUE_REE,90,0,217,0,2,0,0,96,1,10,0,0,202,36,4,2,0,0,2,0,0,0,2,0,349,0,0,2,11,0,0,0,65,5,0,0,1,286,0,18,5,161,27,1,4,6,0,0,0,0,5,1610,656,338,161,71,0,0.407453416,0.209937888,0.1,0.044099379,0,0.055900621,0.134782609,500
DEG_PER_STRIP,263,0,192,0,0,9,0,33,7,11,0,0,397,140,0,1,0,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,67,4,0,0,0,193,0,0,5,223,0,0,6,0,6,0,0,3,0,1606,929,198,223,71,0,0.578455791,0.123287671,0.138854296,0.044209215,0,0.163760897,0.119551681,500
DEG_FOU_WOOD,736,0,9,0,0,0,0,0,0,0,0,0,162,209,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,4,0,0,102,7,0,0,0,78,0,13,2,264,1,0,0,0,0,0,0,0,0,1601,916,94,264,109,0,0.572142411,0.058713304,0.164896939,0.068082448,0,0.45971268,0.005621487,500
DEG_DIE_HILL,572,0,84,0,0,0,0,0,0,0,0,0,235,108,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,65,28,0,0,0,216,0,5,12,250,2,0,0,0,0,0,0,0,0,1592,892,235,250,93,0,0.560301508,0.147613065,0.157035176,0.058417085,0,0.359296482,0.052763819,500
DEG_DIE_SWC,546,1,59,0,2,0,0,49,0,2,0,0,127,119,0,0,0,0,0,0,0,0,6,2,70,0,0,0,2,0,0,2,55,28,2,0,4,176,32,44,12,183,67,8,4,0,0,0,0,0,0,1602,800,343,183,89,2,0.49937578,0.214107366,0.11423221,0.055555556,0.001248439,0.34082397,0.036828964,500
DEG_YOU_BOCES,537,0,7,0,0,0,0,0,0,0,0,0,89,69,0,0,0,0,0,0,0,0,1,0,12,0,0,0,1,0,0,0,89,63,32,14,2,73,2,8,15,588,3,0,0,0,0,0,0,0,0,1605,635,103,588,200,0,0.395638629,0.064174455,0.36635514,0.124610592,0,0.334579439,0.004361371,500
DEG_YOU_OSHEA,928,0,17,0,0,0,0,0,0,0,0,0,140,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,116,3,8,0,0,257,12,40,0,35,13,8,0,0,0,0,0,0,0,1603,1085,330,35,127,1,0.676855895,0.205864005,0.021834061,0.07922645,0.00062383,0.578914535,0.010605115,500
DEG_YOU_JONES,150,0,14,0,3,0,0,2,0,5,0,0,428,164,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,0,8,98,55,8,0,0,291,14,47,19,231,9,1,0,0,0,0,0,0,0,1605,603,381,231,161,8,0.375700935,0.237383178,0.143925234,0.100311526,0.004984424,0.093457944,0.008722741,500
DEG_VIL,896,0,56,0,0,4,0,1,0,8,0,0,31,37,0,0,0,0,0,0,0,0,0,0,39,0,0,4,0,0,0,45,113,35,4,0,6,156,0,3,22,112,32,1,0,0,0,0,0,0,0,1605,1000,220,112,158,45,0.62305296,0.137071651,0.069781931,0.098442368,0.028037383,0.558255452,0.034890966,500
SEA_HOO,356,0,380,0,9,0,0,139,9,0,0,0,95,11,5,4,0,0,0,0,0,0,1,0,181,0,0,0,37,0,0,0,78,5,0,0,0,175,2,21,3,47,41,4,0,0,0,0,0,0,0,1603,1035,246,47,83,0,0.645664379,0.153462258,0.029320025,0.051777916,0,0.222083593,0.237055521,500
MIL_HUM,518,0,28,0,0,2,0,148,0,0,0,0,397,24,0,91,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,69,32,20,14,0,140,0,12,8,51,7,0,0,0,0,0,0,0,0,1623,1184,167,51,135,0,0.729513247,0.102895872,0.03142329,0.083179298,0,0.319162046,0.017252002,500
ONE_TER,206,0,15,0,0,0,0,0,0,7,0,0,358,243,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,199,237,83,21,4,4,0,1,0,315,3,0,0,0,0,0,0,0,0,1708,586,12,315,544,0,0.343091335,0.007025761,0.18442623,0.318501171,0,0.120608899,0.008782201,500
ONE_ADO,269,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,0,1158,40,25,1,53,59,0,0,0,0,0,0,0,0,1702,275,1283,53,72,0,0.161574618,0.753819036,0.031139835,0.042303173,0,0.158049354,0,500
ONE_STA,1327,0,9,0,0,0,0,0,0,0,0,0,12,26,3,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,95,13,5,0,11,167,0,2,5,11,10,2,0,0,0,0,0,0,0,1724,1353,197,11,124,0,0.784802784,0.114269142,0.00638051,0.071925754,0,0.769721578,0.005220418,500
