,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
21,KAT_BAR,2193,0,148,0,0,0,53,0,1,0,0,548,1649,0,0,38,2,0,0,0,0,0,6,0,2,0,0,1,34,27,0,463,915,110,24,2,50,12130,1041,3741,260,1264,330,124,0,0,0,0,0,0,0,0,25156,3051,17676,1264,1101,463
22,SMI_LAT,5715,0,378,0,2,0,1,2,56,0,0,4686,1810,2,0,3,0,0,0,0,0,0,6,0,36,0,0,2,0,0,0,244,1213,130,24,3,0,4317,436,220,2333,2936,1027,91,2,0,0,0,0,2,0,0,25677,10857,8424,2936,1370,244
23,SMI_DUR,3260,0,191,0,6,0,9,3,44,0,0,908,1234,0,0,64,0,0,14,2,0,0,1,13,352,0,0,2,0,459,0,419,1558,376,66,14,60,7180,506,117,3703,2568,2573,288,6,0,0,0,0,0,0,0,25996,4982,14427,2568,2074,419
24,SMI_HOF,3178,0,153,0,0,0,0,3,54,0,0,745,1635,0,0,5,0,0,0,0,0,0,3,1,38,0,0,0,0,0,0,578,1368,157,42,2,73,8386,881,4002,404,2971,545,177,0,0,0,0,0,0,0,0,25401,4142,14468,2971,1642,578
25,SMI_JOH,4145,0,437,0,46,0,23,0,22,0,0,3400,2019,2,0,18,0,0,0,0,0,0,21,7,51,0,0,6,0,0,0,22,1004,270,50,6,6,5067,667,174,3825,4429,175,48,1,0,0,0,0,0,0,0,25941,8128,9962,4429,1336,22
26,SMI_JOH_2,2133,0,536,0,2,0,24,3,81,0,0,2281,556,6,0,1879,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,309,1527,874,222,119,39,6854,688,94,4495,2845,236,88,0,0,0,0,0,0,0,0,25996,6945,12494,2845,2781,309
27,GAB_ALL,714,0,11,0,0,0,0,2,0,0,0,312,550,0,0,0,0,0,0,0,0,0,0,3,114,0,0,0,0,0,0,2729,2390,2207,1208,417,12,10430,340,201,1010,921,2176,122,0,0,0,0,0,0,0,0,25869,1042,14291,921,6234,2729
28,KAT_JEF,1540,0,63,0,0,0,14,0,17,0,0,130,6202,0,0,15,0,0,0,0,0,0,5,0,83,0,0,0,0,1,0,20,1100,238,21,3,3,8837,1096,99,332,2139,3211,151,0,0,0,0,0,0,0,0,25320,1785,13729,2139,1365,20
29,KAT_JEF_2,1758,0,18,0,0,0,7,0,7,0,0,162,4111,0,0,0,0,0,0,0,3,0,4,0,52,0,0,0,7,1,0,45,464,75,4,2,3,8872,875,67,141,960,7411,286,0,0,0,0,0,0,0,0,25335,1967,17655,960,548,45
30,STA_WIL,4839,0,651,4,0,0,2401,10,13,0,0,7341,458,0,0,239,0,0,0,0,0,0,5,0,21,0,0,7,26,0,0,16,975,57,0,0,2,3465,15,267,458,2671,1926,80,1,0,0,0,0,0,0,4,25952,15541,6213,2671,1034,16
31,STA_HEM_2,6963,0,843,1,0,0,1831,286,13,0,0,3089,597,3,0,79,0,0,13,2,0,0,10,0,562,0,0,9,48,0,0,62,1265,288,67,34,621,3205,38,269,381,2657,2234,127,8,0,0,6,0,0,0,212,25823,13416,6875,2657,2275,62
32,STA_HEM,6597,0,2626,5,0,0,627,12,33,0,0,3780,453,0,0,130,0,62,4,0,0,0,35,0,107,0,0,16,210,17,0,320,1067,115,22,4,27,3525,68,404,399,2736,1409,60,8,0,0,0,0,0,0,987,25865,15149,5892,2736,1235,320
33,STA_SWE,2970,5,902,0,0,0,830,3,3,0,0,4254,492,4,8,699,2,0,0,0,26,216,5,1,64,0,0,12,0,1,1,13,779,82,12,2,7,9183,54,206,939,2718,959,294,9,0,0,7,0,0,0,2,25764,9960,11642,2718,882,13
34,STA_COL,2996,0,1923,0,1,0,2183,7,2,0,0,2977,231,7,0,62,2,0,0,0,0,0,6,3,319,0,0,60,0,78,0,37,1065,436,124,4,52,4885,175,224,485,5408,1817,103,2,0,0,61,0,0,0,351,26086,10721,7741,5408,1681,37
35,WIS_COO_2,1368,0,776,0,0,0,10,0,7,0,0,1952,1308,0,0,0,0,0,0,0,0,0,4,4,694,0,0,25,0,0,0,76,1346,180,76,26,11,10821,341,63,1024,3038,1436,387,0,0,0,0,22,0,0,0,24995,4168,14083,3038,1639,76
36,WIS_COO,1923,0,788,13,0,0,127,3,10,0,0,3246,2552,0,0,0,0,0,2,0,0,0,16,2,168,0,0,11,0,0,0,171,591,82,2,0,6,8139,262,25,833,5128,760,163,5,0,0,0,0,0,0,0,25028,6146,10188,5128,681,171
37,LET_NOB,9416,0,1774,0,0,0,69,0,0,0,0,6737,323,0,0,289,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,14,776,74,6,3,17,3930,3,53,202,1378,667,43,5,0,0,0,0,0,0,5,25818,18295,4915,1378,876,14
38,LET_TAB,9118,0,198,0,0,0,853,3,46,0,1,7462,177,3,0,82,103,0,0,1,0,29,3,0,20,0,0,1,7,0,0,2,606,34,9,11,0,4201,375,1148,179,787,131,41,0,8,0,0,0,0,0,0,25639,17918,6075,787,660,2
39,WIS_HIG,57,0,10,0,0,0,0,13,0,0,0,56,188,0,0,0,0,0,0,0,0,0,0,4,880,0,0,602,0,31,5,238,2017,867,620,176,45,14844,863,362,348,983,1561,153,0,0,2,0,0,0,0,0,24925,780,18176,983,3725,238
40,WIS_MEG,810,705,412,3,243,0,148,30,3,0,0,620,2400,0,0,0,0,0,0,0,0,0,5,94,126,5,0,53,0,0,1,221,2744,2619,1165,182,106,6257,410,57,1256,3577,758,110,4,0,0,0,0,0,0,0,25124,3136,8954,3577,6816,221
41,WIS_KEN,285,0,49,2,0,0,3,2,0,0,0,121,178,0,0,0,0,0,0,0,0,0,1,0,575,0,2,2293,1,43,2,5597,2883,1067,974,686,35,6772,170,62,287,1683,485,598,0,0,5,0,0,0,0,0,24861,2809,8409,1683,5645,5597
42,ZUE_REE,3719,0,2911,0,0,0,815,18,239,0,204,1576,224,4,0,8,0,0,0,2,0,0,9,0,160,3,0,841,316,0,0,8167,1356,262,23,0,7,2325,17,395,473,1112,427,122,16,0,0,0,0,0,0,5,25756,10686,3766,1112,1648,8167
43,DEG_PER_STRIP,3316,0,606,0,13,0,47,9,29,0,0,2429,1977,26,0,13,0,0,2,0,0,0,76,0,192,0,0,0,5,2,0,6,944,112,11,0,3,10984,471,675,1384,2007,278,36,8,0,0,0,0,0,3,0,25664,6584,13831,2007,1070,6
44,DEG_FOU_WOOD,6426,0,68,0,7,0,115,18,11,0,0,3933,3581,2,0,6,0,0,0,0,0,0,14,0,24,0,0,7,8,0,0,1,1151,117,3,3,6,4570,402,460,1378,2777,435,58,7,0,0,0,0,0,0,0,25588,10622,7309,2777,1280,1
45,DEG_DIE_HILL,2884,2,562,0,0,0,20,6,45,0,0,1248,1754,0,0,5,0,0,12,3,0,0,11,0,34,0,0,3,12,6,0,958,2417,2945,1813,597,214,5240,313,275,1324,2359,462,70,7,1,0,0,0,0,0,0,25602,4827,7898,2359,7986,958
46,DEG_DIE_SWC,3047,0,139,0,0,0,6,0,22,0,0,1513,2645,3,0,6,0,0,8,2,0,0,50,0,46,4,0,9,2,33,0,19,1111,105,55,5,24,10261,624,576,1590,3076,555,101,0,0,0,0,0,0,3,0,25640,4847,13731,3076,1300,19
47,DEG_YOU_BOCES,3270,2,413,0,0,0,4,3,21,0,0,1749,1508,0,0,0,0,0,1,0,0,0,37,0,20,0,0,4,6,10,0,38,2626,2711,1380,294,73,5693,361,414,1674,2659,567,73,7,0,0,0,0,0,0,0,25618,5527,8855,2659,7084,38
48,DEG_YOU_OSHEA,3975,0,85,0,0,2,0,0,18,0,0,2063,1809,0,0,0,0,0,0,0,0,0,3,0,38,0,0,2,1,13,0,518,3150,2713,606,84,1,6577,323,407,1148,1360,635,102,4,0,0,0,0,0,4,0,25641,6170,9193,1360,6554,518
49,DEG_YOU_JONES,3587,0,96,2,4,0,177,11,147,2,0,3563,2299,5,0,12,0,0,0,0,0,0,2,0,49,5,0,3,4,24,0,1063,2110,681,64,3,97,6636,112,224,1804,2407,375,76,10,0,0,0,0,17,0,0,25671,7671,9324,2407,2955,1063
50,DEG_VIL,3751,0,118,2,4,0,38,11,207,2,0,3627,1842,2,0,12,0,0,0,0,0,0,9,0,51,5,0,3,4,17,0,747,1950,654,64,3,10,7401,388,531,1470,2275,380,73,5,0,0,0,0,17,0,0,25673,7834,10253,2275,2681,747
51,SEA_HOO,6582,0,3653,2,0,0,1827,112,599,0,27,3990,919,1,0,74,53,0,0,0,0,0,370,0,95,0,0,0,333,1,0,34,987,75,3,12,7,2648,93,339,335,1825,528,71,21,0,0,0,0,0,0,8,25624,17653,4021,1825,1084,34
52,MIL_HUM,3676,0,1743,0,238,0,1600,1,0,0,0,2027,1013,4,0,417,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,4,1962,864,44,20,0,6155,522,144,2213,3060,210,13,22,0,0,0,0,0,0,0,25980,9729,9257,3060,2890,4
53,ONE_TER,3306,152,53,0,0,0,0,0,0,0,0,1614,3516,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,829,3537,3137,1213,351,18,5256,675,32,437,2055,1088,83,0,0,0,0,0,0,0,0,27353,5125,7589,2055,8256,829
54,ONE_ADO,1556,0,30,0,3,0,1,0,10,0,0,3334,1200,12,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,110,2531,118,23,22,40,13085,1945,149,793,990,1276,123,0,0,0,0,0,0,0,0,27409,4946,17411,990,2734,110
55,ONE_STA,8357,6,9,0,10,0,0,4,20,0,0,2244,2625,0,0,3,0,0,0,0,0,0,5,0,142,0,0,0,0,0,0,42,1011,221,42,37,38,8347,530,139,886,951,1667,191,0,0,0,0,0,0,0,0,27527,10658,11798,951,1349,42
