,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
24,SMI_HOF,1364,0,41,0,0,0,0,0,20,0,0,112,292,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,140,513,79,17,2,16,2014,117,442,114,656,317,75,0,0,0,0,0,0,0,6347,1537,3095,656,627,140
25,SMI_JOH,1740,0,105,0,2,0,0,0,1,0,0,524,246,0,0,11,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,171,67,33,3,3,1221,347,72,1042,835,29,12,0,0,0,0,0,0,0,6486,2405,2726,835,277,0
26,SMI_JOH_2,892,0,208,0,1,0,0,3,2,0,0,489,44,5,0,741,0,0,0,0,0,0,0,0,11,0,0,0,0,0,207,187,37,0,0,0,1553,210,28,1408,352,77,42,0,0,0,0,0,0,0,6497,2341,3318,352,224,207
27,GAB_ALL,118,0,8,0,0,0,0,0,0,0,0,61,64,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,641,566,590,234,39,2,2781,67,26,165,108,952,18,0,0,0,0,0,0,0,6469,190,4011,108,1431,641
28,KAT_JEF,599,0,5,0,0,0,0,0,17,0,0,66,1814,0,0,8,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,301,137,15,1,3,2212,286,43,92,425,252,24,0,0,0,0,0,0,0,6331,695,2912,425,457,2
29,KAT_JEF_2,780,0,11,0,0,0,5,0,4,0,0,48,1298,0,0,0,0,0,0,0,0,0,1,0,24,0,0,1,1,0,12,136,40,4,2,0,1890,86,5,33,354,1470,135,0,0,0,0,0,0,0,6340,851,3619,354,182,12
30,STA_WIL,1009,0,75,4,0,0,685,9,4,0,0,1373,114,0,0,126,0,0,0,0,0,0,2,0,0,0,4,4,0,0,10,255,19,0,0,0,1332,10,130,185,669,434,28,0,0,0,0,0,0,3,6484,3298,2119,669,274,10
31,STA_HEM_2,2428,0,103,0,0,0,242,8,4,0,0,436,62,1,0,29,0,0,0,2,0,0,0,0,327,0,7,7,0,0,16,432,104,19,12,182,475,13,80,77,779,404,65,1,0,0,0,0,0,141,6456,3409,1296,779,749,16
32,STA_HEM,1432,0,513,2,0,0,431,5,2,0,0,528,122,0,0,0,0,62,0,0,0,0,23,0,30,0,0,141,13,0,148,304,29,5,0,0,804,7,110,99,1129,278,16,0,0,0,0,0,0,235,6468,3387,1314,1129,338,148
33,STA_SWE,929,5,225,0,0,0,137,2,3,0,0,1620,170,3,7,322,2,0,0,0,10,211,3,0,33,0,4,0,0,0,12,132,15,11,2,0,1179,0,17,145,757,368,116,2,0,0,0,0,0,0,6442,3485,1825,757,160,12
34,STA_COL,647,0,939,0,1,0,1214,0,0,0,0,730,14,0,0,45,0,0,0,0,0,0,2,0,89,0,11,0,49,0,14,172,115,55,0,37,901,0,15,109,854,219,16,0,0,0,11,0,0,259,6518,3908,1297,854,379,14
35,WIS_COO_2,591,0,104,0,0,0,8,0,0,0,0,388,415,0,0,0,0,0,0,0,0,0,0,1,87,0,6,0,0,0,42,450,74,19,0,8,1973,69,18,240,652,860,243,0,0,0,0,0,0,0,6248,1098,3411,652,551,42
36,WIS_COO,620,0,289,4,0,0,109,3,4,0,0,1427,579,0,0,0,0,0,2,0,0,0,0,0,45,0,5,0,0,0,16,100,5,0,0,0,1234,33,8,257,1423,45,41,5,0,0,0,0,0,0,6254,2468,1618,1423,105,16
37,LET_NOB,2299,0,268,0,0,0,11,0,0,0,0,2289,35,0,0,129,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,158,25,4,3,0,834,0,4,47,236,89,1,1,0,0,0,0,0,5,6455,5002,975,236,190,0
38,LET_TAB,1830,0,81,0,0,0,39,1,1,0,0,2348,28,0,0,73,93,0,0,1,0,22,0,0,10,0,1,5,0,0,0,163,3,2,0,0,1275,17,115,58,190,39,10,0,8,0,0,0,0,0,6413,4503,1514,190,168,0
39,WIS_HIG,32,0,7,0,0,0,0,2,0,0,0,12,71,0,0,0,0,0,0,0,0,0,0,4,224,0,437,0,15,5,29,710,342,269,95,5,2971,33,45,142,497,258,27,0,0,1,0,0,0,0,6233,515,3481,497,1421,29
40,WIS_MEG,405,407,225,0,9,0,8,4,0,0,0,152,593,0,0,0,0,0,0,0,0,0,2,0,32,0,14,0,0,0,101,646,712,209,22,59,1089,52,8,340,1023,138,32,3,0,0,0,0,0,0,6285,1229,1718,1023,1648,101
41,WIS_KEN,13,0,2,0,0,0,0,0,0,0,0,48,58,0,0,0,0,0,0,0,0,0,0,0,19,0,378,0,10,0,1517,1119,369,251,74,4,1549,34,8,61,447,113,132,0,0,3,0,0,0,0,6209,454,1901,447,1817,1517
42,ZUE_REE,819,0,971,0,0,0,433,13,141,0,85,799,85,4,0,6,0,0,0,2,0,0,5,0,76,0,0,29,0,0,978,543,78,6,0,1,569,2,105,92,440,97,44,11,0,0,0,0,0,3,6437,3321,910,440,628,978
43,DEG_PER_STRIP,1319,0,332,0,13,0,41,9,27,0,0,1012,423,4,0,12,0,0,0,0,0,0,15,0,7,0,0,3,2,0,3,300,23,3,0,3,1776,170,161,192,527,22,8,6,0,0,0,0,3,0,6416,2798,2332,527,329,3
44,DEG_FOU_WOOD,1763,0,17,0,0,0,103,18,3,0,0,1004,965,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,281,9,0,0,0,948,95,151,277,644,84,19,2,0,0,0,0,0,0,6396,2918,1574,644,290,0
45,DEG_DIE_HILL,1131,0,476,0,0,0,7,0,5,0,0,431,381,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,2,0,58,797,629,186,63,16,693,149,91,326,853,83,19,0,0,0,0,0,0,0,6405,2055,1377,853,1691,58
46,DEG_DIE_SWC,1463,0,112,0,0,0,0,0,4,0,0,548,441,0,0,0,0,0,0,2,0,0,5,0,12,0,4,0,10,0,0,353,33,1,0,4,1486,68,85,457,1077,206,36,0,0,0,0,0,0,0,6407,2148,2342,1077,391,0
47,DEG_YOU_BOCES,791,0,17,0,0,0,2,3,9,0,0,345,438,0,0,0,0,0,0,0,0,0,0,0,11,0,2,6,8,0,13,569,560,130,24,7,1036,164,123,667,1223,231,21,5,0,0,0,0,0,0,6405,1188,2249,1223,1290,13
48,DEG_YOU_OSHEA,1586,0,32,0,0,2,0,0,12,0,0,1074,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,655,375,26,0,0,1546,93,171,148,155,137,16,0,0,0,0,0,0,0,6411,2706,2111,155,1056,86
49,DEG_YOU_JONES,1282,0,30,0,0,0,2,0,5,2,0,1124,754,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,0,87,812,191,6,0,1,910,31,52,353,646,108,11,0,0,0,0,0,0,0,6420,2456,1466,646,1010,87
50,DEG_VIL,1871,0,44,2,4,0,12,4,131,0,0,764,320,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,8,0,207,611,206,28,0,1,991,17,53,360,554,160,34,1,0,0,0,17,0,0,6416,2864,1616,554,846,207
51,SEA_HOO,1714,0,1755,0,0,0,390,29,98,0,3,754,124,0,0,28,13,0,0,0,0,0,164,0,17,0,0,63,1,0,1,189,9,2,4,0,389,6,89,93,262,191,4,14,0,0,0,0,0,0,6406,5026,772,262,204,1
52,MIL_HUM,1657,0,414,0,191,0,509,0,0,0,0,1164,227,0,0,160,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,195,40,32,17,0,1082,3,3,317,409,50,0,0,0,0,0,0,0,0,6495,4095,1455,409,284,4
53,ONE_TER,913,0,13,0,0,0,0,0,0,0,0,1002,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,870,830,300,54,6,856,85,6,91,569,175,14,0,0,0,0,0,0,0,6839,1928,1233,569,2060,91
54,ONE_ADO,831,0,8,0,0,0,0,0,2,0,0,1473,307,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,10,139,0,0,0,0,3271,174,8,207,155,222,18,0,0,0,0,0,0,0,6847,2317,3900,155,139,10
55,ONE_STA,3329,3,4,0,0,0,0,2,14,0,0,397,229,0,0,3,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,395,82,31,32,37,1565,58,43,197,192,174,26,0,0,0,0,0,0,0,6880,3752,2100,192,577,0
