Raw File Name,Batch ID,Sample_ID 1,Sample #,Site,Date of Collection,Pesticide Treatment,Weight (g),Acephate,Dinotefuran,Aldicarb sulfone,"2,4-Dimethylaniline",Thiabendazole,Nitenpyram,"N'-(2,4-Dimethylphenyl)-N-methylformamidine",Flonicamid,Thiamethoxam,Clothianidin,Mevinphos,Imidacloprid,Acetamiprid,Flupyradifurone,Thiacloprid,Aldicarb,Sulfoxaflor,Tebuthiuron,Prometon,Cyanazine,Thiophanate-methyl,Ametryn,Bendiocarb,Malaoxon,Carbofuran,4-Hydroxy-chlorothalonil,Carbaryl,Pyrimethanil,Fluometuron,Atrazine,Sulfentrazone,Diuron,Metalaxyl,Cyantraniliprole,Prometryn,Metazachlor,Terbutryn,Clomazone,Propazine,Chlorantraniliprole,Coumaphos oxon,Methiocarb,Azinphos methyl,Fludioxonil,Spirotetramat,Cyprodinil,Phosmet,Bromuconazole,Azoxystrobin,Myclobutanil,Fenamidone,Triadimefon,Fluxapyroxad,Boscalid,Mandipropamid,Fenhexamid,Napropamide,Fluopicolide,Tetraconazole,Tebuconazole,Fluopyram,Methoxyfenozide,Diflubenzuron,Fenbuconazole,Malathion,Spinosyn A,Metolachlor,Metconazole,Dimoxystrobin,Fluoxastrobin,Propiconazole,Tebufenozide,Fipronil,Triflumizole,Difenoconazole,Picoxystrobin,Spinetoram,Penthiopyrad,Diazinon,Coumaphos,Pyraclostrobin,Thiobencarb,Fipronil sulfide,Chlorpyrifos methyl,Cyflufenamid,Profenophos,(S)-Indoxacarb,Trifloxystrobin,Piperonyl butoxide,Tetramethrin,Fluazinam,Pyriproxyfen,Pendimethalin,Chlorpyrifos,(E)-Fenpyroximate,Avermectin B1a
2026-03-20_P136_SP_032,"Soil, P136-RA11",11,RA11,DEG_FRI_1,12/5/25,Neonicotinoid,10.33,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.84,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.74,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.62,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.93,n.d.,n.d.,n.d.
2026-03-20_P136_SP_033,"Soil, P136-RA12",12,RA12,DEG_FRI_1,12/5/25,Fungicide,10.29,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,4.55,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.01,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,5.30,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.13,n.d.,n.d.,n.d.
2026-03-20_P136_SP_034,"Soil, P136-RA13",13,RA13,HUN_REE,6/13/25,Neonicotinoid,10.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.14,1.68,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.36,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.77,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.64,n.d.,n.d.,n.d.
2026-03-20_P136_SP_035,"Soil, P136-RA14",14,RA14,HUN_REE,6/13/25,Fungicide,10.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.51,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.00,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.92,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.09,n.d.,n.d.,n.d.
2026-03-20_P136_SP_036,"Soil, P136-RA15",15,RA15,HUN_REE,11/17/25,Neonicotinoid,10.19,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.25,2.22,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.41,n.d.,n.d.,0.13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.31,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.21,n.d.,n.d.,n.d.
2026-03-20_P136_SP_037,"Soil, P136-RA16",16,RA16,HUN_REE,11/17/25,Fungicide,10.17,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.19,1.98,n.d.,1.23,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.55,n.d.,n.d.,0.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,7.05,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.46,n.d.,n.d.,n.d.
2026-03-20_P136_SP_038,"Soil, P136-RA17",17,RA17,KUH_COL,6/12/25,Neonicotinoid,10.33,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,7.32,2.51,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.65,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.78,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.
2026-03-20_P136_SP_039,"Soil, P136-RA18",18,RA18,KUH_COL,6/12/25,Fungicide,10.16,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,8.21,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.54,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.38,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.51,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.
2026-03-20_P136_SP_040,"Soil, P136-RA19",19,RA19,KUH_COL,10/6/25,Neonicotinoid,10.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,1.64,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,12.83,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,54.35,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.
2026-03-20_P136_SP_041,"Soil, P136-RA20",20,RA20,KUH_COL,10/6/25,Fungicide,10.24,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.54,4.19,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,12.68,n.d.,n.d.,0.10,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,0.88,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,87.35,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.
2026-03-20_P136_SP_043,"Soil, P136-RA21",21,RA21,MIL_COB,5/19/25,Neonicotinoid,10.23,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,3.60,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,0.50,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.71,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13.45,n.d.,n.d.,n.d.
2026-03-20_P136_SP_044,"Soil, P136-RA22",22,RA22,MIL_COB,5/19/25,Fungicide,10.26,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.95,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,0.48,n.d.,n.d.,0.81,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,8.01,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,22.42,<LOQ,n.d.,n.d.
