Sample ID,Project,Site,Field ID,Collection Date,Treatment,Notes,Nitrogen Testing?,Sample dried? (Y/N),Sample ground? (Y/N),(Emily) SHIPPING ->,Sample sent for processing? (Y/N),Where samples were sent
25_SN_1119,R,,SMI_HOF_1,6/19/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1116,R,,SMI_HOF_2,6/21/25,Fungicide,Planting,Y,Y,Y,,,
25_SN_1117,R,,SMI_HOF_2,6/21/25,Neonic,Planting,Y,Y,Y,,,
25_SN_1290,R,,SMI_HOF_2,11/8/25,FUNG,,Y,,,,,
25_SN_1291,R,,SMI_HOF_2,11/8/25,NEONIC,,Y,Y,,,,
25_SN_1072,R,,SMI_LAT,6/5/25,N,Planting,Y ,Y,Y,,,
25_SN_1073,R,,SMI_LAT,6/5/25,F,Planting,Y ,Y,Y,,,
25_SN_1214,R,,SMI_LAT,10/14/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1215,R,,SMI_LAT,10/14/25,FUNG,Harvest,Y,Y,,,,
25_SN_1070,R,,SMI_MCC,6/3/25,F,Planting,Y ,Y,Y,,,
25_SN_1071,R,,SMI_MCC,6/3/25,N,Planting,Y ,Y,Y,,,
25_SN_1403,R,,SMI_MCC,12/16/25,FUNG,Harvest,,,,,,
25_SN_1404,R,,SMI_MCC,12/16/25,NEONIC,Harvest,,,,,,
25_SN_1092,R,,STA_BLO,6/9/25,N,Planting,Y ,Y,Y,,,
25_SN_1093,R,,STA_BLO,6/9/25,F,Planting,Y ,Y,Y,,,
25_SN_1383,R,,STA_BLO,11/6/25,FUNG,,,,,,,
25_SN_1384,R,,STA_BLO,11/6/25,NEONIC,Sample split into 2 cups,,,,,,
25_SN_1078,R,,STA_FRE,6/4/25,N,Planting,Y ,Y,Y,,,
25_SN_1081,R,,STA_FRE,6/4/25,F,Planting,Y ,Y,Y,,,
25_SN_1240,R,,STA_FRE,10/6/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1247,R,,STA_FRE,10/6/25,FUNG,Harvest,Y,Y,,,,
25_SN_1084,R,,STA_KRE,6/4/25,F,Planting,Y ,Y,Y,,,
25_SN_1085,R,,STA_KRE,6/4/25,N,Planting,Y ,Y,Y,,,
25_SN_1387,R,,STA_KRE,11/14/25,NEONIC,Sample split into 2 cups,,,,,,
25_SN_1388,R,,STA_KRE,11/14/25,FUNG,,,,,,,
25_SN_1096,R,,STA_MAC,6/17/25,N,Planting,Y ,Y,Y,,,
25_SN_1099,R,,STA_MAC,6/17/25,F,Planting,Y ,Y,Y,,,
25_SN_1229,R,,STA_MAC,10/1/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1230,R,,STA_MAC,10/1/25,FUNG,Harvest,Y,Y,,,,
25_SN_1077,R,,STA_MAR,6/3/25,N,Planting,Y ,Y,Y,,,
25_SN_1080,R,,STA_MAR,6/3/25,F,Planting,Y ,Y,Y,,,
25_SN_1286,R,,STA_MAR,10/27/25,FUNG,,Y,Y,,,,
25_SN_1287,R,,STA_MAR,10/27/25,NEONIC,,Y,Y,,,,
25_SN_1067,R,,STA_REE_1,5/28/25,N,Planting,Y,Y,Y,,,
25_SN_1068,R,,STA_REE_1,5/28/25,F,Planting,Y,Y,Y,,,
25_SN_1221,R,,STA_REE_1,9/30/25,FUNG,Harvest,Y,Y,,,,
25_SN_1226,R,,STA_REE_1,9/30/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1066,R,,STA_REE_2,5/28/25,F,Planting,Y,Y,Y,,,
25_SN_1069,R,,STA_REE_2,5/28/25,N,Planting,Y ,Y,Y,,,
25_SN_1220,R,,STA_REE_2,9/30/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1241,R,,STA_REE_2,9/30/25,FUNG,Harvest,Y,Y,,,,
25_SN_1052,R,,STA_STA,5/20/25,F,,Y,Y,Y,,,
25_SN_1053,R,,STA_STA,5/20/25,N,,Y,Y,Y,,,
25_SN_1385,R,,STA_STA,11/20/25,NEONIC,Sample split into 2 cups,,,,,,
25_SN_1386,R,,STA_STA,11/20/25,FUNG,Sample split into 2 cups,,,,,,
25_SN_1054,R,,STA_WIL,5/12/25,F,,Y,Y,Y,,,
25_SN_1055,R,,STA_WIL,5/12/25,N,,Y,Y,Y,,,
25_SN_1288,R,,STA_WIL,10/27/25,FUNG,,Y,Y,,,,
25_SN_1289,R,,STA_WIL,10/27/25,NEONIC,,Y,Y,,,,
25_SN_1050,R,,STA_WOO,5/16/25,F,,Y,Y,Y,,,
25_SN_1051,R,,STA_WOO,5/16/25,N,,Y,Y,Y,,,
25_SN_1381,R,,STA_WOO,11/25/25,FUNG,,,,,,,
25_SN_1382,R,,STA_WOO,11/25/25,NEONIC,,,,,,,
25_SN_1140,R,,ZUE_MYT,6/26/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1141,R,,ZUE_MYT,6/26/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1228,R,,ZUE_MYT,8/12/25,FUNG,Harvest,Y,Y,,,,
25_SN_1248,R,,ZUE_MYT,8/12/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1222,R,,ZUE_VOT,8/14/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1234,R,,ZUE_VOT,6/27/25,NEONIC,,Y,Y,,,,
25_SN_1235,R,,ZUE_VOT,6/27/25,FUNG,,Y,Y,,,,
25_SN_1243,R,,ZUE_VOT,8/14/25,FUNG,Harvest,Y,Y,,,,
