,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Total_Nat_Prop,Buffer
10,SMI_HOL,5464,0,189,0,0,0,0,2,0,18,0,0,3201,4392,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,665,939,495,146,15,23,2952,497,2721,4,2834,1236,37,0,0,0,0,0,0,0,0,0,0,25853,13276,7470,2834,1618,0.0,0.5135187405716938,0.2889413220902797,0.10961977333384906,0.06258461300429351,0.0,0.21134877963872664,0.0073105635709588826,7.736046106834796e-05,0.23865702239585349,0.39856109542412876,2000
11,DIP_PAT,8947,4,2686,0,57,0,0,388,4,0,0,0,5430,929,2,0,7,0,0,0,0,0,0,0,0,0,6,0,304,0,0,1,6,0,0,3,457,685,278,102,23,2920,21,45,21,1908,473,31,0,0,0,0,0,115,1,0,2,0,25856,18585,3534,1908,1545,0.0,0.7187886757425742,0.13668007425742573,0.07379331683168316,0.059754022277227724,0.0,0.3460318688118812,0.10388304455445545,0.01500618811881188,0.11548576732673267,0.2104733910891089,2000
12,MIL_YOD,3807,8,1055,0,0,0,1,311,2,129,0,0,4343,1334,2,0,2,0,0,0,0,0,0,0,0,0,5,0,13,0,0,1,2,4,0,2,965,194,85,10,6,7214,171,288,24,5280,644,28,2,0,0,0,0,0,0,0,0,1,25933,11009,8375,5280,1260,0.0,0.4245170246404195,0.3229475957274515,0.20360158870936645,0.04858674276018972,0.0,0.1468013727682875,0.04068175683492076,0.011992442062237305,0.2958778390467744,0.526549184436818,2000
13,MIL_CHA,7993,0,2031,2,5,0,0,831,1,7,1,0,4080,524,0,0,47,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,1063,216,114,10,6,5835,124,194,8,2631,135,6,1,0,0,0,2,0,0,0,0,4,25961,15529,6308,2631,1409,0.0,0.5981664804899657,0.24297985439698008,0.10134432417857556,0.05427371826971226,0.0,0.30788490427949616,0.07823273371595856,0.032009552790724545,0.23700936019413735,0.34432417857555564,2000
14,MIL_MCC,3975,0,3178,0,0,0,0,471,4,10,0,0,1586,1069,0,0,243,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,57,1321,984,566,108,9,5619,393,606,21,4389,1220,32,2,0,0,0,0,0,0,0,1,0,25871,10539,7900,4389,2988,0.0,0.4073673224846353,0.3053612152603301,0.16964941440222644,0.11549611534150207,0.0,0.15364694058984965,0.12284024583510494,0.018205712960457657,0.25580766108770436,0.4750106296625566,2000
15,KAT_SAU,2132,0,80,0,0,11,0,152,0,121,0,0,295,3875,0,0,252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1295,118,44,8,1,10597,662,2082,10,3377,42,7,4,0,0,0,0,0,0,0,0,0,25169,6924,13401,3377,1466,0.0,0.2751003218244666,0.5324407008621718,0.1341729905836545,0.05824625531407684,0.0,0.08470737812388256,0.0031785132504271126,0.006039175175811515,0.5300568159243514,0.6666136914458263,2000
16,KAT_SAU_2,3420,0,135,0,4,37,0,168,2,174,0,0,343,4719,0,0,426,3,0,0,0,0,1,0,0,0,8,0,13,0,0,0,5,2,0,2,1304,127,54,8,2,8360,481,1245,15,4066,35,3,4,0,0,0,0,0,0,0,0,0,25166,9451,10141,4066,1495,0.0,0.3755463720893269,0.40296431693554796,0.1615671938329492,0.059405547166812366,0.0,0.1358976396725741,0.005364380513391083,0.00667567352777557,0.4007788285782405,0.5645315107684972,2000
17,KAT_TEE,1888,0,234,0,0,0,0,10,0,0,0,0,525,1612,0,0,0,0,0,0,0,0,0,0,0,0,6,0,33,0,0,6,2,2,0,22,971,149,93,5,0,11601,1058,3824,3,2760,533,50,0,0,0,0,0,0,0,0,2,0,25389,4287,17069,2760,1218,0.0,0.16885265272362046,0.6722990271377368,0.10870849580527,0.04797353184449959,0.0,0.07436291307259049,0.009216589861751152,0.0003938713616132971,0.6492181653471976,0.7810075229430068,2000
18,KAT_TEE_2,2013,0,19,0,2,0,0,10,0,2,0,0,998,2010,0,0,1,2,0,0,0,0,0,0,0,0,3,0,162,0,0,0,2,2,0,50,925,150,62,1,4,10983,1139,4622,2,1937,264,29,0,2,0,0,2,0,0,0,0,2,25400,5070,17043,1937,1142,0.0,0.19960629921259843,0.670984251968504,0.07625984251968504,0.04496062992125984,0.0,0.07925196850393701,0.0007480314960629921,0.0003937007874015748,0.6592125984251969,0.7472440944881891,2000
19,KAT_HAB_2,6102,0,631,0,3,0,0,13,0,2,0,0,867,3566,0,0,37,15,0,0,0,0,0,0,0,0,10,0,72,0,0,8,56,0,0,12,1116,162,97,21,10,4974,1757,3134,7,2392,463,28,0,0,0,0,2,0,0,0,0,10,25567,11322,10373,2392,1406,0.0,0.44283646888567296,0.4057183087573826,0.09355810224117025,0.05499276410998553,0.0,0.2386670317205773,0.024680251887198343,0.0005084679469628819,0.38584894590683305,0.4992764109985528,2000
20,KAT_HAB,3900,0,1999,0,0,0,0,14,0,4,0,0,150,2019,3,6,134,0,0,0,0,0,6,0,0,0,24,0,45,0,0,0,171,1,1,20,2972,743,185,47,12,5489,574,3568,8,2939,456,21,13,0,0,0,0,0,0,0,4,0,25528,8449,10128,2939,3959,0.0,0.330969915387026,0.3967408335944845,0.11512848636790975,0.15508461297398934,0.0,0.15277342525853965,0.07830617361328737,0.0005484174240050141,0.3772720150423065,0.5118693199623943,2000
21,KAT_BAR,2127,0,332,0,0,0,0,51,0,4,0,0,313,726,1,0,217,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,27,11,0,516,1069,475,355,14,34,9814,344,5574,5,2806,259,64,0,0,0,0,0,0,0,0,0,0,25156,3819,16094,2806,1947,0.0,0.15181268882175228,0.6397678486245826,0.11154396565431707,0.07739704245508029,0.0,0.0845523930672603,0.01319764668468755,0.0020273493401176657,0.6253776435045317,0.7513118142788997,2000
22,SMI_LAT,5190,2,385,0,0,0,0,17,8,12,0,0,4642,1306,0,0,71,0,0,0,0,0,0,0,0,0,12,0,30,0,0,0,0,0,0,180,1433,479,165,21,11,5081,268,689,9,4341,1302,23,0,0,0,0,0,0,0,0,0,0,25677,11645,7383,4341,2109,0.0,0.45351871324531684,0.2875335903727071,0.16906180628578105,0.08213576352377615,0.0,0.20212641663745765,0.01499396346925264,0.0006620711142267399,0.23515208162947385,0.45659539665848814,2000
23,SMI_DUR,2793,2,364,0,8,0,0,49,8,10,0,0,1181,935,0,0,3,0,0,4,0,0,0,0,0,0,5,0,95,0,0,27,2,54,0,364,1635,638,252,36,63,7583,467,252,124,5186,3754,91,10,0,0,0,0,0,0,0,1,0,25996,5456,12334,5186,2624,0.0,0.2098784428373596,0.474457608862902,0.19949222957378057,0.10093860593937529,0.0,0.10743960609324511,0.014002154177565779,0.0018849053700569318,0.31935682412678873,0.6739498384366825,2000
24,SMI_HOF,2836,3,157,0,0,0,1,8,3,206,0,0,924,781,0,0,9,0,0,1,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,524,976,414,53,7,110,7969,502,4366,8,4946,492,92,0,0,0,0,0,0,0,0,0,0,25401,4934,13539,4946,1560,0.0,0.19424432108972087,0.5330105113971891,0.19471674343529782,0.061414904925002956,0.0,0.11164914767135152,0.006180859021298374,0.00031494823038463054,0.5053738041809378,0.7277272548324869,2000
25,SMI_JOH,3773,0,641,0,2,0,0,40,3,0,0,0,2561,1798,0,0,23,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,5,6,0,19,1403,605,180,19,4,6521,439,788,20,6435,630,8,0,0,0,0,0,0,1,0,0,0,25941,8856,8410,6435,2211,0.0,0.3413900774835203,0.32419721676111174,0.24806291199259858,0.08523187232566208,0.0,0.14544543386916464,0.024709918661578196,0.0015419606029065957,0.2986777687830076,0.5722601287537104,2000
26,SMI_JOH_2,1851,3,1080,0,2,1,0,981,2,125,0,0,1697,952,0,0,18,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,252,1581,1088,461,248,39,8435,631,518,48,4968,921,48,6,0,0,0,0,0,0,0,0,0,25996,6718,10640,4968,3417,0.0,0.2584243729804585,0.4092937374980766,0.19110632404985384,0.13144329896907217,0.0,0.0712032620403139,0.04154485305431605,0.03773657485767041,0.36867210340052314,0.6004000615479305,2000
27,GAB_ALL,603,1,192,0,2,0,0,0,2,5,0,0,239,309,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,0,0,0,0,0,0,2645,2036,2089,1725,626,56,5233,291,5128,46,2210,2329,78,0,0,0,0,0,0,0,2,0,0,25869,1370,13161,2210,6532,0.0,0.05295914028373729,0.5087556534848661,0.08543043797595577,0.25250299586377517,0.0,0.023309752986199698,0.007422010901078511,0.0,0.41176697978275156,0.5941860914608218,2000
28,KAT_JEF,1481,0,33,0,2,0,0,64,1,0,0,0,122,4478,0,0,0,3,0,0,0,0,0,0,0,0,57,0,50,0,2,0,7,0,0,17,786,449,165,25,2,5481,860,2627,4,4958,3467,178,0,1,0,0,0,0,0,0,0,0,25320,6251,12619,4958,1427,0.0,0.24687993680884676,0.4983807266982622,0.19581358609794627,0.05635860979462875,0.0,0.0584913112164297,0.0013033175355450237,0.002527646129541864,0.3541864139020537,0.6941943127962085,2000
29,KAT_JEF_2,1910,0,27,0,0,0,0,0,0,0,0,0,249,2965,0,0,1,0,0,0,0,0,0,0,0,0,59,0,26,0,0,2,17,0,0,43,472,236,76,7,1,5357,577,2647,0,2566,7602,493,0,0,0,0,0,0,2,0,0,0,25335,5232,16677,2566,792,0.0,0.20651272942569568,0.658259325044405,0.1012828103414249,0.03126110124333925,0.0,0.07538977698835603,0.0010657193605683837,0.0,0.3387014012236037,0.7595421353858299,2000
30,STA_WIL,7559,2,758,0,0,0,0,1036,0,2,0,0,5435,625,0,0,25,2,0,0,0,0,0,0,0,0,7,0,56,0,0,19,13,2,0,18,1326,230,85,6,5,3617,27,319,5,2541,1987,13,4,0,0,0,0,2,222,0,0,4,25952,15717,5973,2541,1652,0.0,0.6056180641183724,0.23015567200986436,0.09791152897657213,0.06365598027127004,0.0,0.2912684956843403,0.029207768187422933,0.03991985203452528,0.15270499383477187,0.3280672009864365,2000
31,STA_HEM_2,5553,0,1337,3,23,0,0,1662,56,11,0,4,4294,698,0,0,347,9,0,0,2,0,3,0,0,0,44,0,332,0,0,11,67,0,4,47,922,412,219,117,508,3409,16,268,8,2704,2214,65,5,0,1,0,0,0,0,0,0,448,25823,14582,6488,2704,2178,0.0,0.5646903922859466,0.25124888665143474,0.10471285288308872,0.08434341478526895,0.0,0.2150408550516981,0.05177554892924912,0.06436122836231267,0.14301204352708827,0.3559617395345235,2000
32,STA_HEM,7798,5,2099,0,7,3,0,409,34,9,0,1,3583,517,0,0,81,4,25,0,2,0,0,0,0,0,24,0,294,0,0,8,209,28,4,91,1198,430,108,23,47,3654,43,401,4,2417,1660,46,0,0,0,0,0,0,109,0,0,490,25865,15449,5855,2417,1806,0.0,0.5972936400541272,0.2263676783297893,0.09344674270249372,0.06982408660351827,0.0,0.30148849797023003,0.081152136091243,0.015812874540885365,0.158438043688382,0.319814421032283,2000
33,STA_SWE,5338,10,1020,0,20,0,0,346,2,6,0,0,3320,316,5,6,34,9,0,19,3,0,4,0,0,0,5,0,85,0,0,6,5,12,0,19,1150,299,37,4,0,9277,63,515,91,2385,1111,211,6,2,0,0,15,2,4,0,0,2,25764,10517,11268,2385,1490,0.0,0.4082052476323552,0.43735444806707036,0.09257102934326968,0.05783263468405527,0.0,0.2071883247942866,0.03959012575687005,0.013429591678310822,0.38251047973917096,0.52992547741034,2000
34,STA_COL,3702,0,1338,0,281,0,0,1882,2,5,0,0,2334,229,0,4,562,16,0,4,2,7,140,0,0,0,11,0,91,0,5,64,7,15,0,48,1563,959,357,29,18,4381,115,816,10,5106,1744,42,6,0,0,0,33,0,9,0,0,149,26086,10807,7126,5106,2926,0.0,0.4142835237292034,0.2731733496894886,0.19573717702982443,0.11216744613969179,0.0,0.1419152035574638,0.05129188070229242,0.07214597868588515,0.20363413325155255,0.468910526719313,2000
35,WIS_COO_2,1940,0,490,0,7,0,0,0,3,13,0,0,922,823,0,0,0,0,0,2,1,0,0,0,0,0,1,0,509,0,0,9,0,0,0,73,600,664,195,52,10,11317,248,380,30,4598,2071,37,0,0,0,0,0,0,0,0,0,0,24995,4211,14093,4598,1521,0.0,0.1684736947389478,0.5638327665533107,0.18395679135827164,0.06085217043408682,0.0,0.07761552310462093,0.01960392078415683,0.0,0.47789557911582314,0.7477895579115823,2000
36,WIS_COO,2332,0,1045,2,4,15,0,455,6,17,0,0,1280,1399,0,0,0,0,0,0,0,0,0,0,0,0,4,0,213,0,0,35,0,0,3,169,579,506,80,18,1,8409,154,458,13,6773,1021,35,0,0,0,0,0,0,0,2,0,0,25028,6599,10091,6773,1184,0.0,0.2636646955409941,0.4031884289595653,0.2706169090618507,0.04730701614192105,0.0,0.09317564327952693,0.04175323637525971,0.018179638804538916,0.36043631133130893,0.673805338021416,2000
37,LET_NOB,9339,0,2549,0,28,0,0,399,0,5,0,0,5100,253,0,2,426,4,0,0,0,3,17,0,0,0,1,0,20,0,0,3,0,3,0,20,971,177,95,21,34,4113,2,219,7,1429,556,13,0,0,0,0,0,0,5,0,2,2,25818,18141,4944,1429,1298,0.0,0.7026493144317918,0.19149430629793168,0.05534898133085444,0.050275001936633354,0.0,0.36172437834069254,0.09872956851808816,0.01545433418545201,0.16786737934774187,0.24684328762878613,2000
38,LET_TAB,8384,0,180,0,8,0,0,447,0,6,0,0,8189,243,1,0,30,10,0,0,12,0,9,0,0,0,7,0,36,0,1,1,0,3,0,20,1242,176,44,32,14,3924,287,1408,13,754,142,4,1,0,0,0,0,0,5,0,0,6,25639,17543,5792,754,1508,0.0,0.684231054253286,0.2259058465618784,0.029408323257537346,0.05881664651507469,0.0,0.32700183314481845,0.007020554623815282,0.01743437731580795,0.21915831350676704,0.25531416981941574,2000
39,WIS_HIG,51,0,9,0,6,1,0,2,0,2,0,0,43,67,0,0,0,0,0,11,0,0,0,0,0,0,2,2,241,0,13,413,0,2,0,268,1185,1263,1091,402,66,14663,340,544,13,2285,1890,50,0,0,0,0,0,0,0,0,0,0,24925,624,17566,2285,4007,0.0,0.025035105315947843,0.7047542627883651,0.09167502507522568,0.16076228686058175,0.0,0.0020461384152457374,0.00036108324974924776,8.02407221664995e-05,0.6237512537612838,0.7964292878635908,2000
40,WIS_MEG,1006,2,612,0,201,86,0,7,19,43,0,0,236,1027,0,0,0,0,0,2,0,0,12,0,4,0,1,2,93,0,0,62,0,0,1,202,1973,3221,1852,399,19,6968,142,274,7,5518,1110,19,0,0,0,0,0,0,0,2,2,0,25124,3327,8539,5518,7464,0.0,0.13242318102213024,0.33987422384970545,0.2196306320649578,0.2970864512020379,0.0,0.04004139468237542,0.024359178474765163,0.00027861805444992835,0.2939022448654673,0.5595048559146633,2000
41,WIS_KEN,131,2,22,1,12,10,0,2,1,8,0,0,33,84,0,2,0,0,0,71,0,0,0,2,0,0,2,2,139,0,2,1170,0,0,3,5689,1448,1841,1649,1022,36,6861,18,141,25,3400,649,383,0,0,0,0,0,0,0,0,0,0,24861,1560,8113,3400,5996,0.0,0.06274888379389405,0.3263344193717067,0.13676038775592292,0.24118096617191584,0.0,0.0052692972929487955,0.0008849201560677366,8.044728691524879e-05,0.2823699770725232,0.4630948071276296,2000
42,ZUE_REE,2321,0,4406,0,17,0,0,1561,2,124,0,182,954,293,0,0,10,0,0,0,1,0,1,0,0,0,19,0,53,5,0,463,177,3,0,8151,582,554,110,6,6,3115,11,250,4,1681,374,42,0,0,0,0,0,0,0,2,2,274,25756,10817,3802,1681,1258,0.0,0.41997981052958533,0.1476160894548843,0.06526634570585495,0.04884298804162137,0.0,0.090114924677745,0.17106693585960553,0.060607237148625565,0.13107625407672,0.21288243516073924,2000
43,DEG_PER_STRIP,3535,5,538,0,3,0,3,182,2,22,0,0,2014,1572,0,0,3,2,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,1,926,428,61,6,3,11213,282,841,19,3570,370,7,0,0,0,0,0,0,35,0,6,0,25664,7928,12735,3570,1424,0.0,0.3089152119700748,0.49622038653366585,0.13910536159600997,0.05548628428927681,0.0,0.13774158354114713,0.020963216957605984,0.007091645885286783,0.48067331670822944,0.6353257481296758,2000
44,DEG_FOU_WOOD,6913,0,175,0,3,0,0,8,1,0,0,0,2944,3297,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,6,10,2,3,1105,644,131,7,9,4447,336,613,27,4461,399,26,3,0,0,0,0,0,0,0,4,0,25588,13380,5857,4461,1896,0.0,0.5229013600125059,0.2288963576676567,0.17433953415663592,0.07409723307800531,0.0,0.270165702673128,0.006839143348444584,0.0003126465530717524,0.21088010004689697,0.40323589182429265,2000
45,DEG_DIE_HILL,1987,9,554,0,34,0,0,25,4,12,0,0,1185,1655,0,0,2,0,0,0,3,0,0,0,0,0,14,0,19,0,0,1,3,2,2,1049,1332,2943,2639,997,239,5229,228,415,47,4436,433,83,7,0,0,3,0,0,0,0,11,0,25602,5513,6674,4436,8150,0.0,0.21533473947347864,0.26068275915944067,0.17326771345988595,0.31833450511678774,0.0,0.07761112413092727,0.02163893445824545,0.0009764862120146863,0.22935708147800954,0.4339504726193266,2000
46,DEG_DIE_SWC,3583,0,691,0,14,3,0,21,3,29,0,0,840,1496,0,0,11,0,0,0,0,0,0,0,0,0,5,0,6,0,0,4,4,2,0,36,1210,524,155,36,29,10198,423,881,27,4836,538,32,0,0,0,0,0,0,0,0,3,0,25640,6709,12128,4836,1954,0.0,0.26166146645865834,0.4730109204368175,0.18861154446177847,0.07620904836193448,0.0,0.13974258970358813,0.026950078003120125,0.0008190327613104524,0.44859594383775353,0.661622464898596,2000
47,DEG_YOU_BOCES,2519,0,448,0,2,0,0,36,0,44,0,0,2007,1232,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,5,8,2,51,1884,2998,2243,533,47,5770,243,589,32,4313,536,41,4,0,0,0,0,0,0,0,11,0,25618,6321,7258,4313,7705,0.0,0.24674057303458505,0.28331641814349284,0.16835818565071434,0.30076508704816923,0.0,0.0983292997111406,0.017487703958154424,0.0014052619252088376,0.2577094230619096,0.4516746037942072,2000
48,DEG_YOU_OSHEA,3630,2,753,0,0,0,0,28,0,33,0,0,2062,992,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,504,2271,3156,1255,187,1,6722,237,527,30,2536,653,41,2,0,0,0,0,0,0,1,0,0,25641,7508,8211,2536,6870,0.0,0.2928122928122928,0.3202293202293202,0.0989040989040989,0.2679302679302679,0.0,0.14157014157014158,0.029367029367029368,0.001092001092001092,0.29195429195429196,0.4191334191334191,2000
49,DEG_YOU_JONES,3885,12,256,0,17,10,0,20,0,212,0,0,2295,2422,0,0,8,0,0,0,0,0,0,0,0,0,10,0,26,0,0,1,0,4,3,1011,1023,1127,247,36,81,7271,79,379,13,4573,458,81,1,0,0,0,0,101,3,0,6,0,25671,9266,8362,4573,2514,0.0,0.36095204705699035,0.3257372131977718,0.17813875579447624,0.09793151805539324,0.0,0.15133808577772584,0.00997234233181411,0.0007790892446729773,0.3010790386038721,0.5038759689922481,2000
50,DEG_VIL,4452,6,264,0,17,10,0,18,2,212,0,0,2267,1653,0,0,8,0,0,0,0,0,0,0,0,0,11,0,27,0,0,1,0,4,3,710,809,1167,267,36,25,7715,232,803,16,4318,442,48,1,0,0,0,0,101,24,0,4,0,25673,9058,9281,4318,2304,0.0,0.35282203092743347,0.36150819927550343,0.16819226424648465,0.08974408912086627,0.0,0.17341175554084057,0.010283176878432594,0.0007011256962567678,0.3408249912359288,0.5297004635219881,2000
51,SEA_HOO,6268,0,2995,0,8,2,0,3298,6,23,0,1,3751,804,2,4,56,8,3,0,0,0,0,0,0,0,745,8,31,0,0,6,283,5,0,35,1227,372,115,18,3,2740,74,331,0,1904,452,28,7,0,0,0,0,0,0,2,0,9,25624,18294,3628,1904,1735,0.0,0.713940056197315,0.14158601311270683,0.07430533874492663,0.06770995941305026,0.0,0.24461442397752106,0.11688261005307524,0.12870746175460507,0.1227364970340306,0.21589135185763347,2000
52,MIL_HUM,4813,0,2321,0,0,0,0,988,0,0,0,0,1339,628,5,0,331,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2127,1496,180,30,0,6445,351,665,15,3805,431,3,1,0,0,0,0,0,0,0,0,0,25980,10426,7910,3805,3833,0.0,0.40130869899923016,0.3044649730561971,0.14645881447267128,0.14753656658968436,0.0,0.18525789068514242,0.08933795227097767,0.0380292532717475,0.2871824480369515,0.45092378752886836,2000
