Participant ID,B4_Drip,B4_Overhead,B4_Hand,B4_Flood,B4_None,B4_Other,B6_Brassica,B6_Cucurbita,B6_Solanaceous,B6_Sweet,B6_Legume,B6_Lamiaceous,B6_Allium,B6_Umbel,B6_Chenopod,B6_Aster,B6_Rosaceae,B6_Ericaceae,B6_Other,B8_Legumes,B8_Brassicas,B8_Buckwheat,B8_Cool,B8_Warm,B8_Phacelia,B8_None,B8_Other,B9_Chickens,B9_Ducks,B9_Cattle,B9_Goats,B9_Sheep,B9_Hogs,B9_None,B9_Other,B10_Alfalfa,B10_Bat,B10_Feather,B10_FishM,B10_Bone,B10_Blood,B10_Cotton,B10_FishE,B10_Soybean,B10_Rock,B10_Kelp,B10_Greensand,B10_Langbeinite,B10_Potassium,B10_Compost,B10_None,B10_Other,B11_Notill,B11_Zone,B11_Ridge,B11_Inrow,B11_Shallow,B11_Permanent,B11_None,B11_Other,B12_Hay,B12_Straw,B12_Plastic,B12_Fabric,B12_Bio,B12_None,B12_Other,B13_Tarping,B13_Solarization,B13_None,B13_Other,B14_Beauveria,B14_Isaria,B14_Chromo,B14_None,B14_Other,B15_Azadiractin,B15_Potassium,B15_Iron,B15_Spinosad,B15_Hydrogen,B15_Reynoutria,B15_None,B15_Other,E4_Drip,E4_Overhead,E4_Hand,E4_Flood,E4_None,E4_Other,E6_Brassica,E6_Cucurbita,E6_Solanaceous,E6_Sweet,E6_Legume,E6_Lamiaceous,E6_Allium,E6_Umbel,E6_Chenopod,E6_Aster,E6_Rosaceae,E6_Ericaceae,E6_Other,E8_Legumes,E8_Brassicas,E8_Buckwheat,E8_Cool,E8_Warm,E8_Phacelia,E8_None,E8_Other,E9_Chickens,E9_Ducks,E9_Cattle,E9_Goats,E9_Sheep,E9_Hogs,E9_None,E9_Other,E10_Alfalfa,E10_Bat,E10_Feather,E10_FishM,E10_Bone,E10_Blood,E10_Cotton,E10_FishE,E10_Soybean,E10_Rock,E10_Kelp,E10_Greensand,E10_Langbeinite,E10_Potassium,E10_Compost,E10_None,E10_Other,E11_Notill,E11_Zone,E11_Ridge,E11_Inrow,E11_Shallow,E11_Permanent,E11_None,E11_Other,E12_Hay,E12_Straw,E12_Plastic,E12_Fabric,E12_Bio,E12_None,E12_Other,E13_Tarping,E13_Solarization,E13_None,E13_Other,E14_Beauveria,E14_Isaria,E14_Chromo,E14_None,E14_Other,E15_Azadiractin,E15_Potassium,E15_Iron,E15_Spinosad,E15_Hydrogen,E15_Reynoutria,E15_None,E15_Other
44,,Overhead,Hand watered,,,,Brassica,,,,,,Allium,,Chenopod,Aster,,,,Legumes,,,,,,,Oats + peas in 25% of field,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Pro-Gro 5-3-4,,,,,Shallow tillage,Permanent beds,,,,,,,,,Wood chips in walkways,,,None,,,,,None,,,,,,,,None,,,Overhead,,,,,Brassica,,Solanaceous,,,,,,,Aster,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Pro-Gro 5-3-4,,,,,Shallow tillage,Permanent beds,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
120,,Overhead,,,,,Brassica,,,,,,,Umbel,,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,Fish meal,,,,,,,Kelp meal,,,,,,,,,,,Shallow tillage,,,,,,,,,None,,,,,"disking w/ high speed disk, stale seed bed, form beds, roto till beds",,,,None,,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)","Hydrogen dioxide (e.g., OxiDate 2.0)","Reynoutria sachaliensis extract (e.g., Regalia)",,,,Overhead,,,,,,,,,,,,Umbel,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,Fish meal,,,,Fish emulsion,Soybean meal,Rock phosphate,Kelp meal,Greensand,,,,,,,,,,Shallow tillage,,,,,,,,,None,,,,,"Tillage (disk w/ hi speed disk), stale seed bed fallow, form raise beds, rototill beds",,,,None,,,,,,,,None,
246,,,,,None,,,,,,,,,,,,,,Rye with clover under seeded,Legumes,,,,,,,,,,,,,,,No animals on field but used pig and chicken manure,,,,,,,,,,,,,,Potassium sulfate,,,Nature safe chilean nitrate  S B Cu,,,,,,,,"Moldboard plow 7"" disk 1x",,,,,,None,,,,,Conventional,,,,None,,,,,,,,None,,,,,,None,,Brassica,,,Sweet corn,,,,,,,,,Wheat,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,Potassium sulfate,,,Cow and chicken manure Zn B S Cu,,,,,,,,"Mold bord sod 1x interceptor Sweet corn in '20, winter what/clover, kale",,,,,,None,,,,,Conventional,"Beauveria bassiana (e.g., BoteCHA ES)",,,,Santerra; Natural,,,"Iron phosphate (e.g., Bug-N-Sluggo)",,,,,
73,,,,,None,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,Rosaceae,,"Haskap, currant, elderberry, grape (table), calendula, sunchokes, sweet potatoes, horse radish, cardoon",,,,,,,None,Weeds,Chickens,,,,,,,,,,,,,,,,,,,,,,,,Chicken manure,,,,,Shallow tillage,,,,Hay,,,,,,,,,None,,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,"Apples, pears, hops (one tee pee), asparagus (in decline - shade), sunchokes - volunteers for chicken feed, mulberries, hazenuts, paw paw, quince, elderberries, gooseberries, currants, mint",,,,,,,,"Various grasses & ""weeds""",Chickens,,,,,,,Free range chickens have daily access,,,,,,,,,,,,,,,,,Chicken manure,No-till,,,,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
100,Drip,,,,,,,Cucurbit,Solanaceous,,Legume,,Allium,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,Straw,,,,,,Tarping,,,,,,,None,,,,,,,,None,,Drip,Overhead,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,Ericaceae,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till,,,,,,,,,Straw,,,,,,Tarping,,,,,,,None,,,,,,,,None,
150,,Overhead,,,,,Brassica,,,,,,,,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,,Pelleted chicken compost 5-4-3,,,,,,,None,,,,,,,None,,Tarping,,,,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,Rye/red clover/tritical/pea mix,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,No-till,,,,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,
207,Drip,Overhead,,,,,,Cucurbit,Solanaceous,,,,,,,,,,,,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,Rock phosphate,,,,,Compost,,Composted chicken maure,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,,"Wood chips in alleys, nothing on beds",Tarping,,,,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,Hazelnuts,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,Chickens,,,,,,,,,,,,,,,,,Rock phosphate,,,,,Compost,,,No-till,,,,,,,,,,,,,,Wood chips,,,None,,,,,None,,,,,,,,None,
137,,,,,None,,,,,,,,,,,,,,Fallow,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,None,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,,,,None,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,,,Umbel,Chenopod,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,Plastic mulch,,,,,,,None,,,,,None,,,,,,,,None,
87,,Overhead,,,,,Brassica,Cucurbit,,,,,,,Chenopod,Aster,,,,Legumes,Brassicas,,,"Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,,,Probooster derived from vegetable & animal protein meals,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,,"Leaves, leaf compost",Tarping,,,,,,,None,,,,,,,,None,,,Overhead,,,,,,Cucurbit,Solanaceous,,Legume,,Allium,Umbel,Chenopod,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,,,Probooster derived from vegetable & animal protein meals,No-till,,,,,,,,,,,,,,"Leaves, leaf compost",Tarping,,,,,,,None,,,,,,,,None,
90,Drip,Overhead,Hand watered,Flood,,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,Ericaceae,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,Bone meal,,,Fish emulsion,,Rock phosphate,Kelp meal,Greensand,,,Compost,,"Fert. w/ many ingredients, Azomite",,,,In-row subsoiling,,Permanent beds,,,Hay,Straw,Plastic mulch,Weed barrier fabrics,,,,Tarping,,,,,,,,Triple threat from arbico organics,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",Hydrogen dioxide,"Reynoutria sachaliensis extract (e.g., Regalia)",,"Neem oil, m-pede",Drip,Overhead,Hand watered,Flood,,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,Ericaceae,,Legumes,,Buckwheat,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,Bone meal,,,Fish emulsion,,Rock phosphate,Kelp meal,Greensand,,,Compost,,"Fert. w/ many ingredients, Azomite",,,,In-row subsoiling,,Permanent beds,,,Hay,Straw,Plastic mulch,Weed barrier fabrics,,,,Tarping,,,,,,,,Triple threat from arbico organics,,,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",Hydrogen dioxide,"Reynoutria sachaliensis extract (e.g., Regalia)",,"Neem oil, m-pede"
127,,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,,Chenopod,Aster,,,Medicinal Herbs,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,Aged manure/compost from my horses,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,,,,,,None,,Tarping,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,None,,,Cucurbit,Solanaceous,,Legume,,Allium,Umbel,,,Rosaceae,,,,,,,,,None,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,,,,,,,Permanent beds,,,,,Plastic mulch,,,,Cardboard & shredded paper,Tarping,,,,,,,None,,,,"Iron phosphate (e.g., Bug-N-Sluggo)",,,,,,,Overhead,Hand watering,,,,Brassica,Cucurbit,Solanaceous,,Legume,,Allium,Umbel,Chenopod,,,,,,,,,,,None,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,Liquid seaweed,,,,,,Permanent beds,,,,,,,,,Cardboard & shredded paper,,,None,,,,,None,,,,"Iron phosphate (e.g., Bug-N-Sluggo)",,,,,
131,Drip,Overhead,,,,,,,Solanaceous,,,,,Umbel,Chenopod,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,Cow manure in parsnips,,,,,,Permanent beds,,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,Drip,,Hand watering,,,,Brassica,,Solanaceous,,,,,,,,,,Sunchokes,Legumes,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,None,,,,,,,Permanent beds,,,,,,,,,Hay ... on … tomatoes,,,None,,,,,None,,,,,,,,None,
139,Drip,,,,,,,,Solanaceous,,,,Allium,,,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,Feather meal,,Bone meal,Blood meal,,,,,,,,,,,,,,,,,,None,,,,,,,None,,,,None,,,,,,,,,,,,,,,Drip,Overhead,,,,,Brassica,Cucurbit,,,,,,Umbel,Chenopod,,,,,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,Feather meal,,Bone meal,Blood meal,,,,,,,,,,,,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,Hydrogen dioxide,,,
69,Drip,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,,Legume,,Allium,Umbel,Chenopod,Aster,,,,Legumes,,,"Cool season grasses (e.g., winter rye)","Warm season grasses (e.g., sorghum, millet, sudangrass)",,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Composted poultry manure,No-till (soil is undisturbed by any tillage equipment between plantings),,,In-row subsoiling,Shallow tillage,,,,,Straw,Plastic mulch,Weed barrier fabrics,Biodegradable planting paper,,,Tarping,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Drip,,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,,,,,,,,,"Cool season grasses (e.g., winter rye)",,,,,,,,,,,None,,,,,,,,,Fish emulsion,,,,,,,Compost,,Chicken manure,,,,,Shallow tillage,,,,,,,Weed barrier fabrics,,,,,,None,,,,,None,,"Azadiractin (e.g., AzaGuard, Neemix)",,,"Spinosad (e.g., Bug-N-Sluggo, Seduce)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,Hand watered,,,,Brassica,,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,Legumes,,Buckwheat,,,,,decayed leaves,,,,,,,None,,,,,,,,,,,,,,,,,,"Agri dynamics plant sure, Agri dynamics regenerex",,,,,,,,Rototill once in spring to prepare beds or when needed,Hay,,,Weed barrier fabrics,,,Decayed leaves,Tarping,,,,,,,,,,,,,,,,"Plant Dome, Martins Agri Supply",,,Hand watering,,,,Brassica,,Solanaceous,,,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,Legumes,,Buckwheat,,,,,Decayed leaves,,,,,,,,Manure,,,,,,,,,,,,,,,Compost,,"Agri Dynamics Plant Sure, Agri Dynamics Regenerex, Agri Dynamics Plant Dome",,Zone tillage,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,Straw,,,,,Decayed leaves,,,None,,,,,,Plant Dome - Matrins Agri Supply,,,,,,,,"Plant Dome, Martin Ag Supply"
132,,,Hand watered,,,,Brassica,Cucurbit,Solanaceous,Sweet corn,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,,,,,Lambs quarter/amaranth/weeds,Chickens,,,,Sheep,,,,,,,,,,,Fish emulsion,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,,,,Hay,Straw,,,,,"Barn dirt, newspaper/cardboard",,,,"Layers of cardboard buried in hay. Old metal roofing laid on the ""weeds"" until they yellow. Roofing then moved to a new area.",,,,None,,,,,,,,None,,,,,,None,,,,Solanaceous,Sweet corn,Legume,,,,,,,,,,,Buckwheat,,,,,,Chickens,,Cattle,,Sheep,Hogs,,,,,,,,,,,,,,,,,,None,,No-till,,,,,,,,Hay,Straw,,,Biodegradable planting paper,,Barn dirt,,,None,,,,,None,,,,,,,,None,
268,,,,,None,,,,,,,,,,,,Rosaceae,,,Legumes,,Buckwheat,,,,,Perennial orchard grass,,,,,,,None,,,,,,,,,,,,,,,,Compost,,Azomite,,,,,,,None,,,,,,,None,,,,,Perennial cover cropping for 2.5 years (mowed),,,,None,,,,,,,,None,,,,,,None,,,,,Sweet corn,,,,,,,,,Cover crops,,,,,,,,Perennial clover & grasses,,,,,,,None,,,,,,,,,,,,Kelp meal,,,,Compost,,,,,,,,,None,,,,,,,None,,,,,Cover cropping,,,,None,,,,,,,,None,
31,,,,,None,"Mostly none, very limited use of soaker hoses",Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,Nursey fruit trees,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,Chickens,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,None,,,,,,,None,,,,None,,,,,None,,,,,,,,None,,,,,,None,,,,,,,,,,,,Rosaceae,,Nursery fruit trees,Legumes,,,"Cool season grasses (e.g., winter rye)",,,,,Chickens,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,"The field was not tilled this year b/c we have one year of covercrop (mow down rye & vetch, let clover take over) in between years when we grow vegetables.",,,,,,None,,,,None,,,,,None,,,,,,,,None,
167,,,Hand watered,,,Rain,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,,,,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,,,"Ridge-till (cultivator maintains permanent ridge for planting, wheel traffic in same lanes)",,,,,,,,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,Overhead,,,,,Brassica,Cucurbit,Solanaceous,,Legume,Lamiaceous,Allium,Umbel,Chenopod,Aster,Rosaceae,Ericaceae,,,,Buckwheat,,,,,,,,,,,,None,,,,,,,,,,,,,,,,Compost,,,No-till (soil is undisturbed by any tillage equipment between plantings),,,,,Permanent beds,,Our beds are permanent. The only way that we disturb the soil is with a broadfork between plantings.,,,,Weed barrier fabrics,,,,Tarping,,,,,,,None,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
