Farm,Date,Year,Week,FeedThru,FeedThruType,FlyTreat,FlyTreatType,Pyrethroid,Pyrethrin,IGR,Ivermectin,Grazing,RotFreqDays,Other,Calamosternus granarius,Colobopterus erraticus,Aphodius fimetarius,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Chilothorax distinctus,Teuchestes fossor,Labarrus lividus,Blackburneus stercorosus,Ataenius strigatus,Trichonotulus scrofa,Eupleurus subterraneus,Onthophagus taurus,Onthophagus pensylvannicus,Onthophagus nuchicornis,Onthophagus hecate,AbAll,AbDB,AbNonDB,AbHist,AbHydro,AbHySmall,AbHyLarge,AbStaph,Richness (db),Weather,Windy,Temperature,HornFliesAvg,FaceFliesAvg,StableFliesAvg,GPS
Rugenstein,26-Jun,2024,4,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,190,1,178,59,119,11,3,S,N,80,,,,"42.9400909,-77.3028408"
Charlie Reinshagen,27-Jun,2024,4,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,2,231,22,2,1,0,0,0,18,8,17,0,0,0,1,0,0,0,661,305,356,4,294,195,99,58,10,S,N,65,,,,"42.378973, -74.666026"
Maks Melvan,3-Jul,2024,4,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,10,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,146,23,123,0,120,70,50,3,4,S,N,73,63.75,7,5,"42.36579, -74.589692"
LaurDom Cattle Co.,27-Jun,2024,4,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,124,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,524,132,392,1,347,11,336,44,5,PC,N,64,,,,"42.265233, -74.757086"
Stony Creek Farm,27-Jun,2024,4,N,N,N,N,N,N,N,N,Rotational,5,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,48,0,38,8,30,10,3,C,Y,64,146.25,22,1,"42.252111, -75.107264"
Porco,27-Jun,2024,4,N,N,N,N,N,N,N,Y,MIG,1,,0,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,17,79,3,75,21,54,1,3,S,N,91,37.5,7,5,"43.03266, - 74.7694"
Young,27-Jun,2024,4,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,10,22,0,19,4,15,3,3,S,N,88,37.5,5.6,5,"42.88130, - 74.8338"
Devine Gardens,27-Jun,2024,4,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,5,30,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,105,46,59,0,58,24,34,1,5,S,N,95,37.5,7,0,"42.91542, - 75.7471"
Essex Farm,28-Jun,2024,4,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,0,40,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,128,47,81,5,65,14,51,11,5,S,N,81,52,42,1,"44.309224, -73.369184"
Daona,26-Jun,2024,4,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,4,635,0,577,563,14,58,3,PC,N,80,3.5,2.2,1.2,"43.87937158694747, -73.31594295713514"
KZ,26-Jun,2024,4,N,N,N,N,N,N,N,N,MIG,1,,0,29,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,57,132,1,115,65,50,16,3,S,N,80,318,47.5,0,"44.21408785253618, -73.44422118959798"
J+R Pierce,5-Jul,2024,4,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,0,23,16,5,0,0,0,0,0,0,1,0,0,3,0,0,0,0,551,48,503,3,457,108,349,43,5,S,N,78,22,33.5,1.3,"44.78597240570679, -73.52093274538599"
Donahues,28-Jun,2024,4,N,N,N,N,N,N,N,N,Continuous,30,,0,63,7,2,0,0,0,0,0,0,1,0,0,0,2,0,4,0,262,79,183,0,155,14,8,28,6,S,N,72,19,14,0.5,"44.783728724190745, -74.45422136124527"
Chaseholm,11-Jul,2024,5,N,N,N,N,N,N,N,N,Rotational,3,,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,31,275,1,247,14,233,27,2,C,N,86,56,44,17,"41.959261, -73.608753"
Full Moon,12-Jul,2024,5,N,N,N,N,N,N,N,Y,Rotational,10,,1,0,0,22,0,0,0,0,0,11,5,1,0,0,0,0,0,0,131,40,91,0,83,25,58,8,5,C,N,78,58.75,26.25,6.25,"41.753636, -74.122224"
Boone,11-Jul,2024,5,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,1,76,0,39,4,1,0,0,0,0,14,1,0,0,2,0,0,1,254,139,115,5,106,38,68,4,9,S,N,83,27.14,11.43,8.57,"42.514032, -74.047356"
Wilmar Farm,12-Jul,2024,5,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,24,0,24,8,16,0,1,S,N,83,37.5,7,5,"42.652490, -78.247704"
Hendricksons Grazing Acres,12-Jul,2024,5,N,N,N,N,N,N,N,Y,MIG,1,,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,21,7,14,0,13,4,9,1,4,S,N,87,14,20.5,5.5,"42.622045, -78.134195"
Tamberlane Farm,12-Jul,2024,5,Y,Clarifly,Y,"diflubenzuron, pyrethroid",Y,N,Y,N,Rotational,7,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,16,0,10,4,6,6,1,PC,N,84,52.5,7,5,"42.8279777,-77.2584595"
Rugenstein,12-Jul,2024,5,Y,Clarifly,Y,"diflubenzuron, pyrethrins",N,Y,Y,N,Rotational,3,,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,133,7,126,2,112,69,43,12,4,S,N,74,52.5,9.6,5,"42.9400909,-77.3028408"
Charlie Reinshagen,11-Jul,2024,5,Y,Rabon,Y,"tetrachlorvinphos, pyrethroid",Y,N,N,N,Continuous,30,,0,79,8,1,5,11,0,0,1,0,0,1,0,0,6,0,0,1,671,113,558,0,532,251,281,26,9,S,N,75,52.5,15.5,,"42.378973, -74.666026"
Maks Melvan,11-Jul,2024,5,N,N,Y,permethrin,Y,N,N,Y,Continuous,30,,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,16,57,0,57,0,57,0,1,S,N,80,78.75,57.65,2.9,"42.36579, -74.589692"
LaurDom Cattle Co.,11-Jul,2024,5,N,N,Y,pyrethrins,N,Y,N,Y,Rotational,10,,0,110,12,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,272,129,143,0,137,3,134,6,5,C,Y,75,,,,"42.265233, -74.757086"
Stony Creek Farm,11-Jul,2024,5,N,N,N,N,N,N,N,N,Rotational,5,,1,0,1,3,3,0,0,0,1,0,3,0,0,0,0,0,0,0,91,12,79,4,70,12,58,5,6,C,N,72,188.75,39,14,"42.252111, -75.107264"
Porco,11-Jul,2024,5,N,N,N,N,N,N,N,Y,MIG,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,27,0,27,8,19,0,1,S,Y,73,0,7,3.2,"43.03266, - 74.7694"
Young,11-Jul,2024,5,N,N,N,N,N,N,N,Y,Rotational,3.5,,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,4,7,0,6,1,5,1,3,S,Y,75,0,7,0,"42.88130, - 74.8338"
Devine Gardens,9-Jul,2024,5,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Rotational,4,,0,0,12,4,1,0,0,0,9,0,0,0,0,0,0,0,0,0,45,26,19,1,18,15,3,0,4,S,N,91,0,7,0,"42.91542, - 75.7471"
Essex Farm,12-Jul,2024,5,N,N,Y,pyrethrins,N,Y,N,N,MIG,1,Essential oils,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2,112,0,33,12,21,79,2,S,N,78,74,45,2.4,"44.309224, -73.369184"
Daona,10-Jul,2024,5,Y,Clarifly,Y,diflubenzuron,N,N,Y,N,Continuous,30,,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,338,4,334,2,247,244,3,85,3,C,Y,75,3.6,3.5,5.6,"43.87937158694747, -73.31594295713514"
KZ,12-Jul,2024,5,N,N,N,N,N,N,N,N,MIG,1,,1,14,0,29,1,1,0,0,0,0,0,0,0,1,0,0,0,0,560,47,513,6,445,230,215,62,6,R,N,78,147,18,0.8,"44.21408785253618, -73.44422118959798"
J+R Pierce,17-Jul,2024,5,N,N,Y,permethrin,Y,N,N,N,Rotational,1.5,Diesil,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,36,0,29,19,10,7,2,C,N,78,15.6,14.5,12.9,"44.78597240570679, -73.52093274538599"
Donahues,9-Jul,2024,5,N,N,N,N,N,N,N,N,Continuous,30,,0,120,4,24,8,15,0,0,2,0,14,0,0,1,3,0,1,0,866,192,674,2,506,396,111,165,10,C,Y,82,21.7,15.3,1.7,"44.783728724190745, -74.45422136124527"
Chaseholm,30-Jul,2024,6,N,N,N,N,N,N,N,N,Rotational,3,,0,0,0,16,1,0,0,0,0,5,1,0,0,0,0,0,0,2,98,25,73,2,52,15,37,19,5,S,Y,85,185,45.5,20.5,"41.959261, -73.608753"
Full Moon,23-Jul,2024,6,N,N,N,N,N,N,N,Y,Rotational,10,,1,0,0,23,3,1,0,0,0,9,86,2,0,0,0,0,0,1,172,126,46,9,31,14,17,6,8,C,N,81,97.14,57.14,0,"41.753636, -74.122224"
Boone,29-Jul,2024,6,Y,Clarifly,Y,diflubenzuron,N,N,Y,Y,Continuous,30,,0,8,0,15,0,0,0,0,0,1,19,1,0,0,0,0,0,2,178,46,132,6,111,49,62,15,6,C,Y,81,58.13,30,8.75,"42.514032, -74.047356"
Wilmar Farm,24-Jul,2024,6,Y,Altosid,Y,methoprene,N,N,Y,N,MIG,1,,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,0,6,0,6,0,2,S,N,87,10.5,21.5,5,"42.652490, -78.247704"
Hendricksons Grazing Acres,24-Jul,2024,6,N,N,N,N,N,N,N,Y,MIG,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,5,3,2,0,1,S,N,87,15,19.5,5,"42.622045, -78.134195"
