,farm,date,year,calamosternus_granarius,colobopterus_erraticus,aphodius_fimetarius,otophorus,oscarinus_rusicola,alloblackburneus_rubeolus,acrossus_rubripennis,chilothorax_distinctus,teuchestes_fossor,labarrus_lividus,blackburneus_stercorosus,dialytellus_dialytoides,trichonotulus_scrofa,eupleurus_subterraneus,onthophagus_taurus,onthophagus_pensylvannicus,onthophagus_nuchicornis,onthophagus_hecate,unnamed_21,onthopagus_abundance,aphodius_abundance,total_abundance,q_0_richness,q_1_shannon,q_2_simpson,native_species_abundance,native_species_richness,native_species_proportion,unnamed_0,lat,long,corn,soybeans,sweet_corn,barley,winter_wheat,rye,oats,alfalfa,other_hay_non_alflafa,buckwheat,dry_beans,potatoes,misc_vegs_&_fruits,clover_wildflowers,fallow_idle_cropland,cherries,apples,grapes,christmas_trees,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,barren,deciduous_forest,evergreen_forest,mixed_forest,shrubland,grassland_pasture,woody_wetlands,herbaceous_wetlands,total,ag,ag_prop,nat,nat_prop,semi_nat,semi_nat_prop,dev,dev_prop,other,other_prop,woodland,woodland_prop,forest_prop,total_nat_prop,drainage,soil_texture,julian_day,season,sorghum,sunflower,spring_wheat,sugarbeets,onions,cucumbers,peas,sod_grass_seed,other_tree_crops,aquaculture,triticale,carrots,broccoli,greens,squash,dbl_crop_triticale_corn,pumpkins
10,Rugenstein,2022-05-12,2022,390,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,405,406,4,1.21737856,1.082752007,0,0,0.0,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,132,spring,,,,,,,,,,,,,,,,,
11,Eisele,2022-05-12,2022,1,58,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,60,62,4,1.358384129,1.140652819,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,132,spring,,,,,,,,,,,,,,,,,
12,Shephard,2022-05-12,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,132,spring,,,,,,,,,,,,,,,,,
13,Chaseholm,2022-05-17,2022,0,174,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,177,179,3,1.157521451,1.057842781,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,137,spring,,,,,,,,,,,,,,,,,
14,Wallbridge,2022-05-18,2022,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,3,3,2,1.889881575,1.8,0,0,0.0,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,138,spring,,,,,,,,,,,,,,,,,
15,JohnK,2022-05-18,2022,0,16,0,12,1,0,0,0,1,0,0,0,0,0,4,0,0,0,,4,30,34,5,3.259238438,2.765550239,1,1,0.033333333,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,138,spring,,,,,,,,,,,,,,,,,
16,Boone,2022-05-18,2022,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,23,2,1.343716378,1.188764045,0,0,0.0,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,138,spring,,,,,,,,,,,,,,,,,
17,Turner,2022-05-19,2022,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,24,24,2,1.189110093,1.086792453,1,1,0.041666667,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,139,spring,,,,,,,,,,,,,,,,,
18,Kuipers,2022-05-19,2022,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,11,2,1.796701742,1.657534247,0,0,0.0,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,139,spring,,,,,,,,,,,,,,,,,
19,Honeyhill,2022-05-19,2022,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,12,12,3,2.057442459,1.674418605,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,139,spring,,,,,,,,,,,,,,,,,
20,Rugenstein,2022-05-19,2022,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,2,1.960131704,1.923076923,2,1,0.2,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,139,spring,,,,,,,,,,,,,,,,,
21,Eisele,2022-05-19,2022,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,7,2,1.506993066,1.324324324,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,139,spring,,,,,,,,,,,,,,,,,
22,Shephard,2022-05-19,2022,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,2,1.649384888,1.470588235,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,139,spring,,,,,,,,,,,,,,,,,
23,Chaseholm,2022-05-24,2022,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,29,30,3,1.59624259,1.311953353,1,1,0.034482759,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,144,spring,,,,,,,,,,,,,,,,,
24,Wallbridge,2022-05-26,2022,0,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,15,3,1.873306886,1.510067114,2,1,0.066666667,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,146,spring,,,,,,,,,,,,,,,,,
25,JohnK,2022-05-25,2022,4,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,26,26,3,2.72309218,2.541353383,0,0,0.0,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,145,spring,,,,,,,,,,,,,,,,,
26,Boone,2022-05-25,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,1,1.0,1.0,0,0,0.0,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,145,spring,,,,,,,,,,,,,,,,,
27,Turner,2022-05-27,2022,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,2,1.889881575,1.8,0,0,0.0,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,147,spring,,,,,,,,,,,,,,,,,
28,Kuipers,2022-05-27,2022,0,43,1,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,,4,81,85,4,2.466691511,2.233384853,37,1,0.012345679,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,147,spring,,,,,,,,,,,,,,,,,
29,Honeyhill,2022-05-26,2022,0,46,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,47,49,3,1.309039675,1.132013201,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,146,spring,,,,,,,,,,,,,,,,,
30,Rugenstein,2022-05-26,2022,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,8,8,3,2.08677944,1.684210526,1,1,0.125,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,146,spring,,,,,,,,,,,,,,,,,
31,Eisele,2022-05-26,2022,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,7,1,1.0,1.0,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,146,spring,,,,,,,,,,,,,,,,,
32,Shephard,2022-05-26,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,146,spring,,,,,,,,,,,,,,,,,
33,Chaseholm,2022-05-31,2022,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17,17,1,1.0,1.0,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,151,spring,,,,,,,,,,,,,,,,,
34,Wallbridge,2022-06-01,2022,0,15,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,21,22,3,2.129703814,1.847328244,0,0,0.0,1,41.77499761,-73.65156555,71,3,1,0,0,0,0,73,93,0,0,0,4,0,9,0.0,0,0,0.0,10,61,87,14,3,1,1766,14,48,1,752,171,3,3153.12343206,245,0.0777007323940809,2004,0.6355602763989311,752,0.2384936765728524,166,0.0526462105200711,0.0,0.0,2001,0.6346088388594118,0.5797426074137955,0.8740539529717835,4,4,152,spring,,,,,,,,,,,,,,,,,
35,JohnK,2022-06-01,2022,0,11,0,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,1,20,21,5,3.126284818,2.549132948,1,1,0.05,2,42.40061728,-73.99420583,6,1,0,0,0,0,0,67,27,0,0,0,0,0,0,0.0,0,0,0.0,8,79,102,20,0,2,938,705,770,3,270,205,12,3183.4064114499997,101,0.0317270203505043,2635,0.8277296893423646,270,0.0848148068775857,203,0.06376816961537,0.0,0.0,2623,0.8239601423700275,0.7579930703541274,0.9125444962199504,5,5,152,spring,,,,,,,,,,,,,,,,,
36,Boone,2022-06-01,2022,0,31,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,,1,34,35,5,1.671658985,1.269430052,3,3,0.088235294,3,42.54463393,-74.03369648,25,0,0,0,0,0,0,168,25,0,0,0,0,0,0,0.0,0,0,0.0,17,77,9,2,0,1,1898,69,642,2,186,60,37,3186.51093745,218,0.0684133851347939,2709,0.850146148303471,186,0.0583710533718883,89,0.027930235215581,0.0,0.0,2672,0.8385347022026115,0.8187638615443913,0.9085172016753594,2,5,152,spring,,,,,,,,,,,,,,,,,
37,Turner,2022-06-02,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,4,42.22686594,-76.99705251,11,1,0,0,0,0,0,23,95,0,0,0,0,0,0,0.0,0,0,0.0,3,195,15,4,3,0,1221,323,780,2,514,8,1,3164.22981343,130,0.0410842472465933,2335,0.7379362870830417,514,0.1624407929596074,217,0.0685790896346981,0.0,0.0,2334,0.7376202544119141,0.7344599277006377,0.9003770800426492,2,5,153,spring,,,,,,,,,,,,,,,,,
38,Kuipers,2022-06-02,2022,8,9,0,1,3,0,0,0,1,0,0,2,0,0,1,0,0,0,,1,24,25,7,4.831555351,3.881987578,5,2,0.083333333,5,42.652411,-78.24775957,228,54,12,0,1,0,0,940,46,4,2,373,0,1,3,0.0,0,0,6.0,0,153,39,8,1,0,733,91,234,1,212,77,3,3186.40465143,1667,0.5231601702727496,1139,0.3574561691305709,212,0.0665326671252686,201,0.0630805004348066,0.0,0.0,1136,0.3565146691240813,0.3320356689553503,0.4239888362558396,2,5,153,spring,,,,,,,,,,,,,,,,,
39,Honeyhill,2022-06-02,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,2,2,2.0,2.0,0,0,0.0,6,42.7876199,-77.6811557,532,187,0,0,1,0,0,160,235,0,0,0,0,0,3,0.0,0,1,0.0,7,250,55,11,0,0,828,1,90,1,822,48,1,3198.1064642,1116,0.3489564880008349,969,0.3029917893125529,822,0.2570270906242708,316,0.0988084679285518,0.0,0.0,968,0.3026791042874626,0.2873575380580352,0.5600188799368238,2,4,153,spring,,,,,,,,,,,,,,,,,
40,Rugenstein,2022-06-02,2022,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,1,1.0,1.0,0,0,0.0,7,43.06299376,-77.30374235,220,42,0,0,8,0,0,7,13,0,0,0,0,1,2,1.0,6,0,3.0,2,445,409,118,59,6,911,6,111,1,495,380,1,3212.7592514099997,301,0.0936889372796603,1416,0.4407426418205948,495,0.1540731692805045,1037,0.322775508169461,0.0,0.0,1415,0.4404313828927554,0.3199741778189064,0.5948158111010995,8,4,153,spring,,,,,,,,,,,,,,,,,
41,Eisele,2022-06-02,2022,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,5,2,1.649384888,1.470588235,0,0,0.0,8,42.15807,-74.802461,5,0,0,0,0,0,0,14,244,0,0,0,0,0,0,0.0,0,0,0.0,1,124,38,10,2,7,1909,92,311,3,415,17,2,3161.355609,263,0.0831921594809741,2341,0.7405051153800774,415,0.1312727991810047,181,0.0572539196427996,0.0,0.0,2339,0.7398724753840243,0.7313318354373084,0.8717779145610821,8,5,153,spring,,,,,,,,,,,,,,,,,
42,Shephard,2022-06-02,2022,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,19,2,1.40003293,1.232081911,0,0,0.0,9,42.322393,-74.891982,10,1,0,0,0,4,0,24,200,0,0,0,0,2,0,0.0,0,0,0.0,0,141,24,7,2,0,1892,17,64,8,805,8,2,3178.430411,241,0.0758235886385747,1991,0.6264098131925406,805,0.2532696632948243,174,0.0547440017556514,0.0,0.0,1989,0.6257805717930504,0.6207466405971284,0.879679476487365,4,5,153,spring,,,,,,,,,,,,,,,,,
43,Chaseholm,2022-06-06,2022,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,6,2,2.0,2.0,0,0,0.0,0,41.98788599,-73.6178036,36,3,0,5,0,1,2,294,401,0,0,0,0,0,7,0.0,7,0,0.0,1,106,63,11,0,1,1305,76,63,5,732,68,1,3156.37008239,749,0.2372979024794386,1519,0.481249017177927,732,0.2319119687783032,181,0.0573443529356186,0.0,0.0,1518,0.4809321975484484,0.4574875449670353,0.7131609859562302,8,4,157,spring,,,,,,,,,,,,,,,,,
