,Name,VALUE_0,Corn,Oats,Alfalfa,Other Hay/Non Alfalfa,Potatoes,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Strawberries,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
13,M14,0,2,0,1,204,0,0,0,7,120,15,4,2,0,3304,348,1559,19,162,75,2,0,0,940,6764,943,0.13941454760496746,5307,0.784594914251922,162,0.023950325251330572,141,0.020845653459491426,7,0.0010348905972797163,0.7704021289178001,0.8085452395032525,1000
14,M15,0,0,0,0,74,0,18,0,0,136,37,5,0,0,4552,176,1235,32,65,30,0,0,2,402,6764,404,0.05972797161442933,6025,0.8907451212300413,65,0.00960969840331165,178,0.02631578947368421,0,0.0,0.881578947368421,0.900354819633353,1000
15,M16,1108,4,0,0,61,0,2,0,15,72,349,224,21,94,268,987,2717,80,278,244,36,0,0,253,6813,257,0.03772200205489505,4426,0.6496403933656245,278,0.040804344635256125,760,0.11155144576544841,15,0.002201673271686482,0.5830030823425804,0.6904447380008807,1000
16,M17,0,0,0,1,202,0,0,0,184,125,50,10,0,3,3006,389,1374,13,210,51,7,0,0,1137,6762,1138,0.16829340431824905,4843,0.7162082224194025,210,0.031055900621118012,188,0.027802425317953267,184,0.027210884353741496,0.7052647145814848,0.7472641230405205,1000
17,M18,0,2,0,1,259,0,0,0,93,117,67,30,0,0,2651,357,1520,21,275,56,7,0,0,1310,6766,1313,0.19405852793378658,4612,0.6816435116760272,275,0.04064439846290275,214,0.031628731894767954,93,0.013745196571090747,0.6692284954182678,0.72228791013893,1000
18,M19,0,2,0,1,272,0,0,0,102,122,66,30,0,1,2617,337,1530,23,298,54,7,0,0,1299,6761,1302,0.1925750628605236,4569,0.675787605383819,298,0.04407632007099541,219,0.032391658038751665,102,0.015086525661884337,0.663215500665582,0.7198639254548144,1000
19,M20,0,0,0,0,102,0,18,0,2,132,34,5,0,0,4373,200,1356,32,72,30,2,0,2,402,6762,404,0.05974563738538894,5993,0.886276249630287,72,0.01064773735581189,171,0.025288376220053237,2,0.0002957704821058858,0.8768115942028986,0.8969239869860989,1000
20,M21,0,0,0,0,262,0,0,3,14,270,82,8,0,0,2210,327,2397,38,779,180,55,0,0,103,6728,106,0.015755053507728895,5207,0.7739298454221165,779,0.11578478002378122,360,0.0535077288941736,14,0.002080856123662307,0.7333531510107015,0.8897146254458977,1000
21,M22,0,0,0,0,167,0,0,10,0,197,298,127,2,0,105,2265,2830,38,186,496,2,3,0,3,6729,16,0.002377767870411651,5736,0.8524297815425769,186,0.027641551493535442,624,0.0927329469460544,0,0.0,0.7727745578837866,0.8800713330361123,1000
22,M23,0,52,5,3,283,3,0,0,2342,235,156,34,8,43,132,675,1098,22,500,448,664,0,0,6,6709,69,0.010284692204501416,3082,0.45938291846772994,500,0.07452675510508272,476,0.07094947086003875,2342,0.3490833209122075,0.28394693695036516,0.5339096735728126,1000
