,Name,Corn,Alfalfa,Other Hay/Non Alfalfa,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
10,M11,0,0,2,0,0,0,40,6,0,0,26,12,130,1,7,0,0,0,199,423,199,0.47044917257683216,169,0.39952718676122934,7,0.016548463356973995,46,0.10874704491725769,0,0.0,0.3971631205673759,0.41607565011820336,250
11,M12,0,0,0,13,0,0,8,2,0,0,229,0,26,13,4,3,0,2,123,423,125,0.29550827423167847,271,0.640661938534279,4,0.009456264775413711,10,0.02364066193853428,0,0.0,0.6028368794326241,0.6501182033096927,250
12,M13,0,1,13,0,0,0,0,0,0,0,23,0,8,0,19,0,0,0,360,424,361,0.8514150943396226,31,0.07311320754716981,19,0.04481132075471698,0,0.0,0,0.0,0.07311320754716981,0.1179245283018868,250
13,M14,0,0,0,0,0,7,7,0,0,0,62,71,79,1,0,23,2,0,170,422,170,0.4028436018957346,238,0.5639810426540285,0,0.0,7,0.016587677725118485,7,0.016587677725118485,0.5023696682464455,0.5639810426540285,250
14,M15,0,0,0,13,0,0,8,2,0,0,229,0,26,13,4,3,0,2,123,423,125,0.29550827423167847,271,0.640661938534279,4,0.009456264775413711,10,0.02364066193853428,0,0.0,0.6028368794326241,0.6501182033096927,250
15,M16,0,0,6,0,0,0,0,22,15,0,99,3,114,3,20,0,0,0,145,427,145,0.3395784543325527,219,0.5128805620608899,20,0.0468384074941452,37,0.08665105386416862,0,0.0,0.5058548009367682,0.5597189695550352,250
16,M17,0,1,3,0,0,0,1,0,0,0,102,0,7,0,8,0,0,0,298,420,299,0.7119047619047619,109,0.25952380952380955,8,0.01904761904761905,1,0.002380952380952381,0,0.0,0.25952380952380955,0.2785714285714286,250
17,M18,0,1,3,0,0,0,0,0,0,0,91,0,44,2,9,0,0,0,272,422,273,0.6469194312796208,137,0.3246445497630332,9,0.02132701421800948,0,0.0,0,0.0,0.31990521327014215,0.3459715639810427,250
18,M19,0,1,0,0,0,0,0,0,0,0,111,0,64,2,6,0,0,0,236,420,237,0.5642857142857143,177,0.42142857142857143,6,0.014285714285714285,0,0.0,0,0.0,0.4166666666666667,0.4357142857142857,250
19,M20,0,0,0,5,0,0,7,1,0,0,223,0,31,7,2,3,0,0,145,424,145,0.3419811320754717,264,0.6226415094339622,2,0.0047169811320754715,8,0.018867924528301886,0,0.0,0.5990566037735849,0.6273584905660378,250
20,M21,0,0,28,0,0,0,4,0,1,0,80,3,64,14,194,1,0,0,33,422,33,0.07819905213270142,162,0.38388625592417064,194,0.4597156398104265,5,0.011848341232227487,0,0.0,0.34834123222748814,0.8436018957345972,250
21,M22,0,0,88,0,8,0,43,23,0,0,13,25,159,4,52,3,0,0,3,421,11,0.026128266033254157,204,0.4845605700712589,52,0.12351543942992874,66,0.15676959619952494,0,0.0,0.4679334916864608,0.6080760095011877,250
22,M23,11,0,34,0,0,107,31,6,0,2,2,10,47,4,82,21,65,0,0,422,11,0.026066350710900472,151,0.3578199052132701,82,0.1943127962085308,39,0.0924170616113744,107,0.25355450236966826,0.13981042654028436,0.5521327014218009,250
