,Name,VALUE_0,Corn,Oats,Alfalfa,Other Hay/Non Alfalfa,Dry Beans,Potatoes,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Strawberries,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
10,M11,0,7,0,0,324,0,0,3,0,0,501,182,25,0,0,4593,1685,6420,13,250,451,42,0,0,737,15233,744,0.04884133132016018,13204,0.8668023370314449,250,0.016411737674785005,708,0.04647804109499114,0,0.0,0.83358497997768,0.8832140747062299,1500
11,M12,0,4,0,0,499,0,0,20,3,23,698,234,56,7,7,9653,422,2513,42,515,82,4,0,2,431,15215,440,0.028918830101873152,12723,0.8362142622412093,515,0.03384817614196516,1002,0.06585606309562932,23,0.0015116661189615512,0.8273414393690437,0.8700624383831744,1500
12,M13,0,2,0,1,601,0,0,0,0,245,439,129,50,2,5,6808,815,3497,51,621,142,13,0,0,1787,15208,1790,0.11770120988953182,11331,0.7450683850604944,621,0.040833771699105736,625,0.041096791162546026,245,0.016109942135718043,0.731194108364019,0.7859021567596002,1500
13,M14,0,4,0,1,373,0,0,0,0,7,335,91,48,2,2,7689,734,3928,41,417,151,2,0,0,1392,15217,1397,0.09180521784845896,12547,0.8245383452717355,417,0.02740356180587501,478,0.03141223631464809,7,0.00046001182887559964,0.8116580140632188,0.8519419070776105,1500
14,M15,0,4,0,0,499,0,0,20,3,24,698,235,57,7,7,9651,422,2512,42,515,81,4,0,2,431,15214,440,0.02892073090574471,12719,0.8360063099776521,515,0.03385040094649665,1004,0.0659918496121993,24,0.0015774944130406204,0.8271986328381754,0.8698567109241487,1500
15,M16,1924,4,0,0,75,0,0,4,2,131,170,739,397,27,103,422,3404,6260,152,470,629,125,0,0,303,15341,309,0.020142102861612672,11095,0.7232253438498142,470,0.03063685548530083,1436,0.09360537122742976,131,0.008539208656541295,0.6574538817547748,0.753862199335115,1500
16,M17,0,2,0,1,569,0,0,0,0,387,484,115,51,0,5,6815,759,3293,55,547,218,12,0,0,1898,15211,1901,0.12497534678850832,11157,0.7334823483005719,547,0.03596081782920255,655,0.043060942738807444,387,0.025442114259417527,0.7144171980803365,0.7694431661297745,1500
17,M18,0,2,0,1,591,0,0,0,0,245,443,128,55,2,5,6422,856,3758,56,623,148,13,0,0,1865,15213,1868,0.12278971931900348,11258,0.7400249786366923,623,0.04095181752448564,633,0.04160915006901992,245,0.016104647341089857,0.7254321961480313,0.7809767961611779,1500
18,M19,0,2,0,1,588,0,0,0,0,245,445,131,57,2,5,6327,882,3798,57,631,150,13,0,0,1881,15215,1884,0.12382517252711141,11232,0.73821886296418,631,0.04147223135064081,640,0.04206375287545186,245,0.016102530397633912,0.7234308248439041,0.7796910943148209,1500
19,M20,0,4,0,0,487,0,0,20,3,7,694,214,39,7,6,9711,444,2541,41,482,78,4,0,2,438,15222,447,0.029365392195506504,12825,0.8425305478912101,482,0.03166469583497569,960,0.06306661411115491,7,0.00045986072789383785,0.8340559716200237,0.8741952437261857,1500
20,M21,0,4,0,0,480,0,0,2,3,144,489,110,30,0,2,4131,1033,6660,104,1154,512,137,0,0,149,15144,156,0.010301109350237718,12579,0.8306259904912837,1154,0.07620179609086107,631,0.041666666666666664,144,0.009508716323296355,0.780771262546223,0.9068277865821448,1500
21,M22,0,1,0,7,548,0,0,0,25,0,343,626,347,72,38,410,4031,6329,120,511,1681,30,3,0,3,15125,39,0.002578512396694215,12639,0.8356363636363636,511,0.03378512396694215,1426,0.0942809917355372,0,0.0,0.7120661157024794,0.8694214876033057,1500
22,M23,0,56,5,3,421,2,3,2,0,6663,280,197,75,20,87,212,1522,1728,43,642,978,2142,0,0,11,15092,80,0.005300821627352239,6712,0.4447389345348529,642,0.04253909355950172,659,0.043665518155314074,6663,0.44149218128809964,0.22939305592366818,0.4872780280943546,1500
