field_id,collection_date,seed_type,number_seeds,scm_larvae_sum,scm_pupae_sum,scm_seeds
SMI_JOH_2,5/15/23,Bean,8,0,9,0
SMI_LAT,5/15/23,Corn,10,0,0,0
SMI_DOU,5/15/23,Bean,5,0,0,0
SMI_MCC,5/15/23,Bean,5,0,0,0
SMI_HOF,5/15/23,Corn,10,0,0,0
GAB_STE,5/15/23,Corn,10,0,0,0
GAB_ALL,5/15/23,Corn,6,0,0,0
GAB_ALL,5/15/23,Bean,,4,0,0
SEA_HOO,5/17/23,Corn,10,0,0,0
SEA_HOO,5/17/23,Bean,8,0,1,0
DIP_CUR,5/19/23,Bean,10,0,0,0
DIP_CUR,5/19/23,Corn,10,0,0,0
DIP_FLE,5/23/23,Bean,10,0,0,0
DIP_FLE,5/23/23,Corn,10,0,0,0
LET_TAB,5/23/23,Corn,10,0,0,0
LET_TAB,5/23/23,Bean,10,0,0,0
WIS_COO,5/17/23,Corn,4,0,0,0
WIS_COO,5/17/23,Bean,6,0,0,0
WIS_COO_2,5/17/23,Corn,4,0,0,0
WIS_COO_2,5/17/23,Corn,9,0,0,0
WIS_MEG,5/17/23,Corn,10,0,0,0
WIS_HIG,5/19/23,Bean,9,0,0,0
WIS_HIG,5/19/23,Corn,10,0,0,0
WIS_KEN,5/19/23,Corn,9,0,0,0
WIS_KEN,5/19/23,Bean,0,0,0,0
DIP_PAT,5/25/23,Corn,10,0,0,0
DIP_PAT,5/25/23,Bean,10,0,0,0
ZUE_REE,5/25/23,Corn,9,0,0,0
ZUE_REE,5/25/23,Bean,10,0,0,0
GAB_ALL,5/26/23,Bean,8,0,0,0
SMI_LAT,5/26/23,Corn,10,0,0,0
SMI_LAT,5/26/23,Corn,10,0,0,0
GAB_ALL,5/26/23,Bean,,1,0,0
GAB_STE,5/26/23,Bean,10,0,0,0
GAB_STE,5/26/23,Corn,10,0,0,0
DIP_CUR,6/2/23,Corn,10,0,0,0
DIP_CUR,6/2/23,Bean,8,0,1,0
STA_SWE,5/26/23,Corn,9,0,0,0
STA_SWE,5/26/23,Bean,10,0,0,0
MIL_YOD,5/26/23,Bean,9,0,5,0
MIL_CHA,5/26/23,Bean,11,1,0,1
MIL_MCC,5/26/23,Corn,10,0,0,0
MIL_MCC,5/26/23,Bean,4,0,0,0
MIL_CHA,5/26/23,Corn,10,0,0,0
MIL_YOD,5/26/23,Corn,10,0,0,0
STA_HEM,5/31/23,Corn,10,0,0,0
STA_HEM,5/31/23,Bean,10,5,1,2
STA_HEM_2,5/31/23,Corn,10,0,0,0
STA_HEM_2,5/31/23,Bean,10,0,0,0
SMI_HOF,5/31/23,Corn,10,0,0,0
SMI_COB,5/30/23,Bean,9,0,0,0
SMI_COB,5/30/23,Corn,10,0,0,0
SMI_JOH_2,5/31/23,Bean,10,0,0,0
SMI_LAT,5/31/23,Bean,8,0,4,0
SMI_HOL,5/30/23,Bean,10,0,0,0
SMI_JOH,5/31/23,Corn,10,0,0,0
SMI_LAT,5/31/23,Corn,10,0,0,0
SMI_HOL,5/30/23,Corn,9,0,0,0
SMI_HOF,5/31/23,Bean,8,0,0,0
LET_NOB,6/1/23,Bean,10,0,0,0
SMI_CAN,5/31/23,Bean,10,0,0,0
SMI_MCC,5/30/23,Bean,10,0,1,0
LET_NOB,6/1/23,Corn,10,0,0,0
SMI_MCC,5/30/23,Corn,10,0,0,0
SMI_DOU,5/30/23,Bean,10,0,0,0
SMI_CAN,5/31/23,Corn,10,0,0,0
SMI_JOH_2,5/31/23,Corn,10,0,0,0
SMI_JOH,5/31/23,Bean,6,0,0,0
SMI_CRO,5/30/23,Corn,10,0,0,0
SMI_DUR,5/31/23,Corn,10,0,0,0
SMI_KEL,5/30/23,Bean,10,0,0,0
SMI_DUR,5/31/23,Bean,9,0,0,0
SEA_HOO,5/31/23,Bean,9,0,0,0
SEA_HOO,5/31/23,Bean,10,3,0,1
SMI_DOU,5/30/23,Corn,10,0,0,0
SMI_KEL,5/30/23,Corn,10,0,0,0
SMI_CRO,5/30/23,Bean,10,0,0,0
SMI_HOF,5/15/23,Bean,10,0,0,0
WIS_LAB_1,6/5/23,Bean,10,0,0,0
WIS_KEN,6/2/23,Bean,7,0,0,0
WIS_MEG,6/2/23,Corn,10,0,0,0
WIS_COO_2,5/31/23,Corn,6,0,0,0
WIS_COO_2,5/31/23,Bean,10,0,0,0
WIS_COO,5/31/23,Bean,8,0,3,0
WIS_COO,5/31/23,Corn,10,0,0,0
WIS_KEN,5/31/23,Corn,6,0,0,0
WIS_LAB_1,6/5/23,Bean,1,0,0,0
DIP_FLE,6/6/23,Corn,10,0,0,0
DIP_FLE,6/6/23,Bean,10,0,0,0
MIL_YOD,6/9/23,Bean,8,0,0,0
MIL_YOD,6/9/23,Corn,10,0,0,0
MIL_MCC,6/9/23,Bean,9,0,0,0
MIL_CHA,6/9/23,Bean,10,0,0,0
MIL_CHA,6/9/23,Corn,12,0,0,0
MIL_MCC,6/9/23,Corn,10,0,0,0
STA_WIL,6/13/23,Bean,11,0,0,0
STA_COL,6/13/23,Corn,10,0,0,0
STA_WIL,6/13/23,Corn,10,0,0,0
SMI_CAN,6/12/23,Bean,10,0,0,0
SMI_CAN,6/12/23,Corn,10,0,0,0
SMI_HOF,6/14/23,Corn,10,0,0,0
SMI_HOF,6/14/23,Bean,10,0,0,0
SMI_KEL,6/12/23,Bean,10,0,0,0
SMI_KEL,6/12/23,Corn,10,0,0,0
SMI_JOH_2,6/13/23,Bean,,2,0,0
SMI_JOH_2,6/13/23,Corn,10,0,0,0
SMI_HOL,6/12/23,Bean,10,0,0,0
SMI_HOL,6/12/23,Corn,10,0,0,0
