field_id,date,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vpdmin_hPa,vpdmax_hPa
POV_DUN,8/11/23,0.37,55.2,63.7,72.1,60.6,0.25,6.79
POV_DUN,8/12/23,0,55.5,65.5,75.5,55.5,0.73,16.02
POV_DUN,8/13/23,0.36,60.5,70,79.4,61.8,1.01,13.98
POV_DUN,8/14/23,0,58.9,68.4,77.8,59.3,0.6,16.16
POV_DUN,8/15/23,0.57,62.9,69.8,76.7,61.4,0.72,13.79
POV_DUN,8/16/23,0.18,59.9,65.6,71.4,63.9,0.22,5.16
POV_DUN,8/17/23,0.07,59.3,68.3,77.3,62.1,0.36,12.76
POV_DUN,8/18/23,1.03,58.1,69,79.9,62.4,0.04,15.13
POV_DUN,8/19/23,0.01,54.1,61.9,69.7,51.6,1.73,12.51
POV_DUN,8/20/23,0,48.8,61.1,73.4,50.3,0.18,16.23
POV_DUN,8/21/23,0,53.9,67.8,81.8,59.8,0.35,21.45
POV_DUN,8/22/23,0,50.5,63.1,75.7,58.2,0.56,9.77
POV_DUN,8/23/23,0,52,63,74,51.9,0.48,16.57
POV_DUN,8/24/23,0,56.3,65.4,74.5,55.5,1.07,15.75
POV_DUN,8/25/23,0.4,60.8,64.7,68.6,61.4,0.72,5.16
POV_DUN,8/26/23,0.07,63.9,70.4,76.9,65.9,0.77,7.47
POV_DUN,8/27/23,0.07,58.8,68,77.2,60.1,1.12,13.61
POV_DUN,8/28/23,0,49,59.8,70.6,51.9,0.36,11.97
POV_DUN,8/29/23,1.38,53.9,61.9,69.9,61.4,0.25,5.13
POV_DUN,8/30/23,0.35,56.5,65.8,75.1,62.8,0.48,9.13
POV_DUN,8/31/23,0.01,49.5,60.3,71.1,54.4,0.69,10.15
POV_DUN,9/1/23,0,44.6,56.7,68.9,45.7,0.45,13.95
POV_DUN,9/2/23,0,47.8,61,74.2,51.3,0.27,15.87
POV_DUN,9/3/23,0,53.9,66.3,78.6,58.4,0.18,17.26
POV_DUN,9/4/23,0,61,73.3,85.5,63.1,0.48,22.83
POV_DUN,9/5/23,0,62.2,74,85.9,65.7,0.6,19.04
POV_DUN,9/6/23,0,63.2,74.6,86,66.6,0.77,17.87
POV_DUN,9/7/23,0,64.5,76.3,88.1,66.6,0.85,22.62
POV_DUN,9/8/23,0.04,63.7,75.5,87.3,65.1,0.82,21.3
POV_DUN,9/9/23,0.01,61.7,70.6,79.5,63,1.28,13.16
POV_DUN,9/10/23,0.11,62,66.3,70.6,61.8,0.65,6.33
POV_DUN,9/11/23,0.25,62.3,67.4,72.6,63.4,0.74,7.31
POV_DUN,9/12/23,0.03,55.4,62.3,69.2,57.7,0.48,6.79
POV_DUN,9/13/23,0.36,56.9,67.8,78.8,60.5,0.27,16.85
POV_DUN,9/14/23,0,45.4,58.1,70.9,52,0.15,12.05
POV_DUN,9/15/23,0,41.4,52.9,64.5,44.9,0.29,10.43
POV_DUN,9/16/23,0,41.5,54.6,67.8,44.9,0.28,13.03
POV_DUN,9/17/23,0,42.7,55.8,69,47,0.24,12.69
POV_DUN,9/18/23,0.11,47.1,56,64.9,52.7,0.19,8
POV_DUN,9/19/23,0.05,51.3,60.6,69.8,52.8,0.43,11.23
POV_DUN,9/20/23,0,41.4,53.8,66.2,44.2,0.3,12.7
POV_DUN,9/21/23,0,37.9,52.7,67.5,43.9,0.14,12.48
POV_DUN,9/22/23,0,40.1,54.3,68.5,44.6,0.22,13.15
POV_DUN,9/23/23,0,43.6,56.7,69.7,47.4,0.25,13.82
POV_DUN,9/24/23,0.07,47.1,51.4,55.7,46.6,0.47,4.79
POV_DUN,9/25/23,0.11,52.4,57.1,61.8,52.1,0.62,5.39
POV_DUN,9/26/23,0.06,47.9,54.2,60.6,49.5,0.7,4.94
POV_DUN,9/27/23,0,37.5,50.8,64,44.3,0.16,9.15
POV_DUN,9/28/23,0,41.5,54.1,66.7,43.3,0.26,14.06
POV_DUN,9/29/23,0,44.1,55.9,67.6,47.6,0.53,14.22
POV_DUN,9/30/23,0,48.7,58.4,68.2,53.7,0.23,8.31
POV_DUN,10/1/23,0,47.1,59.7,72.4,52.7,0.17,12.3
POV_DUN,10/2/23,0,48.9,62.2,75.5,54.4,0.2,14.78
POV_DUN,10/3/23,0,51.4,64.2,76.9,55.9,0.26,15.25
POV_DUN,10/4/23,0,52.4,66.9,81.3,57.9,0.24,18.77
POV_DUN,10/5/23,0,53.4,68.4,83.3,57.5,0.52,22.15
POV_DUN,10/6/23,0,56.2,67.8,79.4,55.3,1.21,23.47
POV_DUN,10/7/23,0.79,56,63.4,70.8,59,0.73,8.51
POV_DUN,10/8/23,0.39,42.5,50.1,57.6,44.6,0.4,4.34
POV_DUN,10/9/23,0.02,41.5,48.7,56,38.1,1.46,7.71
POV_DUN,10/10/23,0,41.8,47.6,53.5,35.4,1.71,7.9
POV_DUN,10/11/23,0,44.3,50,55.7,38.5,1.15,8.37
POV_DUN,10/12/23,0,37.9,46.7,55.5,42.3,0.11,6.11
POV_DUN,10/13/23,0,34.1,48.2,62.2,40.1,0.19,9.89
POV_DUN,10/14/23,0,38.7,47,55.3,39.8,0.38,6.86
POV_DUN,10/15/23,0.46,43.3,45.8,48.3,43.1,0.48,1.92
POV_DUN,10/16/23,0.4,43.8,47.2,50.7,42.7,0.42,3.61
POV_DUN,10/17/23,0.37,46.3,50.7,55.2,46.3,0.59,3.46
POV_DUN,10/18/23,0,44.7,50.2,55.8,44.1,0.51,5.72
POV_DUN,10/19/23,0,34.8,45.5,56.2,39.2,0.15,7.45
POV_DUN,10/20/23,0,37.7,49,60.3,45.4,0.46,7.81
POV_DUN,10/21/23,0.46,50.7,57.1,63.5,49.9,0.34,8.1
POV_DUN,10/22/23,0.1,40.9,47.6,54.3,43.3,0.57,3.94
POV_DUN,10/23/23,0.2,38.2,41,43.8,35.8,0.64,2.64
POV_DUN,10/24/23,0,34.3,43.1,51.8,34.2,0.44,6.56
POV_DUN,10/25/23,0,41.2,54,66.7,37.3,1.84,15.18
POV_DUN,10/26/23,0,50.6,61.1,71.5,45.6,1.41,16.34
POV_DUN,10/27/23,0,49.6,62.2,74.8,49.1,1.21,16.08
POV_DUN,10/28/23,0,49.5,63.4,77.3,53.4,0.19,17.77
POV_DUN,10/29/23,0.21,39.7,53.2,66.6,43.9,0.48,6.42
POV_DUN,10/30/23,0.59,42.8,45.4,48.1,43.7,0.35,1.28
POV_DUN,10/31/23,0.33,31.7,39,46.4,36.9,0.28,1.49
POV_DUN,11/1/23,0,28.9,36,43.1,28.4,0.26,4.77
POV_DUN,11/2/23,0.13,26.7,32.7,38.6,27.3,0.24,2.88
POV_DUN,11/3/23,0,28.4,36.6,44.7,25.8,0.61,5.38
POV_DUN,11/4/23,0,36.8,47.1,57.3,24.6,3.05,11.98
POV_DUN,11/5/23,0,42.6,49.9,57.2,36,1,10.26
POV_DUN,11/6/23,0,28.6,38.5,48.4,31.8,0.24,5.23
POV_DUN,11/7/23,0.04,31.4,42.8,54.1,36.2,0.47,7.07
POV_DUN,11/8/23,0,30.5,45.5,60.6,36.4,0.78,8.22
POV_DUN,11/9/23,0.05,30.5,39,47.5,25.5,1.17,4.63
POV_DUN,11/10/23,0,33.9,45.5,57.1,36.2,0.66,5.73
POV_DUN,11/11/23,0,34.1,42.5,50.8,31,0.77,7.21
POV_DUN,11/12/23,0,32.2,36.3,40.5,28.7,0.6,3.1
POV_DUN,11/13/23,0,21.6,29.7,37.8,22.8,0.31,3.22
POV_DUN,11/14/23,0.01,24.8,35.5,46.3,30.8,0.37,4.79
POV_DUN,11/15/23,0,24.2,33,41.8,27,0.31,3.67
POV_DUN,11/16/23,0,27.5,41.2,54.9,29.3,0.4,8.9
POV_DUN,11/17/23,0,31.1,46.6,62.1,32.9,0.76,12.23
POV_DUN,11/18/23,0.49,33.3,46.7,60,40.4,0.31,9.61
POV_DUN,11/19/23,0,26.4,33.9,41.3,26.8,0.3,4.23
POV_DUN,11/20/23,0.02,22.4,34.6,46.8,26.4,0.4,4.97
POV_DUN,11/21/23,0,21.7,29,36.2,17.7,0.64,3.97
POV_DUN,11/22/23,0.43,26.8,35.1,43.5,31.5,0.32,2.87
POV_DUN,11/23/23,0.07,35.4,41.3,47.2,38.2,0.26,2.06
POV_DUN,11/24/23,0,31,37.9,44.9,30.8,1.08,3.82
POV_DUN,11/25/23,0,24.5,29.8,35.1,19.1,0.89,3.3
POV_DUN,11/26/23,0,25.7,32.7,39.6,21.3,0.88,4.48
POV_DUN,11/27/23,0.14,27.3,35.2,43.1,31.1,0.27,4.38
POV_DUN,11/28/23,0.09,22.8,30.1,37.3,23.1,0.42,3
POV_DUN,11/29/23,0,19.6,24.6,29.6,14.7,0.72,2.81
POV_DUN,11/30/23,0,20.4,25.8,31.3,14.1,0.76,3.12
POV_DUN,12/1/23,0,22.8,34.1,45.5,26.3,0.72,5.25
POV_DUN,12/2/23,0.18,36.8,41,45.3,36.4,0.23,4.36
POV_DUN,12/3/23,0.3,39.6,45.3,50.9,42.5,0.17,2.21
POV_DUN,12/4/23,0.8,39.2,42.9,46.7,40.6,0.2,2
POV_DUN,12/5/23,0.08,31.1,37,42.8,31.2,0.4,2.88
POV_DUN,12/6/23,0.08,28,31.2,34.4,26.2,0.23,2.37
POV_DUN,12/7/23,0.06,24.8,28.5,32.2,21.8,0.43,2.05
POV_DUN,12/8/23,0,26.1,30.9,35.6,29.2,0.24,1.49
POV_DUN,12/9/23,0,32.9,40.7,48.6,32.2,0.77,5.48
POV_DUN,12/10/23,0.05,41.6,47.7,53.9,37.1,1.43,7.12
POV_DUN,12/11/23,0.97,31.9,41.3,50.8,37.2,0.18,2.29
POV_DUN,12/12/23,0,27.6,31,34.3,24.3,0.45,2.31
POV_DUN,12/13/23,0,27,34.1,41.3,23.9,1.1,4.34
POV_DUN,12/14/23,0,23.4,29.6,35.8,19.6,0.54,3.7
POV_DUN,12/15/23,0,21.4,30.5,39.6,21.2,0.68,4.2
POV_DUN,12/16/23,0,26.8,40.7,54.5,27.6,0.48,9.34
POV_DUN,12/17/23,0,31.4,38.8,46.2,33.3,0.57,3.89
POV_DUN,12/18/23,1.67,41.4,45.5,49.5,43.5,0.18,2.48
POV_DUN,12/19/23,0.29,27,35.3,43.6,32.6,0.3,2.38
POV_DUN,12/20/23,0.02,15.8,21.7,27.6,16.9,0.28,1.76
