,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
10,SMI_HOL,466,0,0,0,0,0,0,0,0,0,168,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,1,0,0,62,2,59,0,105,7,0,0,0,0,0,0,0,1617,634,130,105,47,0
11,DIP_PAT,788,0,24,0,0,11,0,0,0,0,120,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,493,2,5,0,42,77,0,0,0,0,0,0,0,1618,944,577,42,9,0
12,MIL_YOD,270,0,202,0,0,18,0,0,0,0,349,56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,1,3,96,0,1,0,0,2,0,0,0,1622,845,625,96,0,0
13,MIL_CHA,723,0,81,0,0,25,0,0,0,0,388,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,22,15,0,0,108,0,0,0,121,5,0,9,0,0,0,0,0,1624,1226,113,121,143,0
14,MIL_MCC,935,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,372,46,48,3,75,115,5,0,0,0,0,0,0,1617,942,589,75,11,0
15,KAT_SAU,372,0,12,0,0,29,0,0,0,0,79,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,6,2,0,372,25,83,0,167,1,0,1,0,0,0,0,0,1574,493,481,167,72,0
16,KAT_SAU_2,450,0,0,0,0,7,0,0,0,0,70,445,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,88,12,8,0,0,86,15,64,0,254,0,0,0,0,0,0,0,0,1578,606,165,254,108,0
17,KAT_TEE,376,0,0,0,0,0,0,0,0,0,34,117,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,93,20,11,0,0,523,6,111,6,214,65,9,0,0,0,0,0,0,1587,412,720,214,124,0
18,KAT_TEE_2,547,0,2,0,0,0,0,0,0,0,26,115,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,61,0,2,0,0,467,22,137,3,200,2,1,0,0,0,0,0,0,1587,575,632,200,63,0
19,KAT_HAB_2,720,0,43,0,0,14,0,0,4,0,21,251,0,9,2,0,2,8,0,0,40,0,0,0,0,0,0,79,17,13,7,4,117,48,49,0,148,5,0,0,0,0,0,0,0,1601,823,223,148,120,0
20,KAT_HAB,712,0,18,0,0,0,0,0,4,0,5,191,0,0,3,0,0,0,0,0,2,0,0,26,0,0,0,145,24,2,4,2,236,0,34,0,184,4,0,0,0,0,0,0,0,1596,768,276,184,177,0
21,KAT_BAR,536,0,3,0,0,2,0,0,1,0,17,27,0,0,0,0,0,0,4,0,0,0,0,7,0,0,47,92,83,76,3,3,233,13,143,0,244,30,5,0,0,0,0,0,0,1569,570,427,244,257,47
22,SMI_LAT,325,0,4,0,0,0,0,0,26,3,410,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,38,7,1,0,397,0,4,0,158,3,2,0,0,0,0,0,0,1606,768,406,158,172,0
23,SMI_DUR,585,0,19,0,0,0,0,0,0,0,30,67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,73,27,15,3,2,410,28,23,7,167,168,0,0,0,0,0,0,0,1626,634,638,167,120,0
24,SMI_HOF,126,0,0,0,0,0,0,0,0,0,168,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,58,70,3,0,0,475,39,264,8,92,187,23,0,0,0,0,0,0,1587,295,996,92,131,56
25,SMI_JOH,526,0,86,0,0,0,0,0,0,0,84,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,19,22,12,0,388,13,7,0,271,36,0,0,0,0,0,0,0,1624,696,444,271,110,0
26,SMI_JOH_2,36,0,38,0,4,75,0,0,0,0,57,11,0,476,0,0,0,0,0,0,0,0,0,0,0,0,96,60,24,11,0,0,410,43,24,7,170,81,6,0,0,0,0,0,0,1629,686,571,170,95,96
27,GAB_ALL,3,0,3,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,2,3,0,0,0,0,0,0,20,122,161,60,11,2,256,54,315,4,169,389,4,0,0,0,0,0,0,1618,27,1024,169,356,20
28,KAT_JEF,111,0,3,0,0,0,0,0,0,0,50,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21,4,2,3,326,110,274,0,314,15,3,0,0,0,0,0,0,1582,164,731,314,84,0
29,KAT_JEF_2,207,0,2,0,0,0,0,0,0,0,89,341,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,77,33,9,5,5,252,8,76,0,268,167,36,0,0,0,0,0,0,1582,303,544,268,129,2
30,STA_WIL,123,0,22,0,0,11,0,0,0,0,772,26,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,156,23,10,0,0,136,0,17,0,255,60,5,8,0,0,0,0,0,1628,940,218,255,189,0
31,STA_HEM_2,489,0,21,0,0,194,0,3,12,0,402,19,0,35,0,0,0,2,0,0,0,0,2,5,0,0,1,43,38,18,1,4,122,0,7,0,114,79,1,0,0,0,0,0,2,1614,1167,213,114,104,1
32,STA_HEM,144,0,17,0,0,161,0,2,0,0,49,34,0,3,0,0,0,0,0,0,0,0,0,73,0,0,4,102,22,15,1,0,222,7,21,0,296,62,5,0,0,0,0,0,377,1617,826,317,296,140,4
33,STA_SWE,153,0,5,0,0,8,0,0,0,0,872,44,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10,107,36,2,0,0,85,0,7,1,222,38,15,0,0,0,0,0,0,1608,1039,146,222,145,10
34,STA_COL,267,0,347,0,0,455,0,7,2,0,68,16,0,2,0,0,0,160,0,0,0,0,1,2,2,0,0,39,54,2,0,0,50,0,16,0,136,2,0,0,0,10,0,0,0,1638,1323,68,136,95,0
35,WIS_COO_2,348,0,18,0,0,0,0,0,0,0,88,58,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,36,77,26,0,0,446,1,38,3,182,211,7,0,0,0,0,0,0,1557,454,706,182,139,4
36,WIS_COO,600,0,15,0,0,0,0,1,0,0,254,90,0,0,0,0,0,0,0,0,7,0,5,0,0,0,6,33,3,0,0,0,136,0,0,0,400,13,0,2,0,0,0,0,0,1565,877,149,400,36,6
37,LET_NOB,781,1,21,6,0,38,0,0,0,0,249,22,0,69,0,0,0,6,0,0,2,0,3,0,0,0,3,71,11,25,14,5,161,0,4,0,116,5,0,0,0,0,0,0,0,1613,1174,175,116,126,3
38,LET_TAB,482,0,0,0,0,0,0,0,0,0,461,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,5,9,0,0,364,7,74,0,56,9,0,0,0,0,0,0,0,1605,944,454,56,149,0
39,WIS_HIG,3,0,0,0,0,0,0,0,0,0,7,4,0,0,0,5,0,0,0,0,11,1,29,0,0,0,6,117,124,161,28,1,726,0,22,0,229,77,3,0,0,0,0,0,0,1554,45,829,229,431,6
40,WIS_MEG,59,7,10,74,0,3,0,102,22,0,38,76,0,0,0,0,0,4,0,0,9,0,12,0,0,0,28,119,247,90,6,4,282,0,8,5,326,34,0,0,0,0,7,0,0,1572,338,333,326,466,28
41,WIS_KEN,5,0,1,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,17,1,91,0,0,0,76,169,202,128,37,4,431,4,5,4,298,41,22,0,0,0,0,0,0,1551,103,511,298,540,76
42,ZUE_REE,206,0,289,12,0,149,0,3,7,0,189,44,0,52,0,0,0,0,0,0,2,0,0,13,0,0,0,63,20,9,0,0,231,0,26,0,250,29,1,0,1,0,0,0,14,1610,935,287,250,92,0
43,DEG_PER_STRIP,249,0,245,0,0,107,0,0,0,0,365,111,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,61,13,2,3,0,167,0,0,3,273,0,0,0,0,0,0,3,0,1606,973,170,273,79,0
44,DEG_FOU_WOOD,709,0,7,0,0,32,0,18,0,0,202,113,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,108,46,1,0,0,69,0,1,1,286,2,0,0,0,0,0,0,0,1601,973,73,286,155,0
45,DEG_DIE_HILL,842,0,9,0,0,0,0,0,0,0,61,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,58,4,0,0,184,0,8,0,321,7,0,0,0,0,0,0,0,1592,912,199,321,91,0
46,DEG_DIE_SWC,578,0,28,0,4,87,0,4,2,0,101,128,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,59,58,10,0,2,135,33,27,5,262,71,0,0,0,0,0,0,0,1602,808,273,262,129,4
47,DEG_YOU_BOCES,534,0,18,0,0,1,0,0,0,0,35,45,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,67,123,43,24,0,45,2,0,0,657,6,2,0,0,0,0,0,0,1605,589,55,657,257,0
48,DEG_YOU_OSHEA,813,0,14,0,0,0,0,0,0,0,269,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,25,19,1,0,269,16,21,2,41,23,3,0,0,0,0,0,0,1603,1096,334,41,112,0
49,DEG_YOU_JONES,89,0,12,2,0,3,0,0,0,0,389,220,0,0,0,0,0,0,1,0,11,0,0,0,0,0,5,57,121,20,4,0,226,17,46,6,356,18,2,0,0,0,0,0,0,1605,496,315,356,202,5
50,DEG_VIL,815,0,43,3,0,4,0,0,45,0,51,27,0,0,0,0,0,1,0,0,0,0,0,0,3,0,44,69,93,38,0,3,125,0,3,1,213,23,1,0,0,0,0,0,0,1605,965,156,213,203,44
51,SEA_HOO,329,0,280,2,0,330,0,4,1,0,157,18,0,18,4,0,0,0,48,1,0,0,0,24,0,0,0,77,13,12,0,0,184,0,10,0,52,39,0,0,0,0,0,0,0,1603,1198,233,52,102,0
52,MIL_HUM,486,0,374,0,10,127,0,1,0,0,209,27,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,37,23,0,120,0,10,0,73,2,0,0,0,0,0,0,0,1623,1231,132,73,160,0
53,ONE_TER,479,0,9,0,0,0,0,0,0,0,74,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,166,192,103,2,0,0,0,0,339,2,0,0,0,0,0,0,0,1708,562,4,339,604,0
54,ONE_ADO,39,0,0,0,0,0,0,0,0,0,225,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,5,5,0,0,1117,34,13,0,104,70,0,0,0,0,0,0,0,1702,264,1234,104,98,0
55,ONE_STA,1357,0,21,0,0,0,0,1,0,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36,15,6,9,131,2,8,0,28,15,1,0,0,0,0,0,0,1724,1403,166,28,118,0
