,card_id,field_id,date_collected,total_scm,scm_male,scm_female,florilega,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,total_flies,week,year,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vpdmin_hPa,vpdmax_hPa,prop_corn_current_year_500m,prop_soy_current_year_500m,prop_ag_current_year_500m,prop_nat_current_year_500m,prop_semi_nat_current_year_500m,prop_corn_current_year_1000m,prop_soy_current_year_1000m,prop_ag_current_year_1000m,prop_nat_current_year_1000m,prop_semi_nat_current_year_1000m,prop_corn_previous_year_500m,prop_soy_previous_year_500m,prop_ag_previous_year_500m,prop_nat_previous_year_500m,prop_semi_nat_previous_year_500m,prop_corn_previous_year_1000m,prop_soy_previous_year_1000m,prop_ag_previous_year_1000m,prop_nat_previous_year_1000m,prop_semi_nat_previous_year_1000m,previous_crop,cover_crop,manure,tillage,soil_texture,ph,organic_matter
10,2008,DIP_FLE,3/21/23,0,0,0,0,1556,780,776,0,0,0,0,0,12,2023,0.082857143,29.22857143,39,48.7,26.5,0.828571429,7.047142857,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
11,2007,DIP_FLE,3/21/23,0,0,0,0,1556,780,776,0,0,0,0,0,12,2023,0.082857143,29.22857143,39,48.7,26.5,0.828571429,7.047142857,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
12,2013,DIP_FLE,3/28/23,23,14,9,0,1556,780,776,0.014781491,0.011597938,0.017948718,0.014781491,23,13,2023,0.115714286,27.05714286,38.81428571,50.61428571,27.95714286,0.424285714,8.19,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
13,2016,POV_DUN,3/28/23,50,41,9,0,275,185,90,0.181818182,0.1,0.221621622,0.181818182,50,13,2023,0.102857143,25.2,37.92857143,50.67142857,26.45714286,0.468571429,8.498571429,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
14,2014,DIP_FLE,3/28/23,42,29,13,0,1556,780,776,0.026992288,0.016752577,0.037179487,0.041773779,42,13,2023,0.115714286,27.05714286,38.81428571,50.61428571,27.95714286,0.424285714,8.19,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
15,2018,DIP_CUR,3/28/23,0,0,0,0,1308,655,653,0,0,0,0,0,13,2023,0.114285714,24.18571429,36.85714286,49.5,24.87142857,0.628571429,8.218571429,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
16,2026,GAB_STE,3/28/23,16,7,9,0,729,414,315,0.021947874,0.028571429,0.016908213,0.021947874,16,13,2023,0.134285714,26.38571429,39.21428571,52.04285714,25.14285714,0.452857143,9.905714286,0.089423373,0,0.187172371,0.636139377,0.121184089,0.089423373,0,0.187172371,0.636139377,0.121184089,0.154886294,0,0.250768285,0.561770129,0.12968654,0.102323434,0.00015387,0.219879982,0.632404985,0.117402677,Silage Corn,No,Yes,Yes,5,5.358693123,12.73650074
17,2017,DIP_CUR,3/28/23,0,0,0,0,1308,655,653,0,0,0,0,0,13,2023,0.114285714,24.18571429,36.85714286,49.5,24.87142857,0.628571429,8.218571429,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
18,2064,GAB_STE,4/3/23,50,37,13,0,729,414,315,0.068587106,0.041269841,0.089371981,0.090534979,50,14,2023,0.081428571,32.34285714,42.62857143,52.91428571,26.24285714,0.811428571,8.252857143,0.089423373,0,0.187172371,0.636139377,0.121184089,0.089423373,0,0.187172371,0.636139377,0.121184089,0.154886294,0,0.250768285,0.561770129,0.12968654,0.102323434,0.00015387,0.219879982,0.632404985,0.117402677,Silage Corn,No,Yes,Yes,5,5.358693123,12.73650074
19,2024,POV_DUN,4/4/23,104,57,47,0,275,185,90,0.378181818,0.522222222,0.308108108,0.56,104,14,2023,0.13,31.71428571,43.25714286,54.78571429,30,0.738571429,8.847142857,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
20,2020,DIP_FLE,4/4/23,45,15,30,0,1556,780,776,0.028920308,0.038659794,0.019230769,0.070694087,45,14,2023,0.152857143,33.54285714,44.04285714,54.5,31.78571429,0.79,8.251428571,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
21,2022,DIP_CUR,4/6/23,29,14,15,0,1308,655,653,0.022171254,0.022970904,0.021374046,0.022171254,29,14,2023,0.165714286,32.18571429,43.04285714,53.92857143,28.45714286,1.337142857,8.725714286,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
22,2044,KAT_TEE_2,4/10/23,1,1,0,0,445,211,234,0.002247191,0,0.004739336,0.002247191,1,15,2023,0,40.97142857,55.38571429,69.78571429,34.47142857,3.147142857,19.42142857,0.100748596,0.002183406,0.112913288,0.732376794,0.054585153,0.100748596,0.002183406,0.112913288,0.732376794,0.054585153,0.328922495,0,0.441713926,0.419029616,0.095778198,0.116462071,0.000629525,0.188227888,0.740163676,0.052250551,Silage Corn,No,Yes,Yes,5,5.739637852,17.81757545
23,2036,KAT_JEF_2,4/10/23,4,1,3,0,109,60,49,0.036697248,0.06122449,0.016666667,0.036697248,4,15,2023,0,41.18571429,56.67142857,72.17142857,35.34285714,2.644285714,20.85714286,0.103738318,0.007476636,0.12834891,0.520560748,0.169158879,0.103738318,0.007476636,0.12834891,0.520560748,0.169158879,0.149178255,0.003160556,0.405183312,0.336283186,0.178255373,0.120977918,0.002839117,0.30362776,0.524132492,0.13044164,Silage Corn,No,Yes,Yes,5,6.26295042,37.54327011
24,2038,KAT_JEF,4/10/23,2,0,2,0,109,62,47,0.018348624,0.042553191,0,0.018348624,2,15,2023,0,41.65714286,57.45714286,73.25714286,35.47142857,2.59,21.79571429,0.05625,0.0015625,0.07,0.4128125,0.204375,0.05625,0.0015625,0.07,0.4128125,0.204375,0.031605563,0.006321113,0.274968394,0.470290771,0.202907712,0.069973148,0.003159059,0.329015953,0.409887853,0.176433423,Silage Corn,No,Yes,Yes,5,5.586032867,22.36896324
25,2040,KAT_HAB,4/10/23,12,7,5,0,242,139,103,0.049586777,0.048543689,0.050359712,0.049586777,12,15,2023,0.001428571,47.02857143,59.02857143,71.01428571,36.87142857,3.864285714,19.18142857,0.239130435,0.072670807,0.327639752,0.283850932,0.102173913,0.239130435,0.072670807,0.327639752,0.283850932,0.102173913,0.244360902,0.193609023,0.601503759,0.176065163,0.112155388,0.195389682,0.093774502,0.426689666,0.279128117,0.118551043,Soybean,No,No,Yes,5,5.957181454,23.42772102
26,2042,KAT_HAB_2,4/10/23,34,14,20,1,516,324,192,0.065891473,0.104166667,0.043209877,0.065891473,35,15,2023,0.001428571,44.41428571,57.54285714,70.67142857,35.82857143,3.484285714,19.31428571,0.281755915,0.009028643,0.326276463,0.328767123,0.086239103,0.281755915,0.009028643,0.326276463,0.328767123,0.086239103,0.457214241,0.06620862,0.695815116,0.137414116,0.083697689,0.351588171,0.019089344,0.536848693,0.324988265,0.078235018,Silage Corn,Yes,Yes,Yes,5,5.955316067,20.81032753
27,2046,KAT_SAU,4/10/23,123,69,54,0,273,142,131,0.450549451,0.41221374,0.485915493,0.450549451,123,15,2023,0,42.24285714,57.37142857,72.48571429,34.42857143,3.888571429,21.76571429,0.122455371,0.004384591,0.17099906,0.461634826,0.150642029,0.122455371,0.004384591,0.17099906,0.461634826,0.150642029,0.170266836,0.028589581,0.548284625,0.302414231,0.103557814,0.096979332,0.009062003,0.330206677,0.459618442,0.136406995,Silage Corn,Yes,Yes,Yes,5,5.537230015,19.16375542
28,2066,GAB_STE,4/10/23,51,27,24,0,729,414,315,0.069958848,0.076190476,0.065217391,0.160493827,51,15,2023,0,44.92857143,60.11428571,75.28571429,36.4,2.558571429,24.47428571,0.089423373,0,0.187172371,0.636139377,0.121184089,0.089423373,0,0.187172371,0.636139377,0.121184089,0.154886294,0,0.250768285,0.561770129,0.12968654,0.102323434,0.00015387,0.219879982,0.632404985,0.117402677,Silage Corn,No,Yes,Yes,5,5.358693123,12.73650074
29,2050,KAT_BAR,4/10/23,28,16,12,0,769,226,543,0.036410923,0.022099448,0.07079646,0.036410923,28,15,2023,0,41.24285714,58.58571429,75.87142857,37.11428571,1.521428571,24.70857143,0.150015659,0.024115252,0.186658315,0.465079862,0.165988099,0.150015659,0.024115252,0.186658315,0.465079862,0.165988099,0.328234544,0.005736138,0.38623327,0.275334608,0.149139579,0.120152575,0.020979021,0.223617292,0.469961856,0.149237127,Soybean,No,No,Yes,5,5.867260933,22.92560768
30,2052,KAT_TEE,4/10/23,5,1,4,0,173,78,95,0.028901734,0.042105263,0.012820513,0.028901734,5,15,2023,0,40.7,56.54285714,72.4,35.31428571,2.654285714,21.13571429,0.126246883,0.002182045,0.185785536,0.42861596,0.202306733,0.126246883,0.002182045,0.185785536,0.42861596,0.202306733,0.234404537,0,0.323881537,0.45431632,0.142407057,0.164802269,0.001260438,0.305656216,0.443989286,0.174413109,Silage Corn,No,Yes,Yes,5,5.959934235,23.65135002
31,2224,MIL_MCC,4/10/23,40,22,18,0,439,240,199,0.091116173,0.090452261,0.091666667,0.091116173,40,15,2023,0,40.6,56.12857143,71.62857143,36.67142857,1.415714286,20.17714286,0.200738916,0.253694581,0.501539409,0.303571429,0.11453202,0.200738916,0.253694581,0.501539409,0.303571429,0.11453202,0.3432282,0.226963513,0.586270872,0.365491651,0.042053185,0.257456344,0.167362077,0.526348323,0.308607634,0.120537784,Soybean,No,Yes,No,5,6.210189819,27.60095024
32,2070,GAB_ALL,4/10/23,141,36,105,0,1143,822,321,0.12335958,0.327102804,0.04379562,0.12335958,141,15,2023,0.004285714,46.98571429,61.71428571,76.47142857,37.04285714,3.087142857,25.53142857,0.017310665,0,0.02194745,0.588871716,0.062751159,0.017310665,0,0.02194745,0.588871716,0.062751159,0.00618047,0,0.030284302,0.592707046,0.145241038,0.005874169,0.010975421,0.030298346,0.58417066,0.065852527,Silage Corn,No,Yes,Yes,5,5.886958599,28.32917595
33,2220,MIL_YOD,4/10/23,293,145,148,0,501,299,202,0.584830339,0.732673267,0.484949833,0.584830339,293,15,2023,0,41.11428571,56.41428571,71.74285714,36.31428571,1.707142857,20.50285714,0.159567901,0.087654321,0.439197531,0.282716049,0.186111111,0.159567901,0.087654321,0.439197531,0.282716049,0.186111111,0.181257707,0.113440197,0.548705302,0.388409371,0.062885327,0.213491818,0.072553257,0.491355357,0.279098487,0.183698672,Soybean,Yes,Yes,No,5,6.349746704,20.46067619
34,2222,MIL_CHA,4/10/23,137,67,70,0,277,157,120,0.494584838,0.583333333,0.426751592,0.494584838,137,15,2023,0,40.6,55.67142857,70.78571429,36.22857143,1.548571429,19.53714286,0.292412091,0.211597779,0.667797656,0.15885256,0.102097471,0.292412091,0.211597779,0.667797656,0.15885256,0.102097471,0.490147783,0.02955665,0.754926108,0.069581281,0.075738916,0.42769136,0.09795164,0.69012783,0.161096566,0.091637148,Silage Corn,No,Yes,Yes,5,6.120146751,20.23761559
35,2048,KAT_SAU_2,4/10/23,58,10,48,0,302,107,195,0.19205298,0.246153846,0.093457944,0.19205298,58,15,2023,0,43.05714286,57.67142857,72.27142857,34.71428571,4.072857143,21.46285714,0.151657286,0.025953721,0.269543465,0.252970607,0.186366479,0.151657286,0.025953721,0.269543465,0.252970607,0.186366479,0.19581749,0,0.655259823,0.117237009,0.154626109,0.181052297,0.000794786,0.499284692,0.249721825,0.164997616,Silage Corn,Yes,Yes,Yes,5,5.722351551,21.01234818
36,2028,POV_DUN,4/11/23,15,12,3,0,275,185,90,0.054545455,0.033333333,0.064864865,0.614545455,15,15,2023,0.02,40.41428571,56.74285714,73.11428571,36.41428571,1.484285714,21.85285714,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
37,2030,DIP_PAT,4/11/23,101,44,57,0,1602,817,785,0.063046192,0.072611465,0.053855569,0.063046192,101,15,2023,0,46.34285714,60.54285714,74.71428571,38.81428571,2.721428571,22.95714286,0.256710892,0.140080222,0.721382289,0.14594261,0.053687134,0.256710892,0.140080222,0.721382289,0.14594261,0.053687134,0.504944376,0.014833127,0.615574784,0.35723115,0.021013597,0.41602227,0.079647386,0.755799567,0.151716672,0.039746366,Silage Corn,Yes,Yes,,5,6.454941273,26.51252174
38,2034,DIP_FLE,4/11/23,329,159,170,0,1556,780,776,0.211439589,0.219072165,0.203846154,0.282133676,329,15,2023,0,46.11428571,59.71428571,73.35714286,38.47142857,2.775714286,21.50857143,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
39,2032,DIP_CUR,4/11/23,172,26,146,0,1308,655,653,0.131498471,0.223583461,0.039694656,0.153669725,172,15,2023,0.012857143,39.7,55.68571429,71.7,34.9,1.724285714,20.74714286,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
40,2100,SMI_CRO,4/12/23,139,78,61,0,188,105,83,0.739361702,0.734939759,0.742857143,0.739361702,139,15,2023,0,43.07142857,58.85714286,74.61428571,36.82857143,1.954285714,23.32857143,0.178527228,0.173267327,0.451113861,0.101175743,0.171410891,0.178527228,0.173267327,0.451113861,0.101175743,0.171410891,0.441961515,0.213531968,0.836126629,0.018001241,0.104283054,0.216145026,0.146885652,0.700340874,0.100867679,0.152928416,Grain Corn,No,No,Yes,5,6.335429668,26.11972809
41,2054,STA_HEM,4/12/23,72,49,23,0,1309,715,594,0.05500382,0.038720539,0.068531469,0.05500382,72,15,2023,0,47.47142857,60.22857143,73.01428571,39.22857143,3.497142857,20.88285714,0.286287832,0.106856084,0.547560222,0.199505868,0.152563311,0.286287832,0.106856084,0.547560222,0.199505868,0.152563311,0.369202226,0.031539889,0.562770563,0.193568336,0.153370439,0.290197897,0.089208411,0.572820037,0.198670377,0.140538033,Silage Corn,Yes,Yes,Yes,4,6.554670334,26.48303223
42,2056,STA_HEM_2,4/12/23,73,45,28,0,891,516,375,0.081930415,0.074666667,0.087209302,0.081930415,73,15,2023,0,47.71428571,60.32857143,72.98571429,38.88571429,3.741428571,21.01,0.260896445,0.02812983,0.565378671,0.200309119,0.136012365,0.260896445,0.02812983,0.565378671,0.200309119,0.136012365,0.334572491,0.005576208,0.724907063,0.128252788,0.078066914,0.174566295,0.034696406,0.576982652,0.194392813,0.123451053,Grain Corn,Yes,Yes,Yes,4,6.685321331,23.87444115
43,2058,STA_WIL,4/12/23,26,22,4,1,281,230,51,0.09252669,0.078431373,0.095652174,0.09252669,27,15,2023,0,46.64285714,59.92857143,73.21428571,39.6,2.924285714,20.88857143,0.241368681,0.017879162,0.487977805,0.305487053,0.114981504,0.241368681,0.017879162,0.487977805,0.305487053,0.114981504,0.127149877,0.007371007,0.587223587,0.131449631,0.156019656,0.194632943,0.013109192,0.522208513,0.303207896,0.110734115,Silage Corn,Yes,No,Yes,4,6.444833279,34.71776962
44,2060,STA_SWE,4/12/23,2,2,0,0,366,297,69,0.005464481,0,0.006734007,0.005464481,2,15,2023,0,47.94285714,60.37142857,72.82857143,37.44285714,3.912857143,20.91142857,0.266069221,0.01946848,0.502163164,0.253090235,0.136897404,0.266069221,0.01946848,0.502163164,0.253090235,0.136897404,0.316542289,0.043532338,0.672263682,0.104477612,0.111940299,0.29850978,0.028407327,0.56116113,0.264669357,0.096864328,Silage Corn,Yes,Yes,Yes,5,6.38201952,33.36382294
45,2062,STA_COL,4/12/23,4,2,2,0,720,532,188,0.005555556,0.010638298,0.003759398,0.005555556,4,15,2023,0,48.77142857,60.68571429,72.6,38.51428571,4.028571429,20.35,0.271051014,0.052858021,0.55654579,0.158881377,0.178549478,0.271051014,0.052858021,0.55654579,0.158881377,0.178549478,0.55006105,0.101343101,0.812576313,0.038461538,0.076312576,0.274777539,0.091132249,0.591745934,0.164007364,0.147744707,Silage Corn,Yes,Yes,No,5,6.560458183,23.67193604
46,2102,SMI_CAN,4/12/23,75,33,42,0,657,260,397,0.114155251,0.105793451,0.126923077,0.114155251,75,15,2023,0,38.78571429,54.57142857,70.3,35.34285714,1.142857143,19.31285714,0.141579272,0.020049352,0.295805059,0.277606416,0.220542875,0.141579272,0.020049352,0.295805059,0.277606416,0.220542875,0.134282178,0.008044554,0.273514851,0.404084158,0.190594059,0.162074303,0.01130031,0.447213622,0.276934985,0.200773994,Silage Corn,No,Yes,Yes,5,5.585507393,15.5769558
47,2108,SMI_DOU,4/12/23,32,14,18,0,114,52,62,0.280701754,0.290322581,0.269230769,0.280701754,32,15,2023,0,41.34285714,56.22857143,71.07142857,35.58571429,1.92,19.99142857,0.025261861,0.048367221,0.172520025,0.204559458,0.199014171,0.025261861,0.048367221,0.172520025,0.204559458,0.199014171,0.033846154,0.081846154,0.583384615,0.107076923,0.214769231,0.046504466,0.036495226,0.497228211,0.205112411,0.177702495,Soybean,No,Yes,Yes,5,6.29728651,24.98108101
48,2106,SMI_COB,4/12/23,75,51,24,0,245,187,58,0.306122449,0.413793103,0.272727273,0.306122449,75,15,2023,0.002857143,42.01428571,57.9,73.78571429,36.37142857,1.667142857,22.54857143,0.140111593,0.001549907,0.348419095,0.162430254,0.207067576,0.140111593,0.001549907,0.348419095,0.162430254,0.207067576,0.034246575,0.00871731,0.321295143,0.221668742,0.215442092,0.083905178,0.005614473,0.330474111,0.151902682,0.272925764,Silage Corn,Yes,No,No,4,5.930618286,20.99067307
49,2188,WIS_COO_2,4/12/23,1,1,0,0,295,206,89,0.003389831,0,0.004854369,0.003389831,1,15,2023,0.018571429,45.45714286,59.84285714,74.25714286,34.8,2.89,23.86857143,0.086559647,0.028958137,0.146049732,0.548001259,0.162732137,0.086559647,0.028958137,0.146049732,0.548001259,0.162732137,0.096981374,0.138728324,0.316634554,0.453436095,0.125240848,0.069302177,0.04081306,0.196702945,0.549295775,0.157010243,Silage Corn,No,No,No,5,5.979127407,44.69318771
50,2112,SMI_MCC,4/12/23,38,17,21,0,264,138,126,0.143939394,0.166666667,0.123188406,0.143939394,38,15,2023,0,41,55.48571429,69.97142857,35.48571429,1.888571429,18.98714286,0.093008931,0.065906991,0.193717277,0.263319988,0.262704034,0.093008931,0.065906991,0.193717277,0.263319988,0.262704034,0.199261993,0.117466175,0.67404674,0.064575646,0.208487085,0.115461385,0.032703823,0.460770766,0.264854906,0.222171043,Soybean,No,No,No,5,6.356281281,15.2996912
51,2116,SMI_HOL,4/12/23,123,63,60,0,352,226,126,0.349431818,0.476190476,0.278761062,0.349431818,123,15,2023,0,46.2,60.9,75.55714286,36.42857143,3.254285714,24.52428571,0.201545595,0.022256569,0.39690881,0.267078825,0.105409583,0.201545595,0.022256569,0.39690881,0.267078825,0.105409583,0.298701299,0.009894867,0.799628942,0.081014224,0.089672233,0.218319666,0.00448708,0.572025375,0.271081541,0.105369024,Grain Corn,No,No,Yes,5,6.415804386,25.43291092
52,2118,SMI_JOH,4/12/23,115,64,51,0,497,258,239,0.23138833,0.213389121,0.248062016,0.23138833,115,15,2023,0,44.84285714,59.2,73.58571429,38.1,2.377142857,21.88,0.145672929,0.129966123,0.343393902,0.354173083,0.178318448,0.145672929,0.129966123,0.343393902,0.354173083,0.178318448,0.275246305,0.003694581,0.480295567,0.269704433,0.180418719,0.265186556,0.00431699,0.39978415,0.370490287,0.157415973,Wheat,No,Yes,Yes,5,6.416008472,24.34096146
