Sample ID,"Project (R, L, C)",Field ID,Treatment,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,SCM Seed,Phorid Seed,Other Damage,Wireworms,Other Seeds,Wireworm Presence/absence,Grub presence/absence,Checked?,Ordered Entered,Notes
26_D_1410,R,KUH_COL,F,5/19/26,Field Corn,16,0,0,0,0,0,1,0,Yes,No,Yes,199,
26_D_1413,R,KUH_COL,N,5/28/26,Field Corn,16,0,0,0,0,4,0,4,Yes,No,Yes,156,
26_D_1406,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,182,
26_D_1417,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,187,
26_D_1409,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,197,
26_D_1411,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,198,
26_D_1412,R,KUH_COL,N,5/20/26,Field Corn,16,0,1,0,0,0,0,0,No,No,Yes,200,
26_D_1416,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,348,
26_D_1415,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,8,0,Yes,No,Yes,350,
26_D_1414,R,KUH_COL,N,5/20/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,352,
26_D_2276,R,LET_VER,F,6/9/26,Field Corn,16,0,0,0,0,1,0,1,No,No,Yes,696,
26_D_2273,R,LET_VER,F,6/9/26,Field Corn,15,1,0,0,0,0,0,0,No,No,Yes,697,
26_D_2272,R,LET_VER,F,6/9/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,698,
26_D_2277,R,LET_VER,F,6/9/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,699,
26_D_2270,R,LET_VER,F,6/9/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,714,
26_D_2271,R,LET_VER,F,6/9/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,715,
26_D_2269,R,LET_VER,F,6/9/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,716,
26_D_2283,R,LET_VER,N,6/9/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,700,
26_D_2282,R,LET_VER,N,6/9/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,701,
26_D_2286,R,LET_VER,N,6/9/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,702,
26_D_2285,R,LET_VER,N,6/9/26,Field Corn,16,0,1,0,0,0,0,0,No,No,Yes,703,
26_D_2278,R,LET_VER,N,6/9/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,717,
26_D_2280,R,LET_VER,N,6/9/26,Field Corn,15,1,0,1,0,0,0,0,No,No,Yes,721,
26_D_2279,R,LET_VER,N,6/9/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,722,
26_D_2281,R,LET_VER,N,6/9/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,723,
26_D_2284,R,LET_VER,N,6/9/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,724,
26_D_2257,R,LET_WAT,F,6/11/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,690,
26_D_2258,R,LET_WAT,F,6/11/26,Field Corn,15,1,0,0,0,1,0,1,No,No,Yes,691,
26_D_2259,R,LET_WAT,F,6/11/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,692,
26_D_2256,R,LET_WAT,F,6/11/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,693,
26_D_2253,R,LET_WAT,F,6/11/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,694,
26_D_2252,R,LET_WAT,F,6/11/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,695,
26_D_2268,R,LET_WAT,N,6/11/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,708,
26_D_2267,R,LET_WAT,N,6/11/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,709,
26_D_2266,R,LET_WAT,N,6/11/26,Field Corn,11,0,0,0,0,0,0,0,No,No,Yes,710,
26_D_2265,R,LET_WAT,N,6/11/26,Field Corn,14,0,0,0,0,1,0,1,No,No,Yes,711,
26_D_2264,R,LET_WAT,N,6/11/26,Field Corn,10,0,0,0,0,1,0,1,No,No,Yes,706,dead wasp
26_D_2262,R,LET_WAT,N,6/11/26,Field Corn,11,0,0,0,0,0,0,0,No,No,Yes,707,
26_D_2263,R,LET_WAT,N,6/11/26,Field Corn,11,0,0,0,0,2,0,2,No,No,Yes,718,
26_D_2261,R,LET_WAT,N,6/11/26,Field Corn,9,0,0,0,0,1,0,1,No,No,Yes,719,
26_D_2260,R,LET_WAT,N,6/11/26,Field Corn,11,0,0,0,0,0,0,0,No,No,Yes,720,
26_D_1031,R,SMI_ARN_1,F,5/7/26,Soy,15,0,0,0,0,0,0,0,No,No,Yes,89,
26_D_1030,R,SMI_ARN_1,F,5/7/26,Soy,16,0,0,0,0,0,0,0,No,No,Yes,90,
26_D_1033,R,SMI_ARN_1,F,5/7/26,Soy,15,0,0,0,0,1,0,1,No,No,Yes,100,
26_D_1032,R,SMI_ARN_1,F,5/7/26,Soy,15,0,0,0,0,2,0,2,No,No,Yes,107,
26_D_1025,R,SMI_ARN_1,F,5/7/26,Soy,12,0,0,0,0,3,0,3,No,No,Yes,109,
26_D_1026,R,SMI_ARN_1,F,5/7/26,Soy,12,0,0,0,0,2,0,2,No,No,Yes,117,
26_D_1028,R,SMI_ARN_1,F,5/7/26,Soy,15,0,0,0,0,4,0,4,No,No,Yes,142,
26_D_1029,R,SMI_ARN_1,F,5/7/26,Soy,15,0,0,0,0,3,0,3,No,No,Yes,143,
26_D_1027,R,SMI_ARN_1,F,5/7/26,Soy,15,0,0,0,0,2,0,2,No,No,Yes,145,
26_D_1042,R,SMI_ARN_1,N,5/7/26,Soy,15,0,0,0,0,1,0,1,No,No,Yes,88,
26_D_1036,R,SMI_ARN_1,N,5/7/26,Soy,15,0,0,0,0,0,0,0,No,No,Yes,91,
26_D_1034,R,SMI_ARN_1,N,5/7/26,Soy,16,0,0,0,0,0,1,0,Yes,No,Yes,92,
26_D_1040,R,SMI_ARN_1,N,5/7/26,Soy,15,0,0,0,0,3,0,3,No,No,Yes,144,
26_D_1041,R,SMI_ARN_1,N,5/7/26,Soy,14,2,2,0,0,1,0,1,No,No,Yes,80,
26_D_1035,R,SMI_ARN_1,N,5/7/26,Soy,14,0,1,0,0,2,0,2,No,No,Yes,82,
26_D_1037,R,SMI_ARN_1,N,5/7/26,Soy,14,0,0,0,0,6,0,6,No,No,Yes,106,
26_D_1039,R,SMI_ARN_1,N,5/7/26,Soy,14,0,1,0,0,1,0,1,No,No,Yes,133,
26_D_1038,R,SMI_ARN_1,N,5/7/26,Soy,12,2,1,0,0,4,0,4,No,No,Yes,136,
26_D_1044,R,SMI_ARN_2,F,5/7/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,93,
26_D_1043,R,SMI_ARN_2,F,5/7/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,99,
26_D_1050,R,SMI_ARN_2,F,5/7/26,Field Corn,18,0,1,0,0,0,0,0,No,Yes,Yes,115,
26_D_1049,R,SMI_ARN_2,F,5/7/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,116,
26_D_1047,R,SMI_ARN_2,F,5/7/26,Field Corn,10,0,0,0,0,0,0,0,No,Yes,Yes,118,
26_D_1046,R,SMI_ARN_2,F,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,123,
26_D_1045,R,SMI_ARN_2,F,5/7/26,Field Corn,17,0,0,0,0,0,1,0,Yes,No,Yes,124,
26_D_1051,R,SMI_ARN_2,F,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,134,
26_D_1048,R,SMI_ARN_2,F,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,137,
26_D_1059,R,SMI_ARN_2,N,5/7/26,Field Corn,16,0,0,0,0,0,1,0,Yes,No,Yes,94,
26_D_1053,R,SMI_ARN_2,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,103,
26_D_1052,R,SMI_ARN_2,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,104,
26_D_1054,R,SMI_ARN_2,N,5/7/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,110,
26_D_1056,R,SMI_ARN_2,N,5/7/26,Field Corn,14,0,0,0,0,1,1,1,Yes,No,Yes,113,
26_D_1055,R,SMI_ARN_2,N,5/7/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,114,
26_D_1057,R,SMI_ARN_2,N,5/7/26,Field Corn,17,0,0,0,0,0,0,0,No,Yes,Yes,128,
26_D_1060,R,SMI_ARN_2,N,5/7/26,Field Corn,17,0,0,0,0,0,2,0,Yes,No,Yes,138,
26_D_1058,R,SMI_ARN_2,N,5/7/26,Field Corn,13,0,0,0,0,1,2,1,Yes,Yes,Yes,140,
26_D_1080,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,146,
26_D_1079,R,SMI_ARN_3,D,5/7/26,Field Corn,16,0,0,0,0,1,0,1,No,No,Yes,147,
26_D_1086,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,95,
26_D_1085,R,SMI_ARN_3,D,5/7/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,96,
26_D_1083,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,97,
26_D_1084,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,98,
26_D_1087,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,102,
26_D_1081,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,131,
26_D_1082,R,SMI_ARN_3,D,5/7/26,Field Corn,15,0,0,0,0,0,,0,Yes,No,Yes,132,
26_D_1061,R,SMI_ARN_3,F,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,105,
26_D_1063,R,SMI_ARN_3,F,5/7/26,Field Corn,13,0,0,0,0,0,1,0,Yes,No,Yes,111,
26_D_1062,R,SMI_ARN_3,F,5/7/26,Field Corn,12,0,0,0,0,0,0,0,No,No,Yes,112,
26_D_1066,R,SMI_ARN_3,F,5/7/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,121,
26_D_1065,R,SMI_ARN_3,F,5/7/26,Field Corn,16,0,0,0,0,0,3,0,Yes,Yes,Yes,122,
26_D_1067,R,SMI_ARN_3,F,5/7/26,Field Corn,15,0,0,0,0,1,3,1,Yes,No,Yes,126,
26_D_1068,R,SMI_ARN_3,F,5/7/26,Field Corn,15,0,0,0,0,1,1,1,Yes,No,Yes,135,
26_D_1064,R,SMI_ARN_3,F,5/7/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,148,
26_D_1069,R,SMI_ARN_3,F,5/7/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,149,
26_D_1077,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,101,
26_D_1070,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,108,
26_D_1076,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,Yes,No,Yes,119,
26_D_1078,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,120,
26_D_1072,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,125,
26_D_1071,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,127,
26_D_1075,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,129,
26_D_1074,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,130,
26_D_1073,R,SMI_ARN_3,N,5/7/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,139,
26_D_1422,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,166,
26_D_1421,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,167,
26_D_1420,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,7,0,Yes,Yes,Yes,168,
26_D_1418,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,6,0,Yes,No,Yes,188,
26_D_1425,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,192,
26_D_1368,R,SMI_BUR,F,5/27/26,Field Corn,16,0,0,0,0,2,1,2,Yes,Yes,Yes,202,
26_D_1355,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,262,
26_D_1423,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,353,
26_D_1475,R,SMI_BUR,F,5/27/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,762,
26_D_1479,R,SMI_BUR,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,763,
26_D_1419,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,164,
26_D_1424,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,354,
26_D_1478,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,761,
26_D_1477,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,764,
26_D_1471,R,SMI_BUR,N,5/27/26,Field Corn,14,0,0,0,0,0,0,0,No,No,Yes,765,
26_D_1476,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,766,
26_D_1474,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,767,
26_D_1472,R,SMI_BUR,N,5/27/26,Field Corn,16,0,0,0,0,0,0,0,Yes,Yes,Yes,768,
26_D_1470,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,777,
26_D_1367,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,3,0,3,No,No,Yes,203,
26_D_1324,R,SMI_BUR,N,5/27/26,Field Corn,15,0,0,0,0,1,0,1,No,Yes,Yes,204,
26_D_1320,R,SMI_BUR_2,D,5/27/26,Field Corn,14,0,0,0,0,0,1,0,Yes,No,Yes,257,
26_D_1321,R,SMI_BUR_2,D,5/27/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,258,
26_D_1377,R,SMI_BUR_2,D,5/27/26,Field Corn,15,0,0,0,0,0,7,0,Yes,No,Yes,261,
26_D_1315,R,SMI_BUR_2,D,5/27/26,Field Corn,16,0,0,0,0,1,1,1,Yes,No,Yes,276,
26_D_1459,R,SMI_BUR_2,D,5/27/26,Field Corn,15,0,0,0,0,0,4,0,Yes,Yes,Yes,797,
26_D_1460,R,SMI_BUR_2,D,5/27/26,Field Corn,15,0,0,0,0,0,3,0,Yes,No,Yes,805,
26_D_1461,R,SMI_BUR_2,D,5/27/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,806,
26_D_1462,R,SMI_BUR_2,D,5/27/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,808,
26_D_1369,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,209,
26_D_1358,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,210,
26_D_1319,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,213,
26_D_1314,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,214,
26_D_1313,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,215,
26_D_1312,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,216,
26_D_1318,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,3,0,3,No,Yes,Yes,224,
26_D_1323,R,SMI_BUR_2,F,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,260,
26_D_1325,R,SMI_BUR_2,N,5/27/26,Field Corn,15,0,0,0,0,3,0,3,No,Yes,Yes,201,
26_D_1357,R,SMI_BUR_2,N,5/27/26,Field Corn,16,0,0,0,0,3,0,3,No,No,Yes,211,
26_D_1356,R,SMI_BUR_2,N,5/27/26,Field Corn,15,0,0,0,0,0,2,0,Yes,No,Yes,212,
26_D_1322,R,SMI_BUR_2,N,5/27/26,Field Corn,15,0,0,0,0,0,1,0,Yes,No,Yes,259,
26_D_1317,R,SMI_BUR_2,N,5/27/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,274,
26_D_1316,R,SMI_BUR_2,N,5/27/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,275,
26_D_1348,R,SMI_COB,F,5/26/26,Field Corn,15,0,0,0,0,4,0,4,No,No,Yes,240,
26_D_1351,R,SMI_COB,F,5/26/26,Field Corn,18,0,0,0,0,1,0,1,No,No,Yes,242,
26_D_1350,R,SMI_COB,F,5/26/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,243,
26_D_1349,R,SMI_COB,F,5/26/26,Field Corn,16,0,0,0,0,1,0,1,No,No,Yes,244,
26_D_1373,R,SMI_COB,F,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,256,
26_D_1354,R,SMI_COB,F,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,263,
26_D_1353,R,SMI_COB,F,5/26/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,264,
26_D_1456,R,SMI_COB,F,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,812,
26_D_1458,R,SMI_COB,F,5/26/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,849,
26_D_1454,R,SMI_COB,N,5/26/26,Field Corn,17,0,0,0,0,0,0,0,No,No,Yes,844,
26_D_1455,R,SMI_COB,N,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,850,
26_D_1457,R,SMI_COB,N ,5/24/26,Field Corn,13,0,0,0,0,0,0,0,No,No,Yes,847,
26_D_1347,R,SMI_COB,N,5/26/26,Field Corn,16,0,0,0,0,1,0,1,No,No,Yes,229,
26_D_1346,R,SMI_COB,N,5/26/26,Field Corn,17,0,0,0,0,1,0,1,No,No,Yes,230,
