,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
10,SMI_HOL,1540,0,15,0,0,0,0,0,0,0,0,214,2474,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,247,24,2,0,0,1183,70,292,66,235,79,4,0,0,0,0,0,0,0,6463,1776,1694,235,273,0,0.2747949868482129,0.2621073804734643,0.03636082314714529,0.04224044561349219,0.0,0.2382794367940585,0.002320903605136933,1000
11,DIP_PAT,1924,0,252,0,0,0,205,0,3,0,0,2649,40,0,0,9,0,0,0,0,0,0,7,0,5,0,0,1,3,0,0,111,11,0,0,3,671,2,15,198,185,154,11,5,0,0,0,0,2,0,6466,5060,1054,185,125,0,0.782554902567275,0.16300649551500154,0.028611197030621715,0.01933188988555521,0.0,0.29755644911846585,0.03897309000927931,1000
12,MIL_YOD,1227,0,793,0,0,0,29,0,22,0,0,918,213,3,0,15,0,0,0,0,0,0,2,2,25,0,0,0,2,0,0,66,12,0,0,0,1517,1,1,619,963,6,3,39,0,0,0,0,0,0,6478,3052,2147,963,78,0,0.47113306576103736,0.33142945353504166,0.1486569928990429,0.012040753318925594,0.0,0.18941031182463725,0.12241432540907687,1000
13,MIL_CHA,2337,0,435,0,5,0,414,0,6,0,0,1373,148,2,0,11,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,108,3,0,0,0,922,4,6,246,456,10,3,0,0,0,0,0,0,0,6493,4585,1191,456,111,0,0.7061450793161866,0.18342830740797783,0.07022947789927614,0.017095333436008008,0.0,0.35992607423379025,0.06699522562759895,1000
14,MIL_MCC,2171,0,463,0,0,0,0,4,59,0,0,526,293,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,4,79,3,0,0,4,1239,98,46,443,654,334,41,0,0,0,0,0,0,0,6471,3226,2205,654,86,4,0.4985319116056251,0.34075104311543813,0.10106629578117757,0.01329006335960439,0.0006181424818420646,0.33549683201978053,0.07154999227321898,1000
15,KAT_SAU,705,0,16,0,0,0,49,2,1,0,0,118,1376,0,0,78,0,0,0,0,0,0,13,0,16,0,0,0,0,0,2,353,11,4,0,3,2299,275,236,182,536,11,4,0,0,0,0,0,0,0,6290,982,3010,536,371,2,0.156120826709062,0.4785373608903021,0.08521462639109698,0.05898251192368839,0.0003179650238473768,0.11208267090620032,0.0025437201907790143,1000
16,KAT_SAU_2,791,0,12,0,0,0,84,5,99,0,0,211,2299,0,0,115,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,453,11,8,0,0,1329,78,38,105,629,10,2,2,0,0,0,0,0,0,6291,1327,1562,629,472,2,0.2109362581465586,0.24829120966460022,0.09998410427594977,0.0750278175170879,0.00031791448100460976,0.12573517723732316,0.0019074868860276585,1000
17,KAT_TEE,580,0,33,0,0,0,1,0,1,0,0,608,1053,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,243,46,2,0,2,2958,85,9,80,451,127,48,0,0,0,0,0,0,0,6347,1223,3309,451,293,11,0.19268945958720654,0.5213486686623602,0.07105719237435008,0.0461635418307862,0.0017331022530329288,0.09138175515991807,0.005199306759098787,1000
18,KAT_TEE_2,661,0,40,0,0,0,2,0,0,0,0,239,378,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,66,0,0,0,0,3900,797,44,79,129,0,4,0,0,0,0,0,0,0,6354,952,4824,129,66,0,0.14982688070506767,0.7592067988668555,0.020302171860245515,0.010387157695939566,0.0,0.10402895813660686,0.006295247088448221,1000
19,KAT_HAB_2,994,0,201,0,0,0,6,1,1,0,0,317,2081,6,0,2,6,0,0,0,0,0,2,0,6,0,0,0,5,0,0,240,2,0,0,0,1768,359,71,29,255,26,13,0,0,0,0,0,0,0,6391,1541,2266,255,242,0,0.24112032545767487,0.35456110154905335,0.03989985917696761,0.0378657487091222,0.0,0.15553121577217963,0.03145047723360976,1000
20,KAT_HAB,1071,0,545,0,0,0,56,30,0,0,0,40,1151,0,0,13,0,0,0,0,0,0,4,0,1,0,0,43,0,0,0,960,8,0,0,0,1596,143,96,34,530,27,24,0,0,0,0,0,5,0,6377,1807,1920,530,968,0,0.28336208248392664,0.3010820134859652,0.08311118080602165,0.15179551513250744,0.0,0.16794731064763996,0.08546338403638075,1000
21,KAT_BAR,955,0,26,0,0,0,6,0,1,0,0,197,386,0,0,18,0,0,0,0,0,0,4,0,0,0,1,15,25,0,234,402,48,8,0,41,2063,231,781,102,524,171,53,0,0,0,0,0,0,0,6292,1248,3442,524,499,234,0.19834710743801653,0.5470438652256834,0.08328035600762873,0.07930705657978385,0.0371900826446281,0.1517800381436745,0.004132231404958678,1000
22,SMI_LAT,1640,0,230,0,2,0,0,2,2,0,0,1140,342,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,77,366,21,4,1,0,1140,63,54,513,594,215,3,0,0,0,0,2,0,0,6417,3018,1988,594,392,77,0.47031323048153345,0.3098020882032102,0.09256661991584852,0.06108773570204145,0.011999376655758143,0.255571139161602,0.035842293906810034,1000
23,SMI_DUR,1419,0,63,0,2,0,0,1,10,0,0,196,233,0,0,34,0,0,0,0,0,0,0,0,23,0,0,0,53,0,0,376,87,9,0,3,1681,107,28,982,626,553,4,6,0,0,0,0,0,0,6496,1784,3358,626,475,0,0.2746305418719212,0.5169334975369458,0.09636699507389163,0.07312192118226601,0.0,0.21844211822660098,0.009698275862068966,1000
24,SMI_HOF,1364,0,41,0,0,0,0,0,20,0,0,112,292,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,140,513,79,17,2,16,2014,117,442,114,656,317,75,0,0,0,0,0,0,0,6347,1537,3095,656,627,140,0.24216165117378288,0.4876319521033559,0.10335591618087285,0.09878682842287695,0.022057665038600915,0.21490467937608318,0.006459744761304553,1000
25,SMI_JOH,1740,0,105,0,2,0,0,0,1,0,0,524,246,0,0,11,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,171,67,33,3,3,1221,347,72,1042,835,29,12,0,0,0,0,0,0,0,6486,2405,2726,835,277,0,0.3707986432315757,0.42028985507246375,0.12873882207832255,0.04270736971939562,0.0,0.2682701202590194,0.016188714153561518,1000
26,SMI_JOH_2,892,0,208,0,1,0,0,3,2,0,0,489,44,5,0,741,0,0,0,0,0,0,0,0,11,0,0,0,0,0,207,187,37,0,0,0,1553,210,28,1408,352,77,42,0,0,0,0,0,0,0,6497,2341,3318,352,224,207,0.36032014776050486,0.5106972448822533,0.05417885177774357,0.034477451131291366,0.03186085885793443,0.13729413575496383,0.03201477605048484,1000
27,GAB_ALL,118,0,8,0,0,0,0,0,0,0,0,61,64,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,641,566,590,234,39,2,2781,67,26,165,108,952,18,0,0,0,0,0,0,0,6469,190,4011,108,1431,641,0.029370845571185654,0.6200340083475034,0.016695006956252898,0.22120884217035092,0.09908795795331582,0.018240840933683722,0.001236667181944659,1000
28,KAT_JEF,599,0,5,0,0,0,0,0,17,0,0,66,1814,0,0,8,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,301,137,15,1,3,2212,286,43,92,425,252,24,0,0,0,0,0,0,0,6331,695,2912,425,457,2,0.10977728636866214,0.459958932238193,0.0671299952614121,0.07218448902227137,0.000315905860053704,0.09461380508608434,0.00078976465013426,1000
29,KAT_JEF_2,780,0,11,0,0,0,5,0,4,0,0,48,1298,0,0,0,0,0,0,0,0,0,1,0,24,0,0,1,1,0,12,136,40,4,2,0,1890,86,5,33,354,1470,135,0,0,0,0,0,0,0,6340,851,3619,354,182,12,0.13422712933753944,0.570820189274448,0.05583596214511041,0.028706624605678233,0.0018927444794952682,0.12302839116719243,0.0017350157728706626,1000
30,STA_WIL,1009,0,75,4,0,0,685,9,4,0,0,1373,114,0,0,126,0,0,0,0,0,0,2,0,0,0,4,4,0,0,10,255,19,0,0,0,1332,10,130,185,669,434,28,0,0,0,0,0,0,3,6484,3298,2119,669,274,10,0.5086366440468847,0.32680444170265266,0.10317705120296114,0.04225786551511413,0.0015422578655151142,0.15561381863047502,0.011566933991363356,1000
31,STA_HEM_2,2428,0,103,0,0,0,242,8,4,0,0,436,62,1,0,29,0,0,0,2,0,0,0,0,327,0,7,7,0,0,16,432,104,19,12,182,475,13,80,77,779,404,65,1,0,0,0,0,0,141,6456,3409,1296,779,749,16,0.5280359355638166,0.20074349442379183,0.1206629491945477,0.11601610904584882,0.0024783147459727386,0.3760842627013631,0.015954151177199505,1000
32,STA_HEM,1432,0,513,2,0,0,431,5,2,0,0,528,122,0,0,0,0,62,0,0,0,0,23,0,30,0,0,141,13,0,148,304,29,5,0,0,804,7,110,99,1129,278,16,0,0,0,0,0,0,235,6468,3387,1314,1129,338,148,0.5236549165120594,0.20315398886827457,0.1745516388373531,0.05225726654298083,0.022881880024737167,0.22139764996907854,0.07931354359925788,1000
33,STA_SWE,929,5,225,0,0,0,137,2,3,0,0,1620,170,3,7,322,2,0,0,0,10,211,3,0,33,0,4,0,0,0,12,132,15,11,2,0,1179,0,17,145,757,368,116,2,0,0,0,0,0,0,6442,3485,1825,757,160,12,0.5409810617820553,0.2832971126979199,0.11751009003415089,0.024837007140639553,0.0018627755355479665,0.14420987271033842,0.03492704129152437,1000
34,STA_COL,647,0,939,0,1,0,1214,0,0,0,0,730,14,0,0,45,0,0,0,0,0,0,2,0,89,0,11,0,49,0,14,172,115,55,0,37,901,0,15,109,854,219,16,0,0,0,11,0,0,259,6518,3908,1297,854,379,14,0.5995704203743479,0.1989874194538202,0.13102178582387236,0.0581466707579012,0.0021478981282602025,0.0992635777845965,0.1440625958883093,1000
35,WIS_COO_2,591,0,104,0,0,0,8,0,0,0,0,388,415,0,0,0,0,0,0,0,0,0,0,1,87,0,6,0,0,0,42,450,74,19,0,8,1973,69,18,240,652,860,243,0,0,0,0,0,0,0,6248,1098,3411,652,551,42,0.17573623559539053,0.5459346991037132,0.10435339308578745,0.08818822023047375,0.006722151088348271,0.09459026888604354,0.016645326504481434,1000
36,WIS_COO,620,0,289,4,0,0,109,3,4,0,0,1427,579,0,0,0,0,0,2,0,0,0,0,0,45,0,5,0,0,0,16,100,5,0,0,0,1234,33,8,257,1423,45,41,5,0,0,0,0,0,0,6254,2468,1618,1423,105,16,0.3946274384393988,0.2587144227694276,0.22753437799808124,0.0167892548768788,0.0025583626479053407,0.09913655260633195,0.04621042532779021,1000
37,LET_NOB,2299,0,268,0,0,0,11,0,0,0,0,2289,35,0,0,129,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,158,25,4,3,0,834,0,4,47,236,89,1,1,0,0,0,0,0,5,6455,5002,975,236,190,0,0.7749031758326879,0.15104570100697134,0.03656080557707204,0.02943454686289698,0.0,0.35615801704105343,0.041518202943454686,1000
38,LET_TAB,1830,0,81,0,0,0,39,1,1,0,0,2348,28,0,0,73,93,0,0,1,0,22,0,0,10,0,1,5,0,0,0,163,3,2,0,0,1275,17,115,58,190,39,10,0,8,0,0,0,0,0,6413,4503,1514,190,168,0,0.7021674723218463,0.2360829564946203,0.029627319507250897,0.02619678777483237,0.0,0.28535786683299547,0.01263059410572275,1000
39,WIS_HIG,32,0,7,0,0,0,0,2,0,0,0,12,71,0,0,0,0,0,0,0,0,0,0,4,224,0,437,0,15,5,29,710,342,269,95,5,2971,33,45,142,497,258,27,0,0,1,0,0,0,0,6233,515,3481,497,1421,29,0.08262473929087116,0.5584790630515001,0.07973688432536499,0.2279801058880154,0.004652655222204396,0.005133964383122092,0.0011230547088079577,1000
40,WIS_MEG,405,407,225,0,9,0,8,4,0,0,0,152,593,0,0,0,0,0,0,0,0,0,2,0,32,0,14,0,0,0,101,646,712,209,22,59,1089,52,8,340,1023,138,32,3,0,0,0,0,0,0,6285,1229,1718,1023,1648,101,0.19554494828957836,0.2733492442322991,0.16276849642004773,0.262211614956245,0.016070007955449484,0.06443914081145585,0.03579952267303103,1000
41,WIS_KEN,13,0,2,0,0,0,0,0,0,0,0,48,58,0,0,0,0,0,0,0,0,0,0,0,19,0,378,0,10,0,1517,1119,369,251,74,4,1549,34,8,61,447,113,132,0,0,3,0,0,0,0,6209,454,1901,447,1817,1517,0.07311966500241585,0.30616846513126106,0.07199226928651957,0.2926397165405057,0.24432275728780803,0.0020937349009502336,0.0003221130616846513,1000
42,ZUE_REE,819,0,971,0,0,0,433,13,141,0,85,799,85,4,0,6,0,0,0,2,0,0,5,0,76,0,0,29,0,0,978,543,78,6,0,1,569,2,105,92,440,97,44,11,0,0,0,0,0,3,6437,3321,910,440,628,978,0.5159235668789809,0.1413702035109523,0.06835482367562529,0.0975609756097561,0.1519341308062762,0.12723318315985707,0.1508466677023458,1000
43,DEG_PER_STRIP,1319,0,332,0,13,0,41,9,27,0,0,1012,423,4,0,12,0,0,0,0,0,0,15,0,7,0,0,3,2,0,3,300,23,3,0,3,1776,170,161,192,527,22,8,6,0,0,0,0,3,0,6416,2798,2332,527,329,3,0.4360972568578554,0.3634663341645885,0.08213840399002494,0.05127805486284289,0.0004675810473815461,0.20557980049875313,0.051745635910224436,1000
44,DEG_FOU_WOOD,1763,0,17,0,0,0,103,18,3,0,0,1004,965,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,281,9,0,0,0,948,95,151,277,644,84,19,2,0,0,0,0,0,0,6396,2918,1574,644,290,0,0.4562226391494684,0.24609130706691681,0.10068792995622264,0.04534083802376485,0.0,0.27564102564102566,0.0026579111944965606,1000
45,DEG_DIE_HILL,1131,0,476,0,0,0,7,0,5,0,0,431,381,0,0,0,0,0,1,0,0,0,1,0,6,0,1,0,2,0,58,797,629,186,63,16,693,149,91,326,853,83,19,0,0,0,0,0,0,0,6405,2055,1377,853,1691,58,0.32084309133489464,0.21498829039812647,0.13317720530835284,0.26401249024199847,0.009055425448868072,0.1765807962529274,0.07431693989071038,1000
46,DEG_DIE_SWC,1463,0,112,0,0,0,0,0,4,0,0,548,441,0,0,0,0,0,0,2,0,0,5,0,12,0,4,0,10,0,0,353,33,1,0,4,1486,68,85,457,1077,206,36,0,0,0,0,0,0,0,6407,2148,2342,1077,391,0,0.3352583112221008,0.36553769314811924,0.16809739347588576,0.06102700171687217,0.0,0.22834399875136568,0.01748088028718589,1000
47,DEG_YOU_BOCES,791,0,17,0,0,0,2,3,9,0,0,345,438,0,0,0,0,0,0,0,0,0,0,0,11,0,2,6,8,0,13,569,560,130,24,7,1036,164,123,667,1223,231,21,5,0,0,0,0,0,0,6405,1188,2249,1223,1290,13,0.18548009367681498,0.3511319281811085,0.19094457455113192,0.20140515222482436,0.002029664324746292,0.12349726775956284,0.002654176424668228,1000
48,DEG_YOU_OSHEA,1586,0,32,0,0,2,0,0,12,0,0,1074,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,655,375,26,0,0,1546,93,171,148,155,137,16,0,0,0,0,0,0,0,6411,2706,2111,155,1056,86,0.4220870379036032,0.3292778037747621,0.024177195445328342,0.1647168928404305,0.013414443924504757,0.24738730307284354,0.004991420995164561,1000
49,DEG_YOU_JONES,1282,0,30,0,0,0,2,0,5,2,0,1124,754,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,0,87,812,191,6,0,1,910,31,52,353,646,108,11,0,0,0,0,0,0,0,6420,2456,1466,646,1010,87,0.3825545171339564,0.22834890965732088,0.10062305295950155,0.1573208722741433,0.013551401869158878,0.1996884735202492,0.004672897196261682,1000
50,DEG_VIL,1871,0,44,2,4,0,12,4,131,0,0,764,320,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,8,0,207,611,206,28,0,1,991,17,53,360,554,160,34,1,0,0,0,17,0,0,6416,2864,1616,554,846,207,0.4463840399002494,0.2518703241895262,0.08634663341645886,0.131857855361596,0.032263092269326686,0.2916147132169576,0.00685785536159601,1000
51,SEA_HOO,1714,0,1755,0,0,0,390,29,98,0,3,754,124,0,0,28,13,0,0,0,0,0,164,0,17,0,0,63,1,0,1,189,9,2,4,0,389,6,89,93,262,191,4,14,0,0,0,0,0,0,6406,5026,772,262,204,1,0.7845769591008429,0.12051201998126757,0.04089915704027474,0.031845145176397124,0.00015610365282547612,0.26756166094286604,0.27396191070871057,1000
52,MIL_HUM,1657,0,414,0,191,0,509,0,0,0,0,1164,227,0,0,160,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,195,40,32,17,0,1082,3,3,317,409,50,0,0,0,0,0,0,0,0,6495,4095,1455,409,284,4,0.6304849884526559,0.22401847575057737,0.06297151655119322,0.043725943033102385,0.0006158583525789069,0.25511932255581216,0.06374133949191686,1000
53,ONE_TER,913,0,13,0,0,0,0,0,0,0,0,1002,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,870,830,300,54,6,856,85,6,91,569,175,14,0,0,0,0,0,0,0,6839,1928,1233,569,2060,91,0.28191256031583567,0.18028951601111273,0.08319929814300336,0.30121362772335136,0.01330603889457523,0.13349904956865039,0.0019008626992250328,1000
54,ONE_ADO,831,0,8,0,0,0,0,0,2,0,0,1473,307,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,10,139,0,0,0,0,3271,174,8,207,155,222,18,0,0,0,0,0,0,0,6847,2317,3900,155,139,10,0.3383963779757558,0.5695925222725281,0.02263765152621586,0.020300861691251643,0.0014604936468526361,0.12136702205345407,0.0011683949174821088,1000
55,ONE_STA,3329,3,4,0,0,0,0,2,14,0,0,397,229,0,0,3,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,395,82,31,32,37,1565,58,43,197,192,174,26,0,0,0,0,0,0,0,6880,3752,2100,192,577,0,0.5453488372093023,0.30523255813953487,0.027906976744186046,0.08386627906976744,0.0,0.4838662790697674,0.0005813953488372093,1000
