,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Broccoli,Peppers,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Radishes,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Buffer
10,SMI_HOL,8641,0,1270,0,11,0,0,3,2,0,0,1860,18530,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,26,0,0,0,0,1362,2213,316,74,23,108,13571,1358,3136,707,2340,2439,85,0,0,0,0,0,0,0,0,3,0,0,0,58174,11816,21404,2340,2734,1362,0.20311479355038334,0.367930690686561,0.04022415512084437,0.04699694021384124,0.023412521057517104,0.1485371471791522,0.021831058548492453,0.0,0.3105339154948946,3000
11,DIP_PAT,17393,4,5041,0,0,0,3668,12,62,0,0,12732,2341,0,0,64,0,0,0,0,0,0,0,48,0,85,0,0,37,22,11,0,0,48,1363,218,41,2,227,5745,62,189,2549,4271,1663,207,68,0,0,0,0,0,0,0,0,2,0,0,58175,39164,10642,4271,1851,48,0.6732101418134938,0.18293081220455523,0.07341641598624839,0.03181779114740008,0.0008250966910184788,0.298977223893425,0.08665234207133649,0.06305113880532875,0.10306832831972497,3000
12,MIL_YOD,9664,0,2925,0,183,2,134,0,349,0,0,12429,3039,11,0,84,0,0,0,0,0,0,0,15,4,247,0,0,1,2,5,0,0,26,1389,107,26,0,10,12433,480,167,6431,7604,438,95,52,0,0,0,0,0,0,0,0,0,0,0,58352,25860,20054,7604,1532,26,0.4431724705237181,0.3436728818206745,0.1303125856868659,0.026254455717027694,0.0004455717027693995,0.16561557444474911,0.050126816561557444,0.0022964080065807514,0.22415684123937482,3000
13,MIL_CHA,14418,0,2363,0,7,0,784,0,74,0,0,9567,1423,6,0,50,0,0,0,0,0,0,0,2,64,42,0,0,5,16,0,0,0,87,1021,52,8,0,0,15823,1502,414,4407,6022,217,39,2,0,0,0,0,0,0,0,0,0,0,0,58415,27358,22402,6022,1081,87,0.4683386116579646,0.3834973893691689,0.10308995977060686,0.01850552084224942,0.0014893434905418129,0.24682016605323975,0.04045193871437131,0.013421210305572199,0.30367200205426687,3000
14,MIL_MCC,8963,1,2629,0,3,0,30,58,233,0,0,5757,2779,0,0,567,0,0,0,0,0,0,0,5,2,85,0,0,2,1,17,0,0,188,2457,1197,546,121,34,15928,1833,351,5358,6693,2073,296,3,0,0,0,0,0,0,0,0,1,0,0,58211,18272,25873,6693,4355,188,0.31389256326123927,0.44446925838759,0.11497826871209908,0.07481403858377282,0.0032296301386335914,0.1539743347477281,0.045163285289721876,0.0005153665114840838,0.3111439418666575,3000
15,KAT_SAU,3691,0,86,1,0,0,251,10,190,0,0,926,10328,5,0,215,0,0,0,0,0,0,0,53,0,83,0,0,2,2,0,0,0,7,2206,323,74,11,5,22244,4629,1803,2131,7196,94,27,30,0,0,0,0,0,0,0,0,0,0,0,56623,5462,30933,7196,2619,7,0.09646256821432987,0.5462974409692175,0.1270861663988132,0.046253289299401305,0.00012362467548522686,0.06518552531656747,0.0015188174416756442,0.0044328276495417054,0.5064373134591951,3000
16,KAT_SAU_2,4654,0,101,1,0,0,326,16,220,0,0,965,12563,5,0,298,3,0,0,0,0,0,0,72,0,79,0,0,6,2,3,0,2,5,2052,88,30,2,4,20618,3501,1449,1582,7827,55,35,64,0,0,0,0,0,0,0,0,0,0,0,56628,6736,27244,7827,2176,7,0.11895175531539168,0.48110475383202655,0.13821784276329732,0.038426220244402065,0.00012361375997739635,0.08218549127640037,0.0017835699653881473,0.00575686939323303,0.45150808787172425,3000
17,KAT_TEE,3328,33,148,0,0,0,22,2,12,0,0,2145,5731,0,0,20,0,0,0,0,0,14,0,0,0,108,0,0,0,1,6,0,0,54,1303,103,7,0,9,34969,4802,277,912,2636,346,134,0,0,0,0,0,0,0,0,0,3,0,0,57125,5734,41449,2636,1422,54,0.10037636761487966,0.7255842450765865,0.046144420131291025,0.02489277899343545,0.0009452954048140043,0.0582582056892779,0.0025908096280087525,0.0003851203501094092,0.7010590809628009,3000
18,KAT_TEE_2,4006,1,185,0,0,0,28,3,22,0,0,2399,5814,0,0,0,0,0,0,0,2,23,0,4,0,75,0,0,0,0,7,0,0,72,1327,113,16,5,19,34429,4457,381,1153,1996,368,230,3,0,0,0,0,0,0,0,0,3,0,0,57141,6686,41037,1996,1480,72,0.11700880278609055,0.718170840552318,0.034931135261896014,0.025900841777357766,0.0012600409513309182,0.07010727848655081,0.0032376052221697207,0.0004900159255175794,0.6871948338320996,3000
19,KAT_HAB_2,7567,0,1461,0,0,0,92,19,64,0,0,1324,12308,6,2,18,10,0,0,0,10,2,0,22,0,185,0,0,0,29,33,0,0,437,1694,73,7,3,7,19758,6319,1063,372,3405,891,177,161,0,0,0,0,0,3,0,0,2,0,0,57524,10825,28587,3405,1784,437,0.18818232389958975,0.49695779153049163,0.05919268479243446,0.031013142340588277,0.007596829149572352,0.1315450942215423,0.025398094708295668,0.0015993324525415478,0.47180307349975664,3000
20,KAT_HAB,8947,0,3065,0,2,0,77,56,1,0,0,1941,7687,0,0,250,0,0,0,0,475,0,0,75,0,602,0,0,2,229,11,0,0,57,4641,1414,260,61,187,18838,2685,1074,429,3465,709,196,4,0,2,0,0,0,0,0,0,5,0,0,57447,15142,24118,3465,6563,57,0.2635820843560151,0.41983045241701045,0.06031646561178129,0.11424443400003481,0.0009922189148258394,0.15574355492889097,0.05335352585861751,0.0013403659024840287,0.3933538740056052,3000
21,KAT_BAR,2729,0,311,0,0,0,258,0,1,0,0,885,3735,0,0,525,2,0,0,0,0,0,0,17,0,10,0,0,1,61,39,0,0,699,2124,245,99,15,101,26660,3390,9893,779,3250,520,260,0,0,0,0,0,0,0,0,0,0,0,0,56609,4829,41603,3250,2584,699,0.08530445688848064,0.7349184758607289,0.05741136568390185,0.045646451977600734,0.01234785988093766,0.04820788213888251,0.005493826070059531,0.004557579183522055,0.7055945167729513,3000
22,SMI_LAT,10466,0,748,0,14,0,13,2,87,0,0,8345,5294,7,0,68,0,0,0,0,0,0,0,8,2,91,0,0,2,0,71,0,0,346,3019,985,486,130,5,10556,1176,650,5081,7960,1994,165,2,0,0,0,0,0,3,0,2,0,0,0,57778,19840,19627,7960,4625,346,0.34338329467963585,0.33969677039703694,0.13776870088961196,0.08004776904704212,0.005988438506005746,0.18114161099380388,0.012946104053445949,0.000224999134618713,0.2143030219114542,3000
23,SMI_DUR,5348,0,760,0,12,0,23,6,94,0,0,1793,2294,2,0,89,0,0,14,10,0,0,0,2,28,627,0,0,15,4,480,0,0,1347,3182,812,197,29,191,18675,1266,344,7458,4328,8242,796,8,0,0,0,0,0,0,0,0,0,0,0,58476,8688,36972,4328,4411,1347,0.1485737738559409,0.6322593884670634,0.07401327040153226,0.0754326561324304,0.0230350913195157,0.0914563239619673,0.012996785005814351,0.000393323756754908,0.34689445242492645,3000
24,SMI_HOF,4523,0,777,0,0,0,10,3,96,0,0,1278,3242,0,0,8,0,0,0,0,0,0,0,3,1,64,0,0,0,0,0,0,0,866,2546,223,46,2,135,20285,2855,12515,866,5393,1039,379,0,0,0,0,0,0,0,0,0,0,0,0,57155,6699,38074,5393,2952,866,0.11720759338640539,0.6661534423934914,0.09435744904207856,0.051649024582276264,0.015151780246697577,0.07913568366722072,0.01359461114513166,0.00017496282040066485,0.6238299361385705,3000
25,SMI_JOH,8909,0,1457,0,150,0,102,0,152,0,0,7145,6209,6,0,24,0,0,0,0,0,0,0,22,7,191,0,0,6,2,2,0,0,36,1858,532,183,44,16,12858,969,275,7715,9071,305,83,38,0,0,0,0,0,0,0,1,0,0,0,58368,18023,22221,9071,2633,36,0.30878220942982454,0.38070518092105265,0.15541049890350878,0.04511033442982456,0.0006167763157894736,0.15263500548245615,0.02496230811403509,0.0017475328947368421,0.24160498903508773,3000
26,SMI_JOH_2,3148,0,751,0,5,0,50,4,96,0,0,4720,2670,35,0,1881,0,0,0,0,0,0,0,0,0,303,0,0,5,6,0,0,0,354,4440,3207,1177,558,66,16229,1091,188,9500,7474,401,119,4,0,0,0,0,0,0,0,0,0,0,0,58482,10705,27594,7474,9448,354,0.1830477753838788,0.47183748845798706,0.12780000683971138,0.1615539824219418,0.006053144557299682,0.0538285284361,0.012841558086248761,0.0008549639205225539,0.2993741664101775,3000
27,GAB_ALL,3218,0,18,0,0,0,2,4,9,0,0,1282,2091,0,0,0,0,0,0,0,0,0,0,0,39,287,0,0,0,0,0,0,0,4488,5301,4844,3109,899,294,22024,830,482,2428,2121,4048,371,0,0,0,0,0,0,0,0,24,4,0,0,58217,4600,30477,2121,14447,4488,0.0790147207860247,0.5235068794338423,0.036432657127643125,0.24815775460776063,0.07709088410601714,0.055275950323788584,0.0003091880378583575,3.435422642870639e-05,0.40084511397014616,3000
28,KAT_JEF,3458,0,595,0,0,0,65,0,56,0,0,285,12702,0,0,660,0,0,0,0,0,0,0,22,0,181,0,0,0,4,11,0,0,61,2207,381,41,3,16,20376,2007,148,691,5377,7256,355,0,0,0,0,0,0,0,0,0,0,0,0,56958,5156,30849,5377,2648,61,0.09052284139190281,0.5416096070789003,0.09440289336001967,0.046490396432459,0.001070964570385196,0.06071140138347554,0.010446293760314617,0.0011411917553284876,0.3955721759893255,3000
29,KAT_JEF_2,3221,0,33,0,0,0,17,0,54,0,0,252,12239,0,0,0,0,0,0,0,3,1,0,4,0,129,0,0,0,10,4,0,0,63,1510,262,87,14,8,22510,1427,108,428,3160,10999,469,0,0,0,0,0,0,0,0,0,0,0,0,57012,3599,35949,3160,1881,63,0.06312706096962042,0.6305514628499264,0.055426927664351366,0.03299305409387497,0.0011050305198905493,0.056496877850277134,0.0005788255104188592,0.00029818283870062444,0.42175331509155967,3000
30,STA_WIL,12365,0,2217,4,3,0,4285,32,75,0,2,10627,947,0,0,378,0,0,0,0,0,0,0,11,0,113,0,0,47,34,1,0,0,108,2971,506,113,12,85,8629,77,890,1224,7700,4652,241,5,0,0,0,0,0,0,0,0,2,26,0,58382,30114,15798,7700,3687,108,0.5158096673632284,0.2705971018464595,0.1318899660854373,0.06315302661779315,0.0018498852386009386,0.2117947312527834,0.03797403309239149,0.07339590969819465,0.16436572916309822,3000
31,STA_HEM_2,15680,8,3484,1,4,0,4360,490,35,0,99,7085,997,4,0,345,0,2,80,12,0,0,15,22,0,998,0,0,97,110,0,0,0,284,2787,631,125,59,735,6597,49,585,801,6081,4570,195,23,4,0,0,0,0,24,0,0,0,622,0,58100,32606,13532,6081,4337,284,0.5612048192771084,0.23290877796901893,0.1046643717728055,0.07464716006884682,0.004888123924268502,0.26987951807228916,0.05996557659208262,0.07504302925989673,0.12445783132530121,3000
32,STA_HEM,15292,28,5881,5,3,0,747,16,45,0,3,10039,788,0,0,205,0,62,6,0,0,0,0,37,0,286,0,0,97,319,17,0,0,1249,2173,238,28,12,32,7403,288,948,933,6173,3461,261,10,0,0,0,0,0,0,0,0,0,1113,0,58198,33925,13326,6173,2483,1249,0.582923811814839,0.22897694078834324,0.1060689370768755,0.042664696381318944,0.021461218598577272,0.262758170383862,0.10105158252860923,0.012835492628612668,0.14844152720024742,3000
33,STA_SWE,8329,5,2237,0,0,0,1682,8,10,0,2,11408,864,6,8,1387,5,0,0,0,36,332,0,10,5,106,0,0,19,2,5,1,0,77,1777,219,35,14,13,19121,110,456,1845,5191,2040,560,9,11,0,0,2,0,7,0,0,0,23,0,57977,25549,24145,5191,2058,77,0.44067475033202824,0.4164582506856167,0.08953550545906135,0.03549683495179123,0.0013281128723459303,0.14366041706193836,0.03858426617451748,0.02901150456215396,0.3395656898425238,3000
34,STA_COL,7195,0,2816,0,1,0,2582,9,9,0,0,4267,579,9,0,767,2,0,0,0,0,206,0,6,3,577,5,0,172,3,105,0,0,480,4453,1215,318,24,94,11756,372,614,903,11461,6924,291,2,0,2,8,0,0,99,0,0,0,373,0,58702,18641,20954,11461,6104,480,0.3175530646315287,0.3569554700010221,0.19524036659739022,0.10398282852373003,0.00817689346189227,0.12256822595482267,0.04797110830976798,0.0439848727470955,0.2170624510238152,3000
35,WIS_COO_2,2822,3,1567,5,0,2,30,1,9,0,0,3309,2505,0,0,0,0,0,0,0,0,0,0,8,7,1003,0,0,40,0,1,0,0,159,2375,424,107,30,36,27073,1297,157,1873,7883,2682,686,0,0,0,0,0,0,0,155,0,0,0,0,56249,7959,33804,7883,2972,159,0.14149584881509006,0.6009706839232698,0.14014471368379883,0.05283649487101993,0.0028267169194119007,0.05016978079610304,0.027858273035965084,0.0005333428149833775,0.5071556827676936,3000
36,WIS_COO,4728,0,2670,17,0,0,143,10,17,0,0,6260,5408,0,0,0,0,0,2,0,0,0,0,17,9,516,0,0,28,0,0,0,0,355,1437,263,62,26,14,19150,475,46,1980,10548,1604,477,5,0,0,0,0,0,0,41,0,0,0,0,56308,13947,23746,10548,1802,355,0.24769126944661504,0.4217162747744548,0.18732684520849613,0.032002557363074516,0.006304610357320451,0.08396675428003125,0.047417773673367906,0.0025396036087234498,0.3493464516587341,3000
37,LET_NOB,22983,0,5041,0,0,0,544,0,2,0,2,13697,543,0,0,405,0,0,0,0,0,1,0,0,0,47,0,0,0,0,1,0,0,29,1627,339,36,3,35,7875,11,108,428,2730,1487,109,5,0,0,0,0,0,0,0,0,0,5,0,58093,42686,10053,2730,2040,29,0.7347873237739486,0.1730501093074897,0.04699361368839619,0.03511610693198836,0.0004991995593272855,0.3956242576558277,0.0867746544334085,0.009364295181863564,0.13760694059525244,3000
38,LET_TAB,14977,0,239,0,0,0,954,5,46,0,1,14078,267,3,0,99,128,0,0,1,0,29,0,11,0,28,0,0,1,17,0,0,0,299,1902,347,53,28,26,14486,1621,3744,774,2090,799,622,0,8,0,0,0,0,0,0,0,0,2,0,57685,30599,22072,2090,2356,299,0.5304498569818844,0.3826297997746381,0.03623125595908815,0.04084250671751755,0.005183323220941319,0.2596342203345757,0.00414319147091965,0.016538094825344542,0.3441275894946693,3000
39,WIS_HIG,57,0,12,0,0,0,0,13,0,0,0,63,299,0,0,0,0,0,0,0,0,0,0,0,4,927,0,0,727,0,34,5,0,6982,4179,1856,1216,349,85,30118,1824,535,597,1325,4006,864,0,0,0,0,0,2,0,0,0,0,0,0,56079,917,38029,1325,7685,6982,0.016351932095793435,0.6781326343194423,0.023627382799265323,0.13703882023573888,0.1245029333618645,0.0010164232600438667,0.0002139838442197614,0.0,0.579129442393766,3000
40,WIS_MEG,1392,1204,784,13,548,0,174,36,42,0,0,1013,4783,0,0,0,0,0,0,0,0,0,0,18,323,247,5,0,133,0,0,6,0,308,4870,4353,1861,311,140,18885,1051,108,3829,7550,2259,279,6,0,0,0,0,0,0,0,0,0,0,0,56531,5697,26551,7550,11535,308,0.10077656507049229,0.46967150766835897,0.13355504059719445,0.20404733685942225,0.005448338079991509,0.02462365781606552,0.013868496930887477,0.00307795722700819,0.354566521023863,3000
41,WIS_KEN,482,0,78,2,0,0,3,3,0,0,0,208,400,0,0,0,0,0,0,0,0,0,0,1,0,1026,0,2,8326,2,92,20,0,8956,7227,3090,2983,2199,90,13517,406,127,857,3343,1396,1090,0,0,0,0,0,9,0,0,0,0,0,0,55935,9228,17483,3343,15589,8956,0.1649772056851703,0.3125592205238223,0.05976579958880844,0.2786984893179583,0.16011441852149816,0.00861714490033074,0.0013944757307589165,5.3633681952266026e-05,0.25118441047644585,3000
42,ZUE_REE,7289,1,5912,2,0,0,2611,33,285,0,282,4333,542,6,0,14,0,0,0,2,0,0,0,13,4,217,3,0,919,411,3,0,0,21248,2325,496,34,0,12,4471,81,935,934,3011,951,244,22,0,0,0,0,0,2,0,0,0,299,1,57948,22447,7628,3011,2867,21248,0.38736453371988677,0.13163525919790156,0.05196037827017326,0.049475391730517015,0.3666735694070546,0.1257851867191275,0.10202250293366466,0.04505763788223925,0.09468834127148477,3000
43,DEG_PER_STRIP,7777,11,1146,0,14,0,53,17,127,2,0,6109,5604,39,0,33,0,0,2,0,0,0,0,141,0,346,3,0,1,5,8,0,0,50,2062,160,16,0,21,23112,755,1171,3433,4827,583,101,10,0,0,0,0,0,0,0,2,3,0,0,57744,15503,29176,4827,2259,50,0.2684781102798559,0.5052646162371848,0.08359310058187863,0.03912094763092269,0.0008658908284843447,0.13468065946245497,0.01984621778886118,0.0009178442781934054,0.43360349127182046,3000
44,DEG_FOU_WOOD,11683,2,148,0,9,0,126,18,35,2,0,8396,7533,4,0,8,0,0,0,0,0,0,0,28,0,50,0,0,11,29,22,0,0,46,2576,303,21,3,13,13046,630,997,3525,6898,1231,165,11,0,0,0,0,0,0,0,0,2,0,0,57571,20534,19607,6898,2916,46,0.35667263031734725,0.3405707734797033,0.11981726911118445,0.05065050112035573,0.0007990133921592468,0.2029320317520974,0.0025707387399906204,0.002188601900262285,0.25486790224244843,3000
45,DEG_DIE_HILL,5020,4,617,0,0,0,26,9,70,0,0,2382,4247,0,0,5,0,0,19,3,0,0,0,47,0,67,0,0,8,13,16,0,0,1166,4726,5362,3987,1162,577,15708,855,951,3399,5617,1273,267,10,1,0,0,0,0,0,0,3,0,0,0,57617,8253,23030,5617,15814,1166,0.14323897460818855,0.39970841939011054,0.09748858843744033,0.27446760504712153,0.02023708280542201,0.0871270631931548,0.010708645017963448,0.00045125570578127984,0.30397278580974363,3000
46,DEG_DIE_SWC,6677,5,240,0,0,0,8,8,31,0,0,3826,7153,3,0,6,0,0,9,2,0,0,0,56,0,106,4,0,13,2,55,0,0,43,2109,220,156,13,82,24232,978,1088,3637,5615,1103,187,5,0,0,0,0,0,0,0,1,3,0,0,57676,10954,31307,5615,2580,43,0.18992301823982247,0.5428081004230529,0.0973541854497538,0.0447326444274915,0.0007455440737915251,0.11576739024897705,0.004161176225813163,0.0001387058741937721,0.45596088494347736,3000
47,DEG_YOU_BOCES,6261,2,564,0,0,0,13,4,41,0,0,3165,3504,0,0,0,0,0,7,0,0,0,0,44,5,35,0,0,7,8,16,0,0,122,7500,7248,4570,1281,125,12193,644,709,3031,5453,921,153,12,1,0,0,0,0,0,0,1,4,0,0,57644,10155,17776,5453,20724,122,0.17616751092915134,0.30837554645756715,0.09459787662202485,0.35951703559780723,0.0021164388314481994,0.10861494691555063,0.009784192630629381,0.00022552217056415237,0.2349941017278468,3000
48,DEG_YOU_OSHEA,8288,2,162,0,0,2,6,4,39,0,0,5341,4975,0,0,0,0,0,1,0,0,0,0,44,0,72,0,0,9,4,47,0,0,1152,6470,4077,1203,136,215,13120,607,850,3304,6027,1322,203,8,0,0,0,0,0,0,0,0,5,0,0,57695,13962,19621,6027,12101,1152,0.24199670682034838,0.3400814628650663,0.10446312505416414,0.20974087875899125,0.01996706820348384,0.1436519629083976,0.0028078689661149145,0.00010399514689314498,0.25265620937689576,3000
49,DEG_YOU_JONES,6708,0,295,2,4,0,196,21,217,2,0,6357,4219,175,0,12,0,0,0,0,0,0,0,23,0,122,5,0,7,4,29,0,0,2263,3542,1080,156,3,154,20610,1384,1356,3705,3943,953,185,10,0,0,0,0,0,0,0,17,0,0,0,57759,14084,28347,3943,4935,2263,0.24384078671722156,0.4907806575598608,0.0682664173548711,0.08544122993819145,0.039180041205699546,0.11613774476704929,0.0051074291452414345,0.003393410550736682,0.40426600183521183,3000
50,DEG_VIL,6244,0,459,2,4,7,193,24,231,2,0,6607,3668,24,0,14,11,0,0,0,0,0,0,43,0,117,5,0,8,4,25,0,0,2196,3457,1021,138,3,155,21619,1029,1527,3717,4060,942,194,12,0,0,0,0,0,0,0,17,0,0,0,57779,13936,29183,4060,4774,2196,0.24119489780023884,0.5050797002371104,0.07026774433617751,0.08262517523667769,0.03800688831582409,0.10806694473770748,0.007944062721750116,0.003340313954897108,0.4184046106716973,3000
51,SEA_HOO,14463,0,8187,4,0,0,4409,169,809,0,71,9150,2120,3,0,166,58,0,3,0,0,0,12,950,1,208,0,0,7,853,5,0,0,50,2020,215,25,14,19,5160,358,965,777,5145,961,126,52,0,0,0,0,0,2,0,0,0,31,88,57656,39493,8366,5145,2293,50,0.6849764118218399,0.14510198418204523,0.08923615928957958,0.039770362147911756,0.0008672124323574303,0.2508498681837103,0.14199736367420562,0.0764707922852782,0.11244276397946441,3000
52,MIL_HUM,5431,0,3447,0,238,0,2177,1,13,0,0,3101,2292,4,0,434,0,0,0,0,0,0,0,0,10,58,0,0,7,1,0,0,0,7,5829,2932,188,65,0,17349,1583,761,5646,6237,560,55,22,0,0,0,0,0,0,0,0,0,0,0,58448,14886,25954,6237,9014,7,0.25468792773063237,0.4440528332877087,0.1067102381604161,0.15422255680262797,0.00011976457705995073,0.09292020257322749,0.058975499589378595,0.037246783465644674,0.3369319737202299,3000
53,ONE_TER,7027,168,81,0,0,0,0,1,73,0,0,2740,8254,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1807,7656,4262,1581,445,34,13816,1802,87,1416,5998,3950,298,0,0,0,0,0,0,0,0,0,0,0,0,61546,10090,21403,5998,13978,1807,0.16394241705391088,0.3477561498716407,0.09745556169369252,0.22711467845188965,0.029360153381210802,0.11417476359146005,0.0013160887791245572,0.0,0.2551749910635947,3000
