Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
KAT_HAB_2,216,0,156,0,0,0,3,0,1,0,69,774,6,0,2,6,0,0,0,0,2,0,1,0,0,0,2,0,82,0,0,0,0,174,54,3,7,39,4,0,0,0,0,0,0,1601,463,242,39,82,0,0.289194254,0.151155528,0.024359775,0.051217989,0,0.134915678,0.097439101,500
KAT_HAB,282,0,365,0,0,0,44,14,0,0,11,256,0,0,1,0,0,0,0,0,2,0,1,0,0,33,0,0,122,2,0,0,0,314,0,0,6,133,2,8,0,0,0,0,0,1596,752,330,133,124,0,0.471177945,0.206766917,0.083333333,0.077694236,0,0.176691729,0.228696742,500
KAT_BAR,472,0,8,0,0,0,1,0,0,0,109,41,0,0,15,0,0,0,0,0,1,0,0,0,0,5,22,40,172,24,6,0,26,351,35,93,24,75,36,13,0,0,0,0,0,1569,633,578,75,228,40,0.403441683,0.368387508,0.047801147,0.145315488,0.025493945,0.300828553,0.005098789,500
SMI_LAT,409,0,96,0,0,0,0,0,0,0,308,116,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,107,7,1,0,0,366,0,0,56,132,2,3,0,0,0,0,0,1606,813,427,132,115,0,0.50622665,0.265877958,0.082191781,0.071606476,0,0.254669988,0.059775841,500
SMI_DUR,426,0,2,0,0,0,0,0,3,0,12,97,0,0,10,0,0,0,0,0,0,0,2,0,0,0,5,0,88,16,0,0,2,329,40,5,284,163,141,0,1,0,0,0,0,1626,459,801,163,106,0,0.282287823,0.492619926,0.100246002,0.065190652,0,0.26199262,0.001230012,500
SMI_HOF,278,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,165,27,0,0,0,508,69,232,26,13,154,32,0,0,0,0,0,1587,290,1021,13,192,71,0.18273472,0.643352237,0.008191556,0.120982987,0.0447385,0.175173283,0,500
SMI_JOH,517,0,4,0,0,0,0,0,0,0,171,58,0,0,8,0,0,0,0,0,19,2,0,0,0,0,0,0,49,13,8,3,0,265,5,2,272,225,1,2,0,0,0,0,0,1624,721,547,225,73,0,0.443965517,0.33682266,0.138546798,0.044950739,0,0.318349754,0.002463054,500
SMI_JOH_2,170,0,9,0,0,0,0,0,0,0,54,8,0,0,503,0,0,0,0,0,0,0,4,0,0,0,0,108,56,1,0,0,0,324,26,6,238,80,31,11,0,0,0,0,0,1629,736,636,80,57,108,0.451810927,0.390423573,0.049109883,0.034990792,0.066298343,0.104358502,0.005524862,500
GAB_ALL,26,0,1,0,0,0,0,0,0,0,32,39,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,16,140,142,26,7,2,707,6,4,85,38,317,11,0,0,0,0,0,1618,62,1132,38,317,16,0.038318912,0.699629172,0.023485785,0.19592089,0.009888752,0.016069221,0.000618047,500
KAT_JEF,212,0,3,0,0,0,0,0,0,0,51,286,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,91,6,0,0,0,617,154,12,15,106,7,3,0,0,0,0,0,1582,273,808,106,97,0,0.172566372,0.510745891,0.067003793,0.061314791,0,0.134007585,0.001896334,500
KAT_JEF_2,239,0,9,0,0,0,0,0,0,0,13,464,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,64,14,3,2,0,443,10,0,11,113,164,23,0,0,0,0,0,1582,261,651,113,83,3,0.164981037,0.411504425,0.071428571,0.052465234,0.001896334,0.151074589,0.005689001,500
STA_WIL,493,0,12,2,0,0,247,4,4,0,213,31,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,142,10,0,0,0,140,0,12,46,206,55,6,0,0,0,0,3,1628,980,259,206,152,0,0.601965602,0.159090909,0.126535627,0.093366093,0,0.302825553,0.007371007,500
STA_HEM_2,727,0,24,0,0,0,185,0,0,0,186,3,0,0,1,0,0,0,0,0,0,0,5,0,4,5,0,0,143,28,6,0,1,116,0,9,13,74,78,6,0,0,0,0,0,1614,1132,223,74,178,0,0.701363073,0.138166047,0.045848823,0.110285006,0,0.450433705,0.014869888,500
STA_HEM,175,0,74,0,0,0,25,3,2,0,319,39,0,0,0,0,62,0,0,0,0,0,7,0,0,116,0,25,91,7,0,0,0,203,0,39,16,345,69,0,0,0,0,0,0,1617,776,327,345,98,25,0.479901051,0.202226345,0.213358071,0.060606061,0.01546073,0.108225108,0.04576376,500
STA_SWE,309,0,134,0,0,0,22,0,0,0,587,56,0,1,8,1,0,0,0,84,0,0,7,0,3,0,0,10,26,1,9,0,0,92,0,0,14,170,40,34,0,0,0,0,0,1608,1149,180,170,36,10,0.714552239,0.111940299,0.105721393,0.02238806,0.006218905,0.192164179,0.083333333,500
STA_COL,83,0,402,0,1,0,284,0,0,0,432,4,0,0,31,0,0,0,0,0,2,0,32,0,4,0,2,0,54,7,0,0,3,50,0,2,19,92,10,0,0,8,0,0,116,1638,1365,84,92,64,0,0.833333333,0.051282051,0.056166056,0.039072039,0,0.050671551,0.245421245,500
WIS_COO_2,251,0,60,0,0,0,4,0,0,0,72,120,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,4,180,35,11,0,0,371,17,0,80,137,194,14,0,0,0,0,0,1557,389,676,137,226,4,0.249839435,0.434168272,0.087989724,0.145150931,0.002569043,0.16120745,0.038535645,500
WIS_COO,77,0,8,3,0,0,68,1,4,0,697,188,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,3,7,0,0,0,0,100,0,0,31,351,5,9,3,0,0,0,0,1565,863,145,351,7,3,0.5514377,0.092651757,0.22428115,0.004472843,0.001916933,0.049201278,0.005111821,500
LET_NOB,446,0,195,0,0,0,1,0,0,0,487,18,0,0,126,0,0,0,0,0,0,0,9,0,0,0,0,0,77,4,4,3,0,140,0,1,11,74,12,0,0,0,0,0,5,1613,1260,164,74,88,0,0.781153131,0.1016739,0.045877247,0.054556727,0,0.27650341,0.120892746,500
LET_TAB,134,0,14,0,0,0,37,0,0,0,772,8,0,0,0,0,0,0,1,20,0,0,0,0,1,0,0,0,72,1,1,0,0,396,2,47,20,65,11,3,0,0,0,0,0,1605,979,479,65,74,0,0.609968847,0.298442368,0.040498442,0.046105919,0,0.083489097,0.008722741,500
WIS_HIG,8,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,28,0,83,0,3,7,210,108,73,6,0,742,8,12,35,134,76,12,0,0,0,0,0,1554,97,885,134,397,7,0.062419562,0.569498069,0.086229086,0.255469755,0.004504505,0.005148005,0.001930502,500
WIS_MEG,179,191,81,0,0,0,0,0,0,0,36,105,0,0,0,0,0,0,0,0,0,0,16,0,11,0,0,25,122,219,50,0,7,175,15,3,67,248,10,12,0,0,0,0,0,1572,498,289,248,398,25,0.316793893,0.183842239,0.157760814,0.253180662,0.015903308,0.113867684,0.051526718,500
WIS_KEN,10,0,1,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,5,0,238,0,7,85,332,120,57,24,4,343,17,0,26,188,28,40,0,0,0,0,0,1551,264,458,188,537,85,0.170212766,0.295293359,0.121212121,0.34622824,0.054803353,0.006447453,0.000644745,500
ZUE_REE,180,0,372,0,0,0,131,8,21,6,210,32,4,0,6,0,0,0,0,0,0,0,17,0,0,10,0,0,138,4,0,0,0,171,0,27,36,200,27,4,3,0,0,0,3,1610,954,265,200,142,0,0.592546584,0.164596273,0.124223602,0.088198758,0,0.111801242,0.231055901,500
DEG_PER_STRIP,245,0,193,0,13,0,34,8,10,0,423,153,0,0,10,0,0,0,0,0,10,0,5,0,0,0,0,0,56,0,0,0,3,163,0,0,52,214,3,2,6,0,0,3,0,1606,955,223,214,59,0,0.594645081,0.138854296,0.133250311,0.036737235,0,0.152552927,0.120174346,500
DEG_FOU_WOOD,738,0,3,0,0,0,0,0,0,0,172,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5,0,0,0,59,0,7,40,216,0,3,0,0,0,0,0,1601,913,109,216,87,0,0.570268582,0.068082448,0.134915678,0.054341037,0,0.460961899,0.001873829,500
DEG_DIE_HILL,397,0,409,0,0,0,0,0,1,0,112,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,26,0,0,0,148,1,2,87,190,2,6,0,0,0,0,0,1592,919,246,190,102,0,0.577261307,0.154522613,0.119346734,0.064070352,0,0.249371859,0.256909548,500
DEG_DIE_SWC,566,0,106,0,0,0,0,0,2,0,195,119,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,41,9,0,0,0,122,45,8,117,202,56,11,0,0,0,0,0,1602,872,359,202,50,0,0.5443196,0.224094881,0.126092385,0.031210986,0,0.353308365,0.066167291,500
DEG_YOU_BOCES,518,0,8,0,0,0,0,0,0,0,120,126,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,97,66,30,14,0,26,5,2,78,508,0,2,0,0,0,0,0,1605,651,113,508,207,0,0.405607477,0.070404984,0.316510903,0.128971963,0,0.322741433,0.004984424,500
DEG_YOU_OSHEA,880,0,22,0,0,2,0,0,0,0,77,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,3,3,0,0,263,11,22,17,32,18,6,0,0,0,0,0,1603,981,337,32,66,2,0.611977542,0.210230817,0.01996257,0.041172801,0.001247661,0.54897068,0.013724267,500
DEG_YOU_JONES,150,0,4,0,0,0,0,0,4,0,410,170,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,270,68,2,0,0,185,15,29,102,171,15,0,0,0,0,0,0,1605,578,346,171,340,0,0.360124611,0.215576324,0.106542056,0.211838006,0,0.093457944,0.002492212,500
DEG_VIL,928,0,22,2,0,0,1,4,6,0,34,31,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,38,142,29,6,0,0,87,2,6,102,119,29,6,1,0,6,0,0,1605,1008,232,119,177,38,0.628037383,0.144548287,0.074143302,0.110280374,0.023676012,0.578193146,0.013707165,500
SEA_HOO,372,0,412,0,0,0,34,25,14,0,174,55,0,0,9,4,0,0,0,0,88,0,12,0,0,29,0,0,50,3,0,0,0,161,0,11,22,67,59,1,1,0,0,0,0,1603,1162,254,67,53,0,0.72489083,0.158452901,0.041796631,0.033063007,0,0.232064878,0.257018091,500
MIL_HUM,350,0,103,0,152,0,125,0,0,0,409,34,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,82,33,22,16,0,115,0,1,51,34,6,0,0,0,0,0,0,1623,1229,173,34,153,0,0.75723968,0.10659273,0.02094886,0.094269871,0,0.215650031,0.063462723,500
ONE_TER,277,0,6,0,0,0,0,0,0,0,341,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,205,74,23,4,2,0,0,5,151,0,0,0,0,0,0,0,1708,624,11,151,526,0,0.365339578,0.006440281,0.088407494,0.307962529,0,0.162177986,0.003512881,500
ONE_ADO,34,0,0,0,0,0,0,0,0,0,232,50,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,50,0,0,0,0,1213,26,0,52,29,12,1,0,0,0,0,0,1702,266,1304,29,50,0,0.156286722,0.766157462,0.017038778,0.029377203,0,0.019976498,0,500
ONE_STA,1362,1,0,0,0,0,0,2,11,0,20,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,65,5,0,4,11,202,0,2,0,0,11,0,0,0,0,0,0,1724,1396,226,0,85,0,0.80974478,0.131090487,0,0.049303944,0,0.790023202,0,500
