Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
HUN_PLE_9,44.286500199999999,-75.855473900000007,"100","0","6","0","0","0","0","10","0","1","11","1353","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","18","86","13","0","0","98","10","4","2","1512","64","15","2","0","0","0","0","0"
KAT_HAB_3,42.503889000000001,-78.913888999999998,"726","0","241","0","0","0","0","21","1","1","36","468","0","2","0","0","0","0","1","0","1","0","0","40","0","0","0","0","0","191","101","18","2","0","593","23","341","0","367","40","2","3","0","1","0","0","0"
KAT_HAB_4,42.547221999999998,-78.870555999999993,"877","0","201","0","0","0","0","2","0","1","43","600","0","10","1","0","0","0","1","0","0","0","1","11","0","0","0","0","0","177","22","13","4","0","404","94","235","0","505","14","1","0","0","0","0","0","0"
KAT_JEF,42.243611000000001,-79.070555999999996,"182","0","5","0","0","0","0","8","0","0","13","720","0","5","0","1","0","0","8","0","2","0","0","0","0","0","0","0","0","120","99","45","10","1","611","145","433","1","655","137","6","3","0","0","0","0","0"
KAT_JEF_2,42.271110999999998,-79.087778000000000,"294","0","24","0","0","0","0","0","0","0","44","450","0","6","0","0","0","3","2","0","0","0","0","3","1","0","0","0","8","59","41","11","2","0","467","41","162","1","564","803","217","1","0","0","0","0","0"
KAT_MAH,42.409722000000002,-77.711667000000006,"1989","0","21","0","0","1","0","33","1","12","176","83","1","3","6","0","0","4","0","0","1","0","0","1","0","0","0","0","8","107","75","48","14","9","290","2","65","0","261","1","0","2","0","0","0","0","0"
KAT_SAU,42.060555999999998,-77.799722000000003,"464","21","83","0","0","0","0","158","0","5","61","613","3","0","0","0","0","1","15","0","0","0","0","0","0","0","0","1","1","223","30","7","2","0","726","29","123","0","599","3","0","0","0","25","0","0","0"
KAT_SAU_3,42.063889000000003,-77.793333000000004,"462","21","17","0","0","0","0","147","0","5","72","536","3","0","0","0","0","1","0","0","0","0","0","3","0","0","0","1","1","179","27","7","3","0","1035","13","103","0","552","3","0","0","0","0","0","0","0"
KAT_TEE,42.333888999999999,-78.760833000000005,"380","0","3","0","0","0","0","1","0","0","151","338","0","2","0","0","0","0","0","0","4","0","0","3","0","0","0","0","2","186","44","17","1","0","1053","18","209","0","711","86","5","0","0","0","0","0","0"
KAT_TEE_3,42.344721999999997,-78.739166999999995,"551","0","10","0","0","0","0","0","0","2","76","282","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","60","4","1","0","0","1216","148","663","1","183","9","0","0","0","0","0","0","0"
POV_DUN,42.387460040000001,-76.399248389999997,"9","0","4","0","0","0","0","0","0","0","83","263","0","0","0","0","0","0","1","0","3","0","0","1","1","0","1","0","6","292","103","19","6","3","934","7","512","2","876","80","1","1","0","0","0","1","0"
SEA_HOO,42.627471999999997,-77.018172000000007,"754","0","580","0","2","3","0","604","2","4","477","39","0","7","1","0","0","0","40","6","4","0","0","21","0","0","0","0","2","167","48","22","3","0","193","0","24","1","136","45","2","40","0","2","0","0","2"
STA_AYR,42.989350999999999,-77.260081000000000,"231","0","570","0","1","0","0","151","0","2","45","92","0","5","0","0","0","0","7","0","0","0","2","0","1","0","0","0","0","144","31","7","1","4","855","1","18","2","388","662","21","1","0","0","0","0","0"
STA_BRA,42.909416999999998,-77.788306000000006,"1462","1","85","0","0","0","0","465","0","0","23","21","0","7","0","0","0","67","0","0","2","0","0","0","0","0","0","0","84","78","23","11","1","1","437","0","16","2","196","236","28","0","0","0","0","0","0"
STA_FRE,42.843809999999998,-76.886840000000007,"701","0","1393","0","0","16","0","180","0","14","264","52","0","0","0","0","0","0","1","0","0","0","1","9","1","0","0","0","0","127","67","22","8","2","110","0","12","0","197","56","2","0","0","1","0","0","0"
STA_HEM,42.996000000000002,-77.103943999999998,"685","0","23","0","0","0","0","5","0","0","1255","57","0","0","0","0","0","0","3","0","1","0","6","1","0","0","0","0","13","123","33","6","0","0","428","8","59","1","186","327","10","12","0","0","0","0","0"
STA_MAC,42.738750000000003,-77.809416999999996,"551","0","1303","0","0","0","0","311","0","1","138","22","0","16","120","0","0","67","1","0","2","0","0","0","0","0","0","0","0","103","52","14","3","1","280","16","76","0","139","8","0","1","0","0","0","0","3"
STA_NOB,42.858049999999999,-77.950540000000004,"1469","0","34","0","9","0","0","76","0","4","745","27","0","26","3","0","0","0","0","0","2","0","1","2","0","0","0","0","2","90","31","15","10","1","437","0","13","0","190","44","0","0","0","0","0","0","0"
STA_PAN,42.580500000000001,-78.078917000000004,"1002","133","12","0","0","0","0","0","1","0","727","38","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","46","136","12","15","2","0","689","54","146","1","172","30","6","0","0","0","0","0","0"
STA_SWE,42.798278000000003,-78.099610999999996,"859","1","63","0","2","1","1","77","0","4","603","111","0","0","0","0","2","0","0","0","1","0","1","1","0","0","0","0","8","174","50","5","0","2","550","2","25","6","443","215","19","4","6","0","0","0","0"
STA_THO,43.137600999999997,-77.316856999999999,"519","0","647","0","0","0","0","207","0","0","158","158","0","0","0","0","0","0","2","0","3","0","2","1","0","1","0","0","0","304","62","18","1","0","470","0","30","4","451","212","0","0","0","0","0","0","0"
STA_WAT,42.909416999999998,-77.788306000000006,"1462","1","85","0","0","0","0","465","0","0","23","21","0","7","0","0","0","67","0","0","2","0","0","0","0","0","0","0","84","78","23","11","1","1","437","0","16","2","196","236","28","0","0","0","0","0","0"
WIS_COO,41.879387999999999,-73.614722000000000,"693","0","74","0","0","0","16","45","0","0","306","154","0","0","0","0","0","0","0","0","23","0","8","0","0","0","1","0","34","67","31","6","4","0","624","6","60","3","967","53","4","0","0","0","0","0","0"
WIS_COO_2,41.871068999999999,-73.627960000000002,"268","0","12","0","0","2","58","135","3","0","407","269","0","0","0","0","0","0","1","0","87","0","4","0","0","0","1","0","31","71","70","18","0","0","585","45","100","2","986","31","1","0","0","0","0","0","0"
WIS_KEN,41.665540000000000,-73.956270000000004,"1","0","2","0","0","1","0","0","1","0","3","5","0","0","1","0","0","0","0","0","5","4","101","0","0","0","4","0","881","272","335","263","84","3","735","3","18","6","332","83","36","0","0","0","0","0","0"
ZUE_REE,42.783493999999997,-76.983186000000003,"411","0","460","0","3","0","0","485","2","71","120","67","0","4","0","0","0","0","0","0","3","0","2","25","0","0","0","0","494","80","88","23","1","2","381","2","38","0","390","45","11","0","0","0","0","0","19"
SMI_CAN_2,42.875556000000003,-75.055333000000005,"458","0","66","0","0","0","0","8","4","4","417","425","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","108","77","46","10","15","759","7","67","1","715","45","5","0","0","0","0","0","0"
SMI_COB_3,42.661472000000003,-74.515332999999998,"394","2","5","0","0","0","0","1","0","1","532","116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","193","230","168","18","2","670","32","138","5","591","119","8","0","0","0","0","0","0"
SMI_DOU_3,43.054499999999997,-74.844361000000006,"84","0","160","0","0","0","0","1","1","7","316","857","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","322","102","58","10","0","557","56","42","1","651","15","1","1","0","0","0","0","0"
SMI_JOH,43.003194000000001,-75.590500000000006,"495","0","407","0","0","0","0","0","0","2","216","159","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","128","54","28","5","1","749","125","144","7","581","136","5","0","0","2","0","0","0"
SMI_KEL,42.960056000000002,-74.659555999999995,"919","1","18","0","0","0","0","28","1","9","208","514","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","95","54","7","1","0","491","162","171","2","516","40","1","0","0","0","0","0","0"
SMI_LAT,42.692000000000000,-75.528250000000000,"570","0","1","0","0","0","0","23","0","90","600","142","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","254","49","19","6","1","695","38","56","0","403","258","0","0","0","0","0","0","0"
SMI_LAT_2,42.692444000000002,-75.524500000000003,"438","0","1","0","0","0","0","25","0","87","621","149","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","230","65","20","4","0","649","44","58","0","475","331","2","0","0","0","0","0","0"
SMI_MCC,43.118971999999999,-74.846943999999993,"242","0","186","0","0","0","0","1","1","1","121","770","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","131","56","11","2","0","573","9","18","2","1041","84","1","0","0","0","0","0","0"
