,Field ID,Latitude,Longitude,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,VALUE_60,Fallow/Idle Cropland,Peaches,Apples,Grapes,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Garlic,Peppers,Greens,Plums,Strawberries,Squash,VALUE_226,Lettuce,Dbl Crop Triticale/Corn,Pumpkins,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other
21,SEA_HOO,42.627472,-77.018172,90,0,232,0,1,6,0,24,5,0,3,107,0,0,0,4,0,1,1,0,0,19,5,0,0,0,0,1,0,0,0,0,60,11,3,1,2,75,0,0,0,164,2,0,0,0,0,0,3,0,0,12,0,0,28,4,0,0,829.6093,546,79,164,77,0
22,STA_AYR,42.989351,-77.260081,242,0,51,1,0,0,0,56,0,0,0,6,0,1,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,45,6,3,2,5,290,0,9,0,133,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.72927,362,319,133,61,0
23,STA_BRA,42.909417,-77.788306,288,0,133,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,38,1,0,0,0,246,0,5,0,45,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.1211109999999,461,305,45,39,16
24,STA_FRE,42.84381,-76.88684,98,0,527,0,0,0,0,12,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,1,1,0,38,0,0,0,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.95697,727,43,85,10,2
25,STA_HEM,42.996,-77.103944,20,0,24,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,125,9,32,0,136,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.892056,459,231,136,38,0
26,STA_MAC,42.73875,-77.809417,505,0,182,0,0,0,0,39,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,3,2,4,3,0,1,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,829.929333,738,8,73,50,0
27,STA_NOB,42.85805,-77.95054,245,2,10,0,0,0,0,43,2,0,0,100,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,44,8,17,7,35,109,0,2,0,172,12,0,38,0,8,0,0,0,0,1,0,0,0,2,0,0,833.90751,455,158,172,111,3
28,STA_PAN,42.5805,-78.078917,411,14,3,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,1,1,0,39,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.501583,700,41,72,54,0
29,STA_SWE,42.798278,-78.099611,257,0,56,0,0,0,0,0,0,0,0,11,0,1,0,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,56,11,3,0,2,71,0,0,0,239,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21,833.698667,469,84,239,72,6
30,STA_THO,43.137601,-77.316857,334,0,65,0,0,0,0,3,0,0,0,43,3,0,0,1,2,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,77,16,0,1,4,34,0,5,0,260,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.820744,449,47,260,98,0
31,STA_WAT,42.909417,-77.788306,288,0,133,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,38,1,0,0,0,246,0,5,0,45,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.1211109999999,461,305,45,39,16
32,WIS_COO,41.879388,-73.614722,128,0,10,0,0,0,0,22,0,0,0,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,1,111,0,7,0,482,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.264666,227,135,482,21,2
33,WIS_COO_2,41.871069,-73.62796,54,0,1,0,0,0,0,20,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,34,32,6,0,1,75,14,9,0,578,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.243109,108,105,578,73,2
34,WIS_KEN,41.66554,-73.95627,1,0,3,0,1,0,0,2,23,2,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,35,96,5,9,37,0,80,70,112,49,29,11,112,48,41,5,29,13,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,833.7092700000001,228,266,29,271,80
35,ZUE_REE,42.783494,-76.983186,8,0,107,0,12,52,0,51,10,8,0,5,0,1,0,6,1,2,5,0,0,0,26,0,0,0,0,1,0,0,0,0,41,13,5,0,0,151,1,3,0,281,17,1,0,1,0,0,1,0,0,25,0,13,0,16,2,0,831.800308,353,173,281,59,0
36,SMI_CAN_2,42.875556,-75.055333,49,0,0,0,0,0,0,0,0,6,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,31,11,14,335,10,6,0,274,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835.8202229999999,107,371,274,129,0
37,SMI_COB_3,42.661472,-74.515333,140,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,19,4,0,0,129,0,9,0,480,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.146139,155,189,480,41,1
38,SMI_DOU_3,43.0545,-74.844361,39,0,37,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,2,1,0,188,8,10,0,451,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.210139,76,211,451,96,0
39,SMI_JOH,43.003194,-75.5905,246,1,1,0,1,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,10,3,3,245,6,2,0,241,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.412694,284,288,241,57,0
40,SMI_KEL,42.960056,-74.659556,120,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,254,10,64,0,356,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.3005,124,331,356,55,0
41,SMI_LAT,42.692,-75.52825,77,0,38,0,1,0,0,0,0,0,0,97,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,6,1,1,289,5,22,0,249,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,832.1637499999999,217,323,249,76,0
42,SMI_LAT_2,42.692444,-75.5245,79,0,0,0,1,0,0,0,0,0,0,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,8,6,1,0,373,21,26,0,182,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,835.167944,176,444,182,61,5
43,SMI_MCC,43.118972,-74.846944,0,0,9,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,22,0,0,0,167,5,2,0,512,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,835.272028,95,179,512,81,0
