,Field ID,Latitude,Longitude,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
12,KAT_HAB_4,42.547222,-78.870556,877,0,201,0,0,0,0,2,0,1,43,600,0,10,1,0,0,0,1,0,0,0,1,11,0,0,0,0,0,177,22,13,4,0,404,94,235,0,505,14,1,0,0,0,0,0,0,3180.676666,1148,748,505,216,0
13,KAT_JEF,42.243611,-79.070556,182,0,5,0,0,0,0,8,0,0,13,720,0,5,0,1,0,0,8,0,2,0,0,0,0,0,0,0,0,120,99,45,10,1,611,145,433,1,655,137,6,3,0,0,0,0,0,3173.173055,225,1334,655,275,0
14,KAT_JEF_2,42.271111,-79.087778,294,0,24,0,0,0,0,0,0,0,44,450,0,6,0,0,0,3,2,0,0,0,0,3,1,0,0,0,8,59,41,11,2,0,467,41,162,1,564,803,217,1,0,0,0,0,0,3167.183333,378,1691,564,113,8
15,KAT_MAH,42.409722,-77.711667,1989,0,21,0,0,1,0,33,1,12,176,83,1,3,6,0,0,4,0,0,1,0,0,1,0,0,0,0,8,107,75,48,14,9,290,2,65,0,261,1,0,2,0,0,0,0,0,3178.698055,2250,367,261,253,8
16,KAT_SAU,42.060556,-77.799722,464,21,83,0,0,0,0,158,0,5,61,613,3,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,1,223,30,7,2,0,726,29,123,0,599,3,0,0,0,25,0,0,0,3157.2608339999997,836,881,599,262,2
17,KAT_SAU_3,42.063889,-77.793333,462,21,17,0,0,0,0,147,0,5,72,536,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,179,27,7,3,0,1035,13,103,0,552,3,0,0,0,0,0,0,0,3155.270556,731,1154,552,216,2
18,KAT_TEE,42.333889,-78.760833,380,0,3,0,0,0,0,1,0,0,151,338,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,2,186,44,17,1,0,1053,18,209,0,711,86,5,0,0,0,0,0,0,3177.573056,540,1371,711,248,2
19,KAT_TEE_3,42.344722,-78.739167,551,0,10,0,0,0,0,0,0,2,76,282,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,60,4,1,0,0,1216,148,663,1,183,9,0,0,0,0,0,0,0,3173.605555,642,2037,183,65,0
20,POV_DUN,42.38746004,-76.39924839,9,0,4,0,0,0,0,0,0,0,83,263,0,0,0,0,0,0,1,0,3,0,0,1,1,0,1,0,6,292,103,19,6,3,934,7,512,2,876,80,1,1,0,0,0,1,0,3174.9882116500003,102,1539,876,423,6
21,SEA_HOO,42.627472,-77.018172,754,0,580,0,2,3,0,604,2,4,477,39,0,7,1,0,0,0,40,6,4,0,0,21,0,0,0,0,2,167,48,22,3,0,193,0,24,1,136,45,2,40,0,2,0,0,2,3196.6093,2545,265,136,240,2
22,STA_AYR,42.989351,-77.260081,231,0,570,0,1,0,0,151,0,2,45,92,0,5,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,144,31,7,1,4,855,1,18,2,388,662,21,1,0,0,0,0,0,3207.72927,1016,1563,388,187,0
23,STA_BRA,42.909417,-77.788306,1462,1,85,0,0,0,0,465,0,0,23,21,0,7,0,0,0,67,0,0,2,0,0,0,0,0,0,0,84,78,23,11,1,1,437,0,16,2,196,236,28,0,0,0,0,0,0,3211.121111,2110,720,196,114,84
24,STA_FRE,42.84381,-76.88684,701,0,1393,0,0,16,0,180,0,14,264,52,0,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0,0,127,67,22,8,2,110,0,12,0,197,56,2,0,0,1,0,0,0,3201.95697,2581,182,197,226,0
25,STA_HEM,42.996,-77.103944,685,0,23,0,0,0,0,5,0,0,1255,57,0,0,0,0,0,0,3,0,1,0,6,1,0,0,0,0,13,123,33,6,0,0,428,8,59,1,186,327,10,12,0,0,0,0,0,3207.892056,1990,833,186,162,13
26,STA_MAC,42.73875,-77.809417,551,0,1303,0,0,0,0,311,0,1,138,22,0,16,120,0,0,67,1,0,2,0,0,0,0,0,0,0,0,103,52,14,3,1,280,16,76,0,139,8,0,1,0,0,0,0,3,3192.929333,2512,381,139,173,0
27,STA_NOB,42.85805,-77.95054,1469,0,34,0,9,0,0,76,0,4,745,27,0,26,3,0,0,0,0,0,2,0,1,2,0,0,0,0,2,90,31,15,10,1,437,0,13,0,190,44,0,0,0,0,0,0,0,3195.90751,2369,495,190,147,2
28,STA_PAN,42.5805,-78.078917,1002,133,12,0,0,0,0,0,1,0,727,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,136,12,15,2,0,689,54,146,1,172,30,6,0,0,0,0,0,0,3187.501583,1876,926,172,165,46
29,STA_SWE,42.798278,-78.099611,859,1,63,0,2,1,1,77,0,4,603,111,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,8,174,50,5,0,2,550,2,25,6,443,215,19,4,6,0,0,0,0,3200.698667,1625,819,443,231,8
30,STA_THO,43.137601,-77.316857,519,0,647,0,0,0,0,207,0,0,158,158,0,0,0,0,0,0,2,0,3,0,2,1,0,1,0,0,0,304,62,18,1,0,470,0,30,4,451,212,0,0,0,0,0,0,0,3215.820744,1537,716,451,385,0
31,STA_WAT,42.909417,-77.788306,1462,1,85,0,0,0,0,465,0,0,23,21,0,7,0,0,0,67,0,0,2,0,0,0,0,0,0,0,84,78,23,11,1,1,437,0,16,2,196,236,28,0,0,0,0,0,0,3211.121111,2110,720,196,114,84
32,WIS_COO,41.879388,-73.614722,693,0,74,0,0,0,16,45,0,0,306,154,0,0,0,0,0,0,0,0,23,0,8,0,0,0,1,0,34,67,31,6,4,0,624,6,60,3,967,53,4,0,0,0,0,0,0,3147.264666,1143,750,967,108,34
33,WIS_COO_2,41.871069,-73.62796,268,0,12,0,0,2,58,135,3,0,407,269,0,0,0,0,0,0,1,0,87,0,4,0,0,0,1,0,31,71,70,18,0,0,585,45,100,2,986,31,1,0,0,0,0,0,0,3155.243109,891,764,986,159,31
34,WIS_KEN,41.66554,-73.95627,1,0,2,0,0,1,0,0,1,0,3,5,0,0,1,0,0,0,0,0,5,4,101,0,0,0,4,0,881,272,335,263,84,3,735,3,18,6,332,83,36,0,0,0,0,0,0,3146.7092700000003,118,884,332,957,881
35,ZUE_REE,42.783494,-76.983186,411,0,460,0,3,0,0,485,2,71,120,67,0,4,0,0,0,0,0,0,3,0,2,25,0,0,0,0,494,80,88,23,1,2,381,2,38,0,390,45,11,0,0,0,0,0,19,3192.800308,1602,479,390,194,494
36,SMI_CAN_2,42.875556,-75.055333,458,0,66,0,0,0,0,8,4,4,417,425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,108,77,46,10,15,759,7,67,1,715,45,5,0,0,0,0,0,0,3208.8202229999997,958,899,715,256,3
37,SMI_COB_3,42.661472,-74.515333,394,2,5,0,0,0,0,1,0,1,532,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,193,230,168,18,2,670,32,138,5,591,119,8,0,0,0,0,0,0,3194.146139,935,974,591,611,1
38,SMI_DOU_3,43.0545,-74.844361,84,0,160,0,0,0,0,1,1,7,316,857,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,322,102,58,10,0,557,56,42,1,651,15,1,1,0,0,0,0,0,3215.210139,570,672,651,492,3
39,SMI_JOH,43.003194,-75.5905,495,0,407,0,0,0,0,0,0,2,216,159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,128,54,28,5,1,749,125,144,7,581,136,5,0,0,2,0,0,0,3213.412694,1123,1167,581,216,1
40,SMI_KEL,42.960056,-74.659556,919,1,18,0,0,0,0,28,1,9,208,514,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,54,7,1,0,491,162,171,2,516,40,1,0,0,0,0,0,0,3207.3005000000003,1184,867,516,157,0
41,SMI_LAT,42.692,-75.52825,570,0,1,0,0,0,0,23,0,90,600,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,254,49,19,6,1,695,38,56,0,403,258,0,0,0,0,0,0,0,3199.16375,1285,1048,403,329,26
42,SMI_LAT_2,42.692444,-75.5245,438,0,1,0,0,0,0,25,0,87,621,149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,230,65,20,4,0,649,44,58,0,475,331,2,0,0,0,0,0,0,3194.167944,1173,1084,475,319,27
43,SMI_MCC,43.118972,-74.846944,242,0,186,0,0,0,0,1,1,1,121,770,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,131,56,11,2,0,573,9,18,2,1041,84,1,0,0,0,0,0,0,3221.272028,552,687,1041,200,0
