Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_243,VALUE_244
HUN_PLE_9,44.286500199999999,-75.855473900000007,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","4","32","0","0","0","806","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_HAB_3,42.503889000000001,-78.913888999999998,"239","0","58","0","0","0","0","0","0","0","0","3","1","0","0","6","0","0","0","0","32","0","0","0","0","1","1","3","0","0","0","0","57","17","0","0","1","76","0","43","0","223","0","0","0","0","0","0","0","0","2","0","0","0","4","0","33","70"
KAT_HAB_4,42.547221999999998,-78.870555999999993,"269","0","1","0","0","0","0","50","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","30","11","2","7","11","93","26","50","0","303","2","2","1","0","0","0","0","0","0","0","4","0","0","2","0","4"
KAT_JEF,42.243611000000001,-79.070555999999996,"59","0","0","0","0","0","0","0","2","0","0","9","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","10","0","1","0","174","37","182","0","340","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_JEF_2,42.271110999999998,-79.087778000000000,"101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","1","0","0","0","0","0","0","0","0","39","19","0","10","2","252","2","46","0","309","56","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
KAT_MAH,42.409722000000002,-77.711667000000006,"608","0","2","0","0","0","0","0","0","0","0","13","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","10","5","1","2","42","0","2","0","118","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_SAU,42.060555999999998,-77.799722000000003,"54","0","0","0","0","0","0","0","14","152","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","0","0","0","0","99","5","40","0","413","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_SAU_3,42.063889000000003,-77.793333000000004,"10","0","0","0","0","1","0","4","4","59","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","68","6","1","1","1","274","0","12","0","416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_TEE,42.333888999999999,-78.760833000000005,"215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","56","8","2","0","0","268","6","71","0","205","28","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
KAT_TEE_3,42.344721999999997,-78.739166999999995,"152","0","0","0","0","0","0","0","0","0","0","56","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","1","0","0","0","285","47","101","0","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
POV_DUN,42.387460040000001,-76.399248389999997,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","5","0","0","0","316","1","113","0","357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SEA_HOO,42.627471999999997,-77.018172000000007,"90","0","232","0","1","6","0","24","5","0","3","107","0","0","0","4","0","1","1","0","0","19","5","0","0","0","0","1","0","0","0","0","60","11","3","1","2","75","0","0","0","164","2","0","0","0","0","0","3","0","0","12","0","0","28","4","0","0"
STA_AYR,42.989350999999999,-77.260081000000000,"242","0","51","1","0","0","0","56","0","0","0","6","0","1","0","4","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","45","6","3","2","5","290","0","9","0","133","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_BRA,42.909416999999998,-77.788306000000006,"288","0","133","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","16","38","1","0","0","0","246","0","5","0","45","42","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_FRE,42.843809999999998,-76.886840000000007,"98","0","527","0","0","0","0","12","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","2","1","1","0","38","0","0","0","85","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_HEM,42.996000000000002,-77.103943999999998,"20","0","24","0","0","0","0","0","0","0","0","415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","3","0","0","0","125","9","32","0","136","62","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_MAC,42.738750000000003,-77.809416999999996,"505","0","182","0","0","0","0","39","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","8","3","2","4","3","0","1","0","73","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
STA_NOB,42.858049999999999,-77.950540000000004,"245","2","10","0","0","0","0","43","2","0","0","100","0","0","0","3","0","0","0","1","0","0","0","0","5","0","0","0","0","0","3","0","44","8","17","7","35","109","0","2","0","172","12","0","38","0","8","0","0","0","0","1","0","0","0","2","0","0"
STA_PAN,42.580500000000001,-78.078917000000004,"411","14","3","0","0","0","0","0","0","0","0","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","2","1","1","0","39","0","2","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_SWE,42.798278000000003,-78.099610999999996,"257","0","56","0","0","0","0","0","0","0","0","11","0","1","0","122","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","56","11","3","0","2","71","0","0","0","239","9","2","0","0","0","0","0","0","0","0","0","0","0","1","0","21"
STA_THO,43.137600999999997,-77.316856999999999,"334","0","65","0","0","0","0","3","0","0","0","43","3","0","0","1","2","0","0","0","0","1","0","0","15","0","0","0","0","0","0","0","77","16","0","1","4","34","0","5","0","260","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
STA_WAT,42.909416999999998,-77.788306000000006,"288","0","133","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","16","38","1","0","0","0","246","0","5","0","45","42","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
WIS_COO,41.879387999999999,-73.614722000000000,"128","0","10","0","0","0","0","22","0","0","0","67","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","19","1","0","0","1","111","0","7","0","482","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
WIS_COO_2,41.871068999999999,-73.627960000000002,"54","0","1","0","0","0","0","20","0","0","0","32","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","34","32","6","0","1","75","14","9","0","578","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
WIS_KEN,41.665540000000000,-73.956270000000004,"1","0","3","0","1","0","0","2","23","2","0","11","3","0","0","0","0","1","0","0","0","0","0","0","0","35","96","5","9","37","0","80","70","112","49","29","11","112","48","41","5","29","13","36","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
ZUE_REE,42.783493999999997,-76.983186000000003,"8","0","107","0","12","52","0","51","10","8","0","5","0","1","0","6","1","2","5","0","0","0","26","0","0","0","0","1","0","0","0","0","41","13","5","0","0","151","1","3","0","281","17","1","0","1","0","0","1","0","0","25","0","13","0","16","2","0"
SMI_CAN_2,42.875556000000003,-75.055333000000005,"49","0","0","0","0","0","0","0","0","6","0","52","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","25","31","11","14","335","10","6","0","274","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_COB_3,42.661472000000003,-74.515332999999998,"140","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","18","19","4","0","0","129","0","9","0","480","49","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_DOU_3,43.054499999999997,-74.844361000000006,"39","0","37","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","7","2","1","0","188","8","10","0","451","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_JOH,43.003194000000001,-75.590500000000006,"246","1","1","0","1","0","0","0","0","1","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","5","10","3","3","245","6","2","0","241","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_KEL,42.960056000000002,-74.659555999999995,"120","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","10","0","0","0","254","10","64","0","356","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SMI_LAT,42.692000000000000,-75.528250000000000,"77","0","38","0","1","0","0","0","0","0","0","97","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","9","6","1","1","289","5","22","0","249","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
SMI_LAT_2,42.692444000000002,-75.524500000000003,"79","0","0","0","1","0","0","0","0","0","0","92","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","46","8","6","1","0","373","21","26","0","182","24","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
SMI_MCC,43.118971999999999,-74.846943999999993,"0","0","9","0","0","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","22","0","0","0","167","5","2","0","512","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
