Site,USDA hardiness Zone,Lat,Lat-Decimal,Long,Long-Decimal,Year,Week,Date,ECB-E,ECB-Z,CEW,FAW,WBC
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,28,7/12/22,0,0,2,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,29,7/19/22,0,0,0,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,30,7/26/22,0,0,0,0,4
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,31,8/2/22,1,0,0,0,11
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,32,8/9/22,0,0,1,0,1
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,33,8/16/22,0,1,1,2,1
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,34,8/23/22,0,0,0,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,35,8/30/22,1,2,2,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,36,9/6/22,1,0,3,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,37,9/13/22,1,0,1,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,38,9/20/22,0,0,1,0,0
Afton,5b," 42°13'57.32""N",42.232589," 75°31'3.54""W",-75.51765,2022,39,9/27/22,0,0,1,0,0
Albion,6a,,,,,1993,26,6/29/93,2,1,,,
Albion,6a,,,,,1993,27,7/6/93,8,2,,,
Albion,6a,,,,,1993,28,7/13/93,1,1,,,
Albion,6a,,,,,1993,29,7/20/93,2,1,,,
Albion,6a,,,,,1993,30,7/27/93,4,3,,,
Albion,6a,,,,,1993,31,8/3/93,3,1,,,
Albion,6a,,,,,1993,32,8/10/93,5,3,,,
Albion,6a,,,,,1993,33,8/17/93,1,0,,,
Albion,6a,,,,,1993,34,8/24/93,1,2,,,
Albion,6a,,,,,1993,35,8/31/93,0,1,,,
Albion,6a,,,,,1994,31,7/26/94,4,0,1,0,
Albion,6a,,,,,1994,32,8/2/94,5,2,0,6,
Albion,6a,,,,,1994,33,8/9/94,2,2,1,2,
Albion,6a,,,,,1994,34,8/16/94,6,16,1,8,
Albion,6a,,,,,1994,35,8/23/94,23,12,1,1,
Albion,6a,,,,,1994,36,8/30/94,5,11,1,1,
Albion,6a,,,,,1994,37,9/6/94,,,,,
Albion,6a,,,,,1994,38,9/13/94,2,3,1,1,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,21,5/22/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,22,5/29/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,23,6/5/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,24,6/12/12,0,0,0,0,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,25,6/19/12,0,0,0,0,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,26,6/26/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,27,7/3/12,,,,,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,28,7/10/12,0,0,0,0,3
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,29,7/17/12,0,0,1,0,4
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,30,7/24/12,0,,5,,5
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,31,7/31/12,2,0,0,0,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,32,8/7/12,0,0,8,0,6
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,33,8/14/12,0,0,4,0,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,34,8/21/12,0,0,0,0,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,35,8/28/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,36,9/4/12,0,0,0,0,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,37,9/11/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,38,9/18/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2012,39,9/25/12,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,21,5/20/14,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,22,5/26/14,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,23,6/3/14,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,24,6/10/14,0,0,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,25,6/17/14,0,0,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,26,6/24/14,0,1,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,27,7/1/14,0,0,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,28,7/8/14,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,29,7/15/14,,,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,30,7/22/14,0,0,,,
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,31,7/29/14,0,0,0,0,1
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,32,8/5/14,0,0,3,0,12
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,33,8/12/14,0,0,0,0,12
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,34,8/19/14,0,0,0,0,6
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,35,8/26/14,0,0,0,0,1
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,36,9/2/14,0,0,0,0,1
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,37,9/9/14,0,0,0,0,1
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,38,9/16/14,0,0,0,0,0
Amsterdam,5a," 43° 1'18.48""N",43.0218," 74°10'48.72""W",-74.1802,2014,39,9/23/14,0,0,3,0,0
