,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
40,WIS_MEG,67,0,0,0,248,3,0,0,9,0,0,0,15,114,0,0,0,0,0,0,0,0,6,0,32,0,0,8,0,0,0,25,134,222,60,2,8,367,0,9,0,203,25,15,0,0,0,0,0,0,0,1572,356,424,203,426,25
41,WIS_KEN,3,1,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,1,0,0,0,0,21,0,6,205,0,0,2,76,237,119,76,22,5,516,4,25,4,66,44,31,2,0,0,0,0,0,0,1551,225,629,66,459,76
42,ZUE_REE,90,0,217,0,2,0,0,96,1,10,0,0,202,36,4,2,0,0,2,0,0,0,2,0,349,0,0,2,11,0,0,0,65,5,0,0,1,286,0,18,5,161,27,1,4,6,0,0,0,0,5,1610,656,338,161,71,0
43,DEG_PER_STRIP,263,0,192,0,0,9,0,33,7,11,0,0,397,140,0,1,0,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,67,4,0,0,0,193,0,0,5,223,0,0,6,0,6,0,0,3,0,1606,929,198,223,71,0
44,DEG_FOU_WOOD,736,0,9,0,0,0,0,0,0,0,0,0,162,209,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,4,0,0,102,7,0,0,0,78,0,13,2,264,1,0,0,0,0,0,0,0,0,1601,916,94,264,109,0
45,DEG_DIE_HILL,572,0,84,0,0,0,0,0,0,0,0,0,235,108,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,65,28,0,0,0,216,0,5,12,250,2,0,0,0,0,0,0,0,0,1592,892,235,250,93,0
46,DEG_DIE_SWC,546,1,59,0,2,0,0,49,0,2,0,0,127,119,0,0,0,0,0,0,0,0,6,2,70,0,0,0,2,0,0,2,55,28,2,0,4,176,32,44,12,183,67,8,4,0,0,0,0,0,0,1602,800,343,183,89,2
47,DEG_YOU_BOCES,537,0,7,0,0,0,0,0,0,0,0,0,89,69,0,0,0,0,0,0,0,0,1,0,12,0,0,0,1,0,0,0,89,63,32,14,2,73,2,8,15,588,3,0,0,0,0,0,0,0,0,1605,635,103,588,200,0
48,DEG_YOU_OSHEA,928,0,17,0,0,0,0,0,0,0,0,0,140,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,116,3,8,0,0,257,12,40,0,35,13,8,0,0,0,0,0,0,0,1603,1085,330,35,127,1
49,DEG_YOU_JONES,150,0,14,0,3,0,0,2,0,5,0,0,428,164,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,0,8,98,55,8,0,0,291,14,47,19,231,9,1,0,0,0,0,0,0,0,1605,603,381,231,161,8
50,DEG_VIL,896,0,56,0,0,4,0,1,0,8,0,0,31,37,0,0,0,0,0,0,0,0,0,0,39,0,0,4,0,0,0,45,113,35,4,0,6,156,0,3,22,112,32,1,0,0,0,0,0,0,0,1605,1000,220,112,158,45
51,SEA_HOO,356,0,380,0,9,0,0,139,9,0,0,0,95,11,5,4,0,0,0,0,0,0,1,0,181,0,0,0,37,0,0,0,78,5,0,0,0,175,2,21,3,47,41,4,0,0,0,0,0,0,0,1603,1035,246,47,83,0
52,MIL_HUM,518,0,28,0,0,2,0,148,0,0,0,0,397,24,0,91,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,69,32,20,14,0,140,0,12,8,51,7,0,0,0,0,0,0,0,0,1623,1184,167,51,135,0
53,ONE_TER,206,0,15,0,0,0,0,0,0,7,0,0,358,243,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,199,237,83,21,4,4,0,1,0,315,3,0,0,0,0,0,0,0,0,1708,586,12,315,544,0
54,ONE_ADO,269,0,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,0,1158,40,25,1,53,59,0,0,0,0,0,0,0,0,1702,275,1283,53,72,0
55,ONE_STA,1327,0,9,0,0,0,0,0,0,0,0,0,12,26,3,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,95,13,5,0,11,167,0,2,5,11,10,2,0,0,0,0,0,0,0,1724,1353,197,11,124,0
