,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Turnips,Total,Ag,Nat,Semi_Nat,Dev,Other
18,KAT_TEE_2,3857,0,131,0,0,4,7,14,0,94,0,0,2122,5359,0,0,19,101,0,0,0,0,4,0,7,0,663,0,0,3,3,7,0,0,104,2063,212,24,0,18,29251,2986,7233,13,2125,584,129,1,0,0,0,0,0,0,0,1,2,0,0,57141,6377,40214,2125,2317,104
19,KAT_HAB_2,7209,0,816,0,2,8,0,18,0,9,0,0,1388,11944,0,0,32,19,0,0,0,0,4,0,24,0,1636,0,0,55,63,14,0,0,366,2381,156,8,3,44,14863,4935,7503,34,2798,993,190,6,0,0,3,0,0,0,0,0,0,0,0,57524,9670,28562,2798,2592,366
20,KAT_HAB,9780,0,1588,0,31,50,0,37,4,104,0,0,1393,6559,0,23,1287,16,0,0,0,0,1,0,37,0,1655,0,0,79,510,4,1,0,68,4716,1487,301,68,216,13673,2136,7903,57,2808,623,132,6,0,0,7,0,0,0,0,1,0,86,0,57447,15045,24740,2808,6788,68
21,KAT_BAR,2216,5,237,0,1,10,0,168,13,139,0,0,1026,3286,0,0,863,30,0,0,0,0,0,0,17,0,292,0,0,1,64,11,0,0,730,2620,644,364,32,109,24808,1303,13938,58,2910,498,212,4,0,0,0,0,0,0,0,0,0,0,0,56609,4805,40926,2910,3769,730
22,SMI_LAT,10450,0,661,0,11,25,0,10,9,224,0,0,7545,4291,3,0,107,0,0,0,0,0,0,0,8,0,369,0,0,2,0,49,0,0,260,3552,1197,500,128,41,14693,889,1801,177,8073,2557,142,4,0,0,0,0,0,0,0,0,0,0,0,57778,19108,20300,8073,5418,260
23,SMI_DUR,4184,1,528,0,6,27,0,343,16,2,0,0,1786,2136,4,0,26,0,0,9,0,0,0,0,8,25,1506,0,0,6,6,178,0,0,1260,3254,1020,255,33,199,21564,1150,708,937,5940,10924,418,14,0,0,0,0,0,0,3,0,0,0,0,58476,7172,35900,5940,4761,1260
24,SMI_HOF,5167,0,190,0,8,3,0,16,3,10,0,0,1435,2903,0,0,16,0,0,0,0,0,0,0,24,0,289,0,0,0,2,0,0,0,826,2099,327,13,0,186,22001,1586,13406,77,5077,1258,226,7,0,0,0,0,0,0,0,0,0,0,0,57155,6881,38740,5077,2625,826
25,SMI_JOH,7974,0,1629,0,5,20,0,291,59,261,0,0,6873,5293,1,0,22,0,4,0,3,0,0,0,12,0,642,0,0,0,0,10,0,0,37,2748,733,209,45,40,17855,732,1144,468,10212,961,68,6,0,0,0,0,0,3,8,0,0,0,0,58368,17181,21268,10212,3775,37
26,SMI_JOH_2,2235,1,994,0,2,1809,0,75,8,56,0,0,4739,2092,15,0,179,0,0,0,0,0,0,0,3,0,1058,0,0,0,0,0,0,0,279,4929,3440,1261,659,90,22493,907,740,691,7917,1661,141,8,0,0,0,0,0,0,0,0,0,0,0,58482,10124,26723,7917,10379,279
27,GAB_ALL,2915,4,28,0,0,0,0,6,15,5,0,0,1110,2073,0,0,0,0,0,0,0,0,0,0,0,40,527,0,0,2,0,0,0,0,4264,5008,5038,3449,1219,168,12753,940,11260,61,1529,5515,280,0,0,0,0,0,0,0,1,1,6,0,0,58217,4133,30977,1529,14882,4264
28,KAT_JEF,4633,0,60,0,0,5,0,13,3,5,0,0,351,11007,0,0,134,0,3,0,0,0,0,0,23,0,455,0,0,1,21,1,0,0,75,1733,398,34,3,62,17144,1707,3773,34,6773,7866,629,12,0,0,0,0,0,0,0,0,0,0,0,56958,5265,31215,6773,2230,75
29,KAT_JEF_2,2933,0,35,0,0,4,1,14,0,22,0,0,346,10929,0,0,9,0,0,0,0,0,0,0,2,0,423,0,0,1,19,4,0,0,77,1706,392,116,14,26,17811,1141,3669,43,4350,12191,732,2,0,0,0,0,0,0,0,0,0,0,0,57012,3392,35613,4350,2254,77
30,STA_WIL,10776,0,1803,0,4,0,0,3534,4,43,0,0,10184,1080,0,0,509,1,0,1,2,0,2,0,10,0,2573,0,0,90,62,3,0,0,101,3228,785,112,7,86,11016,68,772,137,5744,4763,89,785,0,0,0,2,0,0,0,0,0,6,0,58382,27821,16931,5744,4218,101
31,STA_HEM_2,8928,0,2208,0,57,3,0,1760,232,83,0,0,9184,1308,4,0,177,6,0,63,7,0,21,36,56,3,9158,0,6,135,307,13,11,0,133,2366,762,142,129,658,8617,18,630,133,4317,4212,167,227,9,0,0,36,0,0,0,0,1,1777,0,58100,25350,14435,4317,4057,133
32,STA_HEM,12279,0,4550,0,12,9,0,793,27,65,0,1,8803,1026,0,0,44,7,0,3,0,2,13,0,44,0,6457,0,0,110,371,27,1,0,1016,2418,486,40,4,52,9453,254,929,90,4203,3585,167,203,2,0,0,86,0,0,0,0,2,564,0,58198,28018,14530,4203,3000,1016
33,STA_SWE,8342,0,1616,0,8,0,0,2304,1,19,0,15,10934,779,1,27,478,1,0,1,0,11,52,0,19,5,2455,0,0,31,8,5,1,0,103,2322,388,30,12,12,22006,67,1338,131,2184,1884,181,2,2,6,0,188,0,0,0,1,2,5,0,57977,24085,25619,2184,2764,103
34,STA_COL,3838,3,1292,0,959,0,3,2550,5,18,0,0,4533,386,0,15,573,2,0,0,5,0,359,0,11,3,5196,5,0,420,0,87,0,0,456,4482,1393,407,35,116,12750,284,2304,319,7197,7663,160,5,0,34,0,46,0,0,0,1,4,778,5,58702,15554,23596,7197,6433,456
35,WIS_COO_2,3747,13,328,60,0,14,0,114,6,49,0,0,3088,3309,0,0,0,0,0,0,3,0,0,0,15,0,1194,0,0,54,0,1,3,0,147,2028,631,140,40,52,30271,838,1037,30,5546,3363,128,0,0,0,0,0,0,0,0,0,0,0,0,56249,7495,35719,5546,2891,147
36,WIS_COO,5977,14,1481,50,8,10,1,501,10,41,0,0,4965,6260,0,0,0,0,2,0,5,0,0,0,20,4,1009,0,0,46,0,0,0,0,355,1883,522,82,37,33,22338,206,839,32,7301,2057,139,6,0,0,0,0,74,0,0,0,0,0,0,56308,13215,25644,7301,2557,355
37,LET_NOB,19711,0,5109,0,54,0,0,1681,0,134,0,0,11942,521,0,39,530,5,0,0,0,1,348,0,0,0,2661,2,0,4,0,1,0,0,37,2023,412,45,6,34,9349,5,292,68,1667,1088,46,21,0,0,0,0,0,0,255,0,0,2,0,58093,39839,10882,1667,2520,37
38,LET_TAB,17013,0,212,0,0,0,0,9,0,11,0,0,12688,362,0,0,70,146,0,0,4,0,2,0,5,0,313,0,0,0,17,0,0,0,412,3014,475,74,22,29,15304,1320,4103,34,787,1037,222,0,0,0,0,0,0,0,0,0,0,0,0,57685,30177,22049,787,3614,412
39,WIS_HIG,73,4,20,0,2,5,0,0,9,0,0,0,66,333,0,0,0,2,0,0,0,0,0,0,1,2,949,17,20,674,0,4,0,0,6991,3428,2112,1319,370,168,31964,381,1216,63,891,4460,535,0,0,0,0,0,0,0,0,0,0,0,0,56079,899,38787,891,7397,6991
40,WIS_MEG,1345,7,201,0,695,816,0,38,361,11,0,0,866,4414,0,0,0,2,0,0,2,0,0,0,158,23,821,11,0,180,0,0,7,0,290,4602,4424,2175,395,165,24582,342,765,74,5633,2986,131,9,0,0,0,0,0,0,0,0,0,0,0,56531,4732,29045,5633,11761,290
41,WIS_KEN,303,4,68,0,30,9,0,4,0,3,0,0,198,683,0,0,0,23,0,0,1,0,0,0,2,0,1475,13,42,6928,4,3,32,0,9074,6219,3682,3173,2384,187,15513,44,252,116,2991,1743,723,8,0,0,0,0,0,0,0,1,0,0,0,55935,7676,18578,2991,15645,9074
42,ZUE_REE,6619,0,3160,0,9,0,0,1308,24,81,0,3,4837,620,8,0,157,0,0,3,2,0,3,0,15,6,5300,4,0,974,383,3,0,0,21279,1307,772,59,0,15,6774,100,674,143,2354,774,126,19,0,0,0,15,0,0,0,0,0,18,0,57948,17651,8606,2354,2153,21279
43,DEG_PER_STRIP,7552,0,1361,0,8,38,0,54,12,47,0,0,5584,4746,14,0,10,0,2,0,1,0,0,0,69,0,881,1,0,2,8,3,0,0,57,2381,232,15,0,50,25274,449,1654,325,6171,634,77,16,0,0,0,0,0,7,0,0,3,6,0,57744,14798,28463,6171,2678,57
44,DEG_FOU_WOOD,11991,0,523,0,17,4,0,27,1,1,0,0,8009,6721,5,0,4,0,0,0,0,0,0,0,43,0,280,1,0,2,35,18,0,0,44,2630,498,28,2,45,15228,561,1507,328,7651,1243,119,1,0,0,0,1,0,0,3,0,0,0,0,57571,20686,19031,7651,3203,44
45,DEG_DIE_HILL,4181,3,773,0,57,2,0,18,11,8,0,0,2597,3516,0,0,11,0,0,0,13,0,0,0,61,0,821,0,0,10,3,14,0,0,1292,4813,5416,4128,1265,602,17499,539,1692,434,6408,1258,169,0,2,0,0,0,0,0,0,0,0,1,0,57617,7765,22193,6408,16224,1292
46,DEG_DIE_SWC,7453,1,537,0,11,4,0,252,1,7,0,0,3524,5507,3,0,1,0,0,1,4,0,0,0,101,4,441,0,0,12,12,23,0,0,62,2761,375,152,13,101,25953,692,1757,469,6180,1150,102,10,0,0,0,0,0,0,0,0,0,0,0,57676,11961,30224,6180,3402,62
47,DEG_YOU_BOCES,6355,1,374,0,38,2,0,16,3,9,0,0,3698,2421,0,0,0,0,0,0,5,0,0,0,88,3,584,0,0,6,13,15,0,0,148,7233,7260,4825,1381,163,13783,433,1342,360,6024,948,109,3,0,0,0,0,0,0,0,0,0,1,0,57644,10630,17138,6024,20862,148
48,DEG_YOU_OSHEA,9135,1,354,0,6,0,0,29,3,50,0,0,5479,3142,0,0,0,0,0,0,1,0,0,0,77,2,413,0,0,5,10,28,0,0,1163,6172,4170,1357,171,226,15251,474,1408,428,6504,1509,122,3,0,0,0,0,0,0,0,0,2,0,0,57695,15185,19418,6504,12096,1163
49,DEG_YOU_JONES,6154,1,490,0,4,8,0,265,3,273,0,0,6204,3993,2,0,10,0,0,0,0,0,0,0,17,0,1287,0,0,7,2,2,0,0,2246,2705,1025,170,22,155,22894,1080,2044,461,4889,1215,123,5,1,0,0,2,0,0,0,0,0,0,0,57759,13450,27972,4889,4077,2246
50,DEG_VIL,6233,1,356,0,4,12,0,68,3,282,0,0,6439,3487,2,0,2,0,0,0,0,0,0,0,32,0,1169,0,0,8,3,2,0,0,2167,2423,994,159,22,154,24162,639,2206,473,4956,1205,112,1,1,0,0,2,0,0,0,0,0,0,0,57779,13451,28951,4956,3752,2167
51,SEA_HOO,14488,1,7002,0,63,24,0,3706,66,765,3,29,8269,2135,12,0,45,0,1,2,0,0,7,6,663,3,4295,0,0,12,984,3,0,0,52,2439,487,45,3,30,5740,336,1360,81,3571,763,97,30,0,0,0,8,0,0,0,8,3,19,0,57656,36222,8407,3571,3004,52
52,MIL_HUM,8083,0,1969,0,0,160,0,650,3,174,0,0,2552,1922,0,0,450,0,0,0,0,0,0,0,0,10,1073,0,0,2,0,3,0,0,7,6356,3254,236,67,6,20409,1125,2319,468,6024,1088,36,2,0,0,0,0,0,0,0,0,0,0,0,58448,14058,25451,6024,9919,7
53,ONE_TER,5756,8,232,0,2,0,0,1,4,72,0,0,3272,2979,0,0,0,0,0,0,1,0,0,0,6,0,382,0,0,0,0,0,0,0,1404,7353,4332,1852,483,85,12876,1662,349,181,11604,6338,309,3,0,0,0,0,0,0,0,0,0,0,0,61546,9357,21800,11604,14105,1404
54,ONE_ADO,3695,0,151,0,0,0,0,5,0,33,0,0,1689,894,3,0,0,0,0,0,1,0,0,1,2,0,221,0,0,0,0,0,0,0,888,4379,496,127,32,207,29727,7105,1233,306,3429,6772,230,17,0,0,0,0,0,0,0,0,0,0,0,61643,5597,45580,3429,5241,888
55,ONE_STA,14559,1,56,0,0,0,0,1,11,21,0,0,3022,2937,33,0,2,3,0,0,0,0,0,0,6,0,192,3,0,0,0,0,0,0,27,2396,366,58,43,54,24954,1759,848,237,3571,6673,96,1,0,3,0,0,0,0,0,0,0,0,0,61933,17722,34621,3571,2917,27
