,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
34,STA_COL,2430,3,763,0,170,0,0,857,2,12,0,0,3137,203,0,0,102,2,0,0,0,0,82,0,7,3,3137,0,0,101,0,67,0,48,1016,544,182,22,62,5362,134,904,207,3693,2005,57,0,0,7,0,21,0,0,0,0,744,26086,8510,8731,3693,1826,48
35,WIS_COO_2,2209,1,71,0,0,13,0,3,3,0,0,0,1737,1562,0,0,0,0,0,0,3,0,0,0,5,0,733,0,0,30,0,1,0,78,927,280,94,32,17,12680,201,307,22,2116,1813,57,0,0,0,0,0,0,0,0,0,0,24995,4076,15097,2116,1350,78
36,WIS_COO,2480,8,496,2,6,3,1,244,3,8,0,0,2588,2737,0,0,0,0,0,0,0,0,0,0,8,0,420,0,0,16,0,0,0,178,793,203,10,5,11,9434,120,488,9,3767,949,35,6,0,0,0,0,0,0,0,0,0,25028,5869,11046,3767,1022,178
37,LET_NOB,7395,0,1786,0,19,0,0,793,0,124,0,0,6289,315,0,3,421,1,0,0,0,1,6,0,0,0,1331,0,0,4,0,0,0,18,908,111,14,6,19,4704,3,167,38,874,449,19,0,0,0,0,0,0,0,0,0,0,25818,16842,5399,874,1058,18
38,LET_TAB,9288,0,135,0,0,0,0,5,0,4,0,0,7957,194,0,0,50,50,0,0,4,0,2,0,3,0,188,0,0,0,7,0,0,20,1167,97,15,11,2,4376,299,1220,16,402,109,18,0,0,0,0,0,0,0,0,0,0,25639,17505,6040,402,1292,20
39,WIS_HIG,67,2,20,0,2,5,0,0,9,0,0,0,57,207,0,0,0,2,0,0,0,0,0,0,1,2,861,17,20,575,0,4,0,248,1558,1021,636,173,116,15875,164,764,53,678,1723,65,0,0,0,0,0,0,0,0,0,0,24925,783,18760,678,3504,248
40,WIS_MEG,880,2,145,0,653,228,0,18,298,0,0,0,308,2217,0,0,0,2,0,0,2,0,0,0,53,15,299,8,0,86,0,0,2,199,2626,2627,1324,242,86,8499,107,317,37,2753,1012,72,7,0,0,0,0,0,0,0,0,0,25124,2707,10130,2753,6905,199
41,WIS_KEN,164,4,38,0,23,7,0,3,0,3,0,0,94,358,0,0,0,16,0,0,1,0,0,0,2,0,526,8,21,2132,0,1,5,5679,2232,1303,1114,766,80,7823,12,109,35,1257,635,404,5,0,0,0,0,0,0,1,0,0,24861,2528,9098,1257,5495,5679
42,ZUE_REE,2773,0,1471,0,2,0,0,601,3,27,0,0,1258,299,4,0,147,0,0,3,2,0,0,0,12,3,3579,4,0,871,266,0,0,8172,602,396,35,0,6,3523,15,275,74,862,372,68,13,0,0,0,6,0,0,0,0,12,25756,7478,4333,862,1039,8172
43,DEG_PER_STRIP,3199,0,760,0,1,11,0,35,8,27,0,0,2300,1629,7,0,6,0,0,0,1,0,0,0,20,0,402,0,0,0,3,0,0,5,1058,156,7,0,15,11830,297,858,166,2515,295,36,8,0,0,0,0,6,0,0,3,0,25664,6395,13497,2515,1236,5
44,DEG_FOU_WOOD,6834,0,261,0,5,2,0,7,0,0,0,0,3360,3244,3,0,4,0,0,0,0,0,0,0,18,0,132,0,0,2,13,15,0,9,1251,195,7,0,15,5435,346,657,110,3181,444,35,1,0,0,0,1,0,1,0,0,0,25588,10527,7042,3181,1468,9
45,DEG_DIE_HILL,2567,1,355,0,48,2,0,7,8,8,0,0,1416,1444,0,0,7,0,0,0,8,0,0,0,13,0,656,0,0,6,2,4,0,1067,2226,2916,1877,662,241,5974,215,514,173,2659,445,78,0,2,0,0,0,0,0,0,0,1,25602,4455,7640,2659,7922,1067
46,DEG_DIE_SWC,3695,1,326,0,11,4,0,74,1,4,0,0,963,1955,3,0,1,0,0,1,3,0,0,0,83,4,256,0,0,8,10,14,0,30,1311,176,55,5,32,11111,473,938,183,3303,550,49,7,0,0,0,0,0,0,0,0,0,25640,5213,13336,3303,1579,30
47,DEG_YOU_BOCES,3211,1,89,0,6,0,0,14,0,6,0,0,2361,1155,0,0,0,0,0,0,1,0,0,0,53,0,148,0,0,2,6,10,0,54,2613,2792,1452,318,97,6504,242,781,198,2923,539,42,0,0,0,0,0,0,0,0,0,0,25618,5760,8403,2923,7272,54
48,DEG_YOU_OSHEA,3970,0,134,0,0,0,0,3,0,8,0,0,2623,930,0,0,0,0,0,0,0,0,0,0,8,0,112,0,0,0,3,1,0,524,3018,2710,733,101,6,7405,281,614,138,1618,654,47,0,0,0,0,0,0,0,0,0,0,25641,6750,9145,1618,6568,524
49,DEG_YOU_JONES,3660,1,165,0,4,8,0,39,0,179,0,0,3596,2186,2,0,0,0,0,0,0,0,0,0,3,0,589,0,0,5,2,2,0,1044,1232,632,78,22,93,7900,91,371,216,2927,556,64,1,1,0,0,2,0,0,0,0,0,25671,7670,9291,2927,2057,1044
50,DEG_VIL,4173,1,189,0,4,7,0,38,0,248,0,0,3423,1692,2,0,0,0,0,0,0,0,0,0,4,0,347,0,0,7,2,2,0,736,994,672,88,22,28,8458,209,784,210,2817,475,37,1,1,0,0,2,0,0,0,0,0,25673,8104,10201,2817,1804,736
51,SEA_HOO,6059,0,3275,0,41,15,0,1940,56,574,3,8,3536,859,5,0,27,0,1,0,0,0,6,0,470,2,1555,0,0,2,385,0,0,34,1183,236,25,2,7,3025,93,428,31,1255,398,69,8,0,0,0,0,0,0,0,0,11,25624,16424,4051,1255,1453,34
52,MIL_HUM,4752,0,1418,0,0,160,0,648,3,153,0,0,1601,804,0,0,446,0,0,0,0,0,0,0,0,0,628,0,0,2,0,0,0,4,2190,955,43,15,3,7503,369,613,200,3025,435,10,0,0,0,0,0,0,0,0,0,0,25980,9183,9133,3025,3206,4
53,ONE_TER,3360,0,95,0,1,0,0,0,0,10,0,0,1460,1747,0,0,0,0,0,0,0,0,0,0,4,0,154,0,0,0,0,0,0,654,3292,3146,1408,378,69,4753,663,114,77,3899,1928,141,0,0,0,0,0,0,0,0,0,0,27353,4930,7745,3899,8293,654
54,ONE_ADO,3371,0,84,0,0,0,0,3,0,12,0,0,1528,506,0,0,0,0,0,0,0,0,0,1,2,0,117,0,0,0,0,0,0,51,2717,166,23,23,63,12374,1940,465,114,1610,2146,86,7,0,0,0,0,0,0,0,0,0,27409,5008,17188,1610,2992,51
55,ONE_STA,8646,0,9,0,0,0,0,0,5,9,0,0,2023,1623,31,0,2,2,0,0,0,0,0,0,5,0,104,3,0,0,0,0,0,24,1169,264,36,35,42,8284,503,266,44,1780,2568,46,1,0,3,0,0,0,0,0,0,0,27527,10739,11753,1780,1546,24
