,record_id,week,count,date,max_temp_f,min_temp_f,ave_temp_f,rain_inches,max_temp_c,min_temp_c,ave_temp_c,organic_matter,base_saturation_ca,base_saturation_mg,base_saturation_k,base_saturation_na,base_saturation_h,base_saturation_total,exch_acidity,buffer_p_h,cec,p_h,ca_ppm,p_ppm,mg_ppm,k_ppm,na_ppm,zn_ppm,al_ppm,morgan_p_lb_a,morgan_k_lb_a,morgan_ca_lb_a,morgan_mg_lb_a,x_coordinate,y_coordinate,corn_area_m_2,muid,state,awc,clay,kffact,om,perm,thick,hygrp,drain,slope,ll,ifhydric,afldfreq,latitude,longitude,planting_date,planting_week,planting_relative_week
11,GAB_JON,17,24.0,2022-04-20,53.714285714285715,32.857142857142854,43.285714285714285,0.20857142857142857,12.057142857142859,0.47142857142857153,6.271428571428571,4.27,62.7,13.6,5.3,0.9,17.5,82.5,1.8,6.15,10.3,6.39,1292.0,116.0,171.0,212.0,22.0,3.7,856.0,18.7,375.1,2223.3,309.1,42.2253378,-73.973843,Low,NY099,NY,0.08,13.2,0.25,0.6,6.52,60.1,1.8,3.5,3.5,19.9,0.1,3.3,42.2253378,-73.973843,2022-05-13,20.0,-3.0
12,GAB_KUK,17,39.0,2022-04-20,54.57142857142857,32.0,43.285714285714285,0.30428571428571427,12.557142857142859,0.0,6.271428571428571,4.43,64.0,15.1,5.7,1.5,13.8,86.2,1.36,6.26,9.9,6.8,1265.0,218.0,181.0,219.0,34.0,6.6,1153.0,16.7,388.1,2170.0,327.8,42.06082,-73.81201,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.06082,-73.81201,2022-05-10,20.0,-3.0
13,GAB_OOM,17,125.0,2022-04-20,54.57142857142857,30.714285714285715,42.642857142857146,0.21428571428571427,12.542857142857143,-0.7000000000000001,5.914285714285714,5.75,78.0,17.3,3.2,1.5,0.0,100.0,0.0,0.0,10.8,7.05,1681.0,135.0,226.0,134.0,38.0,3.4,918.0,22.1,237.1,2992.1,410.8,42.45754,-73.67534,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.45754,-73.67534,2022-05-05,19.0,-2.0
14,GAB_STO,17,48.0,2022-04-20,55.0,32.142857142857146,43.57142857142857,0.25999999999999995,12.799999999999999,0.0714285714285715,6.414285714285714,3.13,71.7,14.0,4.5,1.6,8.2,91.8,0.76,6.41,9.2,6.94,1324.0,36.0,156.0,164.0,34.0,3.5,880.0,1.0,289.8,2286.6,283.5,42.11997,-73.79717,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.11997,-73.79717,2022-05-12,20.0,-3.0
15,MIL_CHA,17,39.0,2022-04-20,47.857142857142854,29.714285714285715,38.785714285714285,0.2642857142857143,8.814285714285715,-1.2857142857142858,3.757142857142857,4.74,74.6,23.0,2.0,0.4,0.0,100.0,0.0,0.0,16.8,7.18,2508.0,25.0,469.0,130.0,17.0,7.8,787.0,1.0,231.1,4626.5,851.4,43.044444,-75.458889,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0,43.044444,-75.458889,2022-05-30,23.0,-6.0
16,MIL_YOD,17,86.0,2022-04-20,46.57142857142857,29.714285714285715,38.142857142857146,0.24142857142857146,8.1,-1.2714285714285716,3.414285714285714,3.64,68.4,19.1,5.3,0.8,6.4,93.6,0.76,6.41,11.8,6.86,1624.0,94.0,275.0,247.0,21.0,6.6,803.0,17.9,437.4,2879.5,499.4,42.986944,-75.525278,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.986944,-75.525278,2022-05-23,22.0,-5.0
17,MUL_LET,17,38.0,2022-04-20,49.42857142857143,31.714285714285715,40.57142857142857,0.055714285714285716,9.671428571428573,-0.142857142857143,4.757142857142857,3.24,74.2,19.2,4.0,2.5,0.0,100.0,0.0,0.0,12.8,7.4,1900.0,63.0,299.0,202.0,74.0,5.7,618.0,17.7,357.8,3424.9,542.2,42.9403986,-77.7031553,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.9403986,-77.7031553,2022-06-01,23.0,-6.0
18,POV_DUN,17,8.0,2022-04-20,46.0,29.714285714285715,37.857142857142854,0.18857142857142858,7.785714285714286,-1.2714285714285716,3.242857142857143,2.74,49.6,12.1,1.7,0.7,35.9,64.1,2.24,6.04,6.2,5.85,620.0,26.0,92.0,42.0,11.0,0.6,966.0,1.0,75.3,895.1,165.7,42.3873813,-76.3989841,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.3873813,-76.3989841,2022-06-08,24.0,-7.0
19,STA_LOT,17,43.0,2022-04-20,49.857142857142854,32.57142857142857,41.214285714285715,0.0842857142857143,9.914285714285715,0.31428571428571433,5.1000000000000005,3.57,70.5,16.2,3.0,1.3,9.0,91.0,1.2,6.3,13.3,6.7,1876.0,60.0,261.0,155.0,40.0,2.5,970.0,5.0,275.5,3377.5,474.1,42.880592,-76.805378,High,NY075,NY,0.14,40.7,0.33,0.7,0.34,63.4,3.1,4.0,5.4,33.7,0.0,3.9,42.880592,-76.805378,2022-05-12,20.0,-3.0
20,STA_PAD,17,55.0,2022-04-20,49.285714285714285,33.42857142857143,41.357142857142854,0.06571428571428571,9.6,0.7999999999999999,5.185714285714285,6.61,72.0,19.0,5.0,1.4,2.6,97.4,0.56,6.46,21.9,6.95,3160.0,695.0,506.0,430.0,71.0,22.9,633.0,351.6,760.0,5915.0,920.0,43.030113,-77.340206,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,43.030113,-77.340206,2022-05-05,19.0,-2.0
21,ZUE_PED,17,53.0,2022-04-20,47.57142857142857,33.0,40.285714285714285,0.06714285714285714,8.642857142857142,0.5714285714285714,4.6000000000000005,2.71,72.4,15.1,10.5,2.0,0.0,100.0,0.0,0.0,10.8,7.44,1567.0,172.0,199.0,443.0,49.0,5.0,808.0,40.0,783.3,2766.8,360.0,42.874722,-77.107222,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.874722,-77.107222,2022-05-12,20.0,-3.0
22,ZUE_REE,17,27.0,2022-04-20,48.857142857142854,33.0,40.92857142857143,0.06857142857142857,9.37142857142857,0.5428571428571429,4.957142857142857,2.18,91.3,5.6,1.8,1.4,0.0,100.0,0.0,0.0,18.8,7.52,3432.0,61.0,128.0,132.0,58.0,2.2,485.0,30.0,234.1,6452.6,230.9,42.781389,-76.983611,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0,42.781389,-76.983611,2022-04-24,18.0,-1.0
24,DEG_DIE_ERSWC,18,1.0,2022-04-27,55.142857142857146,36.0,45.57142857142857,0.02,12.857142857142858,2.2142857142857144,7.542857142857144,4.64,64.1,10.6,4.1,0.9,20.4,79.6,2.4,6.0,11.8,6.07,1511.0,208.0,152.0,188.0,24.0,5.4,1149.0,18.8,333.0,2656.2,274.7,42.63469,-76.12806,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.63469,-76.12806,2022-05-13,20.0,-2.0
25,DEG_DIE_SH,18,144.0,2022-04-27,54.57142857142857,35.857142857142854,45.214285714285715,0.022857142857142857,12.542857142857143,2.1428571428571432,7.357142857142857,5.46,82.8,12.2,3.8,1.2,0.0,100.0,0.0,0.0,12.1,7.03,2003.0,41.0,179.0,180.0,34.0,1.6,1012.0,1.3,319.1,3628.5,324.7,42.5713,-76.08288,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.5713,-76.08288,2022-05-13,20.0,-2.0
26,DEG_EVA_PGREEN,18,7.0,2022-04-27,55.857142857142854,36.285714285714285,46.07142857142857,0.018571428571428572,13.257142857142856,2.385714285714286,7.828571428571428,6.69,86.9,9.3,2.5,1.3,0.0,100.0,0.0,0.0,16.4,7.39,2859.0,49.0,185.0,160.0,51.0,2.9,949.0,6.3,283.4,5320.2,335.5,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.51512,-76.16202,2022-05-13,20.0,-2.0
27,DEG_FES_OVO4,18,61.0,2022-04-27,58.0,37.714285714285715,47.857142857142854,0.014285714285714287,14.442857142857141,3.1571428571428575,8.785714285714286,4.7,81.8,13.5,2.9,1.8,0.0,100.0,0.0,0.0,14.5,7.11,2378.0,78.0,238.0,166.0,60.0,5.1,735.0,20.2,293.8,4369.6,431.9,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.83983,-76.29781,2022-05-17,21.0,-3.0
28,DEG_FOU_ELM,18,476.0,2022-04-27,56.857142857142854,36.57142857142857,46.714285714285715,0.011428571428571429,13.799999999999999,2.557142857142857,8.171428571428573,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662.0,106.0,252.0,241.0,78.0,10.5,891.0,16.8,426.6,2954.6,457.4,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.58639,-76.2802,2022-05-09,20.0,-2.0
29,DEG_MCM_CH,18,68.0,2022-04-27,56.57142857142857,36.57142857142857,46.57142857142857,0.02428571428571429,13.657142857142857,2.557142857142857,8.114285714285714,6.12,71.1,22.0,4.2,2.8,0.0,100.0,0.0,0.0,12.1,7.02,1716.0,99.0,322.0,196.0,78.0,3.6,1074.0,9.0,347.3,3061.3,584.2,42.642,-76.20354,Medium,NY127,NY,0.08,13.1,0.3,0.9,0.71,57.7,3.0,3.4,16.4,24.2,0.0,4.0,42.642,-76.20354,2023-05-12,20.0,-2.0
30,DEG_MCM_W7,18,188.0,2022-04-27,55.0,36.285714285714285,45.642857142857146,0.018571428571428572,12.771428571428572,2.357142857142857,7.585714285714286,7.42,81.4,12.0,4.4,2.2,0.0,100.0,0.0,0.0,19.3,7.16,3141.0,250.0,281.0,329.0,99.0,14.1,805.0,85.8,581.3,5877.5,510.1,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.70051,-76.23137,2022-05-06,19.0,-1.0
31,DEG_STR_1,18,34.0,2022-04-27,54.285714285714285,34.285714285714285,44.285714285714285,0.02,12.385714285714286,1.2571428571428573,6.8428571428571425,6.18,74.6,13.8,1.1,1.3,9.2,90.8,1.08,6.33,11.7,6.99,1746.0,57.0,196.0,49.0,35.0,1.8,1036.0,3.0,87.3,3120.6,355.7,42.70534,-76.08362,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.70534,-76.08362,2022-05-13,20.0,-2.0
32,GAB_ALL,18,28.0,2022-04-27,59.714285714285715,38.42857142857143,49.07142857142857,0.04285714285714286,15.385714285714286,3.585714285714286,9.485714285714286,2.13,66.5,17.0,2.0,2.6,12.0,88.0,0.8,6.4,6.7,6.83,891.0,31.0,138.0,52.0,40.0,1.7,640.0,1.0,93.7,1431.6,249.6,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0,42.92364,-73.68089,2022-05-06,19.0,-1.0
34,GAB_ELL,18,18.0,2022-04-27,60.0,38.714285714285715,49.357142857142854,0.047142857142857146,15.585714285714285,3.728571428571428,9.642857142857142,3.79,71.6,15.5,4.9,1.6,6.4,93.6,0.8,6.4,12.6,6.95,1804.0,175.0,237.0,242.0,47.0,3.8,785.0,46.0,427.7,3235.2,430.5,42.45262,-73.73445,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0,42.45262,-73.73445,2022-05-21,21.0,-3.0
35,GAB_HER,18,7.0,2022-04-27,59.0,37.857142857142854,48.42857142857143,0.06142857142857143,14.985714285714286,3.257142857142857,9.128571428571428,4.84,72.1,13.7,3.4,1.8,9.0,91.0,1.16,6.31,12.9,6.8,1866.0,124.0,216.0,171.0,53.0,3.6,977.0,17.8,303.5,3357.7,391.5,42.68417,-73.58209,Medium,NY156,NY,0.09,9.0,0.29,0.6,0.65,54.1,3.0,3.3,10.9,27.1,0.0,4.0,42.68417,-73.58209,2022-05-24,22.0,-4.0
36,GAB_JON,18,4.0,2022-04-27,58.142857142857146,39.57142857142857,48.857142857142854,0.054285714285714284,14.528571428571428,4.2,9.357142857142858,4.27,62.7,13.6,5.3,0.9,17.5,82.5,1.8,6.15,10.3,6.39,1292.0,116.0,171.0,212.0,22.0,3.7,856.0,18.7,375.1,2223.3,309.1,42.2253378,-73.973843,Low,NY099,NY,0.08,13.2,0.25,0.6,6.52,60.1,1.8,3.5,3.5,19.9,0.1,3.3,42.2253378,-73.973843,2022-05-13,20.0,-2.0
37,GAB_KUK,18,87.0,2022-04-27,59.142857142857146,38.857142857142854,49.0,0.04428571428571428,15.085714285714285,3.814285714285714,9.457142857142857,4.43,64.0,15.1,5.7,1.5,13.8,86.2,1.36,6.26,9.9,6.8,1265.0,218.0,181.0,219.0,34.0,6.6,1153.0,16.7,388.1,2170.0,327.8,42.06082,-73.81201,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.06082,-73.81201,2022-05-10,20.0,-2.0
38,GAB_OOM,18,58.0,2022-04-27,59.714285714285715,37.714285714285715,48.714285714285715,0.05714285714285715,15.414285714285715,3.1714285714285713,9.299999999999999,5.75,78.0,17.3,3.2,1.5,0.0,100.0,0.0,0.0,10.8,7.05,1681.0,135.0,226.0,134.0,38.0,3.4,918.0,22.1,237.1,2992.1,410.8,42.45754,-73.67534,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.45754,-73.67534,2022-05-05,19.0,-1.0
39,GAB_PET,18,8.0,2022-04-27,60.714285714285715,37.57142857142857,49.142857142857146,0.025714285714285714,15.957142857142857,3.1,9.514285714285714,3.14,61.7,17.0,2.5,0.8,18.0,82.0,1.64,6.19,9.1,6.41,1125.0,41.0,188.0,90.0,17.0,1.3,805.0,1.0,159.2,1893.3,341.7,42.72436,-73.99218,Medium,NY125,NY,0.09,11.5,0.27,0.8,3.17,64.4,2.1,3.1,11.6,21.9,0.0,4.0,42.72436,-73.99218,2022-05-12,20.0,-2.0
40,GAB_STO,18,44.0,2022-04-27,59.42857142857143,39.42857142857143,49.42857142857143,0.05714285714285715,15.228571428571428,4.114285714285715,9.685714285714285,3.13,71.7,14.0,4.5,1.6,8.2,91.8,0.76,6.41,9.2,6.94,1324.0,36.0,156.0,164.0,34.0,3.5,880.0,1.0,289.8,2286.6,283.5,42.11997,-73.79717,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6,42.11997,-73.79717,2022-05-12,20.0,-2.0
42,MIL_CHA,18,16.0,2022-04-27,57.42857142857143,35.285714285714285,46.357142857142854,0.024285714285714282,14.12857142857143,1.8142857142857143,7.971428571428571,4.74,74.6,23.0,2.0,0.4,0.0,100.0,0.0,0.0,16.8,7.18,2508.0,25.0,469.0,130.0,17.0,7.8,787.0,1.0,231.1,4626.5,851.4,43.044444,-75.458889,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0,43.044444,-75.458889,2022-05-30,23.0,-5.0
43,MIL_YOD,18,27.0,2022-04-27,56.42857142857143,34.714285714285715,45.57142857142857,0.012857142857142857,13.585714285714285,1.5000000000000002,7.542857142857143,3.64,68.4,19.1,5.3,0.8,6.4,93.6,0.76,6.41,11.8,6.86,1624.0,94.0,275.0,247.0,21.0,6.6,803.0,17.9,437.4,2879.5,499.4,42.986944,-75.525278,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.986944,-75.525278,2022-05-23,22.0,-4.0
44,MUL_LET,18,57.0,2022-04-27,59.714285714285715,37.0,48.357142857142854,0.11857142857142858,15.385714285714286,2.771428571428572,9.1,3.24,74.2,19.2,4.0,2.5,0.0,100.0,0.0,0.0,12.8,7.4,1900.0,63.0,299.0,202.0,74.0,5.7,618.0,17.7,357.8,3424.9,542.2,42.9403986,-77.7031553,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.9403986,-77.7031553,2022-06-01,23.0,-5.0
45,POW_LET,18,75.0,2022-04-27,62.0,38.714285714285715,50.357142857142854,0.16714285714285718,16.642857142857142,3.742857142857143,10.200000000000001,4.56,50.2,24.1,3.9,3.8,18.1,81.9,2.0,6.1,11.1,6.23,1113.0,22.0,324.0,170.0,97.0,1.2,943.0,1.0,300.7,1869.6,588.4,42.618402,-77.78118,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0,42.618402,-77.78118,2022-05-11,20.0,-2.0
46,SEA_HOO_1,18,66.0,2022-04-27,59.857142857142854,38.714285714285715,49.285714285714285,0.014285714285714287,15.485714285714286,3.6999999999999997,9.62857142857143,2.62,61.3,12.8,3.3,0.0,22.6,77.4,1.72,6.17,7.6,6.19,935.0,93.0,119.0,97.0,0.0,2.4,776.0,15.3,172.3,1517.4,214.7,42.625396,-77.01625,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.625396,-77.01625,2022-04-30,18.0,0.0
47,SMI_CAN,18,4.0,2022-04-27,54.285714285714285,34.285714285714285,44.285714285714285,0.03428571428571429,12.37142857142857,1.2714285714285718,6.828571428571428,6.1,93.8,4.3,0.9,1.0,0.0,100.0,0.0,0.0,22.9,7.44,4305.0,42.0,119.0,80.0,52.0,6.4,687.0,13.6,141.6,8177.9,216.0,42.876864,-75.052777,Medium,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.876864,-75.052777,2022-05-16,21.0,-3.0
48,SMI_CRO,18,13.0,2022-04-27,58.857142857142854,36.0,47.42857142857143,0.015714285714285715,14.914285714285715,2.2142857142857144,8.557142857142857,6.13,72.5,9.1,1.2,0.8,16.4,83.6,2.8,5.9,17.1,5.88,2484.0,25.0,189.0,82.0,30.0,1.7,1096.0,1.0,146.5,4579.1,343.5,42.843286,-74.669392,High,NY080,NY,0.15,39.7,0.32,3.5,0.28,63.6,4.0,6.3,1.0,43.1,0.9,4.0,42.843286,-74.669392,2022-05-16,21.0,-3.0
49,SMI_DOU,18,19.0,2022-04-27,57.285714285714285,35.142857142857146,46.214285714285715,0.018571428571428572,14.042857142857143,1.7571428571428573,7.885714285714286,4.52,65.3,14.2,1.0,1.2,18.3,81.7,2.12,6.07,11.6,6.22,1516.0,21.0,200.0,47.0,32.0,1.6,1048.0,1.0,83.6,2666.0,362.2,43.049569,-74.837951,Medium,NY158,NY,0.12,14.4,0.28,1.1,0.95,39.1,2.7,2.9,11.6,27.4,0.0,4.0,43.049569,-74.837951,2022-05-09,20.0,-2.0
50,SMI_DUR,18,89.0,2022-04-27,58.57142857142857,36.42857142857143,47.5,0.014285714285714287,14.771428571428572,2.457142857142857,8.6,7.55,68.4,26.6,3.5,1.5,0.0,100.0,0.0,0.0,18.7,7.2,2560.0,24.0,604.0,256.0,66.0,7.7,556.0,1.5,452.2,4729.3,1097.6,43.064027,-75.936687,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3.0,3.4,3.9,28.4,0.0,4.0,43.064027,-75.936687,2022-05-16,21.0,-3.0
51,SMI_HOF,18,3.0,2022-04-27,57.857142857142854,35.0,46.42857142857143,0.03571428571428571,14.385714285714286,1.6714285714285715,8.014285714285714,4.22,72.7,11.7,2.7,2.0,11.0,89.0,1.36,6.26,12.4,6.71,1808.0,244.0,177.0,129.0,57.0,6.8,819.0,62.7,228.3,3243.1,320.4,42.353305,-75.709457,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.353305,-75.709457,2022-05-17,21.0,-3.0
52,SMI_JOH_1,18,24.0,2022-04-27,57.42857142857143,35.42857142857143,46.42857142857143,0.012857142857142857,14.114285714285714,1.9000000000000001,8.014285714285714,3.41,75.1,20.3,2.8,1.9,0.0,100.0,0.0,0.0,14.2,7.48,2135.0,131.0,350.0,155.0,61.0,2.9,687.0,44.0,274.2,3889.4,635.3,43.003637,-75.590703,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,43.003637,-75.590703,2022-06-28,27.0,-9.0
53,SMI_JOH_2,18,24.0,2022-04-27,58.42857142857143,36.142857142857146,47.285714285714285,0.021428571428571432,14.671428571428573,2.314285714285714,8.5,4.71,84.0,11.2,3.4,1.4,0.0,100.0,0.0,0.0,19.2,7.3,3237.0,375.0,261.0,259.0,62.0,17.1,420.0,269.9,458.9,6067.2,473.4,43.075096,-75.676876,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3.0,3.4,3.9,28.4,0.0,4.0,43.075096,-75.676876,2022-05-11,20.0,-2.0
