,record_id,week,count,date,max_temp_f,min_temp_f,ave_temp_f,rain_inches,max_temp_c,min_temp_c,ave_temp_c,organic_matter,base_saturation_ca,base_saturation_mg,base_saturation_k,base_saturation_na,base_saturation_h,base_saturation_total,exch_acidity,buffer_p_h,cec,p_h,ca_ppm,p_ppm,mg_ppm,k_ppm,na_ppm,zn_ppm,al_ppm,morgan_p_lb_a,morgan_k_lb_a,morgan_ca_lb_a,morgan_mg_lb_a,x_coordinate,y_coordinate,corn_area_m_2,muid,state,awc,clay,kffact,om,perm,thick,hygrp,drain,slope,ll,ifhydric,afldfreq,latitude,longitude,cover_crop,manure,planting_date,planting_week,planting_relative_week,corn,open_water,sweet_corn,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,barren,deciduous_forest,evergreen_forest,mixed_forest,shrubland,grass_pasture,woody_wetlands,herbaceous_wetlands,triticale,carrots,barley,broccoli,greens,plums,squash,dbl_crop_win_wht_corn,dbl_crop_triticale_corn,pumpkins,spring_wheat,winter_wheat,blueberries,cabbage,dbl_crop_win_wht_soybeans,rye,oats,millet,speltz,alfalfa,othe_r_hay_non_alfalfa,buckwheat,sorghum,sugarbeets,dry_beans,potatoes,other_crops,misc_vegs_&_fruits,onions,soybeans,peas,tomatoes,hops,herbs,clover_wildflowers,sod_grass_seed,sunflower,fallow_idle_cropland,cherries,peaches,apples,grapes,christmas_trees,pears,total,ag,ag_prop,nat,nat_prop,semi_nat,semi_nat_prop,dev,dev_prop,other,other_prop
10,MIL_CHA,17,39.0,2022-04-20,47.857142857142854,29.714285714285715,38.785714285714285,0.2642857142857143,8.814285714285715,-1.2857142857142858,3.757142857142857,4.74,74.6,23.0,2.0,0.4,0.0,100.0,0.0,0.0,16.8,7.18,2508.0,25.0,469.0,130.0,17.0,7.8,787.0,1.0,231.1,4626.5,851.4,43.044444,-75.458889,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0,43.044444,-75.458889,No,Yes,2022-05-30,23.0,-6.0,156.0,0.0,0.0,37.0,12.0,3.0,0.0,0.0,183.0,2.0,18.0,1.0,86.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,470.0,0.343567251,217.0,0.158625731,86.0,0.062865497,52.0,0.038011696,0.0,0.0
11,MIL_YOD,17,86.0,2022-04-20,46.57142857142857,29.714285714285715,38.142857142857146,0.24142857142857146,8.1,-1.2714285714285716,3.414285714285714,3.64,68.4,19.1,5.3,0.8,6.4,93.6,0.76,6.41,11.8,6.86,1624.0,94.0,275.0,247.0,21.0,6.6,803.0,17.9,437.4,2879.5,499.4,42.986944,-75.525278,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.986944,-75.525278,Yes,Yes,2022-05-23,22.0,-5.0,129.0,0.0,0.0,40.0,8.0,3.0,0.0,2.0,181.0,0.0,1.0,0.0,193.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,144.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,398.0,0.290935673,185.0,0.135233918,193.0,0.141081871,53.0,0.03874269,0.0,0.0
12,MUL_LET,17,38.0,2022-04-20,49.42857142857143,31.714285714285715,40.57142857142857,0.055714285714285716,9.671428571428573,-0.142857142857143,4.757142857142857,3.24,74.2,19.2,4.0,2.5,0.0,100.0,0.0,0.0,12.8,7.4,1900.0,63.0,299.0,202.0,74.0,5.7,618.0,17.7,357.8,3424.9,542.2,42.9403986,-77.7031553,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.9403986,-77.7031553,Yes,Yes,2022-06-01,23.0,-6.0,258.0,0.0,0.0,55.0,12.0,7.0,0.0,0.0,39.0,0.0,4.0,0.0,52.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,693.0,0.505839416,48.0,0.035036496,52.0,0.037956204,74.0,0.054014599,0.0,0.0
13,POV_DUN,17,8.0,2022-04-20,46.0,29.714285714285715,37.857142857142854,0.18857142857142858,7.785714285714286,-1.2714285714285716,3.242857142857143,2.74,49.6,12.1,1.7,0.7,35.9,64.1,2.24,6.04,6.2,5.85,620.0,26.0,92.0,42.0,11.0,0.6,966.0,1.0,75.3,895.1,165.7,42.3873813,-76.3989841,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.3873813,-76.3989841,No,No,2022-06-08,24.0,-7.0,6.0,0.0,0.0,64.0,12.0,0.0,0.0,0.0,220.0,1.0,156.0,3.0,301.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,16.0,0.011730205,391.0,0.286656891,301.0,0.220674487,76.0,0.055718475,0.0,0.0
14,STA_LOT,17,43.0,2022-04-20,49.857142857142854,32.57142857142857,41.214285714285715,0.0842857142857143,9.914285714285715,0.31428571428571433,5.1000000000000005,3.57,70.5,16.2,3.0,1.3,9.0,91.0,1.2,6.3,13.3,6.7,1876.0,60.0,261.0,155.0,40.0,2.5,970.0,5.0,275.5,3377.5,474.1,42.880592,-76.805378,High,NY075,NY,0.14,40.7,0.33,0.7,0.34,63.4,3.1,4.0,5.4,33.7,0.0,3.9,42.880592,-76.805378,Yes,No,2022-05-12,20.0,-3.0,97.0,0.0,0.0,36.0,28.0,23.0,3.0,6.0,14.0,0.0,7.0,0.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,25.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.0,673.0,0.493040293,31.0,0.022710623,52.0,0.038095238,96.0,0.07032967,0.0,0.0
15,STA_PAD,17,55.0,2022-04-20,49.285714285714285,33.42857142857143,41.357142857142854,0.06571428571428571,9.6,0.7999999999999999,5.185714285714285,6.61,72.0,19.0,5.0,1.4,2.6,97.4,0.56,6.46,21.9,6.95,3160.0,695.0,506.0,430.0,71.0,22.9,633.0,351.6,760.0,5915.0,920.0,43.030113,-77.340206,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,43.030113,-77.340206,No,No,2022-05-05,19.0,-2.0,297.0,1.0,0.0,63.0,37.0,5.0,0.0,1.0,16.0,0.0,2.0,0.0,138.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1369.0,591.0,0.431701972,21.0,0.015339664,138.0,0.100803506,106.0,0.07742878,1.0,0.00073046
16,DEG_EVA_PGREEN,18,7.0,2022-04-27,55.857142857142854,36.285714285714285,46.07142857142857,0.018571428571428572,13.257142857142856,2.385714285714286,7.828571428571428,6.69,86.9,9.3,2.5,1.3,0.0,100.0,0.0,0.0,16.4,7.39,2859.0,49.0,185.0,160.0,51.0,2.9,949.0,6.3,283.4,5320.2,335.5,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.51512,-76.16202,No,Yes,2022-05-13,20.0,-2.0,94.0,0.0,0.0,24.0,14.0,10.0,1.0,8.0,74.0,11.0,34.0,2.0,321.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,276.0,0.20204978,145.0,0.106149341,321.0,0.234992679,57.0,0.041727672,0.0,0.0
17,DEG_FES_OVO4,18,61.0,2022-04-27,58.0,37.714285714285715,47.857142857142854,0.014285714285714287,14.442857142857141,3.1571428571428575,8.785714285714286,4.7,81.8,13.5,2.9,1.8,0.0,100.0,0.0,0.0,14.5,7.11,2378.0,78.0,238.0,166.0,60.0,5.1,735.0,20.2,293.8,4369.6,431.9,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0,42.83983,-76.29781,No,Yes,2022-05-17,21.0,-3.0,341.0,0.0,0.0,46.0,46.0,3.0,0.0,0.0,81.0,2.0,2.0,0.0,72.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,211.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,576.0,0.421052632,98.0,0.071637427,72.0,0.052631579,95.0,0.069444444,0.0,0.0
18,DEG_FOU_ELM,18,476.0,2022-04-27,56.857142857142854,36.57142857142857,46.714285714285715,0.011428571428571429,13.799999999999999,2.557142857142857,8.171428571428573,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662.0,106.0,252.0,241.0,78.0,10.5,891.0,16.8,426.6,2954.6,457.4,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0,42.58639,-76.2802,Yes,Yes,2022-05-09,20.0,-2.0,379.0,0.0,0.0,55.0,10.0,1.0,0.0,0.0,280.0,1.0,7.0,1.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,393.0,0.287490856,291.0,0.212874909,97.0,0.070958303,66.0,0.048280907,0.0,0.0
19,DEG_MCM_W7,18,188.0,2022-04-27,55.0,36.285714285714285,45.642857142857146,0.018571428571428572,12.771428571428572,2.357142857142857,7.585714285714286,7.42,81.4,12.0,4.4,2.2,0.0,100.0,0.0,0.0,19.3,7.16,3141.0,250.0,281.0,329.0,99.0,14.1,805.0,85.8,581.3,5877.5,510.1,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4,42.70051,-76.23137,Yes,Yes,2022-05-06,19.0,-1.0,351.0,0.0,0.0,39.0,16.0,3.0,0.0,0.0,76.0,2.0,3.0,1.0,121.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,193.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,548.0,0.400877835,89.0,0.065106072,121.0,0.088514996,58.0,0.042428676,0.0,0.0
20,GAB_ALL,18,28.0,2022-04-27,59.714285714285715,38.42857142857143,49.07142857142857,0.04285714285714286,15.385714285714286,3.585714285714286,9.485714285714286,2.13,66.5,17.0,2.0,2.6,12.0,88.0,0.8,6.4,6.7,6.83,891.0,31.0,138.0,52.0,40.0,1.7,640.0,1.0,93.7,1431.6,249.6,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0,42.92364,-73.68089,No,Yes,2022-05-06,19.0,-1.0,5.0,11.0,0.0,63.0,86.0,32.0,7.0,3.0,172.0,5.0,154.0,1.0,130.0,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,9.0,0.00658376,514.0,0.376005852,130.0,0.095098756,191.0,0.139722019,11.0,0.008046818
21,GAB_ELL,18,18.0,2022-04-27,60.0,38.714285714285715,49.357142857142854,0.047142857142857146,15.585714285714285,3.728571428571428,9.642857142857142,3.79,71.6,15.5,4.9,1.6,6.4,93.6,0.8,6.4,12.6,6.95,1804.0,175.0,237.0,242.0,47.0,3.8,785.0,46.0,427.7,3235.2,430.5,42.45262,-73.73445,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0,42.45262,-73.73445,No,No,2022-05-21,21.0,-3.0,404.0,0.0,0.0,2.0,19.0,24.0,7.0,1.0,136.0,41.0,49.0,2.0,58.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1368.0,500.0,0.365497076,247.0,0.180555556,58.0,0.042397661,53.0,0.03874269,0.0,0.0
