,record_id,week,count,longitude,latitude,elevation,date,rain_inches,min_temp_f,ave_temp_f,max_temp_f,organic_matter,base_saturation_ca,base_saturation_mg,base_saturation_k,base_saturation_na,base_saturation_h,base_saturation_total,exch_acidity,buffer_p_h,cec,p_h,ca_ppm,p_ppm,mg_ppm,k_ppm,na_ppm,zn_ppm,al_ppm,morgan_p_lb_a,morgan_k_lb_a,morgan_ca_lb_a,morgan_mg_lb_a,x_coordinate,y_coordinate,corn_area_m_2,muid,state,awc,clay,kffact,om,perm,thick,hygrp,drain,slope,ll,ifhydric,afldfreq
14,GAB_HER,17,13.0,-73.5821,42.6842,587.0,2022-04-20,0.2414285714285714,32.857142857142854,43.24285714285714,53.6,4.84,72.1,13.7,3.4,1.8,9.0,91.0,1.16,6.31,12.9,6.8,1866.0,124.0,216.0,171.0,53.0,3.6,977.0,17.8,303.5,3357.7,391.5,42.68417,-73.58209,Medium,NY156,NY,0.09,9.0,0.29,0.6,0.65,54.1,3.0,3.3,10.9,27.1,0.0,4.0
15,GAB_JON,17,24.0,-73.9738,42.2253,390.0,2022-04-20,0.22428571428571425,33.34285714285714,44.68571428571429,56.028571428571425,4.27,62.7,13.6,5.3,0.9,17.5,82.5,1.8,6.15,10.3,6.39,1292.0,116.0,171.0,212.0,22.0,3.7,856.0,18.7,375.1,2223.3,309.1,42.2253378,-73.973843,Low,NY099,NY,0.08,13.2,0.25,0.6,6.52,60.1,1.8,3.5,3.5,19.9,0.1,3.3
16,GAB_KUK,17,39.0,-73.812,42.06080000000001,364.0,2022-04-20,0.2814285714285714,33.642857142857146,44.957142857142856,56.214285714285715,4.43,64.0,15.1,5.7,1.5,13.8,86.2,1.36,6.26,9.9,6.8,1265.0,218.0,181.0,219.0,34.0,6.6,1153.0,16.7,388.1,2170.0,327.8,42.06082,-73.81201,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
17,GAB_OOM,17,125.0,-73.6753,42.4575,328.0,2022-04-20,0.21,33.75714285714286,44.41428571428571,55.1,5.75,78.0,17.3,3.2,1.5,0.0,100.0,0.0,0.0,10.8,7.05,1681.0,135.0,226.0,134.0,38.0,3.4,918.0,22.1,237.1,2992.1,410.8,42.45754,-73.67534,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
20,GAB_STO,17,48.0,-73.7972,42.12,223.0,2022-04-20,0.2557142857142857,34.58571428571428,45.81428571428571,57.057142857142864,3.13,71.7,14.0,4.5,1.6,8.2,91.8,0.76,6.41,9.2,6.94,1324.0,36.0,156.0,164.0,34.0,3.5,880.0,1.0,289.8,2286.6,283.5,42.11997,-73.79717,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
22,MIL_CHA,17,39.0,-75.4589,43.0444,1076.0,2022-04-20,0.2285714285714286,30.857142857142858,38.42857142857143,45.971428571428575,4.74,74.6,23.0,2.0,0.4,0.0,100.0,0.0,0.0,16.8,7.18,2508.0,25.0,469.0,130.0,17.0,7.8,787.0,1.0,231.1,4626.5,851.4,43.044444,-75.458889,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0
24,MIL_YOD,17,86.0,-75.5253,42.9869,1319.0,2022-04-20,0.21,29.885714285714283,37.714285714285715,45.57142857142857,3.64,68.4,19.1,5.3,0.8,6.4,93.6,0.76,6.41,11.8,6.86,1624.0,94.0,275.0,247.0,21.0,6.6,803.0,17.9,437.4,2879.5,499.4,42.986944,-75.525278,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
25,MUL_LET,17,38.0,-77.7032,42.9404,600.0,2022-04-20,0.05714285714285715,32.871428571428574,41.128571428571426,49.371428571428574,3.24,74.2,19.2,4.0,2.5,0.0,100.0,0.0,0.0,12.8,7.4,1900.0,63.0,299.0,202.0,74.0,5.7,618.0,17.7,357.8,3424.9,542.2,42.9403986,-77.7031553,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
35,POV_DUN,17,8.0,-76.399,42.3874,1194.0,2022-04-20,0.17857142857142858,31.37142857142857,39.01428571428572,46.642857142857146,2.74,49.6,12.1,1.7,0.7,35.9,64.1,2.24,6.04,6.2,5.85,620.0,26.0,92.0,42.0,11.0,0.6,966.0,1.0,75.3,895.1,165.7,42.3873813,-76.3989841,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
49,STA_LOT,17,43.0,-76.8054,42.8806,486.0,2022-04-20,0.08571428571428572,33.51428571428571,41.4,49.285714285714285,3.57,70.5,16.2,3.0,1.3,9.0,91.0,1.2,6.3,13.3,6.7,1876.0,60.0,261.0,155.0,40.0,2.5,970.0,5.0,275.5,3377.5,474.1,42.880592,-76.805378,High,NY075,NY,0.14,40.7,0.33,0.7,0.34,63.4,3.1,4.0,5.4,33.7,0.0,3.9
50,STA_PAD,17,55.0,-77.3402,43.0301,538.0,2022-04-20,0.07142857142857142,33.25714285714285,41.24285714285714,49.18571428571429,6.61,72.0,19.0,5.0,1.4,2.6,97.4,0.56,6.46,21.9,6.95,3160.0,695.0,506.0,430.0,71.0,22.9,633.0,351.6,760.0,5915.0,920.0,43.030113,-77.340206,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
57,ZUE_PED,17,53.0,-77.1072,42.8747,850.0,2022-04-20,0.0642857142857143,33.05714285714286,40.74285714285714,48.4,2.71,72.4,15.1,10.5,2.0,0.0,100.0,0.0,0.0,10.8,7.44,1567.0,172.0,199.0,443.0,49.0,5.0,808.0,40.0,783.3,2766.8,360.0,42.874722,-77.107222,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
58,ZUE_REE,17,27.0,-76.9836,42.7814,669.0,2022-04-20,0.06714285714285716,33.542857142857144,41.18571428571429,48.82857142857143,2.18,91.3,5.6,1.8,1.4,0.0,100.0,0.0,0.0,18.8,7.52,3432.0,61.0,128.0,132.0,58.0,2.2,485.0,30.0,234.1,6452.6,230.9,42.781389,-76.983611,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0
59,DEG_DIE_100,18,26.0,-76.2445,42.556,1391.0,2022-04-27,0.0071428571428571435,36.785714285714285,46.528571428571425,56.25714285714286,3.87,89.8,4.8,2.4,0.8,2.2,97.8,0.44,6.49,19.9,6.97,3579.0,146.0,116.0,186.0,36.0,2.9,1093.0,31.6,330.2,6743.1,210.5,42.55602,-76.24447,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
60,DEG_DIE_ERSWC,18,1.0,-76.1281,42.6347,1450.0,2022-04-27,0.01,36.642857142857146,46.17142857142857,55.75714285714286,4.64,64.1,10.6,4.1,0.9,20.4,79.6,2.4,6.0,11.8,6.07,1511.0,208.0,152.0,188.0,24.0,5.4,1149.0,18.8,333.0,2656.2,274.7,42.63469,-76.12806,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
61,DEG_DIE_SH,18,144.0,-76.0829,42.5713,1473.0,2022-04-27,0.009999999999999998,36.31428571428571,46.042857142857144,55.75714285714286,5.46,82.8,12.2,3.8,1.2,0.0,100.0,0.0,0.0,12.1,7.03,2003.0,41.0,179.0,180.0,34.0,1.6,1012.0,1.3,319.1,3628.5,324.7,42.5713,-76.08288,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
62,DEG_EVA_PGREEN,18,7.0,-76.162,42.5151,1706.0,2022-04-27,0.008571428571428572,36.357142857142854,45.800000000000004,55.25714285714286,6.69,86.9,9.3,2.5,1.3,0.0,100.0,0.0,0.0,16.4,7.39,2859.0,49.0,185.0,160.0,51.0,2.9,949.0,6.3,283.4,5320.2,335.5,42.51512,-76.16202,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
63,DEG_FES_OVO4,18,61.0,-76.29779999999998,42.839800000000004,1434.0,2022-04-27,0.011428571428571429,36.92857142857143,46.57142857142857,56.22857142857142,4.7,81.8,13.5,2.9,1.8,0.0,100.0,0.0,0.0,14.5,7.11,2378.0,78.0,238.0,166.0,60.0,5.1,735.0,20.2,293.8,4369.6,431.9,42.83983,-76.29781,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
64,DEG_FOU_ELM,18,476.0,-76.2802,42.58639999999999,1342.0,2022-04-27,0.008571428571428572,36.82857142857143,46.614285714285714,56.39999999999999,6.21,64.8,16.2,4.8,2.7,11.6,88.4,1.48,6.23,12.8,6.33,1662.0,106.0,252.0,241.0,78.0,10.5,891.0,16.8,426.6,2954.6,457.4,42.58639,-76.2802,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
66,DEG_MCM_CH,18,68.0,-76.2035,42.642,1365.0,2022-04-27,0.01,36.800000000000004,46.51428571428572,56.18571428571429,6.12,71.1,22.0,4.2,2.8,0.0,100.0,0.0,0.0,12.1,7.02,1716.0,99.0,322.0,196.0,78.0,3.6,1074.0,9.0,347.3,3061.3,584.2,42.642,-76.20354,Medium,NY127,NY,0.08,13.1,0.3,0.9,0.71,57.7,3.0,3.4,16.4,24.2,0.0,4.0
67,DEG_MCM_W7,18,188.0,-76.2314,42.7005,1522.0,2022-04-27,0.01,36.371428571428574,46.05714285714286,55.714285714285715,7.42,81.4,12.0,4.4,2.2,0.0,100.0,0.0,0.0,19.3,7.16,3141.0,250.0,281.0,329.0,99.0,14.1,805.0,85.8,581.3,5877.5,510.1,42.70051,-76.23137,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
68,DEG_STR_1,18,34.0,-76.0836,42.7053,1650.0,2022-04-27,0.01,35.128571428571426,44.94285714285714,54.714285714285715,6.18,74.6,13.8,1.1,1.3,9.2,90.8,1.08,6.33,11.7,6.99,1746.0,57.0,196.0,49.0,35.0,1.8,1036.0,3.0,87.3,3120.6,355.7,42.70534,-76.08362,Medium,NY126,NY,0.08,19.4,0.3,1.0,0.66,52.7,3.1,4.0,15.4,28.2,0.0,4.0
70,GAB_ALL,18,28.0,-73.6809,42.9236,141.0,2022-04-27,0.038571428571428576,40.98571428571428,50.300000000000004,59.628571428571426,2.13,66.5,17.0,2.0,2.6,12.0,88.0,0.8,6.4,6.7,6.83,891.0,31.0,138.0,52.0,40.0,1.7,640.0,1.0,93.7,1431.6,249.6,42.92364,-73.68089,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0
71,GAB_DEL,18,19.0,-73.6403,42.8402,397.0,2022-04-27,0.04142857142857143,40.31428571428571,49.74285714285714,59.18571428571429,3.43,55.3,6.1,4.3,2.3,32.0,68.0,2.04,6.09,6.4,6.21,707.0,39.0,47.0,107.0,34.0,3.4,1048.0,1.0,190.7,1066.8,84.4,42.84021,-73.64027,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
72,GAB_ELL,18,18.0,-73.73439999999998,42.4526,207.0,2022-04-27,0.041428571428571426,41.5,50.6,59.699999999999996,3.79,71.6,15.5,4.9,1.6,6.4,93.6,0.8,6.4,12.6,6.95,1804.0,175.0,237.0,242.0,47.0,3.8,785.0,46.0,427.7,3235.2,430.5,42.45262,-73.73445,Medium,NY138,NY,0.16,30.8,0.41,1.0,0.38,66.7,3.2,4.3,8.0,34.4,0.0,4.0
73,GAB_HER,18,7.0,-73.5821,42.6842,587.0,2022-04-27,0.05714285714285715,39.34285714285714,49.01428571428572,58.68571428571429,4.84,72.1,13.7,3.4,1.8,9.0,91.0,1.16,6.31,12.9,6.8,1866.0,124.0,216.0,171.0,53.0,3.6,977.0,17.8,303.5,3357.7,391.5,42.68417,-73.58209,Medium,NY156,NY,0.09,9.0,0.29,0.6,0.65,54.1,3.0,3.3,10.9,27.1,0.0,4.0
74,GAB_JON,18,4.0,-73.9738,42.2253,390.0,2022-04-27,0.04857142857142858,39.114285714285714,49.48571428571428,59.91428571428571,4.27,62.7,13.6,5.3,0.9,17.5,82.5,1.8,6.15,10.3,6.39,1292.0,116.0,171.0,212.0,22.0,3.7,856.0,18.7,375.1,2223.3,309.1,42.2253378,-73.973843,Low,NY099,NY,0.08,13.2,0.25,0.6,6.52,60.1,1.8,3.5,3.5,19.9,0.1,3.3
75,GAB_KUK,18,87.0,-73.812,42.06080000000001,364.0,2022-04-27,0.04428571428571428,38.042857142857144,48.57142857142857,59.114285714285714,4.43,64.0,15.1,5.7,1.5,13.8,86.2,1.36,6.26,9.9,6.8,1265.0,218.0,181.0,219.0,34.0,6.6,1153.0,16.7,388.1,2170.0,327.8,42.06082,-73.81201,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
76,GAB_OOM,18,58.0,-73.6753,42.4575,328.0,2022-04-27,0.058571428571428566,40.94285714285714,50.4,59.82857142857143,5.75,78.0,17.3,3.2,1.5,0.0,100.0,0.0,0.0,10.8,7.05,1681.0,135.0,226.0,134.0,38.0,3.4,918.0,22.1,237.1,2992.1,410.8,42.45754,-73.67534,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
77,GAB_PET,18,8.0,-73.9922,42.7244,354.0,2022-04-27,0.02428571428571429,40.48571428571428,49.614285714285714,58.75714285714286,3.14,61.7,17.0,2.5,0.8,18.0,82.0,1.64,6.19,9.1,6.41,1125.0,41.0,188.0,90.0,17.0,1.3,805.0,1.0,159.2,1893.3,341.7,42.72436,-73.99218,Medium,NY125,NY,0.09,11.5,0.27,0.8,3.17,64.4,2.1,3.1,11.6,21.9,0.0,4.0
79,GAB_STO,18,44.0,-73.7972,42.12,223.0,2022-04-27,0.04857142857142858,39.05714285714286,49.628571428571426,60.185714285714276,3.13,71.7,14.0,4.5,1.6,8.2,91.8,0.76,6.41,9.2,6.94,1324.0,36.0,156.0,164.0,34.0,3.5,880.0,1.0,289.8,2286.6,283.5,42.11997,-73.79717,Medium,NY149,NY,0.08,3.7,0.22,0.3,11.68,59.3,1.5,2.5,6.2,24.7,0.1,3.6
80,GORHAM,18,24.0,-77.14109999999998,42.7854,955.0,2022-04-27,0.055714285714285716,38.771428571428565,48.74285714285714,58.714285714285715,19.37,93.6,4.3,1.9,0.2,0.0,100.0,0.0,0.0,52.8,7.2,9891.0,102.0,277.0,388.0,29.0,11.7,155.0,142.5,685.7,19217.4,503.6,42.785364,-77.141098,High,NY140,NY,0.12,9.8,0.28,1.0,4.56,70.6,2.6,4.4,3.2,20.5,0.2,4.0
81,MIL_CHA,18,16.0,-75.4589,43.0444,1076.0,2022-04-27,0.024285714285714282,36.457142857142856,46.128571428571426,55.771428571428565,4.74,74.6,23.0,2.0,0.4,0.0,100.0,0.0,0.0,16.8,7.18,2508.0,25.0,469.0,130.0,17.0,7.8,787.0,1.0,231.1,4626.5,851.4,43.044444,-75.458889,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0
83,MIL_YOD,18,27.0,-75.5253,42.9869,1319.0,2022-04-27,0.02,35.3,45.4,55.51428571428572,3.64,68.4,19.1,5.3,0.8,6.4,93.6,0.76,6.41,11.8,6.86,1624.0,94.0,275.0,247.0,21.0,6.6,803.0,17.9,437.4,2879.5,499.4,42.986944,-75.525278,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
84,MUL_LET,18,57.0,-77.7032,42.9404,600.0,2022-04-27,0.12285714285714287,36.94285714285714,48.4,59.84285714285714,3.24,74.2,19.2,4.0,2.5,0.0,100.0,0.0,0.0,12.8,7.4,1900.0,63.0,299.0,202.0,74.0,5.7,618.0,17.7,357.8,3424.9,542.2,42.9403986,-77.7031553,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
95,POW_LET,18,75.0,-77.7812,42.6184,938.0,2022-04-27,0.14714285714285716,37.9,49.457142857142856,61.028571428571425,4.56,50.2,24.1,3.9,3.8,18.1,81.9,2.0,6.1,11.1,6.23,1113.0,22.0,324.0,170.0,97.0,1.2,943.0,1.0,300.7,1869.6,588.4,42.618402,-77.78118,High,NY131,NY,0.13,29.6,0.32,1.0,0.41,62.0,3.1,4.8,3.9,31.8,0.1,4.0
96,SEA_HOO_1,18,66.0,-77.0162,42.6254,971.0,2022-04-27,0.015714285714285715,39.68571428571429,49.57142857142857,59.457142857142856,2.62,61.3,12.8,3.3,0.0,22.6,77.4,1.72,6.17,7.6,6.19,935.0,93.0,119.0,97.0,0.0,2.4,776.0,15.3,172.3,1517.4,214.7,42.625396,-77.01625,High,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
97,SMI_CAN,18,4.0,-75.0528,42.8769,1535.0,2022-04-27,0.032857142857142856,34.2,44.528571428571425,54.82857142857143,6.1,93.8,4.3,0.9,1.0,0.0,100.0,0.0,0.0,22.9,7.44,4305.0,42.0,119.0,80.0,52.0,6.4,687.0,13.6,141.6,8177.9,216.0,42.876864,-75.052777,Medium,NY128,NY,0.12,19.2,0.31,1.0,0.66,67.7,2.1,3.6,8.3,23.9,0.0,4.0
98,SMI_CRO,18,13.0,-74.6694,42.8433,883.0,2022-04-27,0.017142857142857144,36.82857142857143,47.128571428571426,57.4,6.13,72.5,9.1,1.2,0.8,16.4,83.6,2.8,5.9,17.1,5.88,2484.0,25.0,189.0,82.0,30.0,1.7,1096.0,1.0,146.5,4579.1,343.5,42.843286,-74.669392,High,NY080,NY,0.15,39.7,0.32,3.5,0.28,63.6,4.0,6.3,1.0,43.1,0.9,4.0
99,SMI_DOU,18,19.0,-74.838,43.0496,702.0,2022-04-27,0.02,37.371428571428574,47.01428571428572,56.614285714285714,4.52,65.3,14.2,1.0,1.2,18.3,81.7,2.12,6.07,11.6,6.22,1516.0,21.0,200.0,47.0,32.0,1.6,1048.0,1.0,83.6,2666.0,362.2,43.049569,-74.837951,Medium,NY158,NY,0.12,14.4,0.28,1.1,0.95,39.1,2.7,2.9,11.6,27.4,0.0,4.0
100,SMI_DUR,18,89.0,-75.9367,43.064,417.0,2022-04-27,0.011428571428571429,38.34285714285714,48.25714285714286,58.15714285714286,7.55,68.4,26.6,3.5,1.5,0.0,100.0,0.0,0.0,18.7,7.2,2560.0,24.0,604.0,256.0,66.0,7.7,556.0,1.5,452.2,4729.3,1097.6,43.064027,-75.936687,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3.0,3.4,3.9,28.4,0.0,4.0
101,SMI_HOF,18,3.0,-75.7095,42.3533,1152.0,2022-04-27,0.02,34.957142857142856,46.5,57.971428571428575,4.22,72.7,11.7,2.7,2.0,11.0,89.0,1.36,6.26,12.4,6.71,1808.0,244.0,177.0,129.0,57.0,6.8,819.0,62.7,228.3,3243.1,320.4,42.353305,-75.709457,Medium,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
103,SMI_JOH_1,18,24.0,-75.5907,43.0036,837.0,2022-04-27,0.017142857142857144,37.528571428571425,47.15714285714286,56.8,3.41,75.1,20.3,2.8,1.9,0.0,100.0,0.0,0.0,14.2,7.48,2135.0,131.0,350.0,155.0,61.0,2.9,687.0,44.0,274.2,3889.4,635.3,43.003637,-75.590703,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
104,SMI_JOH_2,18,24.0,-75.6769,43.0751,502.0,2022-04-27,0.017142857142857144,38.07142857142857,47.98571428571428,57.885714285714286,4.71,84.0,11.2,3.4,1.4,0.0,100.0,0.0,0.0,19.2,7.3,3237.0,375.0,261.0,259.0,62.0,17.1,420.0,269.9,458.9,6067.2,473.4,43.075096,-75.676876,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3.0,3.4,3.9,28.4,0.0,4.0
106,SMI_MCC,18,20.0,-74.8486,43.1183,1250.0,2022-04-27,0.030000000000000002,34.05714285714286,43.957142857142856,53.885714285714286,4.87,76.7,13.8,3.3,2.0,4.2,95.8,0.6,6.45,14.2,6.95,2176.0,46.0,238.0,184.0,64.0,4.4,1200.0,2.9,325.4,3970.4,431.4,43.118349,-74.84857,Medium,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3.0,3.4,3.9,28.4,0.0,4.0
107,STA_CRA,18,60.0,-77.2705,43.1884,456.0,2022-04-27,0.1142857142857143,39.07142857142857,49.042857142857144,59.028571428571425,5.23,72.0,15.6,3.4,2.0,6.9,93.1,1.0,6.35,14.4,6.89,2084.0,196.0,275.0,193.0,67.0,10.5,952.0,37.2,342.4,3788.6,498.9,43.188409,-77.270544,High,NY142,NY,0.12,26.9,0.29,1.5,0.8,30.1,3.0,3.4,3.9,28.4,0.0,4.0
108,STA_LOT,18,21.0,-76.8054,42.8806,486.0,2022-04-27,0.04,38.971428571428575,49.05714285714286,59.128571428571426,3.57,70.5,16.2,3.0,1.3,9.0,91.0,1.2,6.3,13.3,6.7,1876.0,60.0,261.0,155.0,40.0,2.5,970.0,5.0,275.5,3377.5,474.1,42.880592,-76.805378,High,NY075,NY,0.14,40.7,0.33,0.7,0.34,63.4,3.1,4.0,5.4,33.7,0.0,3.9
109,STA_PAD,18,81.0,-77.3402,43.0301,538.0,2022-04-27,0.1542857142857143,39.58571428571429,49.857142857142854,60.128571428571426,6.61,72.0,19.0,5.0,1.4,2.6,97.4,0.56,6.46,21.9,6.95,3160.0,695.0,506.0,430.0,71.0,22.9,633.0,351.6,760.0,5915.0,920.0,43.030113,-77.340206,High,NY134,NY,0.08,11.3,0.25,0.8,7.45,66.1,1.7,3.3,5.2,23.9,0.1,3.4
