,record_id,week,count,longitude_x,latitude_x,elevation,date,rain_inches,min_temp_f,ave_temp_f,max_temp_f,latitude_y,longitude_y,cover_crop,manure,planting_date,planting_week,planting_relative_week
13,SMI_DUR,18,89.0,-75.9367,43.064,417.0,2022-04-27,0.011428571428571429,38.34285714285714,48.25714285714286,58.15714285714286,43.064027,-75.936687,Yes,Yes,2022-05-16,21.0,-3.0
14,SMI_JOH_2,18,24.0,-75.6769,43.0751,502.0,2022-04-27,0.017142857142857144,38.07142857142857,47.98571428571428,57.885714285714286,43.075096,-75.676876,No,No,2022-05-11,20.0,-2.0
15,SMI_MCC,18,20.0,-74.8486,43.1183,1250.0,2022-04-27,0.030000000000000002,34.05714285714286,43.957142857142856,53.885714285714286,43.118349,-74.84857,No,No,2022-05-16,21.0,-3.0
16,STA_PAD,18,81.0,-77.3402,43.0301,538.0,2022-04-27,0.1542857142857143,39.58571428571429,49.857142857142854,60.128571428571426,43.030113,-77.340206,No,No,2022-05-05,19.0,-1.0
17,SMI_DOU,19,98.0,-74.838,43.0496,702.0,2022-05-04,0.13857142857142857,42.699999999999996,52.32857142857143,62.0,43.049569,-74.837951,Yes,No,2022-05-09,20.0,-1.0
18,SMI_HOF,19,37.0,-75.7095,42.3533,1152.0,2022-05-04,0.07428571428571429,41.714285714285715,51.971428571428575,62.24285714285714,42.353305,-75.709457,No,No,2022-05-17,21.0,-2.0
20,GAB_PET,20,13.0,-73.9922,42.7244,354.0,2022-05-11,0.0,43.92857142857143,59.57142857142857,75.2,42.72436,-73.99218,No,No,2022-05-12,20.0,0.0
21,SMI_CRO,20,44.0,-74.6694,42.8433,883.0,2022-05-11,0.0,41.31428571428571,57.5,73.65714285714286,42.843286,-74.669392,No,No,2022-05-16,21.0,-1.0
22,WIS_COO_2,20,226.0,-73.6142,41.879,991.0,2022-05-11,0.0,44.871428571428574,56.971428571428575,69.1,41.878961,-73.61421,Yes,Yes,2022-05-18,21.0,-1.0
23,DEG_EVA_PGREEN,21,15.0,-76.162,42.5151,1706.0,2022-05-18,0.1285714285714286,50.457142857142856,59.314285714285724,68.2,42.51512,-76.16202,No,Yes,2022-05-13,20.0,1.0
24,EPN_TRIAL,21,526.0,-74.0859,41.7624,266.0,2022-05-18,0.2571428571428572,53.31428571428571,64.10000000000001,74.91428571428571,41.762379,-74.0858832,Yes,No ,2022-04-25,18.0,3.0
25,GAB_ELL,21,42.0,-73.73439999999998,42.4526,207.0,2022-05-18,0.23285714285714285,53.32857142857143,64.5,75.64285714285714,42.45262,-73.73445,No,No,2022-05-21,21.0,0.0
26,GAB_HER,21,13.0,-73.5821,42.6842,587.0,2022-05-18,0.24857142857142858,52.08571428571429,63.05714285714286,74.04285714285713,42.68417,-73.58209,Yes,Yes,2022-05-24,22.0,-1.0
27,GAB_JON,21,24.0,-73.9738,42.2253,390.0,2022-05-18,0.19142857142857145,52.51428571428572,63.871428571428574,75.27142857142857,42.2253378,-73.973843,No,No,2022-05-13,20.0,1.0
28,MUL_LET,21,114.0,-77.7032,42.9404,600.0,2022-05-18,0.06142857142857143,51.08571428571429,61.32857142857143,71.54285714285713,42.9403986,-77.7031553,Yes,Yes,2022-06-01,23.0,-2.0
29,SMI_CAN,21,48.0,-75.0528,42.8769,1535.0,2022-05-18,0.33999999999999997,47.285714285714285,58.128571428571426,68.97142857142858,42.876864,-75.052777,No,Yes,2022-05-16,21.0,0.0
30,SMI_HOL,21,13.0,-74.2779,42.9042,374.0,2022-05-18,0.14142857142857143,52.528571428571425,62.871428571428574,73.2,42.904205,-74.277909,Yes,No,2022-05-23,22.0,-1.0
31,WIS_BRU,21,17.0,-74.0827,41.8085,220.0,2022-05-18,0.25142857142857145,53.628571428571426,64.3,74.97142857142856,41.808489,-74.08269,Yes,No,2022-05-26,22.0,-1.0
34,DEG_FES_OVO4,22,227.0,-76.29779999999998,42.839800000000004,1434.0,2022-05-25,0.08,52.32857142857143,62.74285714285715,73.12857142857142,42.83983,-76.29781,No,Yes,2022-05-17,21.0,1.0
36,GAB_OOM,22,151.0,-73.6753,42.4575,328.0,2022-05-25,0.08142857142857143,56.371428571428574,67.91428571428571,79.48571428571428,42.45754,-73.67534,No,Yes,2022-05-05,19.0,3.0
37,GAB_STO,22,411.0,-73.7972,42.12,223.0,2022-05-25,0.0642857142857143,55.58571428571429,67.32857142857144,79.11428571428571,42.11997,-73.79717,No,Yes,2022-05-12,20.0,2.0
38,PAN_LET,22,90.0,-78.04370000000002,42.6198,1329.0,2022-05-25,0.21142857142857144,51.44285714285714,62.300000000000004,73.17142857142858,42.6198187,-78.0437066,Yes,Yes,2022-05-11,20.0,2.0
39,POV_DUN,22,22.0,-76.399,42.3874,1194.0,2022-05-25,0.14285714285714285,52.17142857142857,63.04285714285714,73.91428571428571,42.3873813,-76.3989841,No,No,2022-06-08,24.0,-2.0
40,SEA_HOO_1,22,234.0,-77.0162,42.6254,971.0,2022-05-25,0.2785714285714286,53.92857142857143,64.89999999999999,75.85714285714286,42.625396,-77.01625,Yes,Yes,2022-04-30,18.0,4.0
42,STA_LOT,22,46.0,-76.8054,42.8806,486.0,2022-05-25,0.29000000000000004,53.614285714285714,64.61428571428571,75.6,42.880592,-76.805378,Yes,No,2022-05-12,20.0,2.0
44,WIS_COO_1,22,22.0,-73.6065,41.8431,879.0,2022-05-25,0.1742857142857143,53.44285714285714,64.77142857142857,76.08571428571429,41.843114,-73.606481,No,No,2022-05-04,19.0,3.0
45,WIS_KEN,22,124.0,-73.9567,41.6658,197.0,2022-05-25,0.1542857142857143,57.01428571428572,67.5,78.01428571428572,41.665776,-73.956651,Yes,No,2022-05-26,22.0,0.0
60,SMI_KEL,26,15.0,-74.6595,42.9599,653.0,2022-06-22,0.28285714285714286,51.65714285714286,61.4,71.18571428571428,42.959892,-74.659539,Yes,Yes,2022-06-27,27.0,-1.0
