,Unnamed: 0,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
10,10,SMI_HOL,245,0,11,0,0,0,0,0,1,129,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,1,0,0,41,2,24,0,78,2,0,0,0,0,0,0,0,3555,386,69,78,24,0
11,11,DIP_PAT,313,0,19,0,0,0,72,1,0,38,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,243,2,2,0,44,25,0,0,0,0,0,0,0,3970,443,274,44,4,0
12,12,MIL_YOD,94,0,42,0,0,0,89,0,0,180,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,309,0,1,0,53,0,0,0,0,0,0,0,0,3995,406,310,53,0,0
13,13,MIL_CHA,286,0,118,0,0,0,1,0,0,212,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,11,9,0,0,51,0,1,0,69,3,1,0,0,0,0,0,0,4096,617,56,69,69,0
14,14,MIL_MCC,121,0,336,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,172,15,37,0,37,73,1,0,0,0,0,0,0,4068,469,298,37,4,0
15,15,KAT_SAU,186,12,7,0,0,0,5,1,0,42,181,0,0,0,0,0,0,0,0,0,0,3,0,0,0,24,5,1,1,0,186,8,49,0,87,0,0,0,0,0,0,0,0,3658,256,243,87,31,0
16,16,KAT_SAU_2,140,12,6,0,0,0,124,0,3,16,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,2,0,0,67,4,21,0,139,1,0,0,0,0,0,0,0,3610,301,93,139,59,0
17,17,KAT_TEE,180,0,1,0,0,0,0,0,0,13,56,0,0,0,0,0,0,0,1,0,0,2,0,0,0,49,12,5,0,0,279,4,51,0,119,31,1,0,0,0,0,0,0,3940,196,366,119,66,0
18,18,KAT_TEE_2,213,0,5,0,0,0,0,0,2,17,123,0,0,0,0,0,0,0,1,0,0,1,0,0,0,27,0,1,0,0,249,13,72,0,77,3,0,0,0,0,0,0,0,3808,238,337,77,28,0
19,19,KAT_HAB_2,327,0,19,0,0,0,7,0,2,9,135,0,23,0,1,1,0,0,0,0,0,4,0,0,0,43,7,4,4,2,59,20,37,0,98,5,0,0,0,0,0,0,0,3807,393,123,98,60,0
20,20,KAT_HAB,333,0,11,0,0,0,0,0,0,7,108,0,2,0,0,0,1,0,0,0,0,20,0,0,0,62,14,1,1,0,113,0,31,0,89,9,0,0,0,0,0,0,0,3834,374,153,89,78,0
21,21,KAT_BAR,280,0,5,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,30,45,42,39,2,0,103,1,89,0,133,12,2,0,0,0,0,0,0,4009,290,207,133,128,30
22,22,SMI_LAT,108,0,0,0,0,0,3,0,40,249,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,19,3,0,0,185,0,4,0,90,5,0,0,0,0,0,0,0,4018,400,194,90,88,0
23,23,SMI_DUR,106,5,8,0,0,0,8,0,0,162,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,15,6,0,0,187,12,10,5,110,95,1,0,0,0,0,0,0,4008,289,310,110,60,0
24,24,SMI_HOF,59,0,3,0,0,0,0,0,0,73,21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,30,1,0,0,241,49,125,3,58,68,1,0,0,0,0,0,0,4006,135,487,58,67,32
25,25,SMI_JOH,181,0,67,0,0,0,0,0,0,93,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,12,5,0,161,3,1,1,149,46,0,0,0,0,0,0,0,4005,341,212,149,62,0
26,26,SMI_JOH_2,302,0,2,0,0,0,0,0,2,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,33,10,6,0,0,205,17,11,2,92,40,3,0,0,0,0,0,0,4077,330,278,92,49,50
27,27,GAB_ALL,4,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,1,1,0,0,0,0,0,9,58,82,31,9,0,162,10,107,1,118,203,4,0,0,0,0,0,0,4094,8,487,118,180,9
28,28,KAT_JEF,61,0,0,0,0,0,1,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,2,3,0,176,65,133,0,162,5,1,0,0,0,0,0,0,3754,62,380,162,42,0
29,29,KAT_JEF_2,87,0,14,0,0,0,0,0,0,22,163,0,2,0,0,0,1,0,0,0,0,0,1,0,1,32,18,5,2,0,123,10,27,0,186,72,34,0,0,0,0,0,0,3732,127,266,186,57,1
30,30,STA_WIL,193,0,4,0,0,0,5,0,0,213,18,0,1,0,0,0,0,0,0,0,0,0,1,0,1,79,11,6,0,0,68,0,14,0,126,33,0,0,38,0,0,0,0,4079,455,115,126,96,1
31,31,STA_HEM_2,304,0,28,0,0,0,7,0,2,231,6,0,0,0,0,0,3,0,3,0,4,3,0,0,0,22,18,11,0,0,47,0,7,0,76,38,0,0,0,0,1,0,1,4104,584,92,76,51,0
32,32,STA_HEM,279,0,71,0,0,0,0,0,0,11,12,0,0,0,0,0,1,0,2,0,0,56,0,0,3,52,9,8,1,0,93,1,17,0,148,43,2,0,0,0,0,0,0,4081,418,156,148,70,3
33,33,STA_SWE,283,0,0,0,0,1,1,0,0,220,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52,21,3,0,0,38,0,1,3,125,23,5,0,0,0,0,0,0,4042,505,70,125,76,6
34,34,STA_COL,357,0,108,7,0,0,31,0,0,128,12,0,13,0,0,0,0,0,1,0,2,1,0,0,0,24,26,0,0,0,16,0,6,0,73,7,0,0,1,0,0,0,0,4107,648,29,73,50,0
35,35,WIS_COO_2,213,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,3,0,0,0,0,0,3,19,42,14,0,0,236,4,10,0,106,107,0,0,0,0,0,0,0,4004,232,357,106,75,3
36,36,WIS_COO,235,0,29,0,0,1,0,0,0,151,18,0,0,0,0,0,0,0,1,0,6,0,0,0,0,19,3,0,0,0,67,0,4,3,248,8,0,0,0,0,0,0,0,3999,422,82,248,22,0
37,37,LET_NOB,367,0,22,5,0,0,3,0,4,146,13,0,24,1,0,0,0,0,1,0,1,0,0,0,1,34,9,11,7,1,81,0,1,0,70,5,0,0,0,0,0,0,0,4083,573,88,70,62,1
38,38,LET_TAB,247,0,0,0,0,0,0,0,0,192,4,0,1,0,0,23,0,0,0,0,0,0,0,0,0,68,4,3,0,0,183,2,39,0,31,6,0,1,0,0,0,0,0,4088,464,230,31,75,0
39,39,WIS_HIG,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,1,1,23,0,0,0,3,62,66,81,16,1,381,0,1,0,114,41,2,0,0,0,0,0,0,4077,29,426,114,226,3
40,40,WIS_MEG,38,0,0,67,6,2,5,11,0,16,19,0,0,0,0,1,0,0,2,0,5,0,0,0,14,66,120,50,3,2,145,2,2,0,217,10,0,0,0,0,0,0,0,4057,151,161,217,241,14
41,41,WIS_KEN,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,3,63,0,0,4,43,89,102,62,19,0,195,2,12,2,150,25,12,0,0,0,0,0,0,4026,74,248,150,272,43
42,42,ZUE_REE,75,0,174,3,0,0,127,1,0,31,26,0,4,0,0,0,0,0,3,0,2,8,0,0,0,32,11,4,0,0,117,0,14,0,145,13,0,0,0,0,0,0,19,4071,444,144,145,47,0
43,43,DEG_PER_STRIP,193,1,58,0,0,0,126,0,1,88,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,1,2,0,79,0,4,1,148,1,0,0,0,0,0,0,0,3986,468,85,148,43,0
44,44,DEG_FOU_WOOD,340,0,2,0,0,0,1,0,0,62,136,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55,24,0,0,0,21,0,1,1,155,2,0,0,0,0,0,1,0,3831,408,25,155,79,0
45,45,DEG_DIE_HILL,295,0,7,0,0,0,32,13,9,62,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,2,0,0,89,3,3,1,175,1,0,0,0,0,0,0,0,3977,418,97,175,49,0
46,46,DEG_DIE_SWC,154,0,162,42,1,0,2,0,1,25,52,0,0,0,0,0,0,0,0,0,0,0,1,0,2,34,26,3,0,0,56,10,22,0,175,34,2,0,0,0,0,0,0,4008,388,124,175,63,2
47,47,DEG_YOU_BOCES,259,0,4,0,0,0,0,0,0,21,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,61,22,11,0,27,0,0,0,333,2,0,0,0,0,0,0,0,4046,285,29,333,126,0
48,48,DEG_YOU_OSHEA,236,0,185,0,0,0,0,0,0,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16,11,1,0,135,2,14,0,31,4,4,0,0,1,0,0,0,4057,518,159,31,65,0
49,49,DEG_YOU_JONES,197,0,2,2,0,0,0,0,3,78,78,0,0,0,0,0,0,0,0,0,0,1,0,1,4,26,60,11,3,0,120,10,16,3,181,9,0,0,0,0,0,0,0,3967,284,158,181,100,4
50,50,DEG_VIL,446,0,19,4,0,0,2,0,1,10,15,0,0,0,0,0,0,0,0,0,0,0,1,0,23,43,46,15,0,0,51,0,5,7,101,17,0,0,0,0,0,0,0,4100,483,80,101,104,23
51,51,SEA_HOO,102,0,122,1,0,0,212,0,1,106,11,0,6,1,0,0,10,4,4,0,0,11,0,0,0,44,9,6,0,0,90,0,6,1,35,24,0,1,0,0,0,0,2,4117,579,121,35,59,0
52,52,MIL_HUM,376,0,124,0,0,0,3,22,1,90,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,27,18,13,0,60,0,1,0,34,1,0,0,0,0,0,0,0,4123,618,62,34,82,0
53,53,ONE_TER,161,0,7,0,0,0,0,0,0,180,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,77,92,49,0,0,0,0,0,175,0,0,0,0,0,0,0,0,4242,348,0,175,291,0
54,54,ONE_ADO,26,0,0,0,0,0,0,0,0,6,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,0,0,535,19,5,1,59,39,0,0,0,0,0,0,0,4081,32,599,59,47,0
55,55,ONE_STA,629,1,2,0,0,0,1,0,6,18,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,38,16,8,4,3,50,0,1,0,35,9,0,0,0,0,0,0,0,4319,670,63,35,69,0
