Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
SMI_HOL,4124,0,972,0,0,1,0,3,0,0,0,1,0,0,2900,5725,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,3,0,0,0,646,946,495,146,15,23,2937,605,2600,24,2286,1330,51,0,0,0,0,0,0,7,0,0,0,25853,8013,7570,2286,1625,646,0.309944687,0.292809345,0.088423007,0.062855375,0.024987429,0.159517271,0.037597184,2000
DIP_PAT,8832,2,2912,1,21,0,0,1894,0,0,4,1,0,0,4376,859,0,0,18,3,0,0,0,0,2,0,15,0,17,0,0,3,8,0,0,2,411,673,273,102,12,2965,21,71,23,1771,527,23,5,0,0,0,0,1,4,2,2,0,25856,18106,3642,1771,1471,2,0.700262995,0.140857054,0.06849474,0.056892017,7.74E-05,0.341584158,0.112623762,2000
MIL_YOD,3245,2,1794,0,0,0,0,235,0,0,1,52,0,0,4318,1347,0,0,10,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,3,957,194,85,10,4,7317,244,233,49,5079,521,20,63,0,0,0,0,121,0,0,0,0,25933,9861,8388,5079,1250,3,0.380249103,0.323448888,0.195850846,0.048201134,0.000115683,0.125130143,0.069178267,2000
MIL_CHA,9225,0,1986,0,6,0,0,191,0,0,2,22,3,0,3804,470,0,0,16,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,982,206,114,10,4,5897,128,181,11,2551,120,1,23,3,0,0,0,0,0,0,0,0,25961,15282,6342,2551,1316,0,0.588652209,0.244289511,0.098262779,0.050691422,0,0.355340703,0.076499364,2000
MIL_MCC,6208,0,1053,0,0,4,0,287,0,0,0,6,0,0,1590,1040,2,0,363,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,53,1312,984,566,108,13,5800,391,665,57,4155,1136,64,0,0,0,0,0,0,0,1,0,0,25871,9515,8126,4155,2983,53,0.367786324,0.314096865,0.160604538,0.115302849,0.002048626,0.239959801,0.040701944,2000
KAT_SAU,2017,1,41,0,0,0,0,95,0,0,52,3,0,0,427,4252,0,0,129,2,0,0,0,0,2,0,18,1,7,0,0,0,0,0,0,4,1284,118,44,8,0,10578,730,2008,16,3310,14,7,1,0,0,0,0,0,0,0,0,0,25169,2789,13353,3310,1454,4,0.110810918,0.530533593,0.131510986,0.057769478,0.000158926,0.080138265,0.001628988,2000
KAT_SAU_2,3434,4,206,0,3,2,0,68,0,0,10,25,0,0,434,5193,0,0,156,2,0,0,0,0,8,0,36,1,7,0,0,0,4,0,0,4,1285,127,54,8,3,8293,549,1224,5,3990,18,6,1,0,0,0,0,6,0,0,0,0,25166,4400,10098,3990,1477,4,0.174839069,0.401255662,0.158547246,0.058690296,0.000158945,0.136453946,0.008185647,2000
KAT_TEE,2314,0,82,0,0,0,0,4,0,0,0,35,0,0,510,1381,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,4,0,2,0,29,965,149,93,5,0,12049,948,3571,16,2705,449,57,0,0,0,0,0,0,0,2,0,0,25389,2956,17090,2705,1212,29,0.116428374,0.673126157,0.106542203,0.047737209,0.001142227,0.091141833,0.003229745,2000
KAT_TEE_2,2254,0,113,0,2,0,0,119,0,0,0,112,0,0,869,1708,0,0,5,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,50,926,148,62,1,5,11257,1120,4400,13,1931,258,28,0,0,0,0,0,0,0,0,0,0,25400,3481,17081,1931,1142,50,0.137047244,0.672480315,0.076023622,0.04496063,0.001968504,0.088740157,0.004448819,2000
KAT_HAB_2,4396,0,339,0,3,0,0,262,0,0,0,39,0,0,1209,4505,0,0,27,8,0,0,2,0,20,0,1,0,455,0,0,4,22,1,0,1,1102,160,97,21,10,5133,1671,3052,4,2467,529,19,8,0,0,0,0,0,0,0,0,0,25567,6341,10418,2467,1390,1,0.248015019,0.40747839,0.096491571,0.054366957,3.91E-05,0.171940392,0.01325928,2000
KAT_HAB,4450,3,1142,0,9,0,0,4,0,0,0,11,0,0,397,2134,0,0,6,5,0,0,0,0,1,0,8,0,175,0,0,2,117,0,0,20,2959,743,185,47,8,5492,653,3506,6,2935,476,29,0,0,0,0,0,0,0,4,0,1,25528,6160,10170,2935,3942,20,0.241303667,0.398386086,0.114971796,0.154418678,0.000783453,0.174318395,0.044735193,2000
KAT_BAR,2382,3,239,0,0,1,0,25,0,0,6,15,0,0,343,1026,0,0,25,22,0,0,0,0,0,0,11,0,0,0,0,0,29,0,0,515,1063,474,355,14,33,10190,416,5188,23,2421,240,94,0,3,0,0,0,0,0,0,0,0,25156,3104,16184,2421,1939,515,0.123390046,0.643345524,0.096239466,0.077079027,0.020472253,0.09468914,0.009500716,2000
SMI_LAT,5131,2,218,0,1,2,0,93,0,0,2,107,0,3,4773,1413,0,0,9,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,181,1445,479,165,21,7,5292,328,541,13,4069,1314,58,2,0,0,0,0,0,0,0,0,0,25677,10348,7553,4069,2117,181,0.403006582,0.294154302,0.158468668,0.082447326,0.00704911,0.19982864,0.008490088,2000
SMI_DUR,2096,0,293,0,4,0,0,666,0,0,23,3,0,2,1168,1008,3,0,6,0,0,4,0,0,0,0,12,0,61,0,0,2,1,146,0,370,1623,631,252,36,54,7889,435,273,123,5071,3562,163,13,0,0,0,0,0,0,1,2,0,25996,4445,12499,5071,2596,370,0.170987844,0.480804739,0.195068472,0.099861517,0.014232959,0.080627789,0.011270965,2000
SMI_HOF,3200,1,74,0,2,0,0,165,0,0,22,5,0,0,835,827,3,0,9,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,504,955,414,53,7,123,8099,507,4144,35,4591,667,137,8,0,0,0,0,0,0,0,0,0,25401,4334,13712,4591,1552,504,0.170623204,0.539821267,0.180740916,0.061099957,0.019841739,0.125979292,0.002913271,2000
SMI_JOH,3611,0,920,0,0,3,0,270,0,0,7,0,0,0,2324,1854,0,0,1,0,0,0,0,0,0,0,17,2,4,0,0,0,1,3,0,18,1384,601,180,19,6,6674,558,658,33,6243,530,9,11,0,0,0,0,0,0,0,0,0,25941,7170,8468,6243,2190,18,0.276396438,0.32643306,0.240661501,0.084422343,0.000693882,0.139200493,0.035465094,2000
SMI_JOH_2,1690,0,850,0,0,4,68,883,0,0,1,144,0,0,1950,578,0,0,647,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,242,1562,1086,461,248,38,8755,735,384,56,4826,748,28,1,0,0,0,0,0,0,0,0,0,25996,6238,10744,4826,3395,242,0.239959994,0.413294353,0.185643945,0.130597015,0.009309124,0.065010002,0.032697338,2000
GAB_ALL,577,121,10,0,0,0,0,2,0,0,5,0,0,0,345,311,0,0,0,0,0,0,0,0,0,0,6,9,21,0,0,0,0,0,0,2664,2036,2089,1725,626,38,4225,657,5396,51,1787,3071,95,2,0,0,0,0,0,0,0,0,0,25869,1077,13533,1787,6514,2664,0.041632842,0.5231358,0.06907882,0.251807182,0.102980401,0.022304689,0.000386563,2000
KAT_JEF,1528,0,31,0,0,0,0,7,0,0,0,16,0,0,222,4383,4,0,132,0,0,0,0,0,4,0,5,0,23,0,2,1,3,3,0,17,786,448,165,25,13,5465,799,2796,3,4939,3333,167,0,0,0,0,0,0,0,0,0,0,25320,1958,12576,4939,1437,17,0.077330174,0.496682464,0.195063191,0.056753555,0.000671406,0.060347551,0.001224329,2000
KAT_JEF_2,2207,0,26,0,0,0,0,2,0,0,0,0,0,0,228,2872,0,0,72,0,0,0,0,0,0,0,13,0,2,0,0,2,14,0,0,44,466,230,73,7,9,5420,552,2835,3,2350,7455,453,0,0,0,0,0,0,0,0,0,0,25335,2564,16727,2350,785,44,0.101203868,0.660232879,0.092757055,0.030984804,0.001736728,0.08711269,0.001026248,2000
STA_WIL,4533,2,1081,0,1,0,0,381,2,0,1,18,0,0,6827,576,1,0,75,0,0,0,2,0,0,0,0,0,8,0,0,16,3,2,0,12,1302,223,85,6,0,3774,29,266,14,2493,1898,22,175,0,0,0,0,2124,0,0,0,0,25952,15244,6003,2493,1616,12,0.587392109,0.231311652,0.096061961,0.062268804,0.000462392,0.174668619,0.041653822,2000
STA_HEM_2,5223,2,751,0,47,5,3,2670,0,0,85,42,0,0,3671,697,7,0,581,5,0,0,4,0,18,0,3,0,5,0,2,17,66,0,0,50,916,407,219,117,530,3514,7,222,10,2648,2147,67,7,6,2,76,0,0,6,0,968,0,25823,14267,6497,2648,2189,50,0.552491965,0.251597413,0.102544244,0.084769392,0.001936258,0.20226155,0.029082601,2000
STA_HEM,6970,0,2445,0,5,0,0,500,0,0,11,18,0,0,4436,500,0,0,138,6,0,0,2,0,9,0,17,0,2,0,0,12,144,28,3,115,1181,428,108,23,34,3990,71,332,5,2455,1296,98,1,0,2,1,0,23,0,0,456,0,25865,15227,5826,2455,1774,115,0.588710613,0.225246472,0.09491591,0.068586893,0.004446163,0.269476126,0.094529287,2000
STA_SWE,3357,4,741,0,14,0,0,1082,0,0,98,19,0,2,4232,380,0,7,265,2,1,17,2,8,28,0,13,0,22,0,0,5,0,6,0,18,1127,280,39,4,0,9365,77,684,29,2704,1005,99,4,0,0,8,5,9,0,0,2,0,25764,9931,11259,2704,1450,18,0.385460332,0.437005123,0.104952647,0.056280081,0.000698649,0.13029809,0.028761062,2000
STA_COL,3716,4,1206,0,414,0,0,679,0,0,17,64,0,0,2639,267,0,0,452,63,0,2,8,2,775,0,2,0,30,0,1,73,3,54,0,44,1563,959,357,29,5,4734,143,619,14,5105,1576,40,0,56,0,57,0,19,1,0,294,0,26086,10601,7131,5105,2913,44,0.406386568,0.273365023,0.195698842,0.111669095,0.001686729,0.14245189,0.046231695,2000
WIS_COO_2,1497,1,915,0,0,0,0,0,0,0,31,4,0,0,1164,1204,0,0,0,0,0,5,1,0,0,0,13,0,822,0,0,27,0,0,0,70,600,659,192,52,11,11448,208,372,22,3663,1941,69,1,0,0,0,0,0,3,0,0,0,24995,3662,14071,3663,1514,70,0.146509302,0.562952591,0.14654931,0.060572114,0.00280056,0.059891978,0.036607321,2000
WIS_COO,3131,0,861,0,2,0,0,55,0,0,31,1,0,0,1726,2035,0,0,0,0,0,2,0,0,0,0,21,0,266,0,0,50,0,0,3,182,579,504,80,18,3,8352,131,438,28,5577,928,21,3,0,0,0,0,0,0,0,0,0,25028,5886,9901,5577,1184,182,0.235176602,0.395596931,0.22283043,0.047307016,0.007271856,0.125099888,0.03440147,2000
LET_NOB,9853,3,1268,0,661,0,0,1006,0,0,0,1,0,2,4837,371,0,0,129,1,0,0,0,0,9,0,0,0,8,0,0,3,0,0,0,19,959,177,95,21,15,4105,5,225,2,1516,508,12,1,2,0,2,0,2,0,0,0,0,25818,17780,4872,1516,1267,19,0.688666822,0.188705554,0.058718723,0.049074289,0.000735921,0.381632969,0.049113022,2000
LET_TAB,6894,3,135,0,7,0,0,42,0,0,0,3,0,0,9556,214,0,0,136,3,0,0,3,0,19,0,1,0,7,0,0,1,3,1,0,24,1191,174,44,32,11,3928,266,1426,8,825,113,5,540,0,0,5,0,19,0,0,0,0,25639,17371,5757,825,1452,24,0.677522524,0.224540739,0.032177542,0.056632474,0.000936074,0.268887242,0.005265416,2000
WIS_HIG,50,0,13,0,0,0,0,0,0,0,4,0,0,0,50,131,0,0,0,0,0,16,0,0,0,0,0,2,880,0,12,298,0,5,0,254,1185,1263,1091,402,79,14807,176,722,16,1837,1578,53,0,0,0,0,0,0,1,0,0,0,24925,451,17431,1837,4020,254,0.018094283,0.699338014,0.073701103,0.161283852,0.010190572,0.002006018,0.000521565,2000
WIS_MEG,1466,10,249,0,145,28,0,8,0,0,243,43,4,0,193,1290,1,0,0,0,0,2,2,0,12,4,1,0,209,0,0,64,0,0,0,203,1973,3221,1852,399,29,7048,117,293,31,4885,1058,26,0,0,0,0,0,0,13,2,0,0,25124,2490,8602,4885,7474,203,0.099108422,0.342381786,0.194435599,0.297484477,0.008079924,0.058350581,0.009910842,2000
WIS_KEN,100,0,17,0,7,0,0,0,0,0,9,5,0,0,66,128,0,0,0,0,0,80,2,0,0,0,2,1,359,0,1,373,0,0,0,5701,1448,1841,1647,1022,42,6997,20,105,21,3911,581,375,0,0,0,0,0,0,0,0,0,0,24861,663,8141,3911,6000,5701,0.026668276,0.327460681,0.15731467,0.241341861,0.229314991,0.004022364,0.000683802,2000
ZUE_REE,3920,0,2593,0,21,0,0,1429,0,0,8,52,0,267,1024,274,1,0,280,2,0,2,0,0,0,0,18,2,6,2,3,507,156,3,0,8136,566,553,110,6,7,3113,11,289,26,1549,362,42,4,1,0,0,2,0,0,2,407,0,25756,10706,3850,1549,1242,8136,0.415670135,0.149479733,0.060141326,0.048221774,0.31588756,0.152197546,0.100675571,2000
DEG_PER_STRIP,3136,2,561,0,5,0,0,287,0,0,0,15,0,0,2552,1433,1,0,6,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,1,906,422,61,6,9,11268,273,934,27,3386,328,20,0,0,0,0,0,0,8,3,0,0,25664,6587,12859,3386,1404,1,0.25666303,0.501052057,0.131935786,0.054706983,3.90E-05,0.122194514,0.021859414,2000
DEG_FOU_WOOD,6550,0,163,0,1,0,0,128,0,0,75,3,0,0,3375,3134,0,0,8,0,0,0,0,0,0,0,24,0,10,0,0,0,0,16,1,5,1093,631,131,7,4,4718,292,590,14,4095,491,25,3,0,0,0,0,0,1,0,0,0,25588,10348,6134,4095,1866,5,0.404408316,0.239721745,0.160035954,0.072924809,0.000195404,0.255979365,0.006370174,2000
DEG_DIE_HILL,2516,5,170,0,33,2,1,24,0,0,4,1,0,3,1337,1378,3,0,8,1,0,2,4,0,0,0,41,0,26,0,0,3,3,2,0,1065,1315,2943,2639,997,206,5373,199,483,36,4220,434,108,7,1,0,0,0,9,0,0,0,0,25602,4180,6839,4220,8100,1065,0.163268495,0.267127568,0.164830873,0.316381533,0.041598313,0.098273572,0.006640106,2000
DEG_DIE_SWC,3929,0,153,4,2,8,0,104,0,0,4,4,2,0,922,1572,0,0,5,0,0,0,0,0,2,0,2,0,17,0,0,0,2,7,0,46,1205,517,155,36,27,10285,460,901,38,4547,634,38,9,0,0,0,0,0,0,3,0,0,25640,5162,12383,4547,1940,46,0.201326053,0.482956318,0.177340094,0.075663027,0.001794072,0.153237129,0.005967239,2000
DEG_YOU_BOCES,3064,5,159,0,2,0,0,6,0,0,5,14,0,0,2124,943,1,0,0,0,0,0,0,0,0,0,17,0,16,0,0,6,3,9,0,68,1853,2993,2243,533,40,5847,225,678,32,4098,587,42,5,0,0,0,0,0,0,0,0,0,25618,5420,7451,4098,7662,68,0.21156999,0.290850183,0.159965649,0.29908658,0.002654384,0.119603404,0.006206574,2000
DEG_YOU_OSHEA,4520,2,100,0,0,0,0,2,0,0,8,14,0,0,2064,838,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,4,0,506,2221,3156,1255,187,1,6848,240,519,27,2336,722,60,0,0,0,0,0,0,1,0,0,0,25641,6717,8417,2336,6820,506,0.261963262,0.328263328,0.091104091,0.265980266,0.01973402,0.176280176,0.003900004,2000
DEG_YOU_JONES,3440,13,167,0,10,0,0,185,0,0,0,129,0,0,2929,2447,0,0,7,1,0,2,0,0,1,0,11,0,33,0,0,2,0,4,0,1024,1004,1127,247,36,67,7369,89,344,72,4193,529,87,5,0,0,0,0,97,0,0,0,0,25671,7003,8557,4193,2481,1024,0.272798099,0.333333333,0.16333606,0.096646021,0.039889369,0.13400335,0.006505395,2000
DEG_VIL,3986,7,182,0,10,0,0,156,0,0,0,123,0,0,2950,1669,0,0,7,1,0,2,0,0,1,0,16,0,28,0,0,5,0,6,0,722,798,1167,267,36,11,7895,221,787,59,3953,440,57,4,0,0,0,0,107,0,0,0,0,25673,7563,9470,3953,2279,722,0.294589647,0.368870019,0.153974993,0.088770303,0.028122931,0.15526039,0.00708916,2000
SEA_HOO,5453,3,4369,0,12,3,0,3094,0,0,27,41,0,0,3754,718,11,0,56,8,0,0,0,0,2,0,546,1,0,0,0,6,240,2,0,32,1170,364,115,18,1,2926,86,264,5,1880,356,23,26,6,0,0,0,6,0,0,0,0,25624,17666,3661,1880,1668,32,0.689431783,0.142873868,0.073368717,0.065095223,0.001248829,0.212808305,0.170504215,2000
MIL_HUM,3497,0,2543,4,0,178,0,1502,0,0,4,14,0,0,1410,676,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2121,1496,180,30,1,6774,418,556,14,3677,324,5,0,0,0,0,0,0,0,0,0,0,25980,9704,8092,3677,3828,4,0.373518091,0.311470362,0.141531948,0.147344111,0.000153965,0.134603541,0.097882987,2000
ONE_TER,2471,0,40,0,0,0,0,2,0,0,2,3,0,0,1415,2170,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,677,2390,3037,2309,797,43,4222,597,122,28,5173,1710,112,0,0,0,0,0,0,0,0,0,0,27353,3937,6834,5173,8576,677,0.143933024,0.249844624,0.189120023,0.313530509,0.024750484,0.09033744,0.001462362,2000
ONE_ADO,1846,0,201,0,0,0,0,10,0,0,8,0,0,0,2186,1038,0,0,4,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,44,2770,278,159,46,75,11230,1765,310,85,2826,2462,40,4,0,0,0,0,7,0,0,0,0,27409,4271,15967,2826,3328,44,0.155824729,0.582545879,0.10310482,0.121419972,0.001605312,0.06735014,0.007333358,2000
ONE_STA,8640,0,23,0,0,0,0,0,0,0,2,1,0,0,2199,1467,0,0,0,3,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,16,994,502,244,135,40,7664,466,250,39,2108,2681,36,0,0,0,0,0,0,0,0,0,0,27527,10874,11176,2108,1915,16,0.395030334,0.40600138,0.076579358,0.06956806,0.000581248,0.313873651,0.000835543,2000
