,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
16,KAT_SAU_2,3420,0,135,0,4,37,0,168,2,174,0,0,343,4719,0,0,426,3,0,0,0,0,1,0,0,0,8,0,13,0,0,0,5,2,0,2,1304,127,54,8,2,8360,481,1245,15,4066,35,3,4,0,0,0,0,0,0,0,0,0,75501.0,9451,10141,4066,1495,0.0,0.12517714997152354,0.13431610177348643,0.05385359134316102,0.019801062237586257,0.0,0.04529741327929431,0.0017880557873405651,2000
17,KAT_TEE,1888,0,234,0,0,0,0,10,0,0,0,0,525,1612,0,0,0,0,0,0,0,0,0,0,0,0,6,0,33,0,0,6,2,2,0,22,971,149,93,5,0,11601,1058,3824,3,2760,533,50,0,0,0,0,0,0,0,0,2,0,76129.0,4287,17069,2760,1218,0.0,0.05631231199674237,0.2242115356828541,0.03625425265010705,0.01599915932167768,0.0,0.02480001050847903,0.003073730115987337,2000
18,KAT_TEE_2,2013,0,19,0,2,0,0,10,0,2,0,0,998,2010,0,0,1,2,0,0,0,0,0,0,0,0,3,0,162,0,0,0,2,2,0,50,925,150,62,1,4,10983,1139,4622,2,1937,264,29,0,2,0,0,2,0,0,0,0,2,76010.0,5070,17043,1937,1142,0.0,0.06670174976976713,0.22422049730298646,0.02548348901460334,0.015024338902775951,0.0,0.026483357452966715,0.0002499671095908433,2000
19,KAT_HAB_2,6102,0,631,0,3,0,0,13,0,2,0,0,867,3566,0,0,37,15,0,0,0,0,0,0,0,0,10,0,72,0,0,8,56,0,0,12,1116,162,97,21,10,4974,1757,3134,7,2392,463,28,0,0,0,0,2,0,0,0,0,10,76646.0,11322,10373,2392,1406,0.0,0.14771808052605484,0.1353364820081935,0.031208412702554603,0.01834407535944472,0.0,0.079612765180179,0.008232654019779245,2000
20,KAT_HAB,3900,0,1999,0,0,0,0,14,0,4,0,0,150,2019,3,6,134,0,0,0,0,0,6,0,0,0,24,0,45,0,0,0,171,1,1,20,2972,743,185,47,12,5489,574,3568,8,2939,456,21,13,0,0,0,0,0,0,0,4,0,76551.0,8449,10128,2939,3959,0.0,0.1103708638685321,0.13230395422659402,0.03839270551658371,0.0517171558830061,0.0,0.050946427871615005,0.026113310080861124,2000
21,KAT_BAR,2127,0,332,0,0,0,0,51,0,4,0,0,313,726,1,0,217,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,27,11,0,516,1069,475,355,14,34,9814,344,5574,5,2806,259,64,0,0,0,0,0,0,0,0,0,0,74999.0,3819,16094,2806,1947,0.0,0.050920678942385895,0.21458952786037147,0.037413832184429126,0.025960346137948506,0.0,0.028360378138375178,0.004426725689675863,2000
22,SMI_LAT,5190,2,385,0,0,0,0,17,8,12,0,0,4642,1306,0,0,71,0,0,0,0,0,0,0,0,0,12,0,30,0,0,0,0,0,0,180,1433,479,165,21,11,5081,268,689,9,4341,1302,23,0,0,0,0,0,0,0,0,0,0,76854.0,11645,7383,4341,2109,0.0,0.15152106591719364,0.09606526660941525,0.056483722382699664,0.027441642595050355,0.0,0.06753064251698025,0.005009498529679652,2000
23,SMI_DUR,2793,2,364,0,8,0,0,49,8,10,0,0,1181,935,0,0,3,0,0,4,0,0,0,0,0,0,5,0,95,0,0,27,2,54,0,364,1635,638,252,36,63,7583,467,252,124,5186,3754,91,10,0,0,0,0,0,0,0,1,0,77615.0,5456,12334,5186,2624,0.0,0.07029569026605682,0.1589125813309283,0.06681698125362366,0.03380789795786897,0.0,0.03598531211750306,0.004689815113058043,2000
24,SMI_HOF,2836,3,157,0,0,0,1,8,3,206,0,0,924,781,0,0,9,0,0,1,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,524,976,414,53,7,110,7969,502,4366,8,4946,492,92,0,0,0,0,0,0,0,0,0,0,75805.0,4934,13539,4946,1560,0.0,0.06508805487764659,0.17860299452542708,0.06524635578128092,0.020579117472462237,0.0,0.03741178022557879,0.0020711034892157507,2000
25,SMI_JOH,3773,0,641,0,2,0,0,40,3,0,0,0,2561,1798,0,0,23,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,5,6,0,19,1403,605,180,19,4,6521,439,788,20,6435,630,8,0,0,0,0,0,0,1,0,0,0,77819.0,8856,8410,6435,2211,0.0,0.11380254179570543,0.10807129364294067,0.08269188758529408,0.028412084452383093,0.0,0.0484843033192408,0.00823706292807669,2000
26,SMI_JOH_2,1851,3,1080,0,2,1,0,981,2,125,0,0,1697,952,0,0,18,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,252,1581,1088,461,248,39,8435,631,518,48,4968,921,48,6,0,0,0,0,0,0,0,0,0,77761.0,6718,10640,4968,3417,0.0,0.08639292190172451,0.13682951608132612,0.06388806728308535,0.043942336132508586,0.0,0.023803706228057768,0.013888710278931599,2000
27,GAB_ALL,603,1,192,0,2,0,0,0,2,5,0,0,239,309,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,0,0,0,0,0,0,2645,2036,2089,1725,626,56,5233,291,5128,46,2210,2329,78,0,0,0,0,0,0,0,2,0,0,75038.0,1370,13161,2210,6532,0.0,0.018257416242437166,0.17539113515818652,0.02945174444947893,0.08704922839094859,0.0,0.008035928462912125,0.002558703590180975,2000
28,KAT_JEF,1481,0,33,0,2,0,0,64,1,0,0,0,122,4478,0,0,0,3,0,0,0,0,0,0,0,0,57,0,50,0,2,0,7,0,0,17,786,449,165,25,2,5481,860,2627,4,4958,3467,178,0,1,0,0,0,0,0,0,0,0,75923.0,6251,12619,4958,1427,0.0,0.08233341675118212,0.166207868498347,0.0653030043596802,0.018795358455277057,0.0,0.019506605376499876,0.00043465089630283314,2000
29,KAT_JEF_2,1910,0,27,0,0,0,0,0,0,0,0,0,249,2965,0,0,1,0,0,0,0,0,0,0,0,0,59,0,26,0,0,2,17,0,0,43,472,236,76,7,1,5357,577,2647,0,2566,7602,493,0,0,0,0,0,0,2,0,0,0,75966.0,5232,16677,2566,792,0.0,0.06887291683121397,0.2195324223994945,0.03377826922570624,0.010425716768027803,0.0,0.02514282705420846,0.0003554221625464023,2000
30,STA_WIL,7559,2,758,0,0,0,0,1036,0,2,0,0,5435,625,0,0,25,2,0,0,0,0,0,0,0,0,7,0,56,0,0,19,13,2,0,18,1326,230,85,6,5,3617,27,319,5,2541,1987,13,4,0,0,0,0,2,222,0,0,4,77817.0,15717,5973,2541,1652,0.0,0.20197386175257334,0.07675700682370176,0.03265353328964108,0.02122929437012478,0.0,0.09713815747201768,0.009740802138350232,2000
31,STA_HEM_2,5553,0,1337,3,23,0,0,1662,56,11,0,4,4294,698,0,0,347,9,0,0,2,0,3,0,0,0,44,0,332,0,0,11,67,0,4,47,922,412,219,117,508,3409,16,268,8,2704,2214,65,5,0,1,0,0,0,0,0,0,448,77629.0,14582,6488,2704,2178,0.0,0.18784217238403175,0.08357701374486338,0.034832343582939365,0.02805652526761906,0.0,0.07153254582694611,0.01722294503342823,2000
32,STA_HEM,7798,5,2099,0,7,3,0,409,34,9,0,1,3583,517,0,0,81,4,25,0,2,0,0,0,0,0,24,0,294,0,0,8,209,28,4,91,1198,430,108,23,47,3654,43,401,4,2417,1660,46,0,0,0,0,0,0,109,0,0,490,77289.0,15449,5855,2417,1806,0.0,0.19988614162429325,0.07575463520035193,0.031272237964005224,0.02336684392345612,0.0,0.10089404701833378,0.02715781029641993,2000
33,STA_SWE,5338,10,1020,0,20,0,0,346,2,6,0,0,3320,316,5,6,34,9,0,19,3,0,4,0,0,0,5,0,85,0,0,6,5,12,0,19,1150,299,37,4,0,9277,63,515,91,2385,1111,211,6,2,0,0,15,2,4,0,0,2,77221.0,10517,11268,2385,1490,0.0,0.13619352248740627,0.14591885626966758,0.03088538091969801,0.01929526942153041,0.0,0.06912627394102641,0.013208842154336256,2000
34,STA_COL,3702,0,1338,0,281,0,0,1882,2,5,0,0,2334,229,0,4,562,16,0,4,2,7,140,0,0,0,11,0,91,0,5,64,7,15,0,48,1563,959,357,29,18,4381,115,816,10,5106,1744,42,6,0,0,0,33,0,9,0,0,149,78171.0,10807,7126,5106,2926,0.0,0.13824819946015787,0.09115912550690154,0.06531834056107763,0.03743076076805977,0.0,0.04735771577695053,0.01711632190965959,2000
35,WIS_COO_2,1940,0,490,0,7,0,0,0,3,13,0,0,922,823,0,0,0,0,0,2,1,0,0,0,0,0,1,0,509,0,0,9,0,0,0,73,600,664,195,52,10,11317,248,380,30,4598,2071,37,0,0,0,0,0,0,0,0,0,0,74448.0,4211,14093,4598,1521,0.0,0.056562970126799915,0.18929991403395657,0.0617612293144208,0.02043036750483559,0.0,0.02605845690952074,0.006581775198796476,2000
36,WIS_COO,2332,0,1045,2,4,15,0,455,6,17,0,0,1280,1399,0,0,0,0,0,0,0,0,0,0,0,0,4,0,213,0,0,35,0,0,3,169,579,506,80,18,1,8409,154,458,13,6773,1021,35,0,0,0,0,0,0,0,2,0,0,74739.0,6599,10091,6773,1184,0.0,0.08829392954147099,0.13501652417078097,0.09062203133571496,0.015841796117154364,0.0,0.031201916001016874,0.013981990660833032,2000
37,LET_NOB,9339,0,2549,0,28,0,0,399,0,5,0,0,5100,253,0,2,426,4,0,0,0,3,17,0,0,0,1,0,20,0,0,3,0,3,0,20,971,177,95,21,34,4113,2,219,7,1429,556,13,0,0,0,0,0,0,5,0,2,2,77485.0,18141,4944,1429,1298,0.0,0.2341227334322772,0.06380589791572562,0.018442279150803383,0.016751629347615666,0.0,0.120526553526489,0.03289668968187391,2000
38,LET_TAB,8384,0,180,0,8,0,0,447,0,6,0,0,8189,243,1,0,30,10,0,0,12,0,9,0,0,0,7,0,36,0,1,1,0,3,0,20,1242,176,44,32,14,3924,287,1408,13,754,142,4,1,0,0,0,0,0,5,0,0,6,76913.0,17543,5792,754,1508,0.0,0.22808887964323327,0.07530586506832396,0.00980328423023416,0.01960656846046832,0.0,0.10900627982265677,0.0023403065801620012,2000
39,WIS_HIG,51,0,9,0,6,1,0,2,0,2,0,0,43,67,0,0,0,0,0,11,0,0,0,0,0,0,2,2,241,0,13,413,0,2,0,268,1185,1263,1091,402,66,14663,340,544,13,2285,1890,50,0,0,0,0,0,0,0,0,0,0,74371.0,624,17566,2285,4007,0.0,0.008390367213026583,0.23619421548721947,0.03072434147718869,0.05387852792082935,0.0,0.000685751166449288,0.00012101491172634495,2000
40,WIS_MEG,1006,2,612,0,201,86,0,7,19,43,0,0,236,1027,0,0,0,0,0,2,0,0,12,0,4,0,1,2,93,0,0,62,0,0,1,202,1973,3221,1852,399,19,6968,142,274,7,5518,1110,19,0,0,0,0,0,0,0,2,2,0,75136.0,3327,8539,5518,7464,0.0,0.04427970613287904,0.11364725298126065,0.07344016183986371,0.09933986371379898,0.0,0.013389054514480409,0.008145229982964224,2000
41,WIS_KEN,131,2,22,1,12,10,0,2,1,8,0,0,33,84,0,2,0,0,0,71,0,0,0,2,0,0,2,2,139,0,2,1170,0,0,3,5689,1448,1841,1649,1022,36,6861,18,141,25,3400,649,383,0,0,0,0,0,0,0,0,0,0,68832.0,1560,8113,3400,5996,0.0,0.022663877266387727,0.11786668991166899,0.04939562993956299,0.08711064621106462,0.0,0.0019031845653184566,0.0003196187819618782,2000
42,ZUE_REE,2321,0,4406,0,17,0,0,1561,2,124,0,182,954,293,0,0,10,0,0,0,1,0,1,0,0,0,19,0,53,5,0,463,177,3,0,8151,582,554,110,6,6,3115,11,250,4,1681,374,42,0,0,0,0,0,0,0,2,2,274,69112.0,10817,3802,1681,1258,0.0,0.15651406412779256,0.055012154184512094,0.02432283829146892,0.01820233823359185,0.0,0.0335831693483042,0.06375159161940039,2000
43,DEG_PER_STRIP,3535,5,538,0,3,0,3,182,2,22,0,0,2014,1572,0,0,3,2,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,1,926,428,61,6,3,11213,282,841,19,3570,370,7,0,0,0,0,0,0,35,0,6,0,77028.0,7928,12735,3570,1424,0.0,0.10292361219296879,0.1653294905748559,0.04634678298800436,0.018486784026587735,0.0,0.04589240276263177,0.006984473178584411,2000
44,DEG_FOU_WOOD,6913,0,175,0,3,0,0,8,1,0,0,0,2944,3297,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,6,10,2,3,1105,644,131,7,9,4447,336,613,27,4461,399,26,3,0,0,0,0,0,0,0,4,0,76814.0,13380,5857,4461,1896,0.0,0.1741869971619757,0.07624912125393808,0.058075350847501754,0.024683000494701488,0.0,0.0899966152003541,0.002278230530892806,2000
45,DEG_DIE_HILL,1987,9,554,0,34,0,0,25,4,12,0,0,1185,1655,0,0,2,0,0,0,3,0,0,0,0,0,14,0,19,0,0,1,3,2,2,1049,1332,2943,2639,997,239,5229,228,415,47,4436,433,83,7,0,0,3,0,0,0,0,11,0,76022.0,5513,6674,4436,8150,0.0,0.07251848149219962,0.08779037646996922,0.05835152982031517,0.10720580884480808,0.0,0.026137170818973456,0.007287364184051985,2000
46,DEG_DIE_SWC,3583,0,691,0,14,3,0,21,3,29,0,0,840,1496,0,0,11,0,0,0,0,0,0,0,0,0,5,0,6,0,0,4,4,2,0,36,1210,524,155,36,29,10198,423,881,27,4836,538,32,0,0,0,0,0,0,0,0,3,0,76953.0,6709,12128,4836,1954,0.0,0.08718308577963173,0.15760269255259704,0.06284355385754942,0.025392122464361365,0.0,0.04656088781464011,0.008979506971787975,2000
47,DEG_YOU_BOCES,2519,0,448,0,2,0,0,36,0,44,0,0,2007,1232,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,5,8,2,51,1884,2998,2243,533,47,5770,243,589,32,4313,536,41,4,0,0,0,0,0,0,0,11,0,76880.0,6321,7258,4313,7705,0.0,0.08221904266389178,0.09440686784599375,0.05610041623309053,0.10022112382934444,0.0,0.03276534859521332,0.005827263267429761,2000
48,DEG_YOU_OSHEA,3630,2,753,0,0,0,0,28,0,33,0,0,2062,992,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,504,2271,3156,1255,187,1,6722,237,527,30,2536,653,41,2,0,0,0,0,0,0,1,0,0,76455.0,7508,8211,2536,6870,0.0,0.09820155647112681,0.10739650774965666,0.03316983846707213,0.08985677849715519,0.0,0.04747890916225231,0.009848930743574652,2000
49,DEG_YOU_JONES,3885,12,256,0,17,10,0,20,0,212,0,0,2295,2422,0,0,8,0,0,0,0,0,0,0,0,0,10,0,26,0,0,1,0,4,3,1011,1023,1127,247,36,81,7271,79,379,13,4573,458,81,1,0,0,0,0,101,3,0,6,0,76106.0,9266,8362,4573,2514,0.0,0.12175124168922292,0.10987307176832313,0.06008724673481723,0.03303287520037842,0.0,0.05104722360917668,0.0033637295351220666,2000
50,DEG_VIL,4452,6,264,0,17,10,0,18,2,212,0,0,2267,1653,0,0,8,0,0,0,0,0,0,0,0,0,11,0,27,0,0,1,0,4,3,710,809,1167,267,36,25,7715,232,803,16,4318,442,48,1,0,0,0,0,101,24,0,4,0,76357.0,9058,9281,4318,2304,0.0,0.11862697591576411,0.12154746781565541,0.05655015257278311,0.030174050840132534,0.0,0.05830506698796443,0.003457443325431853,2000
51,SEA_HOO,6268,0,2995,0,8,2,0,3298,6,23,0,1,3751,804,2,4,56,8,3,0,0,0,0,0,0,0,745,8,31,0,0,6,283,5,0,35,1227,372,115,18,3,2740,74,331,0,1904,452,28,7,0,0,0,0,0,0,2,0,9,76860.0,18294,3628,1904,1735,0.0,0.23801717408274786,0.04720270621909966,0.02477231329690346,0.02257351027842831,0.0,0.08155087171480614,0.03896695290137913,2000
52,MIL_HUM,4813,0,2321,0,0,0,0,988,0,0,0,0,1339,628,5,0,331,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2127,1496,180,30,0,6445,351,665,15,3805,431,3,1,0,0,0,0,0,0,0,0,0,77986.0,10426,7910,3805,3833,0.0,0.1336906624265894,0.10142846151873414,0.048790808606672995,0.04914984740850922,0.0,0.06171620547277717,0.02976175210935296,2000
53,ONE_TER,2386,25,77,0,0,2,0,1,36,4,0,0,1600,1392,0,0,1,0,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0,666,2390,3037,2309,797,32,4067,605,130,30,5737,1863,69,0,0,0,0,0,0,0,0,0,0,81382.0,5525,6796,5737,8565,0.0,0.06788970534024723,0.08350740950087243,0.07049470398859699,0.1052444029392249,0.0,0.029318522523408126,0.0009461551694477894,2000
54,ONE_ADO,1956,3,72,0,1,8,0,4,2,23,0,0,950,1983,0,0,1,0,0,0,0,0,0,0,0,5,3,0,124,0,0,0,2,0,0,40,2772,278,159,46,84,11171,1757,298,66,2967,2557,64,13,0,0,0,0,0,0,0,0,0,82201.0,5026,15997,2967,3339,0.0,0.061142808481648644,0.19460833809807668,0.03609445140570066,0.04061994379630418,0.0,0.02379533095704432,0.0008759017530200363,2000
55,ONE_STA,9008,1,22,0,0,0,0,0,0,6,0,0,1916,1340,11,0,5,0,0,0,0,0,0,0,0,3,3,0,29,0,0,0,0,0,0,15,1059,480,244,135,33,7202,502,305,42,2130,2982,54,0,0,0,0,0,0,0,0,0,0,82625.0,12315,11120,2130,1951,0.0,0.14904689863842663,0.1345839636913767,0.02577912254160363,0.02361270801815431,0.0,0.10902269288956128,0.0002662632375189107,2000
