"Site_ID_and_buffer","Site_ID","buffer_scale","Corn","OpenWater","SweetCorn","Developed/OpenSpace","Developed/LowIntensity","Developed/MedIntensity","Developed/HighIntensity","Barren","DeciduousForest","EvergreenForest","MixedForest","Shrubland","Grass/Pasture","WoodyWetlands","HerbaceousWetlands","Triticale","Carrots","Barley","Greens","Strawberries","Squash","DblCropWinWht/Corn","Dbl Crop Triticale/Corn","Pumpkins","SpringWheat","WinterWheat","Blueberries","Cabbage","Rye","Oats","Speltz","Alfalfa","OtherHay/NonAlfalfa","Buckwheat","Sorghum","Sugarbeets","DryBeans","Potatoes","OtherCrops","MiscVegs&Fruits","Onions","Soybeans","Cucumbers","Peas","Tomatoes","Hops","Clover/Wildflowers","Sod/GrassSeed","Sunflower","Fallow/IdleCropland","Cherries","Peaches","Apples","Grapes","ChristmasTrees","Pears"
"KAT_TEE_2-500","KAT_TEE_2","500"," 287","   0","  0","  32","   0","   1","  0","  0"," 255"," 17","  81"," 0","  86","   4","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  24","  75","0","0","0","  0","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 0","0","  4","0","0","  0","  1"," 0","0"
"KAT_HAB_2-500","KAT_HAB_2","500"," 392","   0","  2","  46","   9","   5","  4","  2","  57"," 23","  34"," 0","  74","   3","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   4","0","  4"," 0","  1"," 0","  12"," 119","0","0","0","  3","3","0"," 0","0","  57","0"," 0","0","0"," 0"," 0","0","  8","0","0","  1","  2"," 0","0"
"KAT_HAB_1-500","KAT_HAB_1","500"," 214","   0","  0","  76","  12","   2","  1","  1"," 122","  0","  25"," 1","  98","   4","  2","6","0"," 0","0","0"," 0","0","  0"," 0","0","   5","0","  0"," 0","  0"," 0","   8"," 102","0","0","0","  1","0","0"," 0","0"," 167","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0"," 19"," 0","0"
"KAT_BAR-500","KAT_BAR","500"," 284","  25","  0","  51","  44","  42","  3","  5"," 121","  1","  95"," 0"," 131","  13","  3","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","   6","  16","0","0","0"," 19","0","0"," 0","0","   4","0"," 0","0","0"," 2"," 0","0","  0","0","0","  0","  2"," 3","0"
"KAT_JEF_1-500","KAT_JEF_1","500","  29","   0","  0","  31","  13","   2","  2","  0"," 195"," 65"," 139"," 0"," 169","  12","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","   2"," 206","0","0","0","  0","0","0"," 0","0","   4","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  0"," 0","0"
"KAT_JEF_2-500","KAT_JEF_2","500"," 129","   1","  0","  38","  18","   5","  3","  0"," 127","  3","  46"," 0"," 164","  86"," 24","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  35"," 180","0","0","0","  0","0","0"," 0","0","   3","0"," 0","0","0"," 2"," 0","0","  1","0","0","  0","  0"," 0","0"
"STA_WIL_1-500","STA_WIL_1","500"," 113","   1","  0","  84","  14","   5","  0","  0","  70","  0","  10"," 0"," 131","  35","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   4","0","  0"," 0","  0"," 0"," 370","  20","0","0","0","  0","1","0"," 0","0","   5","0"," 0","0","0"," 0"," 0","0","  6","0","0","  0","  0"," 0","0"
"STA_HEM_2-500","STA_HEM_2","500"," 289","   0","  0","  23","  21","  10","  0","  1","  49","  0","  10"," 0","  69","  49","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0"," 183","0"," 18"," 0","  0"," 0"," 117","  10","0","0","0","  1","0","0"," 0","0","   4","0"," 0","0","0"," 3"," 0","0","  6","0","0","  1","  2"," 0","0"
"STA_HEM_1-500","STA_HEM_1","500"," 320","   4","  0","  52","  12","   8","  1","  0"," 111","  0","  13"," 1"," 136","  41","  2","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0"," 35"," 0","  0"," 0","  15","  26","0","0","0","  0","0","0"," 0","0","  25","0"," 0","0","0"," 1"," 0","0","  0","0","0","  0"," 62"," 0","0"
"STA_SWE_1-500","STA_SWE_1","500"," 276","   7","  0","  57","  30","   2","  0","  0","  47","  0","   0"," 5"," 104","  22"," 16","0","0"," 0","0","0"," 1","0","  0"," 0","0","  11","0","  0"," 0","  0"," 0"," 232","  16","0","1","0","  1","0","0"," 0","0","  38","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  1"," 0","0"
"STA_COL_1-500","STA_COL_1","500"," 473","   0","  2","  23","  29","   1","  0","  0","  20","  0","   6"," 0","  65","   5","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","  93","0","  0"," 0","  0"," 0","  37","   8","0","0","0","  0","0","0"," 0","0","  87","0"," 0","0","0"," 3"," 0","0"," 11","0","0","  2","  2"," 0","0"
"DIP_PAT-500","DIP_PAT","500"," 435","   0","  1","   2","   1","   0","  0","  1"," 265","  0","   5"," 1","  19","  31","  4","0","0"," 0","0","0"," 0","0","  0"," 0","0","   1","0","  0"," 0","  0"," 0","  36","  46","0","0","0","  0","0","0"," 0","0","  14","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  0"," 0","0"
"SMI_CRO-500","SMI_CRO","500"," 381","   0","  0","  26","  10","   2","  0","  0","  15","  0","   1"," 0","  89","   1","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   1","0","  0","95","  8"," 0","  11","  42","0","0","0","  0","0","0"," 0","0"," 186","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_CAN-500","SMI_CAN","500"," 120","   5","  0","  35","  35","  32","  9"," 14"," 298","  4","   8"," 5"," 165","  19","  2","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  71","  38","0","0","0","  0","0","0"," 0","0","   7","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_KEL-500","SMI_KEL","500","  53","   0","  0","  48","  11","   2","  0","  0"," 304"," 19","  52"," 0","  70","   5","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  45"," 158","0","0","0","  2","0","0"," 0","0","  97","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  0"," 0","0"
"SMI_COB-500","SMI_COB","500","  30","   1","  0","  66","  87","  58","  2","  1"," 121","  5","  30"," 2"," 179","  34","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  1"," 0"," 205","  36","0","0","0","  0","0","0"," 0","0","   9","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_DOU-500","SMI_DOU","500","  30","   0","  0","  65","  13","   4","  1","  0","  82","  2","   5"," 0"," 190","   0","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  77"," 326","0","0","0","  0","0","0"," 0","0","  71","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_LAT-500","SMI_LAT","500"," 155","   0","  0","  71","  19","   3","  0","  0"," 212","  0","   3"," 0","  90","   1","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0"," 215","  47","0","0","0","  0","0","0"," 0","0","  50","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_MCC-500","SMI_MCC","500"," 169","   0","  0","  22","  19","   5","  1","  0","  49","  0","   1"," 0"," 182","   4","  0","0","0"," 0","0","0"," 0","0","  0"," 1","0","   0","0","  0"," 0"," 74"," 0","  19"," 213","0","0","0","  0","0","0"," 0","0"," 102","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  0"," 0","0"
"SMI_DUR-500","SMI_DUR","500"," 288","   1","  1","  40","  15","   7","  2","  0"," 220"," 12","   7"," 3","  97","  94","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   2","0","  0"," 0","  0"," 0","  21","  41","0","0","0","  0","0","0"," 0","0","   7","0"," 0","0","0"," 0"," 0","0"," 12","0","0","  0","  0"," 0","0"
"SMI_HOL-500","SMI_HOL","500"," 258","   0","  0","  17","   7","   1","  0","  0","  36","  0","  31"," 1","  78","   2","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  2"," 0"," 110"," 309","0","0","0","  3","0","0"," 0","0","  10","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  0"," 0","0"
"SMI_HOF-500","SMI_HOF","500","  66","  26","  0","  38","  34","   2","  0","  0"," 260"," 28"," 160"," 1","  57","  83","  8","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  86","  18","0","0","0","  0","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_JOH_1-500","SMI_JOH_1","500"," 238","   0","  0","  33","  12","  11","  5","  0"," 193","  3","   9"," 0"," 158","  24","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","  17","0","  0"," 0","  0"," 0","  98","  59","0","0","0","  2","0","0"," 0","0","   4","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"SMI_JOH_2-500","SMI_JOH_2","500","  21","  51","  0","  34","  10","   6","  0","  0"," 206"," 15","  22"," 2"," 102","  50","  2","0","0"," 0","0","0"," 0","0","  0"," 0","0"," 259","0","  0"," 0","  0"," 0","  28","  11","0","1","0","  1","0","0"," 0","0","  44","0"," 0","0","0"," 0"," 0","0","  1","0","0","  0","  0"," 0","0"
"LET_NOB-500","LET_NOB","500"," 395","   1","  5","  36","   9","  12","  8","  7","  90","  0","   2"," 0","  55","   3","  0","0","0"," 0","0","0"," 0","0","  1"," 0","0","   3","0","  1"," 0","  1"," 0"," 162","  11","0","0","1","  9","0","0"," 0","0","  40","0","10","0","0"," 0"," 0","0","  5","0","0","  1","  0"," 0","0"
"LET_TAB-500","LET_TAB","500"," 332","   0","  0","  76","   2","   4","  0","  0"," 201","  4","  34"," 0","  32","   5","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0"," 171","   3","1","0","0","  0","0","0"," 0","0","   1","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"WIS_COO_2-500","WIS_COO_2","500","  80","   2","  1","  21","  49","  15","  0","  0"," 244","  2","  17"," 3"," 113"," 129","  2","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  30","  33","0","0","0","  0","0","0"," 0","0"," 119","0"," 0","0","0"," 0"," 0","0","  8","0","0","  0","  0"," 0","0"
"WIS_HIG-500","WIS_HIG","500","   1","   1","  2","  63","  72","  85"," 18","  0"," 405","  1","  11"," 0"," 105","  59","  2","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","   2","   6","0","0","0","  0","0","0"," 1","0","   0","0"," 0","0","0"," 0"," 0","0","  3","0","1"," 27","  0"," 0","0"
"WIS_MEG_1-500","WIS_MEG_1","500","  50","  13"," 41","  67"," 132","  53","  3","  1"," 172","  1","   2"," 0"," 196","  12","  2","0","0"," 7","0","0"," 0","0","  0"," 0","0","   3","0","  0"," 1","  7"," 0","  13","  70","0","1","0","  0","0","0"," 0","0","   9","0"," 2","0","0"," 0"," 0","0","  1","0","0","  7","  0"," 0","0"
"WIS_KEN-500","WIS_KEN","500","   5","  42","  0","  99"," 114","  70"," 22","  1"," 205","  2","  19"," 1"," 157","  31"," 15","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  1"," 0","   1","   2","0","0","0","  0","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 0","0","  3","0","1"," 74","  0"," 0","0"
"WIS_COO_1-500","WIS_COO_1","500","  50","   1","  0","  19","   2","   0","  0","  0","  80","  0","   0"," 0"," 291","  12","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0"," 178","0","  0"," 1","  3"," 0"," 127","  80","0","0","0","  0","0","0"," 0","0","  15","0"," 0","0","0"," 0"," 0","0","  2","0","0","  3","  0"," 0","0"
"DEG_PER_STRIP-500","DEG_PER_STRIP","500"," 168","   0","  0","  35","   7","   1","  1","  0","  92","  0","   0"," 0"," 160","   0","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","  60","2","  0"," 0","  0"," 0"," 165","  55","0","0","0","  0","0","0"," 0","0"," 112","0"," 0","0","0"," 1"," 0","0","  1","0","0","  0","  0"," 0","0"
"DEG_FOU_WOOD-500","DEG_FOU_WOOD","500"," 383","   0","  0","  56","  27","   1","  0","  0","  26","  0","   4"," 0"," 168","   0","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  51"," 141","0","0","0","  0","0","0"," 0","0","   6","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 2","1"
"DEG_DIE_HILL-500","DEG_DIE_HILL","500"," 243","   0","  0","  20","  34","   2","  0","  0","  95","  2","   5"," 0"," 181","   2","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","2","  0"," 0","  0"," 0","  19","  55","0","0","0","  0","0","0"," 0","0"," 202","0"," 0","0","0"," 0"," 0","0","  2","0","0","  0","  0"," 0","0"
"DEG_DIE_SWC-500","DEG_DIE_SWC","500"," 299","   2","  2","  34","  30","   4","  0","  1","  78"," 14","  22"," 2"," 146","  34","  2","0","0"," 2","0","0"," 0","0","  0"," 0","0","   1","0","  0"," 0"," 10"," 0","  42","  45","0","0","0","  0","0","0"," 0","0","  96","0"," 0","0","0"," 2"," 0","0","  0","0","0","  0","  1"," 0","0"
"DEG_YOU_BOCES-500","DEG_YOU_BOCES","500"," 285","   0","  0","  32","  65","  23"," 12","  0","  26","  1","   1"," 1"," 347","   3","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  1"," 0","  37","  30","0","0","0","  0","0","0"," 0","0","   2","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  1"," 0","0"
"DEG_YOU_OSHEA-500","DEG_YOU_OSHEA","500"," 375","   0","  0","  41","  13","  10","  1","  0"," 144","  3","  18"," 0","  25","  11","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0"," 152","  15","0","0","0","  0","0","0"," 0","0","  53","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"DEG_YOU_JONES-500","DEG_YOU_JONES","500"," 211","   3","  1","  30","  66","  12","  3","  1"," 128"," 10","  21"," 1"," 190","   5","  0","0","0"," 1","0","0"," 0","0","  0"," 0","0","   2","0","  0"," 0","  0"," 0","  92","  74","0","0","0","  0","0","0"," 0","0","  17","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","1"
"DEG_VIL-500","DEG_VIL","500"," 443","  22","  0","  43","  47","  20","  0","  2","  70","  0","   3"," 0"," 130","  14","  2","0","0"," 2","0","0"," 0","0","  0"," 0","0","   3","0","  0"," 0"," 15"," 0","  12","  16","0","0","0","  0","0","0"," 0","0","  20","0"," 0","0","0"," 0"," 0","0","  4","0","0","  0","  0"," 1","0"
"ZUE_REE-500","ZUE_REE","500","  51","   0","  6","  36","  10","   5","  0","  0"," 125","  1","  14"," 0"," 145","  10","  0","0","0"," 0","0","0"," 0","0","  0"," 1","0","  99","0","  2"," 1"," 17"," 4","  93","  39","0","0","0","  1","0","0"," 0","1"," 173","0"," 1","0","0"," 1"," 0","0"," 19","0","0","  1"," 10"," 0","0"
"GAB_ALL-500","GAB_ALL","500","   0","   0","  0","   0","   0","   0","  0","  0","   0","  0","   0"," 0","   0","   0","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","   0","   0","0","0","0","  0","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"POV_DUN-1000","POV_DUN","1000","  10","   4","  0"," 317"," 105","  26","  5","  6"," 972"," 16"," 580"," 8"," 915","  97"," 11","2"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   6","1","  0"," 0","  0"," 0","  62"," 314","0","0","0","  0","0"," 0"," 0","0","   2","0"," 0","0","0"," 6"," 0"," 0","  5","0","0","  0","  0"," 1","1"
"DIP_FLE-1000","DIP_FLE","1000","1080","   2"," 14","  45","  82","  12","  3","  0"," 442","  1","  11"," 3"," 402","  35","  3","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   4","0","  0"," 0","  1"," 0"," 985"," 313","0","0","0","  0","0"," 0"," 0","0","  19","0"," 0","0","0"," 5"," 0"," 1","  1","0","0","  0","  0"," 0","0"
"DIP_CUR-1000","DIP_CUR","1000","1205","   0","  0"," 149","  66","  35"," 18","  2"," 488","  7","  68"," 4"," 484","  14","  4","2"," 0"," 1","0"," 0"," 0"," 0","  0"," 0"," 0","   1","0","  0"," 0","  0"," 0"," 375"," 314","0","0","0","  0","0"," 0"," 0","0"," 220","0"," 0","0","0"," 0"," 0"," 0","  5","0","0","  0","  0"," 1","0"
"GAB_STE-1000","GAB_STE","1000"," 359","   0","  0","  42","  39","  16","  5"," 18","1321","512"," 277"," 4"," 413","  53","  3","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 2"," 0","   0","0","  0"," 1","  0"," 0"," 314","  84","0","0","0","  0","0"," 0"," 0","0","   1","0"," 0","0","0"," 1"," 1"," 0","  0","0","0","  0","  0"," 0","0"
"MIL_YOD_1-1000","MIL_YOD_1","1000"," 745","   0","  0"," 131","  17","   6","  1","  1"," 953","  0","   3"," 3"," 627","   4","  3","1"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","  43","0","  0"," 1"," 34"," 0"," 517"," 107","0","4","0","  0","0"," 0"," 0","0"," 254","0"," 0","0","0"," 2"," 0"," 0","  2","0","0","  1","  0"," 1","0"
"MIL_CHA_1-1000","MIL_CHA_1","1000","1480","   0","  1"," 151","  21","  22","  1","  0"," 534","  1","  11"," 1"," 321","   7","  0","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   4","0","  0"," 0","  1"," 0"," 508","  57","0","0","0","  1","0"," 0"," 0","0"," 339","0"," 0","0","0"," 0"," 0"," 0","  3","0","0","  0","  0"," 0","0"
"MIL_MCC_1-1000","MIL_MCC_1","1000"," 891","   0","  0"," 127","  17","   3","  0","  0"," 700"," 38","  49"," 2"," 420"," 274","  2","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","  26","0","  0"," 0","  1"," 0"," 221"," 109","0","0","0","  0","0"," 0"," 0","0"," 582","0"," 0","0","0"," 0"," 0"," 0","  1","0","0","  0","  0"," 0","0"
"KAT_SAU_1-1000","KAT_SAU_1","1000"," 340","   0","  0"," 213","  33","   7","  3","  1","1155"," 79"," 347"," 1"," 481","   7","  0","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   2","0","  0"," 0"," 36"," 0"," 101"," 630","0","0","0","  0","0"," 0"," 0","0","  30","0"," 0","0","0"," 0"," 0"," 0","  0","0","0","  0","  0"," 0","0"
"KAT_SAU_2-1000","KAT_SAU_2","1000"," 632","   1","  0"," 253","  33","  12","  2","  1"," 699"," 36"," 117"," 1"," 572","   7","  0","0"," 0","15","0"," 0"," 0"," 0","  0"," 0"," 0","  86","0","  0"," 0"," 33"," 0","  55"," 771","0","0","0","137","0"," 0"," 0","0","   2","0"," 0","0","0"," 0"," 0"," 0","  0","0","0","  0","  0"," 0","0"
"KAT_TEE_1-1000","KAT_TEE_1","1000"," 565","  11","  0"," 183","  44","  17","  1","  0","1084"," 20"," 263"," 0"," 605"," 158"," 15","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   4","0","  0"," 0","  0"," 0","  93"," 386","0","0","0","  0","0"," 0"," 0","0","   5","0"," 0","0","0"," 0"," 0"," 0"," 10","0","0","  1","  1"," 1","0"
"KAT_TEE_2-1000","KAT_TEE_2","1000"," 407","   0","  0","  58","   2","   1","  0","  0","1395","234"," 926"," 0"," 182","   7","  0","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   0","0","  0"," 0","  0"," 0","  74"," 176","0","0","0","  0","0"," 0"," 0","0","   2","0"," 0","0","0"," 0"," 0"," 0","  4","0","0","  0","  1"," 0","0"
"KAT_HAB_2-1000","KAT_HAB_2","1000","1211","   1","  2"," 151","  26","  11","  6","  2"," 650","120"," 329"," 1"," 278","  22","  1","0"," 0"," 0","0"," 0"," 1"," 0","  0"," 0"," 0","   5","0","  5"," 0","  1"," 0","  61"," 474","0","0","0"," 18","6"," 0"," 0","0","  67","0"," 0","0","0"," 0"," 0"," 0","  9","0","0","  1","  5"," 0","0"
"KAT_HAB_1-1000","KAT_HAB_1","1000"," 676","   0","  0"," 572","  28","   3","  1","  2"," 575"," 52"," 296"," 1"," 420","  35","  3","7"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   6","2","  0"," 0","  0"," 0","  21"," 401","0","0","0","  1","0"," 0"," 0","0"," 324","0"," 0","0","0"," 0"," 0"," 0","  7","0","0","  0"," 33"," 0","0"
"KAT_BAR-1000","KAT_BAR","1000"," 421"," 138","  0"," 187"," 115","  93","  6"," 10"," 766"," 33"," 728"," 0"," 522","  76"," 12","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   0","0","  0"," 0","  1"," 0","  43"," 117","1","0","0","110","0"," 0"," 0","0","  69","0"," 0","0","0"," 3"," 0"," 0","  1","0","0","  0","  9"," 4","0"
"KAT_JEF_1-1000","KAT_JEF_1","1000"," 237","   0","  0"," 125"," 113","  46"," 10","  0"," 695","125"," 437"," 0"," 611"," 163","  2","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   1","0","  0"," 0","  0"," 0","  11"," 852","0","0","0","  0","1"," 0"," 0","0","  10","0"," 0","0","0","20"," 0"," 0","  5","0","0","  0","  0"," 0","0"
"KAT_JEF_2-1000","KAT_JEF_2","1000"," 417","   5","  0","  73","  44","  15","  3","  1"," 655"," 34"," 196"," 0"," 462"," 790","137","0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0"," 0","   0","0","  0"," 0","  0"," 0","  63"," 540","0","0","0","  0","0"," 0"," 0","0","  11","0"," 0","0","0","13"," 0"," 0","  8","0","0","  1","  2"," 0","0"
"STA_WIL_1-1000","STA_WIL_1","1000"," 677","   6","  0"," 170","  24","  13","  0","  3"," 741","  6","  75"," 0"," 378"," 233","  2","0"," 0"," 0","0"," 0"," 0"," 1"," 47"," 0"," 0","  45","0","  0"," 0","  1"," 0"," 905","  81","0","1","0","  0","1"," 0"," 0","0","  42","0"," 0","0","0"," 0"," 0"," 0","  9","0","0","  2","  1"," 0","0"
