,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
10,SMI_HOL,483,0,16,0,0,0,0,4,0,209,576,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,32,14,1,0,0,67,0,58,2,145,4,0,0,0,0,0,0,0,4860.0,1293,131,145,47,0.0,0.2660493827160494,0.026954732510288067,0.029835390946502057,0.009670781893004115,0.0,0.09938271604938272,0.0032921810699588477,500
11,DIP_PAT,814,0,24,3,0,2,0,0,0,67,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,2,493,0,7,4,34,64,8,0,0,0,0,0,0,4866.0,996,578,34,11,0.0,0.20468557336621454,0.11878339498561447,0.006987258528565557,0.002260583641594739,0.0,0.16728318947801069,0.004932182490752158,500
12,MIL_YOD,294,0,184,0,0,5,0,3,0,343,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,623,0,3,3,102,0,1,0,0,0,0,0,0,4878.0,890,630,102,0,0.0,0.18245182451824518,0.12915129151291513,0.020910209102091022,0.0,0.0,0.06027060270602706,0.03772037720377204,500
13,MIL_CHA,796,0,48,0,0,0,0,0,0,364,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,125,22,15,0,0,103,0,2,2,123,6,0,0,0,0,0,0,0,4885.0,1226,113,123,162,0.0,0.25097236438075743,0.023132036847492324,0.02517911975435005,0.03316274309109519,0.0,0.16294779938587514,0.009825997952917094,500
14,MIL_MCC,555,0,367,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,353,42,52,0,68,142,2,0,0,0,0,0,0,4865.0,948,591,68,10,0.0,0.1948612538540596,0.12147995889003083,0.013977389516957862,0.0020554984583761563,0.0,0.11408016443987667,0.07543679342240493,500
15,KAT_SAU,268,0,45,0,0,2,0,52,0,140,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,6,2,0,365,26,84,0,163,1,0,0,0,0,0,0,0,4737.0,863,476,163,72,0.0,0.18218281612835127,0.10048553937090986,0.034409964112307366,0.015199493350221659,0.0,0.056575891914713954,0.009499683343888538,500
16,KAT_SAU_2,309,0,0,0,0,87,0,19,0,17,392,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,95,12,8,0,0,121,9,53,1,244,1,0,0,0,0,0,0,0,4750.0,1034,185,244,115,0.0,0.21768421052631579,0.03894736842105263,0.05136842105263158,0.024210526315789474,0.0,0.06505263157894736,0.0,500
17,KAT_TEE,372,0,0,0,0,0,0,0,0,25,115,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,93,20,11,0,0,500,8,131,0,226,74,8,0,0,0,0,0,0,4776.0,514,721,226,124,0.0,0.1076214405360134,0.15096314907872696,0.04731993299832496,0.025963149078726967,0.0,0.07788944723618091,0.0,500
18,KAT_TEE_2,522,0,0,0,0,0,0,0,0,40,137,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,59,0,2,0,0,481,29,147,0,152,8,0,0,0,0,0,0,0,4771.0,701,665,152,61,0.0,0.14692936491301614,0.13938377698595683,0.031859149025361556,0.012785579543072731,0.0,0.10941102494236009,0.0,500
19,KAT_HAB_2,729,0,106,3,0,8,0,1,0,23,220,0,0,5,4,0,0,0,0,0,16,0,3,3,0,0,0,80,17,13,7,3,107,42,64,0,134,4,0,0,0,0,0,0,9,4809.0,1114,220,134,120,0.0,0.23164899147431897,0.045747556664587234,0.027864420877521313,0.024953212726138492,0.0,0.15159076731129134,0.022042004574755667,500
20,KAT_HAB,390,0,309,0,0,6,0,0,0,15,188,0,0,2,0,0,0,0,0,0,1,0,0,40,0,0,0,145,24,2,4,2,231,0,35,1,179,8,4,10,0,0,0,0,0,4809.0,960,281,179,177,0.0,0.19962570180910794,0.058432106467040966,0.037221875649823245,0.036805988771054274,0.0,0.08109794135995009,0.06425452276980662,500
21,KAT_BAR,515,0,9,0,0,0,0,0,0,10,26,0,0,31,0,0,0,0,3,0,0,0,0,4,8,0,43,92,83,76,3,10,216,1,171,0,234,28,6,0,0,0,0,0,0,4695.0,606,432,234,264,0.0,0.129073482428115,0.09201277955271565,0.04984025559105431,0.05623003194888179,0.0,0.10969116080937168,0.0019169329073482429,500
22,SMI_LAT,293,0,87,0,0,0,0,0,0,395,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,38,7,1,0,398,0,6,0,165,1,2,0,0,0,0,0,0,4840.0,865,407,165,169,0.0,0.1787190082644628,0.08409090909090909,0.03409090909090909,0.03491735537190083,0.0,0.060537190082644625,0.017975206611570246,500
23,SMI_DUR,538,0,16,2,0,4,0,0,0,39,72,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,76,27,15,3,0,413,23,12,5,186,173,0,0,0,0,0,0,0,4879.0,671,626,186,121,0.0,0.13752818200450911,0.12830498052879688,0.03812256609961057,0.024800163968026236,0.0,0.11026849764295962,0.003279360524697684,500
24,SMI_HOF,121,0,0,0,0,0,0,0,0,163,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,59,70,3,0,0,462,51,306,1,108,151,12,0,0,0,0,0,0,4731.0,310,983,108,132,0.0,0.06552525893045867,0.20777848235045446,0.022828154724159798,0.027901077996195307,0.0,0.02557598816317903,0.0,500
25,SMI_JOH,447,0,6,0,0,33,0,0,0,181,110,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,60,19,22,12,0,355,9,23,0,293,48,3,0,0,0,0,0,0,4897.0,780,438,293,113,0.0,0.15928119256687767,0.08944251582601592,0.05983255054114764,0.02307535225648356,0.0,0.09128037574024914,0.001225239942822136,500
26,SMI_JOH_2,38,1,79,0,0,491,0,0,0,54,20,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,96,60,24,11,0,0,389,32,44,3,186,91,4,0,0,0,0,0,0,4815.0,687,563,186,95,0.0,0.1426791277258567,0.11692627206645899,0.038629283489096576,0.01973001038421599,0.0,0.007892004153686396,0.01640706126687435,500
27,GAB_ALL,10,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,122,161,60,11,6,319,10,292,3,235,326,3,0,0,0,0,0,0,4866.0,49,959,235,360,0.0,0.010069872585285656,0.19708179202630496,0.04829428688861488,0.07398273736128237,0.0,0.002055076037813399,0.0,500
28,KAT_JEF,50,0,10,0,0,0,0,0,0,4,371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,21,4,2,0,360,116,248,0,321,20,0,0,0,0,0,0,0,4773.0,435,744,321,81,0.0,0.09113764927718417,0.15587680703959775,0.06725329981143935,0.01697045883092395,0.0,0.010475591870940708,0.002095118374188142,500
29,KAT_JEF_2,236,0,5,0,0,0,0,0,0,60,338,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,77,33,9,5,0,228,8,91,0,282,161,44,0,0,0,0,0,0,4772.0,641,532,282,124,0.0,0.134325230511316,0.11148365465213747,0.05909471919530595,0.025984911986588432,0.0,0.04945515507124895,0.0010477787091366304,500
30,STA_WIL,207,0,12,0,0,7,0,0,0,695,34,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,3,156,23,10,0,0,133,0,20,0,254,60,1,0,0,0,0,0,0,4899.0,956,214,254,189,0.0,0.19514186568687486,0.04368238416003266,0.051847315778730356,0.0385793018983466,0.0,0.04225352112676056,0.002449479485609308,500
31,STA_HEM_2,540,0,9,0,0,339,0,0,0,224,16,0,0,1,0,0,0,0,7,0,11,0,2,5,0,0,0,43,38,18,1,3,97,0,14,0,126,93,0,0,0,0,0,0,27,4865.0,1170,207,126,103,0.0,0.24049331963001028,0.04254881808838643,0.025899280575539568,0.02117163412127441,0.0,0.11099691675231244,0.0018499486125385406,500
32,STA_HEM,597,0,51,0,0,0,0,0,0,25,47,0,0,0,0,0,0,0,3,0,0,0,0,121,0,0,6,102,22,15,1,0,207,0,29,1,248,73,3,0,0,0,0,0,66,4877.0,910,313,248,140,0.0,0.18659011687512816,0.06417879844166496,0.05085093295058438,0.02870617182694279,0.0,0.1224113184334632,0.010457248308386303,500
33,STA_SWE,509,2,70,0,0,20,0,0,0,446,28,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,10,111,54,2,0,0,84,0,0,8,180,45,31,0,1,0,0,0,0,4845.0,1081,168,180,167,0.0,0.22311661506707947,0.0346749226006192,0.03715170278637771,0.034468524251805986,0.0,0.10505675954592364,0.014447884416924664,500
34,STA_COL,898,0,166,3,0,174,0,0,0,66,12,0,0,0,0,0,0,0,4,0,24,0,4,4,0,0,0,39,54,2,0,0,34,0,16,0,125,13,0,0,0,0,0,0,0,4924.0,1331,63,125,95,0.0,0.27030869212022746,0.012794476035743298,0.02538586515028432,0.019293257514216084,0.0,0.18237205523964256,0.033712428919577576,500
35,WIS_COO_2,147,0,216,4,0,0,0,0,0,58,68,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,36,82,26,0,0,434,3,36,6,195,224,3,0,0,0,0,0,0,4687.0,493,706,195,144,0.0,0.10518455301898869,0.1506294004693834,0.04160443780669938,0.03072327714956262,0.0,0.031363345423511844,0.04608491572434393,500
36,WIS_COO,93,0,29,0,0,310,3,6,0,235,137,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,33,3,0,0,0,144,0,0,0,537,25,1,0,0,0,0,0,0,4726.0,817,170,537,36,0.0,0.17287346593313585,0.03597122302158273,0.1136267456622937,0.00761743546339399,0.0,0.019678374947101143,0.006136267456622937,500
37,LET_NOB,723,0,77,11,0,7,0,3,0,305,20,0,2,17,0,0,0,17,0,0,9,0,3,0,0,0,3,73,11,25,14,16,166,0,6,0,97,6,0,0,0,1,0,0,1,4880.0,1187,194,97,139,0.0,0.2432377049180328,0.039754098360655736,0.019877049180327868,0.02848360655737705,0.0,0.14815573770491802,0.015778688524590165,500
38,LET_TAB,614,0,1,0,0,0,0,0,0,316,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,5,9,0,0,368,8,63,0,60,12,0,0,0,0,0,0,0,4853.0,938,451,60,156,0.0,0.193282505666598,0.09293220688234081,0.012363486503193901,0.03214506490830414,0.0,0.12651967854935092,0.000206058108386565,500
39,WIS_HIG,2,0,0,4,0,0,0,0,0,5,12,0,0,0,0,2,0,0,0,0,5,1,49,0,0,0,4,117,124,161,28,0,729,2,21,0,179,106,3,0,0,0,0,0,0,4692.0,75,861,179,430,0.0,0.0159846547314578,0.18350383631713554,0.03815004262574595,0.09164535379369139,0.0,0.00042625745950554135,0.0,500
40,WIS_MEG,91,2,16,76,13,4,2,13,0,27,134,0,0,0,0,0,0,4,0,0,1,0,14,0,0,0,24,119,247,90,6,2,310,1,4,0,346,21,5,0,0,0,0,0,0,4733.0,396,343,346,464,0.0,0.08366786393407986,0.07246989224593281,0.07310373969997887,0.09803507289245722,0.0,0.019226706106063807,0.003380519754912318,500
41,WIS_KEN,8,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,6,1,138,0,0,0,76,169,202,128,37,1,368,4,36,2,282,57,29,0,0,0,0,0,0,4613.0,154,497,282,537,0.0,0.03338391502276176,0.10773899848254932,0.061131584652070234,0.11641014524170822,0.0,0.0017342293518317797,0.0,500
42,ZUE_REE,103,0,321,11,0,189,2,32,10,170,66,0,0,1,0,0,1,1,1,0,34,0,2,22,0,0,0,64,20,9,0,0,236,2,27,0,266,14,0,0,0,0,2,0,4,4838.0,938,279,266,93,0.0,0.19388176932616782,0.057668458040512606,0.054981397271599834,0.019222819346837536,0.0,0.02128978916907813,0.0663497312939231,500
43,DEG_PER_STRIP,312,0,212,0,0,110,0,0,0,315,96,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,66,13,2,3,0,166,0,0,0,302,0,0,0,0,0,0,6,0,4860.0,1053,166,302,84,0.0,0.21666666666666667,0.034156378600823045,0.06213991769547325,0.01728395061728395,0.0,0.06419753086419754,0.043621399176954734,500
44,DEG_FOU_WOOD,705,0,12,0,0,0,0,0,0,95,269,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,106,50,1,0,0,51,0,7,0,300,0,0,0,0,0,0,0,0,4847.0,1086,58,300,157,0.0,0.22405611718588817,0.011966164637920364,0.061893955023726015,0.03239116979574995,0.0,0.14545079430575614,0.0024757582009490406,500
45,DEG_DIE_HILL,449,0,376,0,0,0,0,0,0,32,96,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,60,4,0,0,180,4,10,0,339,2,0,0,0,0,0,3,0,4819.0,956,196,339,99,0.0,0.19838140693089854,0.04067233865947292,0.07034654492633327,0.020543681261672546,0.0,0.09317285743930276,0.07802448640796845,500
46,DEG_DIE_SWC,549,0,179,3,2,2,0,18,0,77,80,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,4,59,60,10,0,2,146,26,42,3,275,55,4,0,0,0,0,0,0,4850.0,916,278,275,131,0.0,0.1888659793814433,0.05731958762886598,0.05670103092783505,0.027010309278350516,0.0,0.11319587628865979,0.03690721649484536,500
47,DEG_YOU_BOCES,529,0,4,0,0,0,0,2,0,63,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,123,43,24,0,50,2,2,3,636,5,0,0,0,0,0,0,0,4862.0,650,62,636,257,0.0,0.13368983957219252,0.012751953928424516,0.13081036610448374,0.05285890580008227,0.0,0.10880296174413821,0.0008227067050596463,500
48,DEG_YOU_OSHEA,698,0,98,0,0,0,0,0,0,286,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,25,19,1,0,266,6,35,0,45,20,1,0,0,0,0,0,0,4857.0,1109,328,45,121,0.0,0.22833024500720608,0.0675313979822936,0.00926497838171711,0.024912497426394894,0.0,0.1437101091208565,0.020177064031295038,500
49,DEG_YOU_JONES,386,0,35,1,1,3,0,0,0,172,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,59,121,20,4,1,234,17,40,1,360,9,0,0,0,0,0,0,0,4858.0,732,302,360,205,0.0,0.15067929188966653,0.062165500205846026,0.07410456978180321,0.042198435570193496,0.0,0.07945656648826678,0.007204610951008645,500
50,DEG_VIL,817,0,40,0,4,5,0,27,0,24,29,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,41,75,93,38,0,4,126,0,5,0,241,22,3,0,0,0,0,0,0,4820.0,949,160,241,210,0.0,0.19688796680497925,0.03319502074688797,0.05,0.043568464730290454,0.0,0.1695020746887967,0.008298755186721992,500
51,SEA_HOO,294,0,213,6,0,223,0,1,0,134,34,0,1,23,0,0,0,0,241,0,5,0,0,26,0,0,0,90,16,12,0,0,166,0,10,0,47,60,0,0,0,0,1,0,0,4855.0,1197,236,47,118,0.0,0.24654994850669412,0.048609680741503604,0.009680741503604531,0.024304840370751802,0.0,0.060556127703398556,0.04387229660144181,500
52,MIL_HUM,416,0,474,0,0,139,0,0,0,195,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,52,37,23,0,119,0,7,1,77,4,0,1,0,0,0,0,0,4921.0,1256,131,77,159,0.0,0.2552326762853079,0.02662060556797399,0.015647226173541962,0.03231050599471652,0.0,0.0845356634830319,0.09632188579557001,500
53,ONE_TER,492,0,5,0,0,0,0,0,0,59,198,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,141,166,192,103,0,0,0,0,0,337,0,0,0,0,0,0,0,0,5162.0,754,0,337,602,0.0,0.14606741573033707,0.0,0.06528477334366524,0.11662146454862457,0.0,0.09531189461449051,0.0009686168151879117,500
54,ONE_ADO,34,2,0,0,0,0,0,0,0,19,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,5,5,0,0,1113,32,18,0,107,72,0,0,0,0,0,0,0,5160.0,262,1235,107,98,0.0,0.050775193798449615,0.23934108527131784,0.020736434108527133,0.018992248062015504,0.0,0.006589147286821705,0.0,500
55,ONE_STA,1308,0,10,0,0,0,0,0,0,34,37,7,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,70,36,15,6,8,124,2,3,0,40,16,1,0,0,0,0,0,0,5231.0,1399,154,40,135,0.0,0.267444083349264,0.02943987765245651,0.007646721468170522,0.025807684955075513,0.0,0.25004779200917604,0.0019116803670426305,500
