,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
10,SMI_HOL,4124,0,972,0,0,1,0,3,0,0,0,1,0,0,2900,5725,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,3,0,0,0,646,946,495,146,15,23,2937,605,2600,24,2286,1330,51,0,0,0,0,0,0,7,0,0,0,25853,8013,7570,2286,1625,646,0.30994468727033614,0.29280934514369705,0.08842300700112173,0.06285537461803273,0.024987428925076393,0.1595172707229335,0.03759718407921711,2000
11,DIP_PAT,8832,2,2912,1,21,0,0,1894,0,0,4,1,0,0,4376,859,0,0,18,3,0,0,0,0,2,0,15,0,17,0,0,3,8,0,0,2,411,673,273,102,12,2965,21,71,23,1771,527,23,5,0,0,0,0,1,4,2,2,0,25856,18106,3642,1771,1471,2,0.700262995049505,0.14085705445544555,0.0684947400990099,0.05689201732673267,7.735148514851485e-05,0.3415841584158416,0.11262376237623763,2000
12,MIL_YOD,3245,2,1794,0,0,0,0,235,0,0,1,52,0,0,4318,1347,0,0,10,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,3,957,194,85,10,4,7317,244,233,49,5079,521,20,63,0,0,0,0,121,0,0,0,0,25933,9861,8388,5079,1250,3,0.38024910345891333,0.3234488875178344,0.19585084641190761,0.04820113369066441,0.00011568272085759457,0.1251301430609648,0.06917826707284155,2000
13,MIL_CHA,9225,0,1986,0,6,0,0,191,0,0,2,22,3,0,3804,470,0,0,16,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,982,206,114,10,4,5897,128,181,11,2551,120,1,23,3,0,0,0,0,0,0,0,0,25961,15282,6342,2551,1316,0,0.5886522090828551,0.24428951118986172,0.09826277878355996,0.05069142174800662,0.0,0.35534070336273643,0.07649936443126228,2000
14,MIL_MCC,6208,0,1053,0,0,4,0,287,0,0,0,6,0,0,1590,1040,2,0,363,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,53,1312,984,566,108,13,5800,391,665,57,4155,1136,64,0,0,0,0,0,0,0,1,0,0,25871,9515,8126,4155,2983,53,0.36778632445595455,0.31409686521587876,0.16060453789957868,0.11530284874956515,0.0020486258745313285,0.2399598005488771,0.04070194426191488,2000
15,KAT_SAU,2017,1,41,0,0,0,0,95,0,0,52,3,0,0,427,4252,0,0,129,2,0,0,0,0,2,0,18,1,7,0,0,0,0,0,0,4,1284,118,44,8,0,10578,730,2008,16,3310,14,7,1,0,0,0,0,0,0,0,0,0,25169,2789,13353,3310,1454,4,0.11081091819301522,0.5305335929119155,0.13151098573642178,0.057769478326512774,0.00015892566252135565,0.08013826532639358,0.0016289880408438954,2000
16,KAT_SAU_2,3434,4,206,0,3,2,0,68,0,0,10,25,0,0,434,5193,0,0,156,2,0,0,0,0,8,0,36,1,7,0,0,0,4,0,0,4,1285,127,54,8,3,8293,549,1224,5,3990,18,6,1,0,0,0,0,6,0,0,0,0,25166,4400,10098,3990,1477,4,0.17483906858459827,0.401255662401653,0.1585472462846698,0.05869029643169355,0.00015894460780418025,0.13645394579988873,0.008185647301915282,2000
17,KAT_TEE,2314,0,82,0,0,0,0,4,0,0,0,35,0,0,510,1381,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,4,0,2,0,29,965,149,93,5,0,12049,948,3571,16,2705,449,57,0,0,0,0,0,0,0,2,0,0,25389,2956,17090,2705,1212,29,0.11642837449289062,0.6731261569971247,0.10654220331639687,0.04773720902753161,0.0011422269486785616,0.09114183307731695,0.003229745165229036,2000
18,KAT_TEE_2,2254,0,113,0,2,0,0,119,0,0,0,112,0,0,869,1708,0,0,5,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,0,50,926,148,62,1,5,11257,1120,4400,13,1931,258,28,0,0,0,0,0,0,0,0,0,0,25400,3481,17081,1931,1142,50,0.13704724409448818,0.6724803149606299,0.0760236220472441,0.04496062992125984,0.001968503937007874,0.08874015748031495,0.004448818897637795,2000
19,KAT_HAB_2,4396,0,339,0,3,0,0,262,0,0,0,39,0,0,1209,4505,0,0,27,8,0,0,2,0,20,0,1,0,455,0,0,4,22,1,0,1,1102,160,97,21,10,5133,1671,3052,4,2467,529,19,8,0,0,0,0,0,0,0,0,0,25567,6341,10418,2467,1390,1,0.2480150193608949,0.40747839011225406,0.09649157116595612,0.05436695740603121,3.9112918997144755e-05,0.17194039191144836,0.013259279540032073,2000
20,KAT_HAB,4450,3,1142,0,9,0,0,4,0,0,0,11,0,0,397,2134,0,0,6,5,0,0,0,0,1,0,8,0,175,0,0,2,117,0,0,20,2959,743,185,47,8,5492,653,3506,6,2935,476,29,0,0,0,0,0,0,0,4,0,1,25528,6160,10170,2935,3942,20,0.2413036665622062,0.39838608586649954,0.11497179567533689,0.1544186775305547,0.0007834534628643058,0.17431839548730804,0.04473519272955186,2000
21,KAT_BAR,2382,3,239,0,0,1,0,25,0,0,6,15,0,0,343,1026,0,0,25,22,0,0,0,0,0,0,11,0,0,0,0,0,29,0,0,515,1063,474,355,14,33,10190,416,5188,23,2421,240,94,0,3,0,0,0,0,0,0,0,0,25156,3104,16184,2421,1939,515,0.1233900461122595,0.6433455239306726,0.09623946573382096,0.07707902687231674,0.02047225314040388,0.09468913976784862,0.009500715535061217,2000
22,SMI_LAT,5131,2,218,0,1,2,0,93,0,0,2,107,0,3,4773,1413,0,0,9,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,181,1445,479,165,21,7,5292,328,541,13,4069,1314,58,2,0,0,0,0,0,0,0,0,0,25677,10348,7553,4069,2117,181,0.40300658176578263,0.2941543015149745,0.15846866845815322,0.08244732640105931,0.00704911009853176,0.19982864041749426,0.008490088405966429,2000
23,SMI_DUR,2096,0,293,0,4,0,0,666,0,0,23,3,0,2,1168,1008,3,0,6,0,0,4,0,0,0,0,12,0,61,0,0,2,1,146,0,370,1623,631,252,36,54,7889,435,273,123,5071,3562,163,13,0,0,0,0,0,0,1,2,0,25996,4445,12499,5071,2596,370,0.17098784428373595,0.4808047391906447,0.19506847207262656,0.09986151715648561,0.014232958916756425,0.08062778889059856,0.011270964763809817,2000
24,SMI_HOF,3200,1,74,0,2,0,0,165,0,0,22,5,0,0,835,827,3,0,9,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,504,955,414,53,7,123,8099,507,4144,35,4591,667,137,8,0,0,0,0,0,0,0,0,0,25401,4334,13712,4591,1552,504,0.1706232038108736,0.5398212668792567,0.18074091571197984,0.061099956694618325,0.019841738514231724,0.1259792921538522,0.0029132711310578324,2000
25,SMI_JOH,3611,0,920,0,0,3,0,270,0,0,7,0,0,0,2324,1854,0,0,1,0,0,0,0,0,0,0,17,2,4,0,0,0,1,3,0,18,1384,601,180,19,6,6674,558,658,33,6243,530,9,11,0,0,0,0,0,0,0,0,0,25941,7170,8468,6243,2190,18,0.2763964380710073,0.3264330596353263,0.24066150109864692,0.08442234300913612,0.0006938822713079681,0.13920049342739294,0.035465093866851705,2000
26,SMI_JOH_2,1690,0,850,0,0,4,68,883,0,0,1,144,0,0,1950,578,0,0,647,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,242,1562,1086,461,248,38,8755,735,384,56,4826,748,28,1,0,0,0,0,0,0,0,0,0,25996,6238,10744,4826,3395,242,0.23995999384520694,0.41329435297738115,0.1856439452223419,0.13059701492537312,0.009309124480689338,0.06501000153869826,0.032697338052008,2000
27,GAB_ALL,577,121,10,0,0,0,0,2,0,0,5,0,0,0,345,311,0,0,0,0,0,0,0,0,0,0,6,9,21,0,0,0,0,0,0,2664,2036,2089,1725,626,38,4225,657,5396,51,1787,3071,95,2,0,0,0,0,0,0,0,0,0,25869,1077,13533,1787,6514,2664,0.04163284239823727,0.5231357996057057,0.06907882020951718,0.25180718234179905,0.10298040125246434,0.022304689010011983,0.0003865630677645058,2000
28,KAT_JEF,1528,0,31,0,0,0,0,7,0,0,0,16,0,0,222,4383,4,0,132,0,0,0,0,0,4,0,5,0,23,0,2,1,3,3,0,17,786,448,165,25,13,5465,799,2796,3,4939,3333,167,0,0,0,0,0,0,0,0,0,0,25320,1958,12576,4939,1437,17,0.0773301737756714,0.4966824644549763,0.19506319115323856,0.05675355450236967,0.0006714060031595576,0.06034755134281201,0.0012243285939968404,2000
29,KAT_JEF_2,2207,0,26,0,0,0,0,2,0,0,0,0,0,0,228,2872,0,0,72,0,0,0,0,0,0,0,13,0,2,0,0,2,14,0,0,44,466,230,73,7,9,5420,552,2835,3,2350,7455,453,0,0,0,0,0,0,0,0,0,0,25335,2564,16727,2350,785,44,0.10120386816656798,0.6602328794158279,0.09275705545687783,0.030984803631340044,0.0017367278468521808,0.08711268995460825,0.001026248273139925,2000
30,STA_WIL,4533,2,1081,0,1,0,0,381,2,0,1,18,0,0,6827,576,1,0,75,0,0,0,2,0,0,0,0,0,8,0,0,16,3,2,0,12,1302,223,85,6,0,3774,29,266,14,2493,1898,22,175,0,0,0,0,2124,0,0,0,0,25952,15244,6003,2493,1616,12,0.5873921085080148,0.2313116522811344,0.09606196054254007,0.06226880394574599,0.0004623921085080148,0.1746686189889026,0.04165382244143033,2000
31,STA_HEM_2,5223,2,751,0,47,5,3,2670,0,0,85,42,0,0,3671,697,7,0,581,5,0,0,4,0,18,0,3,0,5,0,2,17,66,0,0,50,916,407,219,117,530,3514,7,222,10,2648,2147,67,7,6,2,76,0,0,6,0,968,0,25823,14267,6497,2648,2189,50,0.5524919645277466,0.2515974131588119,0.10254424350385316,0.08476939162761879,0.001936258374317469,0.2022615497812028,0.029082600782248384,2000
32,STA_HEM,6970,0,2445,0,5,0,0,500,0,0,11,18,0,0,4436,500,0,0,138,6,0,0,2,0,9,0,17,0,2,0,0,12,144,28,3,115,1181,428,108,23,34,3990,71,332,5,2455,1296,98,1,0,2,1,0,23,0,0,456,0,25865,15227,5826,2455,1774,115,0.5887106127972164,0.22524647206649914,0.09491590953025324,0.06858689348540499,0.004446162768219602,0.2694761260390489,0.09452928668084284,2000
33,STA_SWE,3357,4,741,0,14,0,0,1082,0,0,98,19,0,2,4232,380,0,7,265,2,1,17,2,8,28,0,13,0,22,0,0,5,0,6,0,18,1127,280,39,4,0,9365,77,684,29,2704,1005,99,4,0,0,8,5,9,0,0,2,0,25764,9931,11259,2704,1450,18,0.3854603322465456,0.4370051234280391,0.10495264710448689,0.056280080732805465,0.0006986492780624127,0.13029809035863996,0.028761061946902654,2000
34,STA_COL,3716,4,1206,0,414,0,0,679,0,0,17,64,0,0,2639,267,0,0,452,63,0,2,8,2,775,0,2,0,30,0,1,73,3,54,0,44,1563,959,357,29,5,4734,143,619,14,5105,1576,40,0,56,0,57,0,19,1,0,294,0,26086,10601,7131,5105,2913,44,0.40638656750747526,0.2733650233841908,0.195698842290884,0.11166909453346623,0.0016867285133788238,0.14245188990262977,0.046231695162155945,2000
35,WIS_COO_2,1497,1,915,0,0,0,0,0,0,0,31,4,0,0,1164,1204,0,0,0,0,0,5,1,0,0,0,13,0,822,0,0,27,0,0,0,70,600,659,192,52,11,11448,208,372,22,3663,1941,69,1,0,0,0,0,0,3,0,0,0,24995,3662,14071,3663,1514,70,0.1465093018603721,0.5629525905181036,0.1465493098619724,0.06057211442288458,0.0028005601120224045,0.059891978395679134,0.03660732146429286,2000
36,WIS_COO,3131,0,861,0,2,0,0,55,0,0,31,1,0,0,1726,2035,0,0,0,0,0,2,0,0,0,0,21,0,266,0,0,50,0,0,3,182,579,504,80,18,3,8352,131,438,28,5577,928,21,3,0,0,0,0,0,0,0,0,0,25028,5886,9901,5577,1184,182,0.2351766022055298,0.3955969314367908,0.22283042991849128,0.04730701614192105,0.007271855521815566,0.12509988812529965,0.034401470353204414,2000
37,LET_NOB,9853,3,1268,0,661,0,0,1006,0,0,0,1,0,2,4837,371,0,0,129,1,0,0,0,0,9,0,0,0,8,0,0,3,0,0,0,19,959,177,95,21,15,4105,5,225,2,1516,508,12,1,2,0,2,0,2,0,0,0,0,25818,17780,4872,1516,1267,19,0.6886668215973352,0.18870555426446664,0.058718723371291345,0.04907428925555814,0.0007359206754977148,0.3816329692462623,0.0491130219226896,2000
38,LET_TAB,6894,3,135,0,7,0,0,42,0,0,0,3,0,0,9556,214,0,0,136,3,0,0,3,0,19,0,1,0,7,0,0,1,3,1,0,24,1191,174,44,32,11,3928,266,1426,8,825,113,5,540,0,0,5,0,19,0,0,0,0,25639,17371,5757,825,1452,24,0.6775225242794181,0.22454073871835875,0.03217754202582004,0.05663247396544327,0.0009360739498420375,0.2688872420921253,0.005265415967861461,2000
39,WIS_HIG,50,0,13,0,0,0,0,0,0,0,4,0,0,0,50,131,0,0,0,0,0,16,0,0,0,0,0,2,880,0,12,298,0,5,0,254,1185,1263,1091,402,79,14807,176,722,16,1837,1578,53,0,0,0,0,0,0,1,0,0,0,24925,451,17431,1837,4020,254,0.018094282848545636,0.6993380140421264,0.0737011033099298,0.161283851554664,0.010190571715145437,0.0020060180541624875,0.0005215646940822467,2000
40,WIS_MEG,1466,10,249,0,145,28,0,8,0,0,243,43,4,0,193,1290,1,0,0,0,0,2,2,0,12,4,1,0,209,0,0,64,0,0,0,203,1973,3221,1852,399,29,7048,117,293,31,4885,1058,26,0,0,0,0,0,0,13,2,0,0,25124,2490,8602,4885,7474,203,0.09910842222576023,0.3423817863397548,0.19443559942684285,0.29748447699410924,0.008079923579047922,0.058350581117656425,0.009910842222576023,2000
41,WIS_KEN,100,0,17,0,7,0,0,0,0,0,9,5,0,0,66,128,0,0,0,0,0,80,2,0,0,0,2,1,359,0,1,373,0,0,0,5701,1448,1841,1647,1022,42,6997,20,105,21,3911,581,375,0,0,0,0,0,0,0,0,0,0,24861,663,8141,3911,6000,5701,0.026668275612404972,0.3274606813885202,0.157314669562769,0.24134186074574634,0.22931499135191666,0.004022364345762439,0.0006838019387796146,2000
42,ZUE_REE,3920,0,2593,0,21,0,0,1429,0,0,8,52,0,267,1024,274,1,0,280,2,0,2,0,0,0,0,18,2,6,2,3,507,156,3,0,8136,566,553,110,6,7,3113,11,289,26,1549,362,42,4,1,0,0,2,0,0,2,407,0,25756,10706,3850,1549,1242,8136,0.4156701351141482,0.14947973287777605,0.06014132629290263,0.04822177356732412,0.3158875601801522,0.15219754620282652,0.10067557074079826,2000
43,DEG_PER_STRIP,3136,2,561,0,5,0,0,287,0,0,0,15,0,0,2552,1433,1,0,6,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,1,906,422,61,6,9,11268,273,934,27,3386,328,20,0,0,0,0,0,0,8,3,0,0,25664,6587,12859,3386,1404,1,0.256663029925187,0.5010520573566085,0.1319357855361596,0.0547069825436409,3.896508728179551e-05,0.12219451371571072,0.021859413965087282,2000
44,DEG_FOU_WOOD,6550,0,163,0,1,0,0,128,0,0,75,3,0,0,3375,3134,0,0,8,0,0,0,0,0,0,0,24,0,10,0,0,0,0,16,1,5,1093,631,131,7,4,4718,292,590,14,4095,491,25,3,0,0,0,0,0,1,0,0,0,25588,10348,6134,4095,1866,5,0.4044083163983117,0.23972174456776615,0.16003595435360324,0.07292480850398625,0.00019540409566984524,0.25597936532749727,0.006370173518836955,2000
45,DEG_DIE_HILL,2516,5,170,0,33,2,1,24,0,0,4,1,0,3,1337,1378,3,0,8,1,0,2,4,0,0,0,41,0,26,0,0,3,3,2,0,1065,1315,2943,2639,997,206,5373,199,483,36,4220,434,108,7,1,0,0,0,9,0,0,0,0,25602,4180,6839,4220,8100,1065,0.16326849464885557,0.2671275681587376,0.16483087258807905,0.31638153269275837,0.04159831263182564,0.09827357237715803,0.006640106241699867,2000
46,DEG_DIE_SWC,3929,0,153,4,2,8,0,104,0,0,4,4,2,0,922,1572,0,0,5,0,0,0,0,0,2,0,2,0,17,0,0,0,2,7,0,46,1205,517,155,36,27,10285,460,901,38,4547,634,38,9,0,0,0,0,0,0,3,0,0,25640,5162,12383,4547,1940,46,0.20132605304212167,0.4829563182527301,0.17734009360374414,0.07566302652106084,0.0017940717628705148,0.1532371294851794,0.005967238689547582,2000
47,DEG_YOU_BOCES,3064,5,159,0,2,0,0,6,0,0,5,14,0,0,2124,943,1,0,0,0,0,0,0,0,0,0,17,0,16,0,0,6,3,9,0,68,1853,2993,2243,533,40,5847,225,678,32,4098,587,42,5,0,0,0,0,0,0,0,0,0,25618,5420,7451,4098,7662,68,0.2115699898508861,0.29085018346475133,0.15996564915293934,0.29908657974861425,0.002654383636505582,0.11960340385666328,0.0062065735030056995,2000
48,DEG_YOU_OSHEA,4520,2,100,0,0,0,0,2,0,0,8,14,0,0,2064,838,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,4,0,506,2221,3156,1255,187,1,6848,240,519,27,2336,722,60,0,0,0,0,0,0,1,0,0,0,25641,6717,8417,2336,6820,506,0.261963261963262,0.32826332826332827,0.09110409110409111,0.265980265980266,0.019734019734019732,0.17628017628017628,0.0039000039000039,2000
49,DEG_YOU_JONES,3440,13,167,0,10,0,0,185,0,0,0,129,0,0,2929,2447,0,0,7,1,0,2,0,0,1,0,11,0,33,0,0,2,0,4,0,1024,1004,1127,247,36,67,7369,89,344,72,4193,529,87,5,0,0,0,0,97,0,0,0,0,25671,7003,8557,4193,2481,1024,0.272798099022243,0.3333333333333333,0.1633360601456897,0.09664602080168283,0.03988936932725644,0.13400335008375208,0.006505395193019361,2000
50,DEG_VIL,3986,7,182,0,10,0,0,156,0,0,0,123,0,0,2950,1669,0,0,7,1,0,2,0,0,1,0,16,0,28,0,0,5,0,6,0,722,798,1167,267,36,11,7895,221,787,59,3953,440,57,4,0,0,0,0,107,0,0,0,0,25673,7563,9470,3953,2279,722,0.29458964671055193,0.3688700190861995,0.15397499318350016,0.08877030343162078,0.028122930705410353,0.15526039029330424,0.007089159817707319,2000
51,SEA_HOO,5453,3,4369,0,12,3,0,3094,0,0,27,41,0,0,3754,718,11,0,56,8,0,0,0,0,2,0,546,1,0,0,0,6,240,2,0,32,1170,364,115,18,1,2926,86,264,5,1880,356,23,26,6,0,0,0,6,0,0,0,0,25624,17666,3661,1880,1668,32,0.6894317827037153,0.14287386824851703,0.07336871682797377,0.06509522322822354,0.001248829222603809,0.21280830471433032,0.1705042147986263,2000
52,MIL_HUM,3497,0,2543,4,0,178,0,1502,0,0,4,14,0,0,1410,676,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2121,1496,180,30,1,6774,418,556,14,3677,324,5,0,0,0,0,0,0,0,0,0,0,25980,9704,8092,3677,3828,4,0.37351809083910703,0.3114703618167821,0.14153194765204002,0.14734411085450347,0.00015396458814472672,0.13460354118552734,0.09788298691301,2000
53,ONE_TER,2471,0,40,0,0,0,0,2,0,0,2,3,0,0,1415,2170,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,677,2390,3037,2309,797,43,4222,597,122,28,5173,1710,112,0,0,0,0,0,0,0,0,0,0,27353,3937,6834,5173,8576,677,0.14393302379994882,0.24984462399005594,0.18912002339779915,0.3135305085365408,0.024750484407560412,0.09033744013453734,0.001462362446532373,2000
54,ONE_ADO,1846,0,201,0,0,0,0,10,0,0,8,0,0,0,2186,1038,0,0,4,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,44,2770,278,159,46,75,11230,1765,310,85,2826,2462,40,4,0,0,0,0,7,0,0,0,0,27409,4271,15967,2826,3328,44,0.1558247291035791,0.5825458790908096,0.10310481958480791,0.12141997154219417,0.001605312123754971,0.06735014046481083,0.007333357656244299,2000
55,ONE_STA,8640,0,23,0,0,0,0,0,0,0,2,1,0,0,2199,1467,0,0,0,3,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,16,994,502,244,135,40,7664,466,250,39,2108,2681,36,0,0,0,0,0,0,0,0,0,0,27527,10874,11176,2108,1915,16,0.39503033385403424,0.4060013804628183,0.07657935844806917,0.06956806044974026,0.0005812475024521379,0.31387365132415446,0.0008355432847749482,2000
