,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
15,KAT_SAU,268,0,45,0,0,2,0,52,0,140,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,6,2,0,365,26,84,0,163,1,0,0,0,0,0,0,0,1574,863,476,163,72,0.0
16,KAT_SAU_2,309,0,0,0,0,87,0,19,0,17,392,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,95,12,8,0,0,121,9,53,1,244,1,0,0,0,0,0,0,0,1578,1034,185,244,115,0.0
17,KAT_TEE,372,0,0,0,0,0,0,0,0,25,115,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,93,20,11,0,0,500,8,131,0,226,74,8,0,0,0,0,0,0,1587,514,721,226,124,0.0
18,KAT_TEE_2,522,0,0,0,0,0,0,0,0,40,137,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,59,0,2,0,0,481,29,147,0,152,8,0,0,0,0,0,0,0,1587,701,665,152,61,0.0
19,KAT_HAB_2,729,0,106,3,0,8,0,1,0,23,220,0,0,5,4,0,0,0,0,0,16,0,3,3,0,0,0,80,17,13,7,3,107,42,64,0,134,4,0,0,0,0,0,0,9,1601,1114,220,134,120,0.0
20,KAT_HAB,390,0,309,0,0,6,0,0,0,15,188,0,0,2,0,0,0,0,0,0,1,0,0,40,0,0,0,145,24,2,4,2,231,0,35,1,179,8,4,10,0,0,0,0,0,1596,960,281,179,177,0.0
21,KAT_BAR,515,0,9,0,0,0,0,0,0,10,26,0,0,31,0,0,0,0,3,0,0,0,0,4,8,0,43,92,83,76,3,10,216,1,171,0,234,28,6,0,0,0,0,0,0,1569,606,432,234,264,0.0
22,SMI_LAT,293,0,87,0,0,0,0,0,0,395,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,38,7,1,0,398,0,6,0,165,1,2,0,0,0,0,0,0,1606,865,407,165,169,0.0
23,SMI_DUR,538,0,16,2,0,4,0,0,0,39,72,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,76,27,15,3,0,413,23,12,5,186,173,0,0,0,0,0,0,0,1626,671,626,186,121,0.0
24,SMI_HOF,121,0,0,0,0,0,0,0,0,163,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,59,70,3,0,0,462,51,306,1,108,151,12,0,0,0,0,0,0,1587,310,983,108,132,0.0
25,SMI_JOH,447,0,6,0,0,33,0,0,0,181,110,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,60,19,22,12,0,355,9,23,0,293,48,3,0,0,0,0,0,0,1624,780,438,293,113,0.0
26,SMI_JOH_2,38,1,79,0,0,491,0,0,0,54,20,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,96,60,24,11,0,0,389,32,44,3,186,91,4,0,0,0,0,0,0,1629,687,563,186,95,0.0
27,GAB_ALL,10,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,122,161,60,11,6,319,10,292,3,235,326,3,0,0,0,0,0,0,1618,49,959,235,360,0.0
28,KAT_JEF,50,0,10,0,0,0,0,0,0,4,371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,21,4,2,0,360,116,248,0,321,20,0,0,0,0,0,0,0,1582,435,744,321,81,0.0
29,KAT_JEF_2,236,0,5,0,0,0,0,0,0,60,338,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,77,33,9,5,0,228,8,91,0,282,161,44,0,0,0,0,0,0,1582,641,532,282,124,0.0
30,STA_WIL,207,0,12,0,0,7,0,0,0,695,34,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,3,156,23,10,0,0,133,0,20,0,254,60,1,0,0,0,0,0,0,1628,956,214,254,189,0.0
31,STA_HEM_2,540,0,9,0,0,339,0,0,0,224,16,0,0,1,0,0,0,0,7,0,11,0,2,5,0,0,0,43,38,18,1,3,97,0,14,0,126,93,0,0,0,0,0,0,27,1614,1170,207,126,103,0.0
32,STA_HEM,597,0,51,0,0,0,0,0,0,25,47,0,0,0,0,0,0,0,3,0,0,0,0,121,0,0,6,102,22,15,1,0,207,0,29,1,248,73,3,0,0,0,0,0,66,1617,910,313,248,140,0.0
33,STA_SWE,509,2,70,0,0,20,0,0,0,446,28,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,10,111,54,2,0,0,84,0,0,8,180,45,31,0,1,0,0,0,0,1608,1081,168,180,167,0.0
34,STA_COL,898,0,166,3,0,174,0,0,0,66,12,0,0,0,0,0,0,0,4,0,24,0,4,4,0,0,0,39,54,2,0,0,34,0,16,0,125,13,0,0,0,0,0,0,0,1638,1331,63,125,95,0.0
35,WIS_COO_2,147,0,216,4,0,0,0,0,0,58,68,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,36,82,26,0,0,434,3,36,6,195,224,3,0,0,0,0,0,0,1557,493,706,195,144,0.0
36,WIS_COO,93,0,29,0,0,310,3,6,0,235,137,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,33,3,0,0,0,144,0,0,0,537,25,1,0,0,0,0,0,0,1565,817,170,537,36,0.0
37,LET_NOB,723,0,77,11,0,7,0,3,0,305,20,0,2,17,0,0,0,17,0,0,9,0,3,0,0,0,3,73,11,25,14,16,166,0,6,0,97,6,0,0,0,1,0,0,1,1613,1187,194,97,139,0.0
38,LET_TAB,614,0,1,0,0,0,0,0,0,316,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,5,9,0,0,368,8,63,0,60,12,0,0,0,0,0,0,0,1605,938,451,60,156,0.0
39,WIS_HIG,2,0,0,4,0,0,0,0,0,5,12,0,0,0,0,2,0,0,0,0,5,1,49,0,0,0,4,117,124,161,28,0,729,2,21,0,179,106,3,0,0,0,0,0,0,1554,75,861,179,430,0.0
40,WIS_MEG,91,2,16,76,13,4,2,13,0,27,134,0,0,0,0,0,0,4,0,0,1,0,14,0,0,0,24,119,247,90,6,2,310,1,4,0,346,21,5,0,0,0,0,0,0,1572,396,343,346,464,0.0
41,WIS_KEN,8,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,6,1,138,0,0,0,76,169,202,128,37,1,368,4,36,2,282,57,29,0,0,0,0,0,0,1551,154,497,282,537,0.0
42,ZUE_REE,103,0,321,11,0,189,2,32,10,170,66,0,0,1,0,0,1,1,1,0,34,0,2,22,0,0,0,64,20,9,0,0,236,2,27,0,266,14,0,0,0,0,2,0,4,1610,938,279,266,93,0.0
43,DEG_PER_STRIP,312,0,212,0,0,110,0,0,0,315,96,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,66,13,2,3,0,166,0,0,0,302,0,0,0,0,0,0,6,0,1606,1053,166,302,84,0.0
44,DEG_FOU_WOOD,705,0,12,0,0,0,0,0,0,95,269,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,106,50,1,0,0,51,0,7,0,300,0,0,0,0,0,0,0,0,1601,1086,58,300,157,0.0
45,DEG_DIE_HILL,449,0,376,0,0,0,0,0,0,32,96,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,60,4,0,0,180,4,10,0,339,2,0,0,0,0,0,3,0,1592,956,196,339,99,0.0
46,DEG_DIE_SWC,549,0,179,3,2,2,0,18,0,77,80,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,4,59,60,10,0,2,146,26,42,3,275,55,4,0,0,0,0,0,0,1602,916,278,275,131,0.0
47,DEG_YOU_BOCES,529,0,4,0,0,0,0,2,0,63,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,123,43,24,0,50,2,2,3,636,5,0,0,0,0,0,0,0,1605,650,62,636,257,0.0
48,DEG_YOU_OSHEA,698,0,98,0,0,0,0,0,0,286,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,25,19,1,0,266,6,35,0,45,20,1,0,0,0,0,0,0,1603,1109,328,45,121,0.0
49,DEG_YOU_JONES,386,0,35,1,1,3,0,0,0,172,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,59,121,20,4,1,234,17,40,1,360,9,0,0,0,0,0,0,0,1605,732,302,360,205,0.0
50,DEG_VIL,817,0,40,0,4,5,0,27,0,24,29,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,41,75,93,38,0,4,126,0,5,0,241,22,3,0,0,0,0,0,0,1605,949,160,241,210,0.0
51,SEA_HOO,294,0,213,6,0,223,0,1,0,134,34,0,1,23,0,0,0,0,241,0,5,0,0,26,0,0,0,90,16,12,0,0,166,0,10,0,47,60,0,0,0,0,1,0,0,1603,1197,236,47,118,0.0
52,MIL_HUM,416,0,474,0,0,139,0,0,0,195,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,52,37,23,0,119,0,7,1,77,4,0,1,0,0,0,0,0,1623,1256,131,77,159,0.0
53,ONE_TER,492,0,5,0,0,0,0,0,0,59,198,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,141,166,192,103,0,0,0,0,0,337,0,0,0,0,0,0,0,0,1708,754,0,337,602,0.0
54,ONE_ADO,34,2,0,0,0,0,0,0,0,19,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,5,5,0,0,1113,32,18,0,107,72,0,0,0,0,0,0,0,1702,262,1235,107,98,0.0
55,ONE_STA,1308,0,10,0,0,0,0,0,0,34,37,7,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,70,36,15,6,8,124,2,3,0,40,16,1,0,0,0,0,0,0,1724,1399,154,40,135,0.0
