Date Set,Date Collected,Site,Distance Into Field (m),Location,SWD
8/20/24,8/27/24,TT,1,2,87
8/20/24,8/27/24,TT,10,1,142
8/20/24,8/27/24,TT,10,2,94
8/20/24,8/27/24,TT,25,1,59
8/20/24,8/27/24,TT,25,2,43
8/20/24,8/27/24,CN,Border,1,482
8/20/24,8/27/24,CN,Border,2,1460
8/20/24,8/27/24,CN,1,1,734
8/20/24,8/27/24,CN,1,2,848
8/20/24,8/27/24,CN,10,1,172
8/20/24,8/27/24,CN,10,2,50
8/20/24,8/27/24,CN,25,1,556
8/20/24,8/27/24,CN,25,2,880
6/30/23,7/6/23,GUR,Border,1,0
6/30/23,7/6/23,GUR,Border,2,0
6/30/23,7/6/23,GUR,Border,3,0
6/30/23,7/6/23,SENN,Border,1,0
6/30/23,7/6/23,SENN,Border,2,0
6/30/23,7/6/23,SENN,Border,3,0
6/30/23,7/6/23,CHH,Border,1,0
6/30/23,7/6/23,CHH,Border,2,0
6/30/23,7/6/23,CHH,Border,3,1
6/30/23,7/6/23,GUSH,Border,2,0
7/6/23,7/13/23,GUR,Border,1,3
7/6/23,7/13/23,GUR,Border,2,5
7/6/23,7/13/23,GUR,Border,3,1
7/6/23,7/13/23,SENN,Border,1,0
7/6/23,7/13/23,SENN,Border,2,3
7/6/23,7/13/23,SENN,Border,3,3
7/6/23,7/13/23,CHH,Border,1,6
7/6/23,7/13/23,CHH,Border,2,3
7/6/23,7/13/23,CHH,Border,3,20
7/6/23,7/13/23,GUSH,Border,1,4
7/6/23,7/13/23,GUSH,Border,2,1
7/6/23,7/13/23,GUSH,Border,3,2
7/13/23,7/20/23,GUR,Border,1,6
7/13/23,7/20/23,GUR,Border,2,9
7/13/23,7/20/23,GUR,Border,3,6
7/13/23,7/20/23,SENN,Border,1,8
7/13/23,7/20/23,SENN,Border,2,10
7/13/23,7/20/23,SENN,Border,3,31
7/13/23,7/20/23,CHH,Border,1,8
7/13/23,7/20/23,CHH,Border,2,12
7/13/23,7/20/23,CHH,Border,3,22
7/13/23,7/20/23,GUSH,Border,1,41
7/13/23,7/20/23,GUSH,Border,2,12
7/13/23,7/20/23,GUSH,Border,3,37
7/19/23,7/26/23,INT,Border,1,9
7/19/23,7/26/23,INT,Border,2,25
7/19/23,7/26/23,INT,Border,3,14
7/20/23,7/27/23,GUR,Border,1,21
7/20/23,7/27/23,GUR,Border,2,34
7/20/23,7/27/23,GUR,Border,3,51
7/20/23,7/27/23,SENN,Border,1,3
7/20/23,7/27/23,SENN,Border,2,14
7/20/23,7/27/23,SENN,Border,3,24
7/20/23,7/27/23,CHH,Border,1,42
7/20/23,7/27/23,CHH,Border,2,87
7/20/23,7/27/23,CHH,Border,3,62
7/20/23,7/27/23,GUSH,Border,2,11
7/20/23,7/27/23,GUSH,Border,3,39
7/26/23,8/2/23,INT,Border,1,42
7/26/23,8/2/23,INT,Border,2,53
7/26/23,8/2/23,INT,Border,3,49
7/27/23,8/3/23,GUR,Border,1,147
7/27/23,8/3/23,GUR,Border,2,137
7/27/23,8/3/23,GUR,Border,3,97
