,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other
10,SMI_HOL,10584,0,1312,0,0,0,0,0,6,0,0,32,0,0,4619,8680,0,0,5,0,0,0,0,0,0,0,0,0,4,0,16,0,0,10,0,0,0,1282,2233,918,300,59,105,8443,1703,7478,32,7086,3183,84,0,0,0,0,0,0,0,0,0,0,0,0,0,58174,25252,21028,7086,3615,0.0
11,DIP_PAT,18446,8,5322,0,66,0,0,0,1024,0,4,50,0,0,11927,3413,2,0,11,0,0,0,0,0,0,0,0,0,8,0,335,0,0,3,14,2,0,68,1330,1479,411,115,202,7016,58,128,61,4885,1584,76,7,0,0,0,0,0,0,115,1,0,4,0,0,58175,40427,9125,4885,3537,0.0
12,MIL_YOD,8483,8,2109,0,2,0,0,3,579,0,16,159,0,0,11580,3308,2,0,36,0,0,0,0,0,0,0,0,0,47,0,48,0,0,2,2,4,0,17,2592,553,214,32,16,14368,288,525,49,12006,1217,62,22,0,0,0,0,0,0,0,2,0,0,1,0,58352,26365,16525,12006,3407,0.0
13,MIL_CHA,13382,0,3576,2,5,0,0,10,1158,0,2,51,1,0,7612,1375,0,0,54,0,0,0,0,0,0,0,0,0,5,0,110,0,0,0,0,0,0,62,2667,574,211,29,20,16564,1051,1342,30,7866,633,14,3,0,0,0,0,0,2,0,0,0,0,4,0,58415,27242,19654,7866,3501,0.0
14,MIL_MCC,8318,0,3831,0,0,0,0,0,766,0,5,76,0,0,4219,1887,0,0,562,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,4,0,126,2920,1709,997,327,18,17070,1400,1921,38,8900,3058,46,2,0,0,0,0,0,0,0,0,0,1,0,0,58211,19674,23551,8900,5971,0.0
15,KAT_SAU,4447,0,118,0,4,0,37,0,216,0,2,176,0,0,499,7470,0,0,321,3,0,0,0,0,1,0,0,0,13,0,13,0,0,0,5,3,0,2,3359,622,226,34,4,20695,2965,5977,22,9226,147,12,4,0,0,0,0,0,0,0,0,0,0,0,0,56623,13319,29822,9226,4245,0.0
16,KAT_SAU_2,5122,0,164,0,4,0,42,0,218,0,4,323,0,0,527,9075,0,0,559,3,0,0,0,0,1,0,0,0,107,0,18,0,0,0,6,6,0,5,3038,283,122,15,6,19449,2181,4846,23,10357,102,18,4,0,0,0,0,0,0,0,0,0,0,0,0,56628,16165,26625,10357,3464,0.0
17,KAT_TEE,4017,2,351,0,2,3,0,0,25,0,1,1,0,0,1341,3888,0,0,1,0,0,0,0,0,0,0,0,0,12,0,105,0,0,6,6,2,0,65,2107,327,174,9,8,25272,3065,9404,5,6104,746,69,0,0,0,0,0,0,2,0,0,0,5,0,0,57125,9665,38569,6104,2625,0.0
18,KAT_TEE_2,4124,4,161,0,2,0,0,0,11,0,0,3,0,0,1565,4816,0,0,1,2,0,0,0,0,0,0,0,0,14,0,230,0,0,3,5,4,0,100,2118,397,195,15,6,24763,2672,9897,6,5216,698,105,2,2,0,0,0,0,2,0,0,0,0,2,0,57141,10723,38147,5216,2731,0.0
19,KAT_HAB_2,9113,0,1851,0,3,0,0,0,20,0,0,130,0,0,2201,7164,2,0,42,17,0,0,0,0,4,0,0,0,17,0,627,0,0,12,131,5,0,421,2642,358,138,28,22,12357,4607,8636,21,5787,1052,96,3,0,0,0,0,0,2,0,0,0,0,13,2,57524,20732,26791,5787,3188,0.0
20,KAT_HAB,11234,0,3791,0,2,0,0,0,23,0,0,143,0,0,770,4266,3,39,180,78,0,0,0,0,45,0,0,0,37,0,244,0,0,10,541,8,1,63,5081,1849,554,122,196,11834,1717,7559,22,5956,995,63,14,2,0,0,0,0,0,0,1,0,4,0,0,57447,21192,22386,5956,7802,0.0
21,KAT_BAR,3033,0,405,0,0,0,0,0,239,0,0,4,0,0,720,1338,1,0,329,0,0,0,0,0,0,0,0,0,25,0,14,0,0,2,34,16,0,778,2847,870,568,27,78,21804,1165,14691,20,7039,425,114,22,0,0,0,0,0,0,0,0,0,0,1,0,56609,6169,38297,7039,4390,0.0
22,SMI_LAT,10099,2,790,0,2,0,0,0,30,0,10,170,4,0,7697,2952,0,0,115,0,0,0,0,0,0,0,0,0,13,0,41,0,0,0,0,45,3,261,3197,1498,1018,338,24,12498,706,1955,25,11673,2547,62,0,0,0,0,0,0,0,0,0,0,0,3,0,57778,21935,17817,11673,6075,0.0
23,SMI_DUR,4160,4,448,0,16,0,1,0,261,0,18,11,0,0,2606,1771,0,0,7,0,0,4,0,0,0,0,0,0,5,0,129,0,0,30,2,56,0,1212,3440,1388,649,90,152,19187,1258,611,226,9791,10598,322,22,0,0,0,0,0,0,0,0,0,1,0,0,58476,9423,32354,9791,5719,0.0
24,SMI_HOF,4692,3,200,0,0,0,0,1,14,0,8,239,0,0,1510,1480,0,0,10,0,0,1,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,792,2276,583,81,10,182,19572,1427,13730,23,9062,1080,161,0,0,0,0,0,0,0,0,0,0,1,0,0,57155,8164,36175,9062,3132,0.0
25,SMI_JOH,7993,4,1562,0,2,0,0,0,178,0,48,7,0,0,5374,4779,0,0,40,0,0,0,0,0,0,0,0,0,3,0,45,0,0,0,5,6,0,32,2983,1127,399,122,13,15817,636,1240,47,14784,1081,23,17,0,0,0,0,0,0,0,1,0,0,0,0,58368,20019,18857,14784,4644,0.0
26,SMI_JOH_2,3243,4,1421,1,4,0,1,0,1012,0,7,153,4,0,3391,1993,0,0,190,0,1,0,0,0,0,0,0,0,0,0,66,0,0,3,2,7,0,291,4510,3662,1986,1146,61,19104,866,838,117,12509,1794,82,8,0,0,0,0,0,0,0,1,2,2,0,0,58482,11450,22862,12509,11365,0.0
27,GAB_ALL,3001,3,314,0,2,0,0,0,0,0,5,9,0,0,1149,1066,0,0,0,0,0,0,0,0,0,0,0,0,5,49,12,0,0,0,0,0,0,4231,4602,4778,4446,1654,100,11091,756,11306,67,5126,4257,180,0,0,0,0,0,0,0,0,0,2,6,0,0,58217,5611,27757,5126,15580,0.0
28,KAT_JEF,3062,0,677,0,9,0,0,0,581,0,7,0,0,0,297,8952,0,0,11,4,0,0,0,0,0,0,0,0,131,0,81,0,2,0,26,0,0,53,1667,808,294,35,18,13832,1496,4828,9,11727,7770,580,0,1,0,0,0,0,0,0,0,0,0,0,0,56958,13760,28533,11727,2822,0.0
29,KAT_JEF_2,3272,0,60,0,0,0,0,0,12,0,0,6,0,0,386,8244,0,0,1,0,0,0,0,0,0,0,0,0,106,0,80,0,0,4,25,2,0,58,1881,686,284,47,7,14773,961,4578,6,8996,11843,692,0,0,0,0,0,0,0,0,2,0,0,0,0,57012,12120,32860,8996,2905,0.0
30,STA_WIL,12632,2,2041,0,14,0,0,0,3172,0,1,55,0,1,10063,1176,0,0,283,2,0,0,0,0,0,0,0,0,19,0,178,0,0,61,24,4,0,90,3603,1297,416,96,51,9236,86,932,15,7086,4946,40,75,0,0,0,0,0,0,2,674,0,2,7,0,58382,30310,15306,7086,5463,0.0
31,STA_HEM_2,13785,3,4276,3,59,0,0,13,3202,0,221,22,0,16,8971,1220,0,0,374,16,0,0,4,0,3,0,34,1,81,0,533,0,0,72,163,16,9,106,2600,1098,500,208,596,7396,29,536,11,5918,4387,116,31,0,0,45,0,0,0,2,2,0,0,1422,0,58100,34066,13071,5918,5002,0.0
32,STA_HEM,17528,22,5291,0,20,0,3,0,1136,0,34,16,0,1,7359,1046,0,0,344,4,25,0,3,0,0,0,0,0,27,0,398,0,0,91,323,33,4,927,2637,811,202,35,55,7839,255,858,9,5636,4093,146,0,0,0,0,0,0,0,0,286,0,2,699,0,58198,34297,13255,5636,3740,0.0
33,STA_SWE,13150,12,1719,0,44,0,0,0,755,0,3,18,0,0,9171,1156,13,7,97,34,0,22,4,1,18,0,0,0,18,0,129,0,0,18,11,17,0,95,2309,620,165,22,5,19666,114,1106,153,4686,2210,348,14,2,0,0,0,0,15,2,18,0,5,5,0,57977,26349,23602,4686,3121,0.0
34,STA_COL,6574,0,3025,0,572,0,1,0,2859,0,2,9,0,0,3505,365,1,6,1091,18,0,4,5,16,545,0,0,0,17,0,195,5,12,271,7,25,0,467,5440,2757,773,79,58,10859,224,1814,28,9918,6795,121,16,0,3,0,0,0,40,0,11,0,13,156,0,58702,19174,19899,9918,9107,0.0
35,WIS_COO_2,4161,0,899,0,7,0,13,0,0,0,6,102,0,0,1322,1498,0,0,0,0,0,6,1,0,0,0,0,0,4,0,819,0,0,30,2,0,0,131,1494,1340,368,89,26,27580,849,1138,53,10309,3913,86,0,0,0,0,0,0,0,0,0,3,0,0,0,56249,8054,33645,10309,3317,0.0
36,WIS_COO,6114,0,2009,2,6,0,16,0,457,0,6,94,0,0,2830,3042,0,0,0,0,0,0,0,0,0,0,0,0,20,0,649,0,0,64,0,0,3,269,1520,1112,265,67,10,19889,255,839,25,14225,2354,160,1,0,0,0,0,0,0,0,0,5,0,0,0,56308,14669,23532,14225,2974,0.0
37,LET_NOB,22542,93,4656,0,40,0,0,0,1983,0,0,14,0,0,11490,550,0,2,457,4,0,0,0,3,229,0,0,0,8,0,48,0,0,3,1,5,0,35,2078,594,288,47,39,8348,6,316,29,2806,1287,24,4,0,0,0,0,0,0,0,52,0,2,10,0,58093,42148,10049,2806,3046,0.0
38,LET_TAB,13171,0,232,0,12,0,0,0,831,0,0,19,0,0,15097,449,8,0,57,11,0,0,12,0,10,0,0,0,12,0,51,0,3,1,2,3,0,342,3113,681,187,52,33,13720,1268,4649,23,1821,1212,244,1,2,0,0,0,0,0,0,349,1,0,6,0,57685,30289,21149,1821,4066,0.0
39,WIS_HIG,59,0,9,0,6,0,1,0,2,0,0,2,0,0,50,105,0,0,0,0,0,11,0,0,0,0,0,0,2,4,267,0,13,443,0,2,0,6995,2724,2548,2251,770,101,29747,600,913,24,3182,4722,526,0,0,0,0,0,0,0,0,0,0,0,0,0,56079,709,36633,3182,8394,0.0
40,WIS_MEG,1580,4,733,0,243,0,852,0,9,0,44,97,0,0,505,1834,1,0,0,4,0,2,2,0,42,0,4,0,7,20,246,0,0,115,0,0,9,299,3724,5481,3184,641,50,20888,415,747,22,11250,3390,57,0,0,0,0,0,0,0,0,0,28,2,0,0,56531,6137,25569,11250,13080,0.0
41,WIS_KEN,199,4,47,1,12,0,34,0,3,0,5,12,0,0,79,202,0,2,0,0,0,78,0,0,0,5,0,0,3,5,422,0,23,4658,2,0,30,9074,4592,4800,4151,3044,87,13628,47,369,43,7768,1776,718,0,0,0,3,3,0,6,0,0,0,0,0,0,55935,5416,16668,7768,16674,0.0
42,ZUE_REE,5802,0,7526,0,21,0,0,0,3191,3,4,132,0,182,3737,616,0,0,87,0,0,0,1,0,1,0,0,0,62,0,98,5,0,524,272,6,0,21240,1345,1129,230,12,11,5832,58,720,5,3783,819,75,4,0,0,0,0,0,0,0,0,3,2,410,0,57948,22591,7520,3783,2727,0.0
43,DEG_PER_STRIP,7932,5,890,0,25,0,2,3,259,0,10,30,0,0,4906,4705,0,0,9,2,0,0,0,0,0,0,0,0,38,0,33,0,0,2,0,0,12,55,2132,789,142,9,33,23888,451,1512,36,9027,718,40,5,0,0,0,0,0,1,0,35,2,6,0,0,57744,18879,26678,9027,3105,0.0
44,DEG_FOU_WOOD,11773,0,344,0,8,0,0,0,139,0,51,24,0,0,7264,6706,0,0,5,2,0,0,0,0,0,0,0,0,31,0,21,0,0,1,7,12,3,41,2354,1498,265,22,19,12693,510,1402,66,11026,1190,70,15,0,0,0,0,0,0,0,0,0,9,0,0,57571,26394,15950,11026,4158,0.0
45,DEG_DIE_HILL,4095,9,614,2,45,0,0,0,32,0,4,20,0,0,1660,3506,0,0,7,0,2,0,3,0,0,0,0,0,16,0,34,0,0,1,6,5,9,1237,3278,5570,5560,1951,561,15877,546,1401,100,10067,1200,176,7,0,0,0,0,3,0,0,0,0,11,2,0,57617,10059,19861,10067,16920,0.0
46,DEG_DIE_SWC,7202,0,956,0,14,0,3,0,33,0,3,31,0,0,2834,5265,0,0,11,0,0,0,0,0,0,0,0,0,12,0,23,0,0,6,6,5,0,69,2562,972,396,81,46,24136,608,1614,50,9545,1132,58,0,0,0,0,0,0,0,0,0,0,3,0,0,57676,16384,27644,9545,4057,0.0
47,DEG_YOU_BOCES,5430,3,1147,0,29,0,0,0,49,0,0,46,0,0,3057,2435,0,0,6,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,8,8,2,132,5284,7541,6537,2083,99,12403,435,1028,67,8823,854,82,4,0,0,0,0,3,0,0,0,0,15,0,0,57644,12251,14968,8823,21544,0.0
48,DEG_YOU_OSHEA,8285,10,914,0,5,0,0,0,160,0,3,56,0,0,4897,3003,0,0,5,0,0,0,0,0,0,0,0,0,15,0,34,0,0,4,3,8,3,1135,4861,5201,2370,387,146,13594,404,1111,72,9502,1396,103,2,0,0,0,0,0,0,0,0,1,5,0,0,57695,17379,16826,9502,12965,0.0
49,DEG_YOU_JONES,6884,14,341,0,19,0,10,0,137,0,3,258,0,0,4503,4323,0,0,8,0,4,0,0,0,0,0,0,0,19,0,37,0,0,2,0,4,5,2177,2387,1781,456,43,128,21491,997,2074,45,8206,1131,140,1,0,0,0,0,0,0,101,24,0,6,0,0,57759,16666,26006,8206,4795,0.0
50,DEG_VIL,6377,16,345,0,22,0,10,0,24,0,3,217,0,0,4692,4176,0,0,8,0,0,0,0,0,0,0,0,0,21,0,40,0,0,2,0,4,9,2092,2127,1749,438,40,131,22695,643,2228,53,8201,1141,141,3,0,0,0,0,0,0,101,24,0,6,0,0,57779,16060,27032,8201,4485,0.0
51,SEA_HOO,15595,0,6901,0,12,0,2,0,5294,0,7,77,2,1,8760,2137,3,4,161,13,3,0,0,0,2,0,4,0,1322,8,100,0,0,23,781,9,0,49,2524,775,306,43,19,5122,323,1220,5,5167,784,46,25,0,0,0,0,0,0,0,9,2,0,16,0,57656,41173,7519,5167,3667,0.0
52,MIL_HUM,7048,0,4070,0,0,0,0,0,994,0,0,12,0,0,2454,1544,5,0,353,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,6004,4726,750,121,0,17617,1086,2441,39,8043,1116,9,1,0,0,0,0,0,0,0,0,0,0,0,0,58448,16481,22308,8043,11601,0.0
53,ONE_TER,5335,26,93,0,0,0,2,0,3,0,38,4,0,0,2209,2906,0,0,1,0,0,0,0,0,0,0,0,0,4,0,163,0,0,0,0,0,2,1342,6164,4300,3274,1025,56,11037,1486,334,49,14864,6602,227,0,0,0,0,0,0,0,0,0,0,0,0,0,61546,10623,19791,14864,14819,0.0
54,ONE_ADO,2146,3,101,0,1,0,8,0,8,0,2,25,0,0,1078,2208,0,0,4,0,0,0,0,0,0,0,0,5,3,0,206,0,0,0,2,0,0,849,4392,783,432,88,202,27015,7109,895,137,5964,7788,176,13,0,0,0,0,0,0,0,0,0,0,0,0,61643,5607,43322,5964,5897,0.0
55,ONE_STA,15407,1,33,0,2,0,0,0,0,0,6,6,0,0,3361,2540,14,0,8,0,0,0,0,0,0,0,0,4,14,0,59,0,0,3,2,0,0,21,2249,693,368,166,42,22353,1707,853,97,4438,7402,84,0,0,0,0,0,0,0,0,0,0,0,0,0,61933,21401,32538,4438,3518,0.0
