,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Peas,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
38,LET_TAB,2137,0,45,0,6,0,0,22,0,0,0,2033,52,1,0,21,8,0,0,12,9,0,3,0,21,1,0,0,3,0,14,294,37,25,12,8,1212,12,161,1,204,51,0,0,0,0,0,0,3,0,0,5,6413,4361,1445,204,376,0.0
39,WIS_HIG,19,0,8,0,4,0,0,0,0,0,0,15,34,0,0,0,0,0,8,0,0,0,0,2,92,9,308,0,0,0,22,392,455,448,197,9,2928,5,55,4,858,358,3,0,0,0,0,0,0,0,0,0,6233,407,3362,858,1501,0.0
40,WIS_MEG,225,2,113,0,147,14,0,4,18,27,0,99,517,0,0,0,0,0,0,0,6,0,0,0,10,0,28,0,0,1,87,509,872,367,62,8,1449,8,32,0,1457,214,7,0,0,0,0,0,0,2,0,0,6285,1203,1718,1457,1818,0.0
41,WIS_KEN,11,2,0,0,0,3,0,0,0,2,0,16,13,0,0,0,0,0,0,0,0,0,0,0,15,1,239,0,0,0,1523,540,678,542,162,5,1533,4,52,3,602,171,92,0,0,0,0,0,0,0,0,0,6209,287,1860,602,1927,0.0
42,ZUE_REE,486,0,1348,0,11,0,0,573,2,53,131,557,139,0,0,1,0,0,0,1,1,0,1,0,38,0,2,53,0,0,961,161,172,39,2,0,723,4,80,0,736,131,21,0,0,0,0,0,0,2,0,8,6437,3369,959,736,374,0.0
43,DEG_PER_STRIP,1240,0,313,0,0,0,3,166,0,18,0,886,389,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,294,112,13,3,0,1749,69,228,2,843,40,0,0,0,0,0,0,35,0,6,0,6416,3058,2088,843,422,0.0
44,DEG_FOU_WOOD,1983,0,33,0,0,0,0,4,0,0,0,652,915,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,323,152,17,0,4,882,62,181,2,1067,109,3,0,0,0,0,0,0,0,0,0,6396,3594,1243,1067,496,0.0
45,DEG_DIE_HILL,778,0,441,0,22,0,0,11,0,0,0,669,334,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,62,371,751,360,100,29,732,114,162,15,1342,72,14,2,0,1,0,0,0,0,11,0,6405,2272,1138,1342,1611,0.0
46,DEG_DIE_SWC,1612,0,342,0,3,2,0,7,0,18,0,151,273,0,0,3,0,0,0,0,0,0,5,0,0,0,4,4,0,0,4,416,158,33,4,4,1462,47,149,7,1473,216,10,0,0,0,0,0,0,0,0,0,6407,2424,1895,1473,615,0.0
47,DEG_YOU_BOCES,754,0,39,0,0,0,0,0,0,6,0,195,274,0,0,0,0,0,0,0,0,0,1,0,6,0,0,3,2,0,14,512,824,273,49,11,1064,113,179,13,1845,210,18,0,0,0,0,0,0,0,0,0,6405,1274,1608,1845,1669,0.0
48,DEG_YOU_OSHEA,1770,0,220,0,0,0,0,0,0,0,0,771,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,404,519,158,5,0,1587,45,215,4,318,154,9,0,0,0,0,0,0,0,0,0,6411,2918,2014,318,1086,0.0
49,DEG_YOU_JONES,1511,4,70,0,11,1,0,10,0,0,0,729,649,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,3,89,265,406,64,4,11,1045,31,103,3,1281,107,12,0,0,0,0,0,0,0,0,0,6420,2991,1312,1281,750,0.0
50,DEG_VIL,1857,1,89,0,0,6,0,5,0,176,0,587,422,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,4,0,197,246,401,106,2,6,1096,5,60,7,948,159,19,0,0,0,0,0,0,0,0,0,6416,3150,1352,948,761,0.0
51,SEA_HOO,1657,0,976,0,7,0,0,987,0,1,0,706,127,0,4,40,0,0,0,0,0,0,445,8,11,0,0,47,0,0,1,312,60,33,4,0,480,3,68,0,249,165,8,4,0,0,0,0,0,2,0,1,6406,5012,724,249,409,0.0
52,MIL_HUM,1697,0,1074,0,0,0,0,556,0,0,0,643,161,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,192,113,67,26,0,1128,4,33,3,595,65,0,1,0,0,0,0,0,0,0,0,6495,4265,1233,595,398,0.0
53,ONE_TER,1234,0,24,0,0,0,0,0,34,0,0,449,317,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,82,590,756,664,217,5,608,101,20,7,1333,353,11,0,0,0,0,0,0,0,0,0,6839,2058,1105,1333,2232,0.0
54,ONE_ADO,799,3,10,0,0,1,0,0,0,2,0,516,938,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,282,12,19,0,5,2889,202,70,6,590,487,6,0,0,0,0,0,0,0,0,0,6847,2275,3665,590,318,0.0
55,ONE_STA,3612,1,17,0,0,0,0,0,0,3,0,146,134,11,0,5,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,394,193,100,116,29,1161,23,80,17,385,430,10,0,0,0,0,0,0,0,0,0,6880,3930,1750,385,832,0.0
