a2,a1,FarmID,Area of the farm,h1_1_1,h1_2_1,h1_3_1,h1_1_2,h1_2_2,h1_3_2,h1_1_3,h1_2_3,h1_3_3,h1_1_4,h1_2_4,h1_3_4,h1_1_5,h1_2_5,h1_3_5,h1_1_6,h1_2_6,h1_3_6,h1_1_7,h1_2_7,h1_3_7
A1,39,A1-39,105,Si,Entre 6 meses y un año,44.5,Si,Más de 5 años,104.5,Si,Más de 5 años,60,No,,,No,,,No,,,No,,
A1,40,A1-40,23.5,Si,Entre 3 y 5 años,13.5,Si,Más de 5 años,17,Si,Entre 1 y 3 años,0,No,,,Si,Más de 5 años,3.5,No,,,No,,
A1,41,A1-41,3,Si,Entre 1 y 3 años,2,Si,Más de 5 años,2.5,Si,Entre 1 y 3 años,0,Si,Más de 5 años,0.5,No,,,No,,,No,,
A1,42,A1-42,67,Si,Entre 1 y 3 años,6,Si,Más de 5 años,60,Si,Más de 5 años,60,No,,,No,,,No,,,No,,
A1,43,A1-43,53.5,Si,Entre 3 y 5 años,3,Si,Más de 5 años,53,Si,Más de 5 años,50,No,,,No,,,No,,,No,,
A1,44,A1-44,40,Si,Entre 3 y 5 años,15.5,Si,Más de 5 años,39,Si,Más de 5 años,20,No,,,Si,Más de 5 años,3.5,No,,,No,,
A4,2,A4-2,90,Si,Entre 3 y 5 años,10,Si,Más de 5 años,86,Si,Más de 5 años,10,No,,,No,,,No,,,Si,Más de 5 años,3
A4,3,A4-3,14.5,No,,,Si,Más de 5 años,8,Si,Más de 5 años,8,No,,,No,,,No,,,No,,
A4,1,A4-1,22.95,No,,,No,,,Si,Más de 5 años,19,No,,,Si,Entre 3 y 5 años,5,No,,,Si,Entre 3 y 5 años,1
A4,7,A4-7,22.5,Si,Más de 5 años,6,Si,Más de 5 años,6,Si,Más de 5 años,5,No,,,No,,,No,,,Si,Entre 3 y 5 años,1
A3,3,A3-3,15,Si,Entre 1 y 3 años,1.5,Si,Entre 1 y 3 años,12,Si,Más de 5 años,7,Si,Entre 1 y 3 años,3.5,Si,Entre 1 y 3 años,1,Si,Entre 1 y 3 años,7,No,,
A3,10,A3-10,9,Si,Entre 1 y 3 años,0.5,Si,Entre 1 y 3 años,8.75,Si,Más de 5 años,4.5,No,,,No,,,Si,Entre 3 y 5 años,2,No,,
A3,12,A3-12,16,Si,Entre 1 y 3 años,2,Si,Más de 5 años,11.5,Si,Más de 5 años,11.5,Si,Entre 3 y 5 años,11.5,No,,,No,,,No,,
A3,17,A3-17,42,Si,Entre 1 y 3 años,6,Si,Más de 5 años,32,Si,Más de 5 años,25,Si,Más de 5 años,35,Si,Entre 1 y 3 años,0,No,,,No,,
A3,18,A3-18,9,Si,Entre 3 y 6 meses,1,Si,Entre 3 y 5 años,9,Si,Entre 3 y 5 años,6,No,,,No,,,No,,,Si,Entre 1 y 3 años,3
A3,25,A3-25,116,Si,Entre 1 y 3 años,15,Si,Entre 3 y 5 años,94,Si,Más de 5 años,94,Si,Entre 1 y 3 años,25,No,,,Si,Entre 1 y 3 años,8,No,,
A3,21,A3-21,48,Si,Entre 1 y 3 años,4,Si,Entre 1 y 3 años,39,Si,Más de 5 años,39,No,,,Si,Entre 1 y 3 años,1,Si,Entre 1 y 3 años,7,No,,
A4,5,A4-5,60,Si,Más de 5 años,10,Si,Más de 5 años,59.5,Si,Más de 5 años,8,Si,Entre 6 meses y un año,2,No,,,No,,,No,,
A3,8,A3-8,16,Si,Más de 5 años,0,Si,Entre 3 y 5 años,16,Si,Más de 5 años,14,Si,Más de 5 años,5,Si,Entre 1 y 3 años,0,Si,Entre 1 y 3 años,2,No,,
A3,9,A3-9,40,Si,Entre 1 y 3 años,6,Si,Entre 1 y 3 años,34,Si,Más de 5 años,20,Si,Entre 1 y 3 años,14,Si,Entre 1 y 3 años,1,No,,,No,,
A1,24,A1-24,8.5,Si,Entre 3 y 5 años,7,Si,Más de 5 años,8,Si,Más de 5 años,1,Si,Más de 5 años,0,No,,,No,,,No,,
A1,3,A1-3,70,Si,Entre 1 y 3 años,15,Si,Entre 3 y 6 meses,53,Si,Entre 1 y 3 años,53,No,,,No,,,No,,,No,,
A1,2,A1-2,191,Si,Entre 1 y 3 años,90,Si,Entre 3 y 6 meses,190,Si,Entre 6 meses y un año,100,No,,,No,,,No,,,No,,
A1,4,A1-4,200,Si,Entre 1 y 3 años,145,Si,Más de 5 años,165,Si,Más de 5 años,20,No,,,No,,,No,,,No,,
A1,1,A1-1,38,Si,Entre 3 y 5 años,21,Si,Entre 6 meses y un año,37,Si,Entre 3 y 5 años,4,No,,,Si,Más de 5 años,-99,Si,Más de 5 años,12,No,,
A1,11,A1-11,5,Si,Entre 1 y 3 años,2.25,Si,Más de 5 años,4.25,Si,Entre 1 y 3 años,2,No,,,Si,Entre 3 y 5 años,-99,Si,Más de 5 años,2,No,,
A1,13,A1-13,17,Si,Más de 5 años,3,Si,Más de 5 años,16.25,Si,Más de 5 años,11.25,No,,,No,,,Si,Más de 5 años,2,No,,
A1,12,A1-12,47,Si,Entre 3 y 5 años,20,Si,Entre 3 y 5 años,20,Si,Más de 5 años,47,No,,,Si,Más de 5 años,-99,No,,,No,,
A1,14,A1-14,18,Si,Más de 5 años,12,Si,Más de 5 años,16.5,Si,Entre 3 y 5 años,4.5,No,,,No,,,No,,,Si,Entre 3 y 5 años,1
A3,4,A3-4,15,Si,Entre 1 y 3 años,1.5,Si,Entre 1 y 3 años,15,Si,Entre 1 y 3 años,13.5,Si,Entre 1 y 3 años,0.5,Si,Entre 1 y 3 años,0,No,,,No,,
A4,6,A4-6,200,Si,Más de 5 años,10,Si,Más de 5 años,190,Si,Más de 5 años,15,Si,Entre 3 y 6 meses,2,No,,,No,,,No,,
A1,19,A1-19,18,Si,Más de 5 años,6,No,,,Si,Más de 5 años,7,No,,,No,,,Si,Más de 5 años,5,No,,
A1,20,A1-20,20,Si,Más de 5 años,6,No,,,Si,Más de 5 años,14,No,,,No,,,No,,,No,,
A1,18,A1-18,50,Si,Más de 5 años,40,Si,Más de 5 años,40,Si,Más de 5 años,2,No,,,No,,,Si,Más de 5 años,0,No,,
A4,30,A4-30,40,Si,Más de 5 años,16,Si,Más de 5 años,16,Si,Más de 5 años,10,No,,,No,,,No,,,Si,Más de 5 años,1
A4,31,A4-31,14,Si,Más de 5 años,4,Si,Más de 5 años,4,Si,Más de 5 años,8,No,,,No,,,No,,,Si,Más de 5 años,1.5
A1,45,A1-45,62,Si,Entre 6 meses y un año,3,Si,Entre 1 y 3 años,58,Si,Más de 5 años,55,No,,,Si,Entre 3 y 5 años,0,No,,,Si,Más de 5 años,3
A1,48,A1-48,56,No,,,Si,Más de 5 años,55,Si,Más de 5 años,55,No,,,No,,,No,,,No,,
A1,36,A1-36,113,Si,Entre 6 meses y un año,7,Si,Más de 5 años,103.5,Si,Más de 5 años,86.5,No,,,Si,Más de 5 años,5,Si,Más de 5 años,12,No,,
A1,49,A1-49,160,Si,Más de 5 años,25,Si,Más de 5 años,157,Si,Más de 5 años,132,No,,,No,,,Si,Entre 3 y 5 años,0,No,,
A1,50,A1-50,14.5,Si,Entre 3 y 5 años,3,Si,Más de 5 años,11.5,Si,Más de 5 años,8.5,No,,,No,,,No,,,No,,
A1,51,A1-51,35,Si,Entre 3 y 5 años,0,Si,Más de 5 años,34.5,Si,Más de 5 años,27.5,No,,,Si,Más de 5 años,7,No,,,No,,
A1,52,A1-52,83,Si,Entre 1 y 3 años,7,Si,Más de 5 años,82,Si,Más de 5 años,70.5,Si,Más de 5 años,2,No,,,Si,Más de 5 años,2.5,No,,
A1,56,A1-56,6,Si,Entre 1 y 3 años,1,Si,Entre 1 y 3 años,3.5,Si,Más de 5 años,2,Si,Entre 3 y 6 meses,0,Si,Más de 5 años,1.5,No,,,No,,
A1,10,A1-10,99,Si,Más de 5 años,89.5,Si,Más de 5 años,89.5,Si,Más de 5 años,5,No,,,No,,,Si,Más de 5 años,1.5,No,,
A1,5,A1-5,27,Si,Entre 1 y 3 meses,3.5,Si,Más de 5 años,26.5,Si,Entre 3 y 5 años,23,No,,,No,,,Si,Más de 5 años,0,No,,
A1,7,A1-7,56,Si,Entre 1 y 3 años,35.75,Si,Entre 6 meses y un año,55.75,Si,Más de 5 años,20,No,,,No,,,No,,,No,,
A1,8,A1-8,48,Si,Entre 3 y 5 años,4,Si,Más de 5 años,47,Si,Más de 5 años,43,No,,,No,,,Si,Más de 5 años,0,No,,
A1,9,A1-9,12,Si,Entre 3 y 5 años,3,Si,Entre 3 y 5 años,3,Si,Más de 5 años,0,No,,,No,,,Si,Más de 5 años,0,Si,Entre 1 y 3 años,0
A4,28,A4-28,16.07,No,,,Si,Más de 5 años,11,Si,Más de 5 años,4,No,,,No,,,No,,,No,,
A2,9,A2-9,52,No,,,Si,Entre 1 y 3 meses,52,Si,Más de 5 años,43.5,Si,Entre 1 y 3 años,1,No,,,No,,,No,,
A2,10,A2-10,150,Si,Entre 1 y 3 años,20,Si,Entre 1 y 3 años,20,Si,Más de 5 años,126,No,,,Si,Más de 5 años,3.5,Si,Más de 5 años,5,No,,
A2,11,A2-11,117,Si,Entre 6 meses y un año,8,Si,Entre 3 y 5 años,50,Si,Más de 5 años,5,No,,,Si,Más de 5 años,3.5,Si,Más de 5 años,4,Si,Más de 5 años,1
A2,12,A2-12,32,No,,,Si,Más de 5 años,32,Si,Más de 5 años,31,No,,,No,,,No,,,No,,
A2,13,A2-13,43,Si,Entre 3 y 6 meses,3,Si,Más de 5 años,3,Si,Más de 5 años,5,No,,,Si,Entre 3 y 5 años,2,Si,Más de 5 años,5,Si,Más de 5 años,0.5
A2,14,A2-14,55,No,,,No,,,Si,Más de 5 años,11,No,,,No,,,No,,,No,,
A2,32,A2-32,55,No,,,No,,,Si,Más de 5 años,44.5,No,,,No,,,No,,,No,,
A2,33,A2-33,50,Si,Más de 5 años,7,Si,Entre 3 y 5 años,5,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A2,34,A2-34,90,Si,Más de 5 años,50,Si,Más de 5 años,50,Si,Más de 5 años,30,No,,,Si,Más de 5 años,10.5,No,,,Si,Más de 5 años,1
A2,35,A2-35,150,Si,Más de 5 años,50,Si,Más de 5 años,30,No,,,Si,Más de 5 años,0,Si,Más de 5 años,7,No,,,No,,
A2,37,A2-37,30,No,,,Si,Más de 5 años,29,No,,,No,,,Si,Más de 5 años,1.5,No,,,No,,
A2,42,A2-42,11,No,,,Si,Más de 5 años,2,Si,Más de 5 años,8,No,,,No,,,No,,,No,,
A2,38,A2-38,100,No,,,Si,Más de 5 años,20,No,,,No,,,No,,,No,,,No,,
A2,39,A2-39,19,Si,Más de 5 años,3,Si,Más de 5 años,3,Si,Más de 5 años,1,No,,,Si,Más de 5 años,3.5,Si,Más de 5 años,3,Si,Más de 5 años,1
A2,40,A2-40,4,No,,,Si,Más de 5 años,2,No,,,No,,,Si,Más de 5 años,1,No,,,Si,Más de 5 años,1
A2,41,A2-41,69,Si,Más de 5 años,5,Si,Más de 5 años,20,No,,,No,,,Si,Más de 5 años,1,No,,,No,,
A2,36,A2-36,62,No,,,Si,Más de 5 años,30,Si,Más de 5 años,5,No,,,No,,,No,,,No,,
A2,21,A2-21,40,No,,,Si,Más de 5 años,38.5,Si,Más de 5 años,38.5,No,,,Si,Más de 5 años,1.5,No,,,No,,
A3,1,A3-1,34,Si,Más de 5 años,1,Si,Entre 1 y 3 años,1,Si,Más de 5 años,24,No,,,Si,Entre 1 y 3 años,3,Si,Entre 1 y 3 años,1,Si,Entre 1 y 3 años,1
A3,5,A3-5,15,Si,Entre 1 y 3 años,1,No,,,Si,Más de 5 años,10.5,Si,Entre 1 y 3 años,1,Si,Más de 5 años,0,No,,,Si,Entre 1 y 3 años,1
A3,6,A3-6,24,Si,Entre 1 y 3 años,1,Si,Más de 5 años,19.5,Si,Más de 5 años,2,Si,Entre 1 y 3 años,5,Si,Entre 1 y 3 años,3,No,,,No,,
A3,7,A3-7,3.5,Si,Más de 5 años,0.5,Si,Más de 5 años,1.5,Si,Más de 5 años,2,No,,,No,,,No,,,No,,
A2,30,A2-30,78,Si,Más de 5 años,7,Si,Más de 5 años,6,Si,Más de 5 años,10,No,,,No,,,Si,Entre 1 y 3 meses,0.5,No,,
A2,17,A2-17,30,No,,,Si,Más de 5 años,5,Si,Más de 5 años,3,No,,,Si,Más de 5 años,1,No,,,No,,
A2,23,A2-23,28,No,,,No,,,No,,,No,,,No,,,No,,,Si,Más de 5 años,0.5
A2,19,A2-19,13,No,,,No,,,Si,Más de 5 años,1,Si,Entre 3 y 5 años,1,Si,Más de 5 años,4.5,No,,,Si,Entre 6 meses y un año,0.5
A2,31,A2-31,80,Si,Entre 1 y 3 años,5,Si,Entre 1 y 3 años,5,Si,Más de 5 años,5,No,,,Si,Más de 5 años,2.5,No,,,Si,Entre 6 meses y un año,1
A2,15,A2-15,19,No,,,Si,Más de 5 años,16.5,Si,Más de 5 años,7,No,,,Si,Entre 6 meses y un año,1,No,,,No,,
A3,19,A3-19,13,Si,Entre 3 y 5 años,2,Si,Más de 5 años,12.5,Si,Más de 5 años,8,No,,,No,,,Si,Entre 3 y 5 años,4,No,,
A3,11,A3-11,6.5,Si,Más de 5 años,0,No,,,No,,,No,,,No,,,No,,,No,,
A3,14,A3-14,72,No,,,No,,,Si,Más de 5 años,69,Si,Más de 5 años,69,No,,,No,,,No,,
A3,15,A3-15,76,No,,,Si,Más de 5 años,50.5,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A3,16,A3-16,22,No,,,Si,Entre 3 y 5 años,19.5,Si,Más de 5 años,19.5,Si,Entre 3 y 5 años,19.5,Si,Más de 5 años,2,No,,,Si,Más de 5 años,1
A1,21,A1-21,22,Si,Entre 1 y 3 años,17.75,Si,Entre 3 y 5 años,21.75,Si,Entre 3 y 5 años,4,No,,,Si,Más de 5 años,0,No,,,No,,
A1,22,A1-22,44,Si,Entre 3 y 5 años,0,Si,Más de 5 años,43.5,Si,Más de 5 años,43.5,No,,,No,,,Si,Más de 5 años,0,No,,
A2,16,A2-16,110,No,,,Si,Más de 5 años,10,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A2,20,A2-20,67,No,,,Si,Más de 5 años,30,Si,Más de 5 años,30,No,,,No,,,No,,,No,,
A2,2,A2-2,100,No,,,Si,Más de 5 años,7,Si,Más de 5 años,20,No,,,Si,Más de 5 años,1,No,,,No,,
A1,27,A1-27,24.5,Si,Más de 5 años,24,Si,Más de 5 años,24,No,,,No,,,Si,Más de 5 años,0,Si,Más de 5 años,0,No,,
A2,1,A2-1,100,Si,Entre 3 y 6 meses,50,Si,Entre 6 meses y un año,10,Si,Más de 5 años,10,No,,,Si,Entre 3 y 5 años,1,Si,Entre 3 y 5 años,10,No,,
A2,5,A2-5,50,Si,Entre 3 y 5 años,2,Si,Entre 3 y 5 años,2,Si,Más de 5 años,46.5,No,,,No,,,No,,,No,,
A2,6,A2-6,40,No,,,No,,,Si,Más de 5 años,34.5,No,,,No,,,No,,,No,,
A2,8,A2-8,100,No,,,No,,,No,,,No,,,No,,,No,,,No,,
A2,4,A2-4,80,Si,Más de 5 años,20,Si,Más de 5 años,20,Si,Más de 5 años,54.5,No,,,Si,Más de 5 años,3.5,No,,,No,,
A2,3,A2-3,12,No,,,No,,,No,,,No,,,Si,Más de 5 años,0.5,No,,,No,,
A2,7,A2-7,16,No,,,No,,,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A1,25,A1-25,22,Si,Más de 5 años,15.5,Si,Más de 5 años,15.5,Si,Más de 5 años,0,No,,,Si,Más de 5 años,3.5,No,,,No,,
A1,28,A1-28,42,Si,Más de 5 años,42,Si,Más de 5 años,42,No,,,No,,,Si,Más de 5 años,0,Si,Más de 5 años,0,No,,
A3,22,A3-22,22,No,,,Si,Más de 5 años,21.5,Si,Más de 5 años,21.5,Si,Entre 1 y 3 años,1,No,,,No,,,No,,
A4,43,A4-43,23,No,,,Si,Más de 5 años,22,Si,Más de 5 años,1,No,,,No,,,No,,,No,,
A1,16,A1-16,33,Si,Entre 1 y 3 años,0.5,Si,Entre 3 y 5 años,32,Si,Más de 5 años,32,No,,,No,,,No,,,No,,
A3,37,A3-37,9,Si,Entre 1 y 3 meses,1,Si,Más de 5 años,8.5,Si,Más de 5 años,6.5,Si,Entre 3 y 5 años,2,Si,Más de 5 años,2,No,,,No,,
A3,42,A3-42,50,Si,Entre 1 y 3 años,10,Si,Más de 5 años,25,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A3,51,A3-51,20,Si,Entre 1 y 3 años,0.15,Si,Entre 1 y 3 meses,18,Si,Más de 5 años,18,No,,,Si,Más de 5 años,2,No,,,No,,
A3,50,A3-50,16,No,,,No,,,No,,,No,,,Si,Entre 3 y 5 años,2,No,,,No,,
A3,53,A3-53,18.5,Si,Entre 3 y 5 años,2,Si,Más de 5 años,16,Si,Más de 5 años,10,Si,Entre 1 y 3 años,10,No,,,No,,,Si,Entre 1 y 3 años,3
A3,52,A3-52,53,No,,,Si,Más de 5 años,37,Si,Más de 5 años,33,Si,Entre 1 y 3 años,10,No,,,No,,,Si,Entre 3 y 6 meses,4.5
A3,45,A3-45,20,Si,Entre 1 y 3 años,1,Si,Entre 1 y 3 años,7,Si,Más de 5 años,7,Si,Entre 1 y 3 años,7,No,,,No,,,Si,Entre 3 y 5 años,0
A3,47,A3-47,13,Si,Entre 1 y 3 años,2,Si,Entre 1 y 3 meses,6,Si,Más de 5 años,6,Si,Más de 5 años,6,No,,,No,,,No,,
A3,46,A3-46,15,No,,,Si,Más de 5 años,6,Si,Más de 5 años,4,No,,,No,,,Si,Entre 3 y 5 años,3,No,,
A3,48,A3-48,14.5,Si,Entre 3 y 5 años,1,Si,Más de 5 años,7,Si,Más de 5 años,7,Si,Entre 3 y 5 años,2,No,,,Si,Entre 3 y 5 años,1,No,,
A3,49,A3-49,14,Si,Entre 1 y 3 años,2,Si,Entre 3 y 5 años,2.5,Si,Más de 5 años,2.5,Si,Más de 5 años,2,No,,,Si,Entre 1 y 3 años,0.5,No,,
A3,20,A3-20,14,Si,Entre 1 y 3 años,2,Si,Más de 5 años,11.25,Si,Más de 5 años,10,Si,Más de 5 años,1.25,No,,,Si,Entre 3 y 5 años,2,No,,
A3,23,A3-23,74,Si,Entre 1 y 3 años,35,Si,Más de 5 años,71.5,Si,Más de 5 años,71.5,Si,Más de 5 años,35,No,,,Si,Entre 3 y 5 años,0,No,,
A3,24,A3-24,21,Si,Entre 1 y 3 meses,5,Si,Entre 1 y 3 años,20,Si,Más de 5 años,15.25,Si,Más de 5 años,15.25,Si,Entre 3 y 5 años,2,No,,,Si,Más de 5 años,0
A2,45,A2-45,40,No,,,No,,,Si,Más de 5 años,5,No,,,No,,,Si,Más de 5 años,5,No,,
A2,46,A2-46,43,No,,,No,,,Si,Más de 5 años,5,No,,,Si,Más de 5 años,3,Si,Más de 5 años,5,No,,
A2,47,A2-47,37,No,,,Si,Más de 5 años,37,Si,Más de 5 años,5,No,,,No,,,No,,,No,,
A1,35,A1-35,29,Si,Entre 6 meses y un año,18,Si,Más de 5 años,28,Si,Más de 5 años,5.25,No,,,Si,Más de 5 años,5.25,No,,,No,,
A1,38,A1-38,18.5,Si,Entre 6 meses y un año,5,Si,Entre 3 y 5 años,18,Si,Más de 5 años,12,No,,,No,,,No,,,Si,Entre 1 y 3 años,1
A1,37,A1-37,5.5,No,,,No,,,Si,Más de 5 años,5.5,No,,,No,,,No,,,No,,
A4,26,A4-26,16.41,Si,Más de 5 años,10,Si,Más de 5 años,10,Si,Más de 5 años,6,No,,,No,,,No,,,No,,
A4,27,A4-27,186,No,,,Si,Más de 5 años,180,Si,Más de 5 años,54,No,,,No,,,No,,,Si,Más de 5 años,2
A4,29,A4-29,50,Si,Más de 5 años,25,Si,Más de 5 años,48,Si,Más de 5 años,23,No,,,No,,,No,,,Si,Entre 3 y 5 años,1
A1,29,A1-29,86,Si,Entre 1 y 3 años,12,Si,Entre 3 y 5 años,84,Si,Más de 5 años,9,Si,Entre 3 y 5 años,3,Si,Más de 5 años,0,No,,,Si,Entre 3 y 5 años,1
A1,46,A1-46,110,No,,,No,,,Si,Más de 5 años,109,No,,,No,,,No,,,No,,
A1,47,A1-47,84,Si,Entre 1 y 3 años,28,Si,Entre 1 y 3 años,83.25,Si,Más de 5 años,41.25,No,,,No,,,Si,Más de 5 años,6,No,,
A3,38,A3-38,15,Si,Entre 3 y 5 años,5,Si,Más de 5 años,14,Si,Más de 5 años,3,Si,Entre 3 y 5 años,2,Si,Entre 3 y 5 años,5,No,,,Si,Entre 3 y 5 años,0.5
A3,39,A3-39,66,Si,Entre 1 y 3 años,2,Si,Entre 3 y 5 años,38.5,Si,Más de 5 años,34.5,Si,Entre 1 y 3 años,4,No,,,Si,Entre 3 y 5 años,3,No,,
A3,40,A3-40,14,Si,Entre 3 y 6 meses,3,Si,Entre 1 y 3 años,8,No,,,No,,,No,,,No,,,No,,
A3,41,A3-41,33.5,Si,Entre 6 meses y un año,2,Si,Entre 6 meses y un año,33.5,Si,Más de 5 años,8,No,,,No,,,No,,,No,,
A3,43,A3-43,22,Si,Entre 1 y 3 años,8,Si,Entre 3 y 6 meses,14,Si,Más de 5 años,20,Si,Entre 1 y 3 años,8,Si,Entre 1 y 3 años,1,Si,Entre 1 y 3 años,8,No,,
A3,44,A3-44,53,Si,Entre 1 y 3 años,15,Si,Entre 1 y 3 años,23,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A2,52,A2-52,34,No,,,No,,,Si,Más de 5 años,32,No,,,No,,,No,,,No,,
A2,44,A2-44,50,No,,,Si,Más de 5 años,20,Si,Más de 5 años,30,No,,,No,,,No,,,No,,
A2,48,A2-48,21,Si,Más de 5 años,5,Si,Más de 5 años,19,Si,Más de 5 años,5,No,,,Si,Más de 5 años,4,No,,,Si,Más de 5 años,2
A2,49,A2-49,63,No,,,Si,Más de 5 años,58,Si,Más de 5 años,10,Si,Más de 5 años,2,No,,,No,,,No,,
A2,51,A2-51,62,No,,,Si,Más de 5 años,60,Si,Más de 5 años,10,No,,,Si,Más de 5 años,2,Si,Más de 5 años,4,No,,
A2,53,A2-53,103,Si,Más de 5 años,10,Si,Más de 5 años,5,Si,Más de 5 años,5,No,,,No,,,No,,,No,,
A2,56,A2-56,185,Si,Más de 5 años,21,Si,Más de 5 años,180,Si,Más de 5 años,15,No,,,Si,Más de 5 años,21,Si,Más de 5 años,10,No,,
A2,58,A2-58,20,No,,,Si,Más de 5 años,5,No,,,No,,,Si,Más de 5 años,7,No,,,No,,
A2,57,A2-57,66,No,,,Si,Más de 5 años,62,Si,Más de 5 años,10,No,,,No,,,No,,,Si,Más de 5 años,1
A2,54,A2-54,11,No,,,No,,,No,,,No,,,Si,Más de 5 años,1,No,,,No,,
A2,55,A2-55,120,Si,Más de 5 años,10,Si,Más de 5 años,120,Si,Más de 5 años,10,No,,,Si,Más de 5 años,8,Si,Más de 5 años,10,No,,
A2,50,A2-50,85,No,,,Si,Más de 5 años,78,Si,Más de 5 años,10,No,,,Si,Más de 5 años,8,Si,Más de 5 años,60,No,,
A2,59,A2-59,34,No,,,No,,,Si,Más de 5 años,8,No,,,Si,Más de 5 años,1,No,,,No,,
A2,60,A2-60,35,Si,Entre 1 y 3 años,20,Si,Entre 1 y 3 años,20,Si,Entre 1 y 3 años,10,No,,,Si,Más de 5 años,1,No,,,Si,Entre 1 y 3 años,1
