field_id,long,lat,elevation,date,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vpdmin_hPa,vpdmax_hPa
DEG_DIE_HILL,-76.1501,42.6049,1339,2/23/24,0.52,31.1,33.4,35.7,31.8,0.14,1.1
DEG_DIE_HILL,-76.1501,42.6049,1339,2/24/24,0,14.7,32.3,49.9,28.3,0.08,5.89
DEG_DIE_HILL,-76.1501,42.6049,1339,2/25/24,0,8.3,14.8,21.3,6.4,0.13,2.02
DEG_DIE_HILL,-76.1501,42.6049,1339,2/26/24,0,10.2,25.5,40.7,16.5,0.26,5.93
DEG_DIE_HILL,-76.1501,42.6049,1339,2/27/24,0,29.1,41.2,53.2,29.3,0.49,8.12
DEG_DIE_HILL,-76.1501,42.6049,1339,2/28/24,0.13,38.1,51,63.9,41.2,0.89,12.35
DEG_DIE_HILL,-76.1501,42.6049,1339,2/29/24,0.36,20.3,38.8,57.4,30.5,0.57,3.25
DEG_DIE_HILL,-76.1501,42.6049,1339,3/1/24,0,14.6,20,25.3,11.7,0.27,2.33
DEG_DIE_HILL,-76.1501,42.6049,1339,3/2/24,0.16,18.2,32.3,46.5,22.3,0.34,7
DEG_DIE_HILL,-76.1501,42.6049,1339,3/3/24,0.43,35.3,39.8,44.4,40.4,0.02,0.8
DEG_DIE_HILL,-76.1501,42.6049,1339,3/4/24,0,35.2,41,46.8,40.1,0.03,2.05
DEG_DIE_HILL,-76.1501,42.6049,1339,3/5/24,0,38.4,51.6,64.7,43.8,0.21,10.27
DEG_DIE_HILL,-76.1501,42.6049,1339,3/6/24,0.1,44.5,48.2,51.8,45.2,0.14,2.06
DEG_DIE_HILL,-76.1501,42.6049,1339,3/7/24,0.6,36.8,45,53.3,44.1,0.09,1.43
DEG_DIE_HILL,-76.1501,42.6049,1339,3/8/24,0,25.7,35.8,45.9,32.3,0.07,3.47
DEG_DIE_HILL,-76.1501,42.6049,1339,3/9/24,0,28.1,41.9,55.8,26.6,0.24,10.61
DEG_DIE_HILL,-76.1501,42.6049,1339,3/10/24,0.96,34,37.9,41.7,34.6,0.08,3.19
DEG_DIE_HILL,-76.1501,42.6049,1339,3/11/24,0.21,25,30.6,36.3,26.1,0.16,1.71
DEG_DIE_HILL,-76.1501,42.6049,1339,3/12/24,0,27.1,33.2,39.3,21.7,0.57,4.65
DEG_DIE_HILL,-76.1501,42.6049,1339,3/13/24,0,28.8,41.8,54.8,32.5,0.01,7.66
DEG_DIE_HILL,-76.1501,42.6049,1339,3/14/24,0,31.1,49.4,67.7,36.7,0.1,15.01
DEG_DIE_HILL,-76.1501,42.6049,1339,3/15/24,0.3,32.8,47.8,62.8,36.3,0.13,14.56
DEG_DIE_HILL,-76.1501,42.6049,1339,3/16/24,0.02,32.3,37.5,42.7,36.7,0.06,1.11
DEG_DIE_HILL,-76.1501,42.6049,1339,3/17/24,0.16,35.2,43.6,52,31.3,0.27,8.24
DEG_DIE_HILL,-76.1501,42.6049,1339,3/18/24,0.13,27.2,35.8,44.4,28,0.2,5.22
DEG_DIE_HILL,-76.1501,42.6049,1339,3/19/24,0.11,24.8,28.6,32.4,21.8,0.24,2.38
DEG_DIE_HILL,-76.1501,42.6049,1339,3/20/24,0.04,25.4,29.8,34.3,26.2,0.14,2.52
DEG_DIE_HILL,-76.1501,42.6049,1339,3/21/24,0.12,19.7,28.5,37.4,20.6,0.25,2.35
DEG_DIE_HILL,-76.1501,42.6049,1339,3/22/24,0.01,12.6,19.2,25.9,11.9,0.32,2.29
DEG_DIE_HILL,-76.1501,42.6049,1339,3/23/24,0.78,17.7,24.9,32.2,19.3,0.09,2.68
DEG_DIE_HILL,-76.1501,42.6049,1339,3/24/24,0.22,17.3,24.3,31.4,21.9,0.09,0.83
DEG_DIE_HILL,-76.1501,42.6049,1339,3/25/24,0,17.1,24.1,31.1,15.9,0.22,3.16
DEG_DIE_HILL,-76.1501,42.6049,1339,3/26/24,0,24.7,37.6,50.4,21.7,1.11,7.86
DEG_DIE_HILL,-76.1501,42.6049,1339,3/27/24,0,34.8,45.5,56.1,39.3,1.58,5.58
DEG_DIE_HILL,-76.1501,42.6049,1339,3/28/24,0,34.4,44.9,55.5,38,0.89,5.29
DEG_DIE_HILL,-76.1501,42.6049,1339,3/29/24,0,26.8,34.3,41.8,24.2,0.55,4.62
DEG_DIE_HILL,-76.1501,42.6049,1339,3/30/24,0,30,34,38,24.5,0.94,3.09
DEG_DIE_HILL,-76.1501,42.6049,1339,3/31/24,0,30.9,38.1,45.3,26.7,1.15,5.68
DEG_DIE_HILL,-76.1501,42.6049,1339,4/1/24,0,30,38.7,47.4,30.2,0.23,5.14
DEG_DIE_HILL,-76.1501,42.6049,1339,4/2/24,0,32.6,43.7,54.9,33.6,0.52,7.34
DEG_DIE_HILL,-76.1501,42.6049,1339,4/3/24,0.58,39.4,41.2,43.1,38,0.49,2.35
DEG_DIE_HILL,-76.1501,42.6049,1339,4/4/24,1.21,32.3,36.8,41.3,34.8,0.03,1.6
DEG_DIE_HILL,-76.1501,42.6049,1339,4/5/24,0.12,30.7,33.4,36.1,31.5,0.11,1.12
DEG_DIE_HILL,-76.1501,42.6049,1339,4/6/24,0.22,30.8,33.3,35.7,32.2,0.14,1.06
DEG_DIE_HILL,-76.1501,42.6049,1339,4/7/24,0,31.2,38.4,45.7,31.4,0.26,4.39
DEG_DIE_HILL,-76.1501,42.6049,1339,4/8/24,0,27.3,40.1,53,26.9,0.26,9.53
DEG_DIE_HILL,-76.1501,42.6049,1339,4/9/24,0,31.8,46,60.1,30,0.29,13.35
DEG_DIE_HILL,-76.1501,42.6049,1339,4/10/24,0,41.5,57.3,73.2,36.7,1.85,21.47
DEG_DIE_HILL,-76.1501,42.6049,1339,4/11/24,0.47,51.7,56.7,61.8,52.3,0.23,6.21
DEG_DIE_HILL,-76.1501,42.6049,1339,4/12/24,0.51,53.5,58.1,62.7,55.3,0.72,4.84
DEG_DIE_HILL,-76.1501,42.6049,1339,4/13/24,0.45,34.9,46.8,58.8,41.5,0.26,5.78
DEG_DIE_HILL,-76.1501,42.6049,1339,4/14/24,0.3,33,38,43.1,33.9,0.17,2.83
DEG_DIE_HILL,-76.1501,42.6049,1339,4/15/24,0.06,36.4,46.5,56.7,41.9,0.04,5.47
DEG_DIE_HILL,-76.1501,42.6049,1339,4/16/24,0,32.5,44.6,56.8,36.1,0.24,7.79
DEG_DIE_HILL,-76.1501,42.6049,1339,4/17/24,0,33,46.4,59.7,30.8,0.75,11.68
DEG_DIE_HILL,-76.1501,42.6049,1339,4/18/24,0.26,43.9,50.1,56.4,43.6,0.49,8.2
DEG_DIE_HILL,-76.1501,42.6049,1339,4/19/24,0.26,43,47.5,51.9,46,0.09,1.52
DEG_DIE_HILL,-76.1501,42.6049,1339,4/20/24,0.01,41.4,46.6,51.9,43.6,0.54,3.67
DEG_DIE_HILL,-76.1501,42.6049,1339,4/21/24,0,33.9,42.8,51.7,27.9,1.91,7.52
DEG_DIE_HILL,-76.1501,42.6049,1339,4/22/24,0,28.4,35.5,42.6,26,0.44,4.44
DEG_DIE_HILL,-76.1501,42.6049,1339,4/23/24,0,30,40.3,50.6,25.8,0.63,8.09
DEG_DIE_HILL,-76.1501,42.6049,1339,4/24/24,0.05,42.6,53.6,64.6,34.8,0.46,14.99
DEG_DIE_HILL,-76.1501,42.6049,1339,4/25/24,0.05,22.8,36.5,50.2,30,0.3,3.2
DEG_DIE_HILL,-76.1501,42.6049,1339,4/26/24,0,23,36.2,49.4,18.9,0.49,8.55
DEG_DIE_HILL,-76.1501,42.6049,1339,4/27/24,0,34,47.3,60.7,23.3,2.13,14.38
DEG_DIE_HILL,-76.1501,42.6049,1339,4/28/24,0.11,44.4,50,55.6,38.6,0.38,9.72
DEG_DIE_HILL,-76.1501,42.6049,1339,4/29/24,0.12,50.4,59.6,68.9,57.3,0.14,8.4
DEG_DIE_HILL,-76.1501,42.6049,1339,4/30/24,0.27,57.7,66.9,76.1,57.5,0.41,14.7
DEG_DIE_HILL,-76.1501,42.6049,1339,5/1/24,0.1,48.8,62.8,76.9,54.1,0.03,15.82
DEG_DIE_HILL,-76.1501,42.6049,1339,5/2/24,0,50.3,61.1,71.9,49.1,0.35,15.49
DEG_DIE_HILL,-76.1501,42.6049,1339,5/3/24,0,41.7,54.5,67.2,44,0.23,12.7
DEG_DIE_HILL,-76.1501,42.6049,1339,5/4/24,0,51.4,62.7,74,47,2.65,17.6
DEG_DIE_HILL,-76.1501,42.6049,1339,5/5/24,0.48,46.9,56.2,65.6,44.6,0.66,11
DEG_DIE_HILL,-76.1501,42.6049,1339,5/6/24,0.04,48,51.3,54.7,50.1,0.51,1.98
DEG_DIE_HILL,-76.1501,42.6049,1339,5/7/24,0,35.3,51.8,68.3,41.2,0.14,15.74
DEG_DIE_HILL,-76.1501,42.6049,1339,5/8/24,0.28,46.7,59.6,72.6,43.4,0.23,20.17
DEG_DIE_HILL,-76.1501,42.6049,1339,5/9/24,0,46.7,60.5,74.2,47.6,0.59,19.46
DEG_DIE_HILL,-76.1501,42.6049,1339,5/10/24,0.17,46.7,52.6,58.5,43.7,0.27,7.75
DEG_DIE_HILL,-76.1501,42.6049,1339,5/11/24,0.39,45.4,47.9,50.5,46.1,0.14,2.08
DEG_DIE_HILL,-76.1501,42.6049,1339,5/12/24,0.22,44.7,50.7,56.8,44.3,0.48,5.95
DEG_DIE_HILL,-76.1501,42.6049,1339,5/13/24,0,40.5,47.9,55.3,43.5,0.05,5.33
DEG_DIE_HILL,-76.1501,42.6049,1339,5/14/24,0.05,46.2,55.7,65.2,49.9,0.25,8.06
DEG_DIE_HILL,-76.1501,42.6049,1339,5/15/24,0.12,55.7,65.8,75.9,53.9,0.17,16.84
DEG_DIE_HILL,-76.1501,42.6049,1339,5/16/24,0.2,52.6,57.6,62.6,56.2,0.03,3.47
DEG_DIE_HILL,-76.1501,42.6049,1339,5/17/24,0,51.1,60.4,69.8,54.2,0.14,9.99
DEG_DIE_HILL,-76.1501,42.6049,1339,5/18/24,0.05,56.9,63.6,70.3,53.6,0.7,11.34
DEG_DIE_HILL,-76.1501,42.6049,1339,5/19/24,0.07,56.7,60,63.4,57.8,0.37,3.17
DEG_DIE_HILL,-76.1501,42.6049,1339,5/20/24,0,52.1,64.1,76,55.9,0.12,15.27
DEG_DIE_HILL,-76.1501,42.6049,1339,5/21/24,0,57.1,69.4,81.8,59.3,0.38,19.5
DEG_DIE_HILL,-76.1501,42.6049,1339,5/22/24,0,58.5,71.3,84.1,57.6,2.12,24.06
DEG_DIE_HILL,-76.1501,42.6049,1339,5/23/24,0.04,60.5,72.6,84.7,60.5,0.71,22.47
DEG_DIE_HILL,-76.1501,42.6049,1339,5/24/24,0,45.4,60.2,75.1,48.8,0.25,18.35
DEG_DIE_HILL,-76.1501,42.6049,1339,5/25/24,0,45.4,60.9,76.4,46.3,0.44,19.89
DEG_DIE_HILL,-76.1501,42.6049,1339,5/26/24,0.53,53.9,66.4,78.9,55.3,0.04,19.9
DEG_DIE_HILL,-76.1501,42.6049,1339,5/27/24,0.04,59.6,68.1,76.6,58,0.8,16.88
DEG_DIE_HILL,-76.1501,42.6049,1339,5/28/24,0.27,58.3,65.2,72.1,60.3,1.23,7.72
DEG_DIE_HILL,-76.1501,42.6049,1339,5/29/24,0.12,51.3,59.1,66.9,53.5,0.18,8.09
DEG_DIE_HILL,-76.1501,42.6049,1339,5/30/24,0,40.1,52.1,64.1,44.6,0.2,10.47
DEG_DIE_HILL,-76.1501,42.6049,1339,5/31/24,0,36.9,49,61,38,0.17,10.75
DEG_DIE_HILL,-76.1501,42.6049,1339,6/1/24,0,41.7,55,68.2,39.5,0.44,16.62
DEG_DIE_HILL,-76.1501,42.6049,1339,6/2/24,0,49.6,62.8,76,42.6,2.1,23.04
DEG_DIE_HILL,-76.1501,42.6049,1339,6/3/24,0.11,55.2,65.5,75.8,55.6,0.47,16.24
DEG_DIE_HILL,-76.1501,42.6049,1339,6/4/24,0,54.8,64.5,74.3,58.8,0.1,10.72
DEG_DIE_HILL,-76.1501,42.6049,1339,6/5/24,0,57.6,69.5,81.5,57.6,1.19,21.71
DEG_DIE_HILL,-76.1501,42.6049,1339,6/6/24,0.02,65.1,72.1,79,64.5,0.47,12.43
DEG_DIE_HILL,-76.1501,42.6049,1339,6/7/24,1.87,51,62.5,74,58.8,0.22,11.19
DEG_DIE_HILL,-76.1501,42.6049,1339,6/8/24,0.27,52.9,60.8,68.7,52.2,0.54,10.38
DEG_DIE_HILL,-76.1501,42.6049,1339,6/9/24,0.38,51.5,60.1,68.7,50.4,0.22,11.68
DEG_DIE_HILL,-76.1501,42.6049,1339,6/10/24,0.4,51.1,57.7,64.2,51.1,0.28,8.23
DEG_DIE_HILL,-76.1501,42.6049,1339,6/11/24,0,50.2,55.2,60.2,49.4,0.6,5.69
DEG_DIE_HILL,-76.1501,42.6049,1339,6/12/24,0,51.8,55.3,58.8,51.7,0.57,4.34
DEG_DIE_HILL,-76.1501,42.6049,1339,6/13/24,0,47.8,58.6,69.3,50.9,0.13,11.64
DEG_DIE_HILL,-76.1501,42.6049,1339,6/14/24,0.03,59.3,70.8,82.3,56.8,2.45,22.3
DEG_DIE_HILL,-76.1501,42.6049,1339,6/15/24,0,50.9,64,77.1,51.9,0.28,19.81
DEG_DIE_HILL,-76.1501,42.6049,1339,6/16/24,0,41.5,56.1,70.7,45.9,0.07,14.58
DEG_DIE_HILL,-76.1501,42.6049,1339,6/17/24,0,53.5,65,76.5,51.4,2.57,18.19
DEG_DIE_HILL,-76.1501,42.6049,1339,6/18/24,0.09,64,75.6,87.3,64,0.78,23.25
DEG_DIE_HILL,-76.1501,42.6049,1339,6/19/24,0.08,69.9,78.9,87.8,69.7,1.51,19.2
DEG_DIE_HILL,-76.1501,42.6049,1339,6/20/24,0,68.3,78.3,88.3,69.9,1.3,19.98
DEG_DIE_HILL,-76.1501,42.6049,1339,6/21/24,0,65.5,76.6,87.6,68.1,0.73,19.6
DEG_DIE_HILL,-76.1501,42.6049,1339,6/22/24,0.07,66.2,76,85.9,68,0.22,18.83
DEG_DIE_HILL,-76.1501,42.6049,1339,6/23/24,0.2,67.1,76.6,86,68,0.76,19.74
DEG_DIE_HILL,-76.1501,42.6049,1339,6/24/24,0.7,58.7,70.2,81.7,64.1,1.51,12.86
DEG_DIE_HILL,-76.1501,42.6049,1339,6/25/24,0.1,52.1,62.6,73.1,53.2,0.3,14.41
DEG_DIE_HILL,-76.1501,42.6049,1339,6/26/24,0,63.3,71.4,79.5,56.3,3.41,22.2
DEG_DIE_HILL,-76.1501,42.6049,1339,6/27/24,0.25,57.4,69.3,81.1,58.7,0.17,23.74
DEG_DIE_HILL,-76.1501,42.6049,1339,6/28/24,0.01,43.8,55.2,66.5,48.4,0.19,11.06
DEG_DIE_HILL,-76.1501,42.6049,1339,6/29/24,0.28,54.6,64,73.4,49.4,0.88,18.2
DEG_DIE_HILL,-76.1501,42.6049,1339,6/30/24,1.17,62.3,67.5,72.7,66.9,0.78,4.34
DEG_DIE_HILL,-76.1501,42.6049,1339,7/1/24,0.09,54.5,66.6,78.8,57.6,0.42,12.75
DEG_DIE_HILL,-76.1501,42.6049,1339,7/2/24,0,46.3,57.8,69.3,50.9,0.14,10.67
DEG_DIE_HILL,-76.1501,42.6049,1339,7/3/24,0,55.6,66.5,77.4,53.2,2.04,19.75
DEG_DIE_HILL,-76.1501,42.6049,1339,7/4/24,0,66.2,74,81.9,61.3,3.83,17.77
DEG_DIE_HILL,-76.1501,42.6049,1339,7/5/24,0,67.9,76.3,84.7,67,1.21,18.47
DEG_DIE_HILL,-76.1501,42.6049,1339,7/6/24,0.09,69,76,83,69.5,0.35,12.86
DEG_DIE_HILL,-76.1501,42.6049,1339,7/7/24,0.01,58.8,72.2,85.6,63.7,0.68,21.62
DEG_DIE_HILL,-76.1501,42.6049,1339,7/8/24,0,60.3,71.4,82.5,61.8,0.24,18.65
DEG_DIE_HILL,-76.1501,42.6049,1339,7/9/24,0,64,75.2,86.3,64.1,0.57,24.27
DEG_DIE_HILL,-76.1501,42.6049,1339,7/10/24,0,68.3,77.4,86.4,66.2,1.59,22.8
DEG_DIE_HILL,-76.1501,42.6049,1339,7/11/24,0.14,65.4,77.2,89,70.3,0.08,19.87
DEG_DIE_HILL,-76.1501,42.6049,1339,7/12/24,0.03,63.2,69.2,75.3,64.6,0.18,8.37
DEG_DIE_HILL,-76.1501,42.6049,1339,7/13/24,0,62.1,71.8,81.5,64,0.1,16.55
DEG_DIE_HILL,-76.1501,42.6049,1339,7/14/24,0,57.5,70.1,82.8,62.2,0.25,18.32
DEG_DIE_HILL,-76.1501,42.6049,1339,7/15/24,0,63.3,74.7,86,62,1.08,26.37
DEG_DIE_HILL,-76.1501,42.6049,1339,7/16/24,0.68,62.7,75.1,87.5,66.2,0.21,21.3
DEG_DIE_HILL,-76.1501,42.6049,1339,7/17/24,0.08,62.6,74.6,86.6,66.2,0.11,17.36
DEG_DIE_HILL,-76.1501,42.6049,1339,7/18/24,0.03,57.8,68.7,79.7,65,0.04,11.21
DEG_DIE_HILL,-76.1501,42.6049,1339,7/19/24,0,50.6,61.4,72.3,54.2,0.07,12.05
DEG_DIE_HILL,-76.1501,42.6049,1339,7/20/24,0,51.9,63.4,75,54.4,0.08,15.28
DEG_DIE_HILL,-76.1501,42.6049,1339,7/21/24,0,53.4,66.2,79.1,56.2,0.2,18.52
DEG_DIE_HILL,-76.1501,42.6049,1339,7/22/24,0,57.9,68.5,79.2,59.8,0.5,16.09
DEG_DIE_HILL,-76.1501,42.6049,1339,7/23/24,0.31,62.6,72,81.4,63,0.1,18.96
DEG_DIE_HILL,-76.1501,42.6049,1339,7/24/24,0,62.3,71,79.8,63.5,0.19,15.53
DEG_DIE_HILL,-76.1501,42.6049,1339,7/25/24,0.9,61.1,70.1,79,64.8,0.09,9.81
DEG_DIE_HILL,-76.1501,42.6049,1339,7/26/24,0,52.4,63.2,73.9,54.5,0.18,14.69
DEG_DIE_HILL,-76.1501,42.6049,1339,7/27/24,0,48.1,61.3,74.4,50.9,0.22,16.5
DEG_DIE_HILL,-76.1501,42.6049,1339,7/28/24,0,53.7,66.5,79.3,55.3,0.16,19.13
DEG_DIE_HILL,-76.1501,42.6049,1339,7/29/24,0,56.3,69.1,81.9,57.8,0.22,21.3
DEG_DIE_HILL,-76.1501,42.6049,1339,7/30/24,0,60.5,71.8,83.1,62.1,0.53,21.31
DEG_DIE_HILL,-76.1501,42.6049,1339,7/31/24,0.21,67.8,75.3,82.8,68.3,1.11,13.72
DEG_DIE_HILL,-76.1501,42.6049,1339,8/1/24,0.16,61.6,70.6,79.6,66.7,0.03,9.94
DEG_DIE_HILL,-76.1501,42.6049,1339,8/2/24,0.02,66,75.9,85.9,66.2,0.87,20.78
DEG_DIE_HILL,-76.1501,42.6049,1339,8/3/24,0.49,65.8,73.4,81,67.2,0.21,11.5
DEG_DIE_HILL,-76.1501,42.6049,1339,8/4/24,0.14,66.2,72.9,79.6,67.9,0.17,11.73
DEG_DIE_HILL,-76.1501,42.6049,1339,8/5/24,0,58.5,70.6,82.8,63.3,0.1,17.37
DEG_DIE_HILL,-76.1501,42.6049,1339,8/6/24,1.79,64.6,73.3,82,66.3,0.14,15.64
DEG_DIE_HILL,-76.1501,42.6049,1339,8/7/24,0.07,57.4,63.9,70.3,61.6,0.62,5.24
DEG_DIE_HILL,-76.1501,42.6049,1339,8/8/24,0,60.4,67.5,74.5,59.2,1.46,11.8
DEG_DIE_HILL,-76.1501,42.6049,1339,8/9/24,0.63,62.8,65.7,68.7,63.7,0.75,3.6
DEG_DIE_HILL,-76.1501,42.6049,1339,8/10/24,1.02,54.9,65.5,76,65.6,0.06,6.05
DEG_DIE_HILL,-76.1501,42.6049,1339,8/11/24,0,51,62.5,74,54,0.16,13.92
DEG_DIE_HILL,-76.1501,42.6049,1339,8/12/24,0.11,51.3,61.4,71.4,54.5,0.11,11.2
DEG_DIE_HILL,-76.1501,42.6049,1339,8/13/24,0.01,54.3,61.1,67.9,55.6,0.22,8.54
DEG_DIE_HILL,-76.1501,42.6049,1339,8/14/24,0,50.6,62.4,74.2,56,0,12.74
DEG_DIE_HILL,-76.1501,42.6049,1339,8/15/24,0,52.3,65.2,78.2,57.3,0.08,15.99
DEG_DIE_HILL,-76.1501,42.6049,1339,8/16/24,0,52.5,66,79.4,57.3,0.16,18.3
DEG_DIE_HILL,-76.1501,42.6049,1339,8/17/24,0.09,57.1,69.4,81.7,59.8,0.57,20.79
DEG_DIE_HILL,-76.1501,42.6049,1339,8/18/24,0.09,65.9,68.4,71,63.8,1.79,4.74
DEG_DIE_HILL,-76.1501,42.6049,1339,8/19/24,0.04,63.6,71,78.4,65.4,0.13,10.64
DEG_DIE_HILL,-76.1501,42.6049,1339,8/20/24,0.44,51.1,59,66.9,54.9,0.37,3.46
DEG_DIE_HILL,-76.1501,42.6049,1339,8/21/24,0.07,47.4,53.9,60.4,48.2,0.15,6.63
DEG_DIE_HILL,-76.1501,42.6049,1339,8/22/24,0.47,48.8,55.1,61.4,50.8,0.16,5.95
DEG_DIE_HILL,-76.1501,42.6049,1339,8/23/24,0,45.5,57.4,69.3,50.4,0,12.06
DEG_DIE_HILL,-76.1501,42.6049,1339,8/24/24,0,49.4,61.4,73.4,52.7,0.11,15.2
DEG_DIE_HILL,-76.1501,42.6049,1339,8/25/24,0,53.5,65.9,78.4,55.9,0.09,18.37
