Card ID,Data_Collector,Field ID,Date Placed,Date Collected,N.SCM.M.1,N.SCM.F.1,N.SCM.M.2,N.SCM.F.2,N.D.Florilega.1,N.D.Florilega.2,Initials
24_2744,Janice Degni,DEG_FOU_2,9/17/24,9/23/24,0,0,0,0,0,0,LXM
24_2745,Janice Degni,DEG_FOU_2,9/17/24,9/23/24,,,,,,,
24_2762,Janice Degni,DEG_FOU_2,9/23/24,9/30/24,1,3,0,3,3,1,JRW
24_2763,Janice Degni,DEG_FOU_2,9/23/24,9/30/24,,,,,,,
24_3041,Janice Degni,DEG_FOU_2,9/30/24,10/7/24,,,,,,,
24_3042,Janice Degni,DEG_FOU_2,9/30/24,10/7/24,1,0,2,0,0,0,EK
24_3045,Janice Degni,DEG_FOU_2,10/7/24,10/21/24,,,,,,,
24_3046,Janice Degni,DEG_FOU_2,10/7/24,10/21/24,0,0,0,0,0,0,EK
24_3053,Janice Degni,DEG_FOU_2,10/21/24,11/4/24,,,,,,,
24_3054,Janice Degni,DEG_FOU_2,10/21/24,11/4/24,0,0,0,0,0,0,JRW
24_3059,Janice Degni,DEG_FOU_2,11/4/24,11/11/24,,,,,,,
24_3060,Janice Degni,DEG_FOU_2,11/4/24,11/11/24,1,0,0,0,0,0,EK
24_3065,Janice Degni,DEG_FOU_2,11/11/24,11/25/24,3,1,0,0,0,0,LXM
24_1162,Janice Degni,DEG_FOU_WOOD,3/5/24,3/12/24,0,0,0,0,0,0,SN
24_1166,Janice Degni,DEG_FOU_WOOD,3/12/24,3/19/24,1,0,0,0,0,0,SN
24_1170,Janice Degni,DEG_FOU_WOOD,3/19/24,3/25/24,0,0,0,0,0,0,SN
24_1367,Janice Degni,DEG_FOU_WOOD,3/25/24,4/1/24,1,2,0,0,0,0,SN
24_2075,Janice Degni,DEG_FOU_WOOD,4/1/24,4/8/24,0,1,1,1,0,0,CYC
24_1544,Janice Degni ,DEG_FOU_WOOD,,4/15/24,9,9,12,12,0,0,EK
24_1545,Janice Degni ,DEG_FOU_WOOD,,4/15/24,,,,,,,
24_1552,Janice Degni ,DEG_FOU_WOOD,4/15/24,4/22/24,20,19,6,8,0,0,EK
24_1553,Janice Degni ,DEG_FOU_WOOD,4/15/24,4/22/24,,,,,,,
24_1560,Janice Degni ,DEG_FOU_WOOD,4/22/24,4/29/24,16,5,31,9,0,0,AM
24_1561,Janice Degni ,DEG_FOU_WOOD,4/22/24,4/29/24,,,,,,,
24_1936,Janice Degni,DEG_FOU_WOOD,4/29/24,5/6/24,16,18,34,26,1,2,CYC
24_1937,Janice Degni,DEG_FOU_WOOD,4/29/24,5/6/24,,,,,,,
24_1950,Janice Degni,DEG_PER_2,5/6/24,5/13/24,21,8,3,0,0,0,CYC
24_1951,Janice Degni,DEG_PER_2,5/6/24,5/13/24,,,,,,,
24_1954,Janice Degni,DEG_PER_2,5/13/24,5/20/24,4,3,8,5,2,0,AM
24_1955,Janice Degni,DEG_PER_2,5/13/24,5/20/24,,,,,,,
24_2029,Janice Degni,DEG_PER_2,5/21/24,5/28/24,,,,,,,
24_2030,Janice Degni,DEG_PER_2,5/21/24,5/28/24,67,40,54,64,18,2,EK
24_2018,Janice Degni,DEG_PER_2,5/28/24,6/3/24,44,38,45,32,3,2,CYC
24_2019,Janice Degni,DEG_PER_2,5/28/24,6/3/24,,,,,,,
24_2080,Janice Degni,DEG_PER_2,6/3/24,6/10/24,201,124,100,85,104,46,SC
24_2081,Janice Degni,DEG_PER_2,6/3/24,6/10/24,,,,,,,
24_2746,Janice Degni,DEG_PER_2,6/10/24,6/17/24,165,191,126,154,10,8,EW
24_2747,Janice Degni,DEG_PER_2,6/10/24,6/17/24,,,,,,,
24_2297,Janice Degni,DEG_PER_2,,6/24/24,,,,,,,
24_2298,Janice Degni,DEG_PER_2,,6/24/24,15,11,3,3,4,1,LXM
24_2299,Janice Degni,DEG_PER_2,6/24/24,7/1/24,,,,,,,
24_2300,Janice Degni,DEG_PER_2,6/24/24,7/1/24,20,19,43,34,17,21,EW
24_2549,Janice Degni,DEG_PER_2,7/1/24,7/8/24,,,,,,,
24_2550,Janice Degni,DEG_PER_2,7/1/24,7/8/24,,,,,,,
24_2329,Janice Degni,DEG_PER_2,7/8/24,7/15/24,,,,,,,
24_2330,Janice Degni,DEG_PER_2,7/8/24,7/15/24,12,30,11,24,10,23,EW
24_2337,Janice Degni,DEG_PER_2,7/15/24,7/22/24,,,,,,,
24_2338,Janice Degni,DEG_PER_2,7/15/24,7/22/24,7,17,7,54,3,52,SC
24_2345,Janice Degni,DEG_PER_2,7/22/24,7/29/24,,,,,,,
24_2346,Janice Degni,DEG_PER_2,7/22/24,7/29/24,4,10,19,25,0,8,LXM
24_2404,Janice Degni,DEG_PER_2,7/29/24,8/5/24,,,,,,,
24_2405,Janice Degni,DEG_PER_2,7/29/24,8/5/24,,,,,,,
24_2412,Janice Degni,DEG_PER_2,8/5/24,8/12/24,10,17,1,11,4,2,EW
24_2413,Janice Degni,DEG_PER_2,8/5/24,8/12/24,,,,,,,
24_2420,Janice Degni,DEG_PER_2,8/12/24,8/19/24,,,,,,,
24_2421,Janice Degni,DEG_PER_2,8/12/24,8/19/24,,,,,,,
24_2428,Janice Degni,DEG_PER_2,8/19/24,8/26/24,1,12,0,2,3,2,LXM
24_2429,Janice Degni,DEG_PER_2,8/19/24,8/26/24,,,,,,,
24_2436,Janice Degni,DEG_PER_2,8/26/24,9/3/24,0,1,0,1,0,0,LXM
24_2437,Janice Degni,DEG_PER_2,8/26/24,9/3/24,,,,,,,
24_2444,Janice Degni,DEG_PER_2,9/3/24,9/9/24,2,4,0,0,0,0,EW
24_2445,Janice Degni,DEG_PER_2,9/3/24,9/9/24,,,,,,,
24_2748,Janice Degni,DEG_PER_2,9/9/24,9/17/24,0,0,0,0,0,0,LXM
24_2749,Janice Degni,DEG_PER_2,9/9/24,9/17/24,,,,,,,
24_2750,Janice Degni,DEG_PER_2,9/17/24,9/23/24,2,0,0,0,0,0,LXM
24_2751,Janice Degni,DEG_PER_2,9/17/24,9/23/24,,,,,,,
24_2764,Janice Degni,DEG_PER_2,9/23/24,9/30/24,11,6,9,5,8,16,EW
24_2765,Janice Degni,DEG_PER_2,9/23/24,9/30/24,,,,,,,
24_3049,Janice Degni,DEG_PER_2,uncertain,10/21/24,,,,,,,
24_3050,Janice Degni,DEG_PER_2,uncertain,10/21/24,0,0,1,1,0,0,EK
24_3068,Janice Degni,DEG_PER_2,uncertain,11/25/24,0,1,0,0,0,0,EAJ
24_3069,Janice Degni,DEG_PER_2,uncertain,11/25/24,,,,,,,
24_1160,Janice Degni,DEG_PER_STRIP,3/5/24,3/12/24,0,2,0,0,0,0,SN
24_1164,Janice Degni,DEG_PER_STRIP,3/12/24,3/19/24,0,0,0,0,0,0,SN
24_1168,Janice Degni,DEG_PER_STRIP,3/19/24,3/25/24,0,0,0,0,0,0,TW
24_1370,Janice Degni,DEG_PER_STRIP,3/25/24,4/1/24,3,1,1,0,0,0,SN
24_2069,Janice Degni,DEG_PER_STRIP,4/1/24,4/8/24,,,,,,,
24_2070,Janice Degni,DEG_PER_STRIP,4/1/24,4/8/24,0,3,2,1,0,0,AM
24_1540,Janice Degni ,DEG_PER_STRIP,,4/15/24,11,4,40,19,0,0,AM
24_1541,Janice Degni ,DEG_PER_STRIP,,4/15/24,,,,,,,
24_1548,Janice Degni ,DEG_PER_STRIP,4/15/24,4/22/24,23,14,50,24,0,3,EW
24_1549,Janice Degni ,DEG_PER_STRIP,4/15/24,4/22/24,,,,,,,
24_1556,Janice Degni ,DEG_PER_STRIP,4/22/24,4/29/24,54,13,41,20,0,0,EW
24_1557,Janice Degni ,DEG_PER_STRIP,4/22/24,4/29/24,,,,,,,
24_1942,Janice Degni,DEG_PER_STRIP,4/29/24,5/6/24,10,9,19,27,0,0,AM
24_1943,Janice Degni,DEG_PER_STRIP,4/29/24,5/6/24,,,,,,,
24_1159,Janice Degni,DEG_VIL,3/5/24,3/12/24,1,2,0,0,0,0,SN
24_1163,Janice Degni,DEG_VIL,3/12/24,3/19/24,1,0,0,0,0,0,SN
24_1167,Janice Degni,DEG_VIL,3/19/24,3/25/24,0,0,0,0,0,0,TW
24_1368,Janice Degni,DEG_VIL,3/25/24,4/1/24,6,7,0,2,0,0,SN
24_2071,Janice Degni,DEG_VIL,4/1/24,4/8/24,,,,,,,
24_2072,Janice Degni,DEG_VIL,4/1/24,4/8/24,0,0,0,1,0,0,AM
24_1546,Janice Degni,DEG_VIL,,4/15/24,16,12,41,17,0,0,EK
24_1547,Janice Degni,DEG_VIL,,4/15/24,,,,,,,
24_1554,Janice Degni,DEG_VIL,4/15/24,4/22/24,20,42,27,27,0,0,EK
24_1555,Janice Degni,DEG_VIL,4/15/24,4/22/24,,,,,,,
24_1562,Janice Degni,DEG_VIL,4/22/24,4/29/24,10,22,6,10,0,0,AM
24_1563,Janice Degni,DEG_VIL,4/22/24,4/29/24,,,,,,,
24_1940,Janice Degni,DEG_VIL,4/29/24,5/6/24,14,10,54,33,2,3,AM
24_1941,Janice Degni,DEG_VIL,4/29/24,5/6/24,,,,,,,
24_1946,Janice Degni,DEG_VIL_2,5/6/24,5/13/24,17,16,26,21,7,8,AM
24_1947,Janice Degni,DEG_VIL_2,5/6/24,5/13/24,,,,,,,
24_1958,Janice Degni,DEG_VIL_2,5/13/24,5/20/24,21,7,40,16,0,6,CYC
24_1959,Janice Degni,DEG_VIL_2,5/13/24,5/20/24,,,,,,,
24_2031,Janice Degni,DEG_VIL_2,5/21/24,5/28/24,,,,,,,
24_2032,Janice Degni,DEG_VIL_2,5/21/24,5/28/24,82,56,24,15,5,2,EK
24_2020,Janice Degni,DEG_VIL_2,5/28/24,6/3/24,20,13,21,17,3,3,AM
24_2021,Janice Degni,DEG_VIL_2,5/28/24,6/3/24,,,,,,,
24_2076,Janice Degni,DEG_VIL_2,6/3/24,6/10/24,36,36,36,15,0,0,LM
24_2077,Janice Degni,DEG_VIL_2,6/3/24,6/10/24,,,,,,,
24_2281,Janice Degni,DEG_VIL_2,6/10/24,6/17/24,,,,,,,
24_2282,Janice Degni,DEG_VIL_2,6/10/24,6/17/24,75,63,41,50,27,42,SC
24_2283,Janice Degni,DEG_VIL_2,6/17/24,6/24/24,,,,,,,
24_2284,Janice Degni,DEG_VIL_2,6/17/24,6/24/24,5,5,27,22,15,25,EW
24_2285,Janice Degni,DEG_VIL_2,6/24/24,7/1/24,,,,,,,
24_2286,Janice Degni,DEG_VIL_2,6/24/24,7/1/24,66,26,23,20,18,8,JRW
24_2321,Janice Degni,DEG_VIL_2,7/1/24,7/8/24,,,,,,,
24_2322,Janice Degni,DEG_VIL_2,7/1/24,7/8/24,12,14,19,20,19,21,EAJ
24_2327,Janice Degni,DEG_VIL_2,7/8/24,7/15/24,,,,,,,
24_2328,Janice Degni,DEG_VIL_2,7/8/24,7/15/24,,,,,,,
24_2335,Janice Degni,DEG_VIL_2,7/15/24,7/22/24,,,,,,,
24_2336,Janice Degni,DEG_VIL_2,7/15/24,7/22/24,12,3,0,1,1,0,LXM
24_2343,Janice Degni,DEG_VIL_2,7/22/24,7/29/24,,,,,,,
24_2344,Janice Degni,DEG_VIL_2,7/22/24,7/29/24,2,5,2,1,1,0,CYC
24_2398,Janice Degni,DEG_VIL_2,7/29/24,8/5/24,1,9,11,12,0,0,LXM
24_2399,Janice Degni,DEG_VIL_2,7/29/24,8/5/24,,,,,,,
24_2406,Janice Degni,DEG_VIL_2,8/5/24,8/12/24,3,16,0,0,4,1,EK
24_2407,Janice Degni,DEG_VIL_2,8/5/24,8/12/24,,,,,,,
24_2414,Janice Degni,DEG_VIL_2,8/12/24,8/19/24,8,8,5,5,10,5,LXM
24_2415,Janice Degni,DEG_VIL_2,8/12/24,8/19/24,,,,,,,
24_2422,Janice Degni,DEG_VIL_2,8/19/24,8/26/24,,,,,,,
24_2423,Janice Degni,DEG_VIL_2,8/19/24,8/26/24,,,,,,,
24_2430,Janice Degni,DEG_VIL_2,8/26/24,9/3/24,2,0,0,0,0,0,LXM
24_2431,Janice Degni,DEG_VIL_2,8/26/24,9/3/24,,,,,,,
24_2438,Janice Degni,DEG_VIL_2,9/3/24,9/9/24,0,0,0,0,0,0,EW
24_2439,Janice Degni,DEG_VIL_2,9/3/24,9/9/24,,,,,,,
24_2742,Janice Degni,DEG_VIL_2,9/17/24,9/23/24,2,0,4,1,4,0,LXM
24_2743,Janice Degni,DEG_VIL_2,9/17/24,9/23/24,,,,,,,
24_3047,Janice Degni,DEG_VIL_2,10/7/24,10/21/24,,,,,,,
24_3048,Janice Degni,DEG_VIL_2,10/7/24,10/21/24,5,1,2,1,0,1,EK
24_3055,Janice Degni,DEG_VIL_2,10/21/24,11/4/24,,,,,,,
24_3056,Janice Degni,DEG_VIL_2,10/21/24,11/4/24,2,0,3,1,0,0,EAJ
24_3061,Janice Degni,DEG_VIL_2,11/4/24,11/11/24,,,,,,,
24_3062,Janice Degni,DEG_VIL_2,11/4/24,11/11/24,0,0,0,0,0,0,EK
24_3066,Janice Degni,DEG_VIL_2,11/11/24,11/25/24,2,1,0,1,0,0,LXM
24_3067,Janice Degni,DEG_VIL_2,11/11/24,11/25/24,,,,,,,
24_1071,Shea Crowther,DIP_CUR,3/5/24,3/12/24,,,,,,,
24_1072,Shea Crowther,DIP_CUR,3/5/24,3/12/24,0,0,0,0,0,0,AS
24_1087,Shea Crowther,DIP_CUR,3/12/24,3/19/24,,,,,,,
24_1088,Shea Crowther,DIP_CUR,3/12/24,3/19/24,0,0,0,0,0,0,SN
24_1103,Shea Crowther,DIP_CUR,3/19/24,3/26/24,,,,,,,
24_1104,Shea Crowther,DIP_CUR,3/19/24,3/26/24,0,0,0,0,0,0,AS
24_1406,Shea Crowther,DIP_CUR,3/26/24,4/2/24,0,1,0,2,0,0,SN
24_1407,Shea Crowther,DIP_CUR,3/26/24,4/2/24,0,1,0,0,0,0,SN
24_1312,Shea Crowther,DIP_CUR,4/2/24,4/9/24,0,0,0,0,0,0,AM
24_1313,Shea Crowther,DIP_CUR,4/2/24,4/9/24,,,,,,,
24_1422,Shea Crowther,DIP_CUR,4/9/24,4/16/24,6,6,2,2,0,0,AC
24_1423,Shea Crowther,DIP_CUR,4/9/24,4/16/24,4,5,3,1,0,0,AC
24_1775,Shea Crowther,DIP_CUR,4/16/24,4/23/24,,,,,,,
24_1776,Shea Crowther,DIP_CUR,4/16/24,4/23/24,9,6,3,7,0,0,SN
24_1791,Shea Crowther,DIP_CUR,4/23/24,5/1/24,,,,,,,
24_1792,Shea Crowther,DIP_CUR,4/23/24,5/1/24,4,4,4,5,2,0,SN
24_2090,Shea Crowther,DIP_CUR,5/1/24,5/7/24,5,8,20,3,3,3,CYC
24_2091,Shea Crowther,DIP_CUR,5/1/24,5/7/24,,,,,,,
24_2102,Shea Crowther,DIP_CUR,5/7/24,5/14/24,27,43,9,9,3,1,CYC
24_2103,Shea Crowther,DIP_CUR,5/7/24,5/14/24,,,,,,,
24_2112,Shea Crowther,DIP_CUR,5/14/24,5/21/24,22,18,10,17,4,5,AS
24_2113,Shea Crowther,DIP_CUR,5/14/24,5/21/24,,,,,,,
24_2555,Shea Crowther,DIP_CUR,5/21/24,5/28/24,,,,,,,
24_2556,Shea Crowther,DIP_CUR,5/21/24,5/28/24,25,19,36,21,1,5,AS
24_2563,Shea Crowther,DIP_CUR,5/28/24,6/4/24,,,,,,,
24_2564,Shea Crowther,DIP_CUR,5/28/24,6/4/24,77,72,114,85,20,9,AS
24_2571,Shea Crowther,DIP_CUR,6/4/24,6/11/24,,,,,,,
24_2572,Shea Crowther,DIP_CUR,6/4/24,6/11/24,182,122,94,67,78,60,EAJ
24_2579,Shea Crowther,DIP_CUR,6/11/24,6/17/24,,,,,,,
24_2580,Shea Crowther,DIP_CUR,6/11/24,6/17/24,77,79,74,58,32,16,EW
24_2587,Shea Crowther,DIP_CUR,6/17/24,6/25/24,,,,,,,
24_2588,Shea Crowther,DIP_CUR,6/17/24,6/25/24,38,25,26,19,23,17,EW
24_2595,Shea Crowther,DIP_CUR,6/25/24,7/2/24,,,,,,,
24_2596,Shea Crowther,DIP_CUR,6/25/24,7/2/24,93,45,50,22,14,11,JRW
24_2603,Shea Crowther,DIP_CUR,7/2/24,7/9/24,,,,,,,
24_2604,Shea Crowther,DIP_CUR,7/2/24,7/9/24,11,8,4,4,3,1,SC
24_2611,Shea Crowther,DIP_CUR,7/9/24,7/15/24,,,,,,,
24_2612,Shea Crowther,DIP_CUR,7/9/24,7/15/24,0,0,0,0,0,0,SC
24_2619,Shea Crowther,DIP_CUR,7/15/24,7/23/24,,,,,,,
24_2620,Shea Crowther,DIP_CUR,7/15/24,7/23/24,3,3,12,3,0,1,SC
24_2626,Shea Crowther,DIP_CUR,7/23/24,7/30/24,1,6,19,19,3,4,SC
24_2627,Shea Crowther,DIP_CUR,7/23/24,7/30/24,,,,,,,
24_2634,Shea Crowther,DIP_CUR,7/30/24,8/6/24,3,4,1,4,0,0,EAJ
24_2635,Shea Crowther,DIP_CUR,7/30/24,8/6/24,,,,,,,
24_2642,Shea Crowther,DIP_CUR,8/6/24,8/13/24,1,12,0,2,3,1,EAJ
24_2643,Shea Crowther,DIP_CUR,8/6/24,8/13/24,,,,,,,
24_2650,Shea Crowther,DIP_CUR,8/13/24,8/20/24,2,3,2,4,1,2,AS
