Title,Author,Year,Comparison,Response,Response Type,Response Category,Local Factor,Local Strategy,Local Effect,Landscape,Landscape Gradient,Landscape Effect,Interaction Details,Interaction Effect,Sample Size,Simple,Intermediate,Complex,Description
Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tambuini et al. ,2015,Conventional,Predation rates (vegetation-dwelling),Ecosystem Services,Natural enemy,Conservation tillage,Intensity,Positive,"Since the increase in the cover of semi-natural habitats was consistent with the increase in landscape complexity (correlation index = 0·62), landscapes with a high cover of semi-natural habitats are hereafter referred to as ‘complex’ and landscapes with low cover as ‘simple’. Land cover class ‘semi-natural’ included forest patches, hedgerows, tree lines, field margins and grasslands. ",1.2-22.4% semi-natural habitats,NS,Positive in more complex landscapes in conventional fields only ,More positive local effect in complex landscapes,,Positive,Positive,Positive,"Vegetation-dwelling predators (-G-B) showed higher predation in conservation-tilled fields compared with conventional managed ones.

Moreover, we found an interaction between tillage system and landscape complexity (256-m scale), that is the effect of landscape complexity was evident in the fields managed under conventional tillage.

In the fields managed under conservation tillage, the predation index remained stable along the landscape complexity gradient "
Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tambuini et al. ,2015,Conventional,Parasitism rate,Ecosystem Services,Natural enemy,Conservation tillage,Intensity,Positive,"Since the increase in the cover of semi-natural habitats was consistent with the increase in landscape complexity (correlation index = 0·62), landscapes with a high cover of semi-natural habitats are hereafter referred to as ‘complex’ and landscapes with low cover as ‘simple’. Land cover class ‘semi-natural’ included forest patches, hedgerows, tree lines, field margins and grasslands. ",1.2-22.4% semi-natural habitats,Positive,Positive in more complex landscapes in conventional fields only ,More positive local effect in complex landscapes,,Positive,Positive,Positive,"Parasitism rate was higher in fields managed under conservation tillage (an average of 10% parasitized aphids) with respect to conventional tillage (6%) and was positively influenced by high landscape complexity (375-m scale). 

We found an interaction between tillage system and landscape: parasitism rate increased together with landscape complexity only in the fields managed under conventional tillage."
Crop Diversity and Land Simplification Effects on Pest Damage in Northern China ,Sheng et al. ,2016,Conventional,Pest damage (cotton bollworm),Ecosystem Services,Crop,Crop diversity,Diversity,NS,"Landscape simplification caused by cropland expansion was indicated by the percentage of arable land within the agricultural landscape, which was computed irrespective of crop types or patch connectivity as our previous research.",20-50% non-arable land,Positive,More positive in more complex landscapes,More positive local effect in complex landscapes,,NS,NS,Positive,"The relationship between damage of the other two species (cotton bollworms and armyworms) and crop diversity could not be found.

In addition, landscape simplification had no impact on polyphagous species except for cotton worms, which were strongly affected by the interaction of crop diversity and cropland expansion."
Deployment of organic farming at a landscape scale maintains low pest infestation and high crop productivity levels in vineyards,Muneret et al. ,2017,Conventional,Pest infestation (mites),Biodiversity,Pest,Organic,Intensity,NS,"In addition, landscape variables were calculated at three other spatial scales: 250-, 500- and 750-m radii around each field using ArcGIS 10.1 (ESRI).",0-75% semi-natural habitat,Negative,"Organic is positive in more simple landscapes, no difference in more complex landscapes. ",More positive local effect in simple landscapes,,Positive,Positive,NS,"This indicated that mite infestations were greater in conventional fields than in organic fields in landscapes with a low proportion of semi-natural habitats, while there was no difference in mite infestation levels between organic and conventional farming in landscapes with a high proportion of semi-natural habitats.

Model averaging at this scale showed that the proportion of leaves infested with mite galls increased with the proportion of semi-natural habitats in the landscape"
Deployment of organic farming at a landscape scale maintains low pest infestation and high crop productivity levels in vineyards,Muneret et al. ,2017,Conventional,Pest infestation (Phylloxera),Biodiversity,Pest,Organic,Intensity,NS,"In addition, landscape variables were calculated at three other spatial scales: 250-, 500- and 750-m radii around each field using ArcGIS 10.1 (ESRI).",0-75% semi-natural habitat,NS,"Organic is negative in more complex landscapes, and positive in simple landscapes.",More positive local effect in simple landscapes,,Positive,NS,Negative, This interaction indicated that the level of phylloxera infestation was greater in organic fields than in conventional fields but only in landscapes with a high proportion of semi-natural habitats. The opposite was found in landscapes with a low proportion of semi-natural habitats.
Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Mallet et al. ,2022,Control,Spider species richness,Biodiversity,Natural enemy,Pesticide use,Intensity,NS,"We used land cover maps derived from the 2011 land cover map of the Regional Natural Park of the Camargue (scale 1:5000). First, we selected all 1 × 1 km agricultural landscapes, i.e. those covered by at least 60% of agricultural land (including all crops and grasslands), but less than 90% (in order to avoid extremely simplified landscapes). ",11-39% semi-natural habitats,NS,Not significant in more complex landscapes. ,No significant local effect in complex landscapes,,Positive,NS,Negative,The proportion of semi-natural areas had no effect on spider abundance and richness when TFI was low and a positive effect when TFI was high.
Different components of landscape complexity are necessary to preserve multiple taxonomic groups in intensively-managed rice paddy landscapes,Mallet et al. ,2022,Control,Spider abundance,Biodiversity,Natural enemy,Pesticide use,Intensity,NS,"We used land cover maps derived from the 2011 land cover map of the Regional Natural Park of the Camargue (scale 1:5000). First, we selected all 1 × 1 km agricultural landscapes, i.e. those covered by at least 60% of agricultural land (including all crops and grasslands), but less than 90% (in order to avoid extremely simplified landscapes). ",11-39% semi-natural habitats,Positive,Not significant in more complex landscapes. ,No significant local effect in complex landscapes,,Positive,NS,Negative,The proportion of semi-natural areas had no effect on spider abundance and richness when TFI was low and a positive effect when TFI was high.
Diverse landscapes but not wildflower plantings increase marketable crop yield,McCullough et al.,2022,Control,Pest damage (tomato),Ecosystem Services,Crop,Wildflower plantings,Floral,Positive,"Semi-natural habitat cover (evergreen forest, deciduous forest, mixed forest, herbaceous wetlands, woody wetlands, and shrubland) was quantified at 250, 500, 1000-m radii around each farm based on the 2017 Cropland Data Layer",10-70% semi-natural habitat,Positive,Positive local effect (wildflower strips) in more complex landscapes,More positive local effect in more complex landscapes,,Positive,NS,Negative,"In both tomato and squash, the effect of wildflower plantings on pest damage was mediated by the surrounding landscape."
Diverse landscapes but not wildflower plantings increase marketable crop yield,McCullough et al.,2022,Control,Pest damage (squash),Ecosystem Services,Crop,Wildflower plantings,Floral,Negative,"Semi-natural habitat cover (evergreen forest, deciduous forest, mixed forest, herbaceous wetlands, woody wetlands, and shrubland) was quantified at 250, 500, 1000-m radii around each farm based on the 2017 Cropland Data Layer",10-70% semi-natural habitat,NS,Positive local effect (wildflower strips) in more complex landscapes,More positive local effect in more complex landscapes,,Negative,NS,Positive,"In both tomato and squash, the effect of wildflower plantings on pest damage was mediated by the surrounding landscape."
"Diversity of flower-visiting bees in cereal fields: effects of farming system, landscape composition and regional context",Holzschuh et al. ,2007,Conventional,Species richness (Apiformes - bees),Biodiversity,Pollinator,Organic,Intensity,Positive,Circle of 1 km radius around the field center. Calculated proprotion of different habitat types using GIS. Used proportion of annual crop fields as a homogenous indicator for landscape complexity. ,20-100% crop fields,NS,More positive in homogenous ~80% crops (~20% non-crop habitat),More positive local effect in simple landscapes,,Positive,Positive,Positive,"The local-scale factor farming system (organic vs. conventional) had the highest impact on bee diversity. Bee diversity was generally higher in organic than in conventional fields.

The positive effect of organic farming was highest in homogeneous landscapes."
Does soil biota benefit from organic farming in complex vs. simple landscapes?,Flohre et al. ,2011,Conventional,Species richness (earthworms),Biodiversity,Arthropod,Organic,Intensity,Negative,Percentage of agricultural fields was used as an indicator for landscape complexity. ,0-70% non-crop in 100 m radius; 25-75% non-crop in 500 m radius,NS,More positive in less complex landscapes  (from 20-80%),More positive local effect in simple landscapes,,Positive,NS,Negative,"Also earthworm species richness increased, with marginal significance, under conventional management, although this was also dependent on the landscape complexity in 500 m radius.

Landscape simplification in 100 m radius increased microbial biomass carbon in organically managed fields and decreased it in conventionally managed fields .The same pattern could be found for earthworm species richness in 500 m radius."
"Effects of farming intensity, crop rotation and landscape heterogeneity on field bean pollination",Andersson et al. ,2014,Conventional,Pollination success (developed beans),Ecosystem Services,Crop,Organic,Intensity,NS,"The selected landscapes were dominated by arable farmland (mean ± SD = 78 ± 14%) but included important nesting habitats for bumblebees, such as farmyards, field boundaries and semi-natural grasslands.",0-19.3% semi-natural grasslands; 8-36% non-arable land,NS,More positive in more complex landscapes,More positive local effect in complex landscapes,,Negative,NS,Positive,"The proportion of developed beans per pod was related to an interaction between farming practice and LHI, where the proportion of developed beans per pod increased with LHI on organic farms, but not on conventional ones."
"Effects of landscape complexity and habitat management on stemborer colonization, parasitism and damage to maize",Midega et al. ,2014,Control,Pest density (larvae and pupae),Biodiversity,Pest,Push-pull,Diversity,Positive,Proportion cover of grassland was quantified within a 400 m radius at the center of each pair of plots using satellite imagery and ArcGIS. ,0-8% grassland,NS,More positive in more complex landscapes,More positive local effect in complex landscapes,,Positive,Positive,Positive,"In contrast, the effect of cropping system on the number of stemborer larvae and pupae depended significantly on proportion of grassland cover in the surrounding landscape (z = 2.819, P = 0.005; Fig. 1B), with the effect of cropping system being larger in landscapes with more grassland. There was also a significant effect of cropping system, with more larvae and pupae present in control plots (z = 25.395, P < 0.001), and a near significant positive effect of grassland cover (z = 1.847, P = 0.065)."
Experimental evidence that the effectiveness of conservation biological control depends on landscape complexity,Jonsson et al. ,2015,Control,Parasitism rates (aphids),Ecosystem Services,Natural enemy,Floral strips,Floral,NS,"Based on the land cover data, the proportion of annual crop cover in the landscape was determined for each site, and this metric was used as a measure of landscape complexity (i.e. high annual crop cover indicated low landscape complexity and vice versa).",52-98% non-crop,NS,Positive in moderately simplified landscapes,More positive local effect in less simple landscapes,,Negative,NS,Positive,"The effect of floral resource provision on parasitism rates was dependent on landscape context in both the aphid model and the P. xylostella model (i.e. interaction term effects), with a positive effect present only in moderately simplified landscapes (Figs 1b,c and 2). This effect was significant for aphids (P = 0·045) and only marginally non-significant for P. xylostella (P = 0·071)"
Farm and landscape factors interact to affect the supply of pollination services,Nicholson et al.,2017,Control,Bee visitation rate,Ecosystem Services,Pollinator,Agricultural intensification (high to low),Intensity,Positive,"To determine landscape composition surrounding each farm, for each radius, we quantified the proportion of natural area, here defined as the combined area of wetlands, grasslands, shrub and scrublands, mixed forests, deciduous forest and evergreen forest. ",29–86% natural habitat,Positive,Less negative in more complex landscapes.,Less negative local effect in complex landscapes,,Positive,Positive,Positive,"We found that native bee communities responded consistently to landscape pattern at the larger spatial scale (Fig. 2 & Table A.4), and bee visitation rate (r2 = 0.51, P < 0.001), abundance (r2 = 0.55, P < 0.001) and estimated species richness (r2 = 0.31, P < 0.001) increased with the proportion of natural area at this scale. 

Native bee visitation (r2 = 0.19, P = 0.004), abundance (r2 = 0.16, P = 0.011) and species richness (r2 = 0.14, P = 0.018) declined with increasing agricultural intensity (Fig. 3 & Table A.6).

We found a significant interaction between our AII and proportion natural area on visitation rate (7.44 ± 2.29 (interaction slope estimate ± standard error), t = 3.25, P = 0.002), native bee abundance (3.42 ± 1.51, t = 2.26, P = 0.030) and estimated species richness (6.166 ± 2.15, t = 2.86, P = 0.007)"
Farm and landscape factors interact to affect the supply of pollination services,Nicholson et al.,2017,Control,Bee abundance,Biodiversity,Pollinator,Agricultural intensification (high to low),Intensity,Positive,"To determine landscape composition surrounding each farm, for each radius, we quantified the proportion of natural area, here defined as the combined area of wetlands, grasslands, shrub and scrublands, mixed forests, deciduous forest and evergreen forest. ",29–86% natural habitat,Positive,Less negative in more complex landscapes.,Less negative local effect in complex landscapes,,Positive,Positive,Positive,"We found that native bee communities responded consistently to landscape pattern at the larger spatial scale (Fig. 2 & Table A.4), and bee visitation rate (r2 = 0.51, P < 0.001), abundance (r2 = 0.55, P < 0.001) and estimated species richness (r2 = 0.31, P < 0.001) increased with the proportion of natural area at this scale. 

Native bee visitation (r2 = 0.19, P = 0.004), abundance (r2 = 0.16, P = 0.011) and species richness (r2 = 0.14, P = 0.018) declined with increasing agricultural intensity (Fig. 3 & Table A.6).

We found a significant interaction between our AII and proportion natural area on visitation rate (7.44 ± 2.29 (interaction slope estimate ± standard error), t = 3.25, P = 0.002), native bee abundance (3.42 ± 1.51, t = 2.26, P = 0.030) and estimated species richness (6.166 ± 2.15, t = 2.86, P = 0.007)"
Farm and landscape factors interact to affect the supply of pollination services,Nicholson et al.,2017,Control,Bee species richness,Biodiversity,Pollinator,Agricultural intensification (high to low),Intensity,Positive,"To determine landscape composition surrounding each farm, for each radius, we quantified the proportion of natural area, here defined as the combined area of wetlands, grasslands, shrub and scrublands, mixed forests, deciduous forest and evergreen forest. ",29–86% natural habitat,Positive,Less negative in more complex landscapes.,Less negative local effect in complex landscapes,,Positive,Positive,Positive,"We found that native bee communities responded consistently to landscape pattern at the larger spatial scale (Fig. 2 & Table A.4), and bee visitation rate (r2 = 0.51, P < 0.001), abundance (r2 = 0.55, P < 0.001) and estimated species richness (r2 = 0.31, P < 0.001) increased with the proportion of natural area at this scale. 

Native bee visitation (r2 = 0.19, P = 0.004), abundance (r2 = 0.16, P = 0.011) and species richness (r2 = 0.14, P = 0.018) declined with increasing agricultural intensity (Fig. 3 & Table A.6).

We found a significant interaction between our AII and proportion natural area on visitation rate (7.44 ± 2.29 (interaction slope estimate ± standard error), t = 3.25, P = 0.002), native bee abundance (3.42 ± 1.51, t = 2.26, P = 0.030) and estimated species richness (6.166 ± 2.15, t = 2.86, P = 0.007)"
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,Conventional,Carabid species richness ,Biodiversity,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,Negative (meadow),"Negative in more complex meadow landscapes, no effect in conventional. ",More negative local effect in complex landscapes,,Positive,Positive,Negative,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

The proportion of meadow and wood in interaction with field farming system had negative effects on carabid species richness (−0.09 ± 0.09 and −0.21 ± 0.1, respectively; Table 2, Fig. A.2). The proportion of meadow had a negative impact on carabid species richness in OF fields and no effect in CF fields (Table 2, Fig. 4a), whereas woods had a negative effect (Table 2) in both OF and CF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,Conventional,Carabid species richness ,Biodiversity,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,Negative (woody),Negative in more complex woody landscapes in both systems. ,More negative local effect in complex landscapes,,Positive,Positive,Positive,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

The proportion of meadow and wood in interaction with field farming system had negative effects on carabid species richness (−0.09 ± 0.09 and −0.21 ± 0.1, respectively; Table 2, Fig. A.2). The proportion of meadow had a negative impact on carabid species richness in OF fields and no effect in CF fields (Table 2, Fig. 4a), whereas woods had a negative effect (Table 2) in both OF and CF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,Conventional,Spider activity-density,Ecosystem Services,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,NS (woody),"Organic is positive in more complex woody landscapes, conventional is negative.",More positive local effect in complex landscapes,,Positive,Positive,Positive,"Spider activity-density was significantly influenced by the interaction between field farming system and the proportion of wood (500 m) (Table 2), the effect being positive in OF fields and negative in CF fields."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,Conventional,Carabid species richness ,Biodiversity,Natural enemy,Organic,Intensity,Positive,"Selected in an area of about 200,000 ha along two landscape gradients: the first was made up by the proportion of OF around the sampled fields (radius of 500m; ranging from 3.5 to 30%) and the second by the proportion of SNH around the sampled fields (from 6.5 to 65.5%).",6.5 to 65.5% semi-natural habitat,Positive (grass strips),Positive in more complex grassy strips for conventional fields. ,More positive local effect in complex landscapes,,Positive,Positive,Positive,"As for spiders, field farming system had a strong effect on carabid activity-density and species richness (0.56 ± 0.31 and 0.12 ± 0.09, respectively; Table 2), that were significantly higher in OF fields.

Proportion of grass strips in the landscape interacted with farming system (Table 2), and had a positive and significant effect on carabid species richness only in CF field."
