Title,Author(s),Year,Simple Start,Simple End,Int Start,Int End,Complex Start,Complex End,Metric,Detail
Rubber agroforestry in Thailand provides some biodiversity benefits without reducing yields,Warren-Thomas et al.,2019,0,,,,,51,Natural forest,"Within AF, butterfly richness increased with natural forest extent, but not in MO."
Canopy arthropod declines along a gradient of olive farming intensification,Vasconcelos et al.,2022,0,,,,,53.4,Woodland cover,
Correlations between wireworm damages in potato fields and landscape structure at different scales,Hermann et al. ,2013,0,,,,,6,Grassy margins,
"Ecological, environmental, and management data indicate apple production is driven by wild bee diversity and management practices",Weekers et al. ,2022,0,,,,,85.91,Semi-natural habitat,
Establishment and management of wildflower areas for insect pollinators in commercial orchards,Carvell et al.,2022,0,,,,,33,Semi-natural habitat,
Flow and stability of natural pest control services depend on complexity and crop rotation at the landscape scale,Rusch et al. ,2013,0,,,,,30,Ley (frequent crop rotation),
Mixed effects of ecological intensification on natural pest control providers: a short-term study for biotic homogenization in winter wheat fields,Elek et al.,2020,0,20,,,20,,Semi-natural habitats,
Natural enemy–herbivore networks along local management and landscape gradients in urban agroecosystems,Philpott et al.,2020,92,,,,,100,Agriculture --> non-agriculture,
Organic farming and host density affect parasitism rates of tortricid moths in vineyards,Rusch et al. ,2015,0,,,,,100,Semi-natural habitat,Does not support intermediate complexity hypothesis.
"Organic farming and landscape factors affect abundance and richness of hoverflies (Diptera, Syrphidae) in grasslands",Toikkanen et al. ,2016,74,,,,,100,Arable land --> non-arable land,
Organic farming in isolated landscapes does not benefit flower-visiting insects and pollination,Brittain et al. ,2010,0,,,,,75,Uncultivated land,
Predation-mediated ecosystem services and disservices in agricultural landscapes,Tschumi et al. ,2018,0,,,,,70,Semi-natural habitat,
"Hoverflies (Diptera: Syrphidae) benefit from a cultivation of the bioenergy crop Silphium perfoliatum L. (Asteraceae) depending on larval feeding type, landscape composition and crop management",Mueller & Dauber,2016,0.01,,,,,9.5,Semi-natural habitat,
Local management and landscape composition affect predatory mites in European wine-growing regions,Möth et al.,2023,0.34,,,,,69.68,Semi-natural habitats,
Organic viticulture leads to lower trade-offs between agroecosystem goods but does not improve overall multifunctionality,Ostandie et al. ,2022,0.4,,,,,75.1,Semi-natural habitat,
Predators do not benefit from crop diversity but respond to configurational heterogeneity in wheat and cotton fields,Thomine et al. ,2023,0.5,,,,,56,Semi-natural habitat,
Deployment of organic farming at a landscape scale maintains low pest infestation and high crop productivity levels in vineyards,Muneret et al. ,2017,1,,,,,75,Semi-natural habitats,"In very simple landscapes, mites and phylloxera infestations were lower in organic than in conventional fields, while in complex landscapes, the infestation levels were either similar or greater in organic than in conventional fields."
Landscape complexity promotes hoverflies across different types of semi-natural habitats in farmland,Schirmel et al. ,2018,1,,,,,75,Semi-natural habitat,The abundance of non-aphidophagous hoverflies was significantly influenced by the interaction between SNH shape and landscape complexity indicating a stronger increase in abundances with increasing landscape complexity for linear than for areal SNH.
Local pesticide use intensity conditions landscape effects on biological pest control,Ricci et al.,2019,1,,,,,85,Semi-natural habitats,
Organic farming at local and landscape scales fosters biological pest control in vineyards,Muneret et al. ,2018,1,,,,,75,Semi-natural habitat,
Pollination services from field-scale agricultural diversification may be context-dependent,Sardiñas & Kremen,2015,1,,,,,40,Pollinator habitat,
Reduced crop density increases floral resources to pollinators without affecting crop yield in organic and conventional fields,Sidemo-Holm et al. ,2021,1,,,,,18,Semi-natural habitat,
Mixed effects of landscape complexity and insecticide use on ladybeetle abundance in wheat fields,Yang et al.,2018,1.01,30,,,31,54.62,Woody habitats,
Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tambuini et al. ,2015,1.2,,,,,22.4,Semi-natural habitats,"simple landscapes, the adoption of conservation tillage will locally improve biological control"
Soil management shapes ecosystem service provision and trade-offs in agricultural landscapes,Tambuini et al. ,2016,1.2,,,,,22.4,Semi-natural habitat,
Comparing organic farming and land sparing: optimizing yield and butterfly populations at a landscape scale,Hodgson et al.,2010,1.4,,,,,17.2,Organic in the landscape,"Density is higher on organic than on conventional farms, and highest on reserves.
The net effect of any organic land on the landscape is marginally positive."
The effects of landscape complexity and local management on a generalist predator in Kenyan maize push-pull systems,Salzberg et al.,2022,1.4,,,,,21,Semi-natural habitat,
"Body size, richness, and abundance of Staphylinidae unaffected by landscape composition and cropping system in a push–pull maize system in Kenya",Devine et al.,2022,2.9,,,,,25.3,Natural area,
Soil arthropod community in the olive agroecosystem: Determined by environment and farming practices in different management systems and agroecological zones,Gkisakis et al. ,2016,2.9,,,,,35.8,Semi-natural habitat,
Landscape structure and habitat management differentially influence insect natural enemies in an agricultural landscape,Woltz et al. ,2012,3,,,,,79,Semi-natural habitat,
"Wild bee pollinators provide the majority of crop visitation across land-use gradients in New Jersey and Pennsylvania, USA",Winfree et al.,2007,3,19,,,20,64,Woodland,
Direct and indirect effects of management and landscape on biological pest control and crop pest infestation in apple orchards,Daelemans et al.,2022,3.38,,,,,39.84,Semi-natural habitat,
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,3.6,,,,,25,Semi-natural habitat,
Flower fields and pesticide use interactively shape pollen beetle infestation and parasitism in oilseed rape fields,Krimmer et al.,2021,3.6,,,,,31.6,Semi-natural habitat,
Landscape context of organic and conventional farms: Influences on carabid beetle diversity,Purtauf et al. ,2005,5.4,,,,,25.9,Grassland,"In contrast, only the activity density of spring breeders in organic fields was related to grassland (%), as manifested by the management × grassland (%) interaction in the global test."
Farming system and landscape characteristics differentially affect two dominant taxa of predatory arthropods,Djoudi et al.,2018,6.5,,,,,65.5,Semi-natural habitats,"In contrast, the proportion of grass strips in the landscape interacted with farming system (Table 2), and had a positive and significant effect on carabid species richness only in CF field "
Local management and landscape drivers of pollination and biological control services in a Kenyan agro-ecosystem,Otieno et al. ,2011,7,,,,,53,Semi-natural habitat,"This abundance was higher in pesticide untreated fields that were further from semi-native patches than treated fields in similar context.

simple landscape context was characterized as being far away from semi-native habitats and surrounded within a 1 km radius by mainly arable land combined with a low proportion of non-crop habitats "
Differential effects of semi-natural habitats and organic management on spiders in viticultural landscapes,Kolb et al.,2020,7.4,,,,,52.9,Semi-natural habitat,
Habitat area and connectivity support cavity-nesting bees in vineyards more than organic management,Uzman et al.,2020,7.4,,,,,52.9,Semi-natural habitat,
High effectiveness of tailored flower strips in reducing pests and crop plant damage,Tschumi et al. ,2015,8,,,,,75,Non-crop habitat,
Proximity to natural habitat and flower plantings increases insect populations and pollination services in South African apple orchards,Ratto et al.,2021,8,,,,,77,Natural habitat,
Association between landscape composition and the abundance of predator and herbivore arthropods in Bt and non-Bt soybean crops,Abbate et al. ,2022,8.4,,,,,83.2,Non-annual crops,
"Aphids and their enemies in pumpkin respond differently to management, local and landscape features",Pfister et al. ,2017,9,,,,,72,Non-arable land,
Effects of Landscape Composition on Wheat Stem Sawfly (Hymenoptera: Cephidae) and Its Associated Braconid Parasitoids,Peirce et al.,2021,10,,,,,95,Herbaceous cover,
"Spider diversity in cereal fields: comparing factors at local, landscape and regional scales",Clough et al. ,2005,10,,,,,70,Non-crop area,
Unravelling pest infestation and biological control in low-input orchards: the case of apple blossom weevil,Miñarro et al. ,2018,10,,,,,42,Semi-natural habitat,
"The effects of crop type, landscape composition and agroecological practices on biodiversity and ecosystem services in tropical smallholder farms",Vogel et al.,2023,10.74,,,,,68.61,Shrubland,
Impacts of an agri-environment field margin prescription on the flora and fauna of arable farmland in different landscapes,Marshall et al.,2006,12,,,,,38,Arable land --> non-arable land,"There was significantly more arable land (88%) and less grassland (4%) in open areas, compared with the small and intermediate landscapes (62% arable; 26% grass). "
Landscape complexity and elevation affect the effectiveness of a local pest-management practice,Poveda et al. ,2019,12,,,,,62,Cropland --> non cropland,
"Diversity of flower-visiting bees in cereal fields: effects of farming system, landscape composition and regional context",Holzschuh et al. ,2007,14,,,,,83,Cropland --> non cropland,The positive effect of organic farming was highest in homogeneous landscapes.
Local and landscape effects on bee communities of Hungarian winter cereal fields,Kovács-Hostyánszki et al. ,2010,14.5,,,,,54.6,Semi-natural habitat,
"How do landscape composition and configuration, organic farming and fallow strips affect the diversity of bees, wasps and their parasitoids?",Holzschuh et al. ,2010,15,,,,,70,Non-crop habitat,
Limited benefits of non-crop vegetation on spiders in Australian vineyards: regional or crop differences?,D'Alberto et al. ,2012,15,,,,,55,Woody vegetation,
Local and landscape factors in differently managed arable fields affect the insect herbivore community of a non-crop plant species,Clough et al. ,2006,17,,,,,83,Non-crop habitat,
Local landscape heterogeneity affects crop colonization by natural enemies of pests in protected horticultural cropping systems,Aviron et al. ,2016,18,,,,,65,Semi-natural habitats,
Interacting effects of farming practice and landscape context on bumblebees,Rundlof et al. ,2008,19,,,,,90,Arable land --> non-arable land,
Landscape and management effects on structure and function of soil arthropod communities in winter wheat,Diekötter et al. ,2010,19.3,,,,,48.7,Arable land --> non-arable land,The combined activity density of macrofauna decomposer species (millipedes and woodlice) was significantly affected by the interaction between farming system and landscape context
Crop Diversity and Land Simplification Effects on Pest Damage in Northern China ,Sheng et al. ,2016,20,,,,,50,Cropland --> non-cropland,"In addition, landscape simplification had no impact on polyphagous species except for cotton worms, which were strongly affected by the interaction of crop diversity and cropland expansion."
Pollination services decline with distance from natural habitat even in biodiversity-rich areas,Carvalheiro et al. ,2010,20,,,,,72,Natural habitat,
Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic et al.,2017,23,,,,,60,Arable land --> non-arable land,but this effect was reduced in fertilised plots and in simplified landscapes
Organic versus conventional arable farming systems: Functional grouping helps understand staphylinid response,Clough et al. ,2007,38.2,,,,,76.5,Arable land --> non-arable land,
Unpacking the push-pull system: Assessing the contribution of companion crops along a gradient of landscape complexity,Kebede et al.,2018,25,,,,,75,Semi-natural/perennial,
The effect of organic farming on butterfly diversity depends on landscape context,Rundlof & Smith,2006,25.1,,,,,88.8,Arable land --> non-arable land,Farming practice significantly affected butterfly species richness in the homogeneous
Trade-offs in arthropod conservation between productive and non-productive agri-environmental schemes along a landscape complexity gradient,Mader et al. ,2017,15.4,,,,,73.2,Arable land --> non-arable land,26.8					84.6
Farm and landscape factors interact to affect the supply of pollination services,Nicholson et al.,2017,29,,,,,86,Natural habitat,"We found a significant interaction between our AII and proportion natural area on visitation rate (7.44 ± 2.29 (interaction slope estimate ± standard error), t = 3.25, P = 0.002), native bee abundance (3.42 ± 1.51, t = 2.26, P = 0.030) and estimated species richness (6.166 ± 2.15, t = 2.86, P = 0.007)"
Landscape composition and local floral resources influence foraging behavior but not the size of Bombus impatiens Cresson (Hymenoptera: Apidae) workers,Gervais et al.,2020,30,,,,,100,Intensive crops --> non-intensive crops,
Responses in plant and carabid communities to farming practises in boreal landscapes,Ekroos et al. ,2009,30,,,,,60,Semi-natural habitat,
Responses of grassland specialist and generalist beetles to management and landscape complexity,Batáry et al.,2007,30,,,,,97,Grassland,
High cover of hedgerows in the landscape supports multiple ecosystem services in Mediterranean cereal fields,Dainese et al. ,2016,0,,,,,62,Arable land --> non-arable land,
The influence of landscape context and farming practices on parasitism of cereal aphids,Roschewitz et al. ,2005,20,34,,,35,50,Arable land --> non-arable land,
"Agricultural intensification and biodiversity partitioning in European landscapes comparing plants, carabids, and birds",Flohre et al. ,2011,,,,,,,,Used an agricultural intensity index to measure complexity - did not have percentages
A macro-scale perspective on within-farm management: how climate and topography alter the effect of farming practices,Amano et al. ,2011,,,,,,,,
Are spiders reacting to local or landscape scale effects in Hungarian pastures?,Batáry et al.,2008,,,,,,,,
"Arthropod Diversity and Community Structure in Relation to Land Use in the Mekong Delta, Vietnam",Wilby et al. ,2006,,,,,,,,
Landscape composition overrides field level management effects on maize stemborer control in Ethiopia,Kebede et al.,2019,,,,,,,,
"Local and neighbourhood effects of organic and conventional wheat management on aphids, weeds, and foliar diseases",Gosme et al. ,2012,,,,,,,,
"Local, landscape, and diversity drivers of predation services provided by ants in a coffee landscape in Chiapas, Mexico",De la Mora et al. ,2015,,,,,,,,
Management intensity at field and landscape levels affects the structure of generalist predator communities,Rusch et al. ,2014,,,,,,,,
Mutual and Opposing Responses of Carabid Beetles and Predatory Wasps to Local and Landscape Factors in Vineyards,Uzman et al.,2020,,,,,,,,
Organic farming affects the biological control of hemipteran pests and yields in spring barley independent of landscape complexity,Birkhofer et al. ,2016,,,,,,,,
"Organic farming supports lower pest infestation, but fewer natural enemies than flower strips",Torok et al. ,2021,,,,,,,,
Scale-dependent environmental filtering of ground-dwelling predators in winter wheat and adjacent set-aside areas in Hungary,Ruzickova et al. ,2020,,20,,,21,,Semi-natural habitat,
"Sweep netting samples, but not sticky trap samples, indicate beneficial arthropod abundance is negatively associated with landscape wide insecticide use",Bakker et al. ,2022,,,,,,,,
Time course study of Bactrocera oleae (Diptera: Tephritidae) pupae predation in soil: the effect of landscape structure and soil condition,Ortega et al. ,2017,,,,,,,,
