Title,Author,Year,Country,Continent,Climate,Comparison,Response,Response Category,Local Factor,Local Strategy,Local Effect,Landscape,Landscape Gradient,Minimum Complexity,Maximum Complexity,Landscape Effect,Interaction Details,Interaction Effect,Description
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Multidiversity of pollinators,Pollinator,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,All other taxonomic groups showed no significant relation to flowering field size or proportion of seminatural habitats.
A multitaxa assessment of the effectiveness of agri-environmental schemes for biodiversity management,Boetzel et al.,2021,Germany,Europe,,Conventional,Multidiversity of natural enemies,Natural enemy,"Flower field age (new, refreshed, continuous)",Floral,NS,"The amount of seminatural habitat (forest edges, field margins, bank borders, roadside vegetation, small wood groves, hedgerows, orchard meadows, and extensive pastures, calcareous grasslands, and grassland taken out of agricultural production) (17) in a 1-km radius around study sites ranged from 3.6 to 25.0%.",3.6-25% semi-natural habitat,3.6,25,NS,NS,NS,"Calcareous grasslands supported a higher pollinator diversity than flowering fields, while there were no differences among AES types with different temporal continuity in diversity of natural enemies."
Agricultural extensification enhances functional diversity but not phylogenetic diversity in Mediterranean olive groves: A case study with ant and bird communities,Garcia-Navas et al.,2022,Spain,Europe,,Conventional,Phylogenetic diversity (ants),Arthropod,Extensive management (herbaceous cover),Intensity,NS,"The landscape surrounding the two farms in each locality varied across the study area and can be classified into three broad categories of complexity: (i) simple landscapes (seven localities, 14 farms), dominated by olive groves, with some other crops (frequently cereals) intercalated and with scarce remnants of natural habitat; (ii) intermediate landscapes (seven localities, 14 farms), in which olives groves are interspersed with other crops and with some natural or semi-natural habitat remnants (often semi-natural forests, afforestations, scrublands or grasslands); and (iii) complex landscapes (six localities, 12 farms) where olive groves (which may not be the major land use) co-occur with a diverse representation of natural habitats (woodlands, scrublands and grasslands).",4.96-34.33% natural habitat,4.96,34.33,NS,NS,NS,"In ants, we did not find significant differences in terms of PD between intensive and extensive farms nor among landscape categories.

For both phylogenetic indices, the interaction landscape complexity x management was not significant."
Agricultural extensification enhances functional diversity but not phylogenetic diversity in Mediterranean olive groves: A case study with ant and bird communities,Garcia-Navas et al.,2022,Spain,Europe,,Conventional,Functional diversity (ants),Arthropod,Extensive management (herbaceous cover),Intensity,NS,"The landscape surrounding the two farms in each locality varied across the study area and can be classified into three broad categories of complexity: (i) simple landscapes (seven localities, 14 farms), dominated by olive groves, with some other crops (frequently cereals) intercalated and with scarce remnants of natural habitat; (ii) intermediate landscapes (seven localities, 14 farms), in which olives groves are interspersed with other crops and with some natural or semi-natural habitat remnants (often semi-natural forests, afforestations, scrublands or grasslands); and (iii) complex landscapes (six localities, 12 farms) where olive groves (which may not be the major land use) co-occur with a diverse representation of natural habitats (woodlands, scrublands and grasslands).",4.96-34.33% natural habitat,4.96,34.33,Positive,NS,NS,"In ants, all examined FD indices showed non-significant differences between extensive and intensive farms.

Farms located in simple landscapes harbored ant assemblages with lower functional richness (Fig. 3e; F2,17 = 3.49, p = 0.05) and lower functional originality (Fig. 3f; F2,17 = 4.06, p = 0.04) in comparison with those from farms embedded within a more heterogenous matrix. "
"Agricultural intensification and biodiversity partitioning in European landscapes comparing plants, carabids, and birds",Flohre et al. ,2011,Multiple,Europe,,Conventional,Beta diversity (carabids) ,Natural enemy,Agricultural intensification (low to high),Intensity,Negative,"Percentage of agricultural fields, which is closely related to habitat type diversity and mean field size was used as an indicator for landscape complexity. ",,,,NS,Medium intensity has a negative effect on diversity in heterogenous landscapes,More negative local effect in complex landscapes,"β diversities of carabids were only decreased at the region scale.

Carabid βfarm diversity showed a significant interaction between AI and percentage of arable land. Only at the medium AI level was the percentage of arable land positively correlated to βfarm diversity, while the low and high AI levels showed no relationship "
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Multiple,Europe,,Conventional,Quad (colony) weight (bumblebees),Pollinator,Local floral species richness,Floral,Negative,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,0,24,Positive,NS,NS,"Initial quad weight was however negatively correlated with local flower species richness.

Quads gained weight at a higher rate and over a longer time period in landscapes composed of less intensive crops or more flowering crops."
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Multiple,Europe,,Conventional,Colony survival,Pollinator,Local floral species richness,Floral,NS,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,0,24,Positive,NS,NS,"Survival decreased with the proportion of intensive crops and increased with the proportion of flowering crops, but was not affected by local flower species richness.

No evidence of interaction between landscape habitat variables or between the latter and local flower species richness was found."
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Multiple,Europe,,Conventional,Queen production,Pollinator,Local floral species richness,Floral,NS,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,0,24,NS,NS,NS,We found no clear evidence that landscape habitat composition or local flower species richness influenced this fitness component.
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Multiple,Europe,,Conventional,Nest weight,Pollinator,Local floral species richness,Floral,Negative,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,0,24,NS,NS,NS,"Nest weight of dead colonies was influenced by both landscape habitat composition and local flower species richness, but no interaction within or between these two components was found.

Nest weight showed a decreasing trend with local flower species richness."
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Multiple,Europe,,Conventional,Depredation probability,Pollinator,Local floral species richness,Floral,NS,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,0,24,NS,NS,NS,"Yet, none of the predictors that we considered influenced the likelihood that a colony is depredated by A. sociella."
Agricultural landscape composition affects the development and life expectancy of colonies of Bombus impatiens,Gervais et al.,2020,Multiple,Europe,,Conventional,Pollen load diversity,Pollinator,Local floral species richness,Floral,NS,"We determined landscape structure within a 1 km radius around each bumble bee quad by characterizing all polygons (e.g., fields, roads, forests) we could delineate on orthophotographs.",0-24% non-intensive,0,24,NS,"Positive when local species richness was high, constant when local floral richness was low. ",More positive local effect in complex landscapes,"Landscape composition as well as local floral richness did not clearly influence the richness of pollen bought back to the colonies.

Indeed, pollen grain richness only tended to decrease with the amount of intensive cultures when the local floral species richness was high and stayed constant when the local floral richness was low."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,France,Europe,,Control,Seed yield/plant C. segetum,Crop,Local floral species richness,Floral,NS,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,5,34,Positive,Positive effect of local factor in more complex landscapes. ,More positive local effect in complex landscapes,C. segetum seed yield increased with flowering crop cover where there was a correspondingly high semi-natural habitat cover.
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,France,Europe,,Control,Seed yield/plant C. jacea,Crop,Local floral species richness,Floral,Positive,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,5,34,Negative,NS,NS,Seed yield of C. jacea related negatively to the cover of semi-natural habitat.
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,France,Europe,,Control,Pollinator abundance C. segetum,Pollinator,Local floral species richness,Floral,Positive,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,5,34,Negative,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,"The abundance of pollinators on C. segetum related positively to non-crop species richness.

A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,France,Europe,,Control,Pollinator abundance C. jacea,Pollinator,Local floral species richness,Floral,NS,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,5,34,NS,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,"A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,France,Europe,,Control,Pollinator species richness C. segetum,Pollinator,Local floral species richness,Floral,Positive,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,5,34,NS,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,"Greater non-crop flower richness increased and decreased richness of pollinators for C. segetum and C. jacea respectively.

A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
"Agroecological farming, flowering phenology and the pollinator–herbivore–parasitoid nexus regulate non-crop plant reproduction",Monticelli et al.,2022,France,Europe,,Control,Pollinator species richness C. jacea,Pollinator,Local floral species richness,Floral,Negative,"Within a radius of 300 m of each plot, we quantified the local landscape composition. Semi-natural habitats (woodland, hedges, grass and wildflower strips, vegetation along pathways/tracks).",5-34% semi-natural habitat,5,34,NS,Positive effect of local factor in more simple landscapes. ,More positive local effect in simple landscapes,"Greater non-crop flower richness increased and decreased richness of pollinators for C. segetum and C. jacea respectively.

A significant interaction revealed that C. segetum and C. jacea received higher abundance and species richness of pollinators where there was greater cover of flowering crops, but only when the corresponding area of semi-natural habitat was very low (<10%)."
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,Sweden,Europe,,Control,Pollinator species richness (bumblebees),Pollinator,Flower strip,Floral,Positive,The landscapes surrounding the clover seed fields were characterized within a 1-km radius using digital land use data from the Integrated Administration and Control System (IACS). Proportions of these habitat types did not differ between fields with a flower strip and control fields.,24-86% non-arable land,24,86,NS,"More positive at simple and intermediate landscapes, not in more complex landscapes. ",Less positive local effect in complex landscapes,"Overall, bumble bee species richness was 16% higher in clover fields with a flower strip, but there was an interaction between presence of flower strip and proportion arable land.

Post hoc tests gave that species richness was higher in fields with strips compared with control fields at 30% (t33 = 3.00, p = 0.0051), 40% (t37 = 3.01, p = 0.0047) and 50% (t42 = 2.31, p = 0.026) arable land in the surrounding landscape, but not at 60%"
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,Sweden,Europe,,Control,Pest density (weevil),Pest,Flower strip,Floral,NS,The landscapes surrounding the clover seed fields were characterized within a 1-km radius using digital land use data from the Integrated Administration and Control System (IACS). Proportions of these habitat types did not differ between fields with a flower strip and control fields.,24-86% non-arable land,24,86,NS,NS,NS,"Weevil density was higher in 2009, in Skåne and in tetraploid clover, but was not related to presence or size of the flower strip."
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,Sweden,Europe,,Control,Parasitism rate,Natural enemy,Flower strip,Floral,NS,The landscapes surrounding the clover seed fields were characterized within a 1-km radius using digital land use data from the Integrated Administration and Control System (IACS). Proportions of these habitat types did not differ between fields with a flower strip and control fields.,24-86% non-arable land,24,86,NS,NS,NS,"Parasitism rate of the natural enemies to the weevils was higher in 2010, in the edge transect and in fields with diploid clover and increased with flower density in fields with flower strips, but was not related to presence or size of the flower strip."
Annual flower strips support pollinators and potentially enhance red clover seed yield,Rundlöf et al. ,2018,Sweden,Europe,,Control,Seed yield,Crop,Flower strip,Floral,NS,The landscapes surrounding the clover seed fields were characterized within a 1-km radius using digital land use data from the Integrated Administration and Control System (IACS). Proportions of these habitat types did not differ between fields with a flower strip and control fields.,24-86% non-arable land,24,86,NS,NS,NS,"The clover seed yield was not related to the presence of flower strips, but increased with flower strip area."
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,Spain,Europe,,Conventional,Ant abundance (moth predator),Natural enemy,Extensive management (herbaceous cover),Intensity,Positive,"We measured the compositional and configurational heterogeneity of the landscapes in a buffer of 2 km radius around the centroid of each pair of farms. The CART rendered that just three of these variables: percentage of semi-natural area, distance to the nearest neighbor, and mean patch area, adequately ascribed the 20 localities into the previously a priori groups.","<9% semi-natural habitat = simple, >9% and high NND = intermediate, >9% and mosaic of land uses",,,NS,Most positive local effect (herbaceous cover) in intermediate landscapes.,More positive local effect in intermediate landscapes,"Mean ant abundance per pitfall/farm varied between 19 and 149 individuals per trap, and was higher on farms with herb cover in intermediate landscapes."
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,Spain,Europe,,Conventional,Ant abundance (fly predator),Natural enemy,Extensive management (herbaceous cover),Intensity,NS,"We measured the compositional and configurational heterogeneity of the landscapes in a buffer of 2 km radius around the centroid of each pair of farms. The CART rendered that just three of these variables: percentage of semi-natural area, distance to the nearest neighbor, and mean patch area, adequately ascribed the 20 localities into the previously a priori groups.","<9% semi-natural habitat = simple, >9% and high NND = intermediate, >9% and mosaic of land uses",,,NS,NS,NS,
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,Spain,Europe,,Conventional,Ant-community predation function (predation pressure index)(moth predator),Natural enemy,Extensive management (herbaceous cover),Intensity,Positive,"We measured the compositional and configurational heterogeneity of the landscapes in a buffer of 2 km radius around the centroid of each pair of farms. The CART rendered that just three of these variables: percentage of semi-natural area, distance to the nearest neighbor, and mean patch area, adequately ascribed the 20 localities into the previously a priori groups.","<9% semi-natural habitat = simple, >9% and high NND = intermediate, >9% and mosaic of land uses",,,NS,NS,NS,The APF for the olive moth was affected by management and was on average a 30 % higher on farms that maintained the herb cover.
Ant community potential for pest control in olive groves: Management and landscape effects,Martinez-Nunez et al.,2021,Spain,Europe,,Conventional,Ant-community predation function (predation pressure index)(fly predator),Natural enemy,Extensive management (herbaceous cover),Intensity,NS,"We measured the compositional and configurational heterogeneity of the landscapes in a buffer of 2 km radius around the centroid of each pair of farms. The CART rendered that just three of these variables: percentage of semi-natural area, distance to the nearest neighbor, and mean patch area, adequately ascribed the 20 localities into the previously a priori groups.","<9% semi-natural habitat = simple, >9% and high NND = intermediate, >9% and mosaic of land uses",,,NS,NS,NS,
"Aphids and their enemies in pumpkin respond differently to management, local and landscape features",Pfister et al. ,2017,Germany,Europe,,Conventional,Aphid density,Pest,Organic,Intensity,Negative,"In addition, the pumpkin fields were located in landscapes differing in the proportion of agriculture in 1 km radius around the focal field (28–91%). ",9-72% non-arable land,9,72,Negative,NS,NS,"The slower changes of aphid density at the end of June in organic fields (Table 2) lead to four times higher aphid abundances at the end of July (Table 2) in organic compared to conventional fields.

Fields with a higher proportion of agriculture in the surrounding landscape had lower densities of aphids (Fig.5A) and were less infested by aphids early in the growing season at the end of May."
"Aphids and their enemies in pumpkin respond differently to management, local and landscape features",Pfister et al. ,2017,Germany,Europe,,Conventional,Aphid gall midge density,Pest,Organic,Intensity,NS,"In addition, the pumpkin fields were located in landscapes differing in the proportion of agriculture in 1 km radius around the focal field (28–91%). ",9-72% non-arable land,9,72,NS,NS,NS,Densities of aphid gall midges (Fig.5C) and lacewings (Fig.5D) also decreased with increasing proportion of agriculture in the surrounding landscape.
"Aphids and their enemies in pumpkin respond differently to management, local and landscape features",Pfister et al. ,2017,Germany,Europe,,Conventional,Lacewing density,Natural enemy,Organic,Intensity,NS,"In addition, the pumpkin fields were located in landscapes differing in the proportion of agriculture in 1 km radius around the focal field (28–91%). ",9-72% non-arable land,9,72,NS,NS,NS,Densities of aphid gall midges (Fig.5C) and lacewings (Fig.5D) also decreased with increasing proportion of agriculture in the surrounding landscape.
"Aphids and their enemies in pumpkin respond differently to management, local and landscape features",Pfister et al. ,2017,Germany,Europe,,Conventional,Ladybeetle density,Natural enemy,Organic,Intensity,NS,"In addition, the pumpkin fields were located in landscapes differing in the proportion of agriculture in 1 km radius around the focal field (28–91%). ",9-72% non-arable land,9,72,Negative,NS,NS,Lady beetles were more abundant in fields with more agriculture in the surroundings.
Are spiders reacting to local or landscape scale effects in Hungarian pastures?,Batáry et al.,2008,Hungary,Europe,,Conventional,Abundance (spiders),Natural enemy,Extensive grazing,Intensity,NS,Land-use types were mapped based on aerial photographs in a radius of 500 m around each field.,,,,NS,NS,NS,"None of the explanatory variables of the linear mixed-effects models – management (extensive vs. intensive grazing) and landscape (grassland percentage within the 500 m buffer) – proved to be significant in explaining species richness, abundance of all species or abundance of common species."
Are spiders reacting to local or landscape scale effects in Hungarian pastures?,Batáry et al.,2008,Hungary,Europe,,Conventional,Species richness (spiders),Natural enemy,Extensive grazing,Intensity,NS,Land-use types were mapped based on aerial photographs in a radius of 500 m around each field.,,,,NS,NS,NS,"None of the explanatory variables of the linear mixed-effects models – management (extensive vs. intensive grazing) and landscape (grassland percentage within the 500 m buffer) – proved to be significant in explaining species richness, abundance of all species or abundance of common species."
"Arthropod Diversity and Community Structure in Relation to Land Use in the Mekong Delta, Vietnam",Wilby et al. ,2006,Vietnam,Asia,,Conventional,Arthropod species density,Arthropod,Crop richness,Diversity,Positive,Vegetation richness - number of vegetation types (crop + non-crop); Crop richness - number of crop types encountered; Rice cover - the proportion of landscape under rice cultivation; Uncultivated cover - proportion of landscape not cultivated,Non-crop cover,,,Positive,NS,NS,"Furthermore, arthropod species density in tillering and flowering stages of rice was positively related to crop and vegetation richness, respectively, in the local landscape.

For species density, negative effect of increasing rice cover (coefficient = −0.071), but positive effects of uncultivated cover (coefficient = 0.476) and vegetation richness (coefficient = 0.043)."
"Arthropod Diversity and Community Structure in Relation to Land Use in the Mekong Delta, Vietnam",Wilby et al. ,2006,Vietnam,Asia,,Conventional,Arthropod abundance,Arthropod,Crop richness,Diversity,Positive,Vegetation richness - number of vegetation types (crop + non-crop); Crop richness - number of crop types encountered; Rice cover - the proportion of landscape under rice cultivation; Uncultivated cover - proportion of landscape not cultivated,Non-crop cover,,,NS,NS,NS,For arthropod abundance only crop number and habitat were significant explanatory variables of abundance
"Arthropod Diversity and Community Structure in Relation to Land Use in the Mekong Delta, Vietnam",Wilby et al. ,2006,Vietnam,Asia,,Conventional,Arthropod Simpson's diversity,Arthropod,Crop richness,Diversity,NS,Vegetation richness - number of vegetation types (crop + non-crop); Crop richness - number of crop types encountered; Rice cover - the proportion of landscape under rice cultivation; Uncultivated cover - proportion of landscape not cultivated,Non-crop cover,,,Positive,NS,NS,Uncultivated cover had statistically significant effects on arthropod species density and Simpson’s diversity.
Association between landscape composition and the abundance of predator and herbivore arthropods in Bt and non-Bt soybean crops,Abbate et al. ,2022,Uruguay,South America,,Control,Pest abundance (caterpillars),Pest,Bt soybean,Intensity,Positive,Sampled fields were located in a gradient ranging from 16.8% to 91.6% of the landscape sown with annual summer crops in a 1 km radius buffer.,8.4-83.2% non-annual crop,8.4,83.2,NS,NS,NS,The abundance of caterpillars during the whole soybean cycle was determined by crop technology.
Association between landscape composition and the abundance of predator and herbivore arthropods in Bt and non-Bt soybean crops,Abbate et al. ,2022,Uruguay,South America,,Control,Pest abundance (stink bugs),Pest,Bt soybean,Intensity,NS,Sampled fields were located in a gradient ranging from 16.8% to 91.6% of the landscape sown with annual summer crops in a 1 km radius buffer.,8.4-83.2% non-annual crop,8.4,83.2,NS,NS,NS,Herbivores were less affected by landscape variables compared with predators.
Association between landscape composition and the abundance of predator and herbivore arthropods in Bt and non-Bt soybean crops,Abbate et al. ,2022,Uruguay,South America,,Control,Predator abundance,Natural enemy,Bt soybean,Intensity,NS,Sampled fields were located in a gradient ranging from 16.8% to 91.6% of the landscape sown with annual summer crops in a 1 km radius buffer.,8.4-83.2% non-annual crop,8.4,83.2,Negative,NS,NS,"The proportion of soybean in the surrounding landscape was the landscape variable with more significant associations with predators, negatively determining the abundance of Neuroptera (BEFORE R3), spiders and Hemiptera (AFTER R3) in soybean."
Benefits of increased cover crop diversity for predators and biological pest control depend on the landscape context,Beaumelle et al. ,2021,France,Europe,,Control,Natural enemy diversity,Natural enemy,Cover crop diversity,Diversity,NS,"Landscape gradient ranging from 22 to 63% of semi-natural habitats in a 1 km radius around each site. Semi-natural habitats as a measure of landscape complexity as this is highly correlated to other measures of landscape heterogeneity and because landscapes of our region are mainly composed of vineyards, forests and grasslands.",20-60% semi-natural habitats,20,60,NA,NS,NS,"There was no evidence that our cover crop treatment changed the number of taxa of natural enemies.

Landscape complexity had no significant effect on taxonomic richness. "
