site,pest,crop,state_province,date,count,latitude,longitude
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,8/8/22,0,43.105,-84.6
Patrick WBCW,Western Bean Cutworm (WBC),Wheat,MI,8/15/22,0,43.105,-84.6
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,6/19/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,6/19/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,6/19/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,6/26/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,6/26/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,6/26/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,7/3/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,7/3/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,7/3/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,7/9/20,0,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,7/24/20,9,42.988,-82.187
Wyoming,Western Bean Cutworm (WBC),Sugar beets,ON,8/3/20,21,42.988,-82.187
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/8/21,0,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/8/21,0,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,0,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/12/21,1,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/19/21,6,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/19/21,28,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,7/26/21,360,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,7/26/21,703,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/3/21,419,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/3/21,806,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/9/21,273,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/9/21,468,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/16/21,106,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/16/21,154,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/21,61,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/23/21,80,43.47,-81.256
Vandewalle2 Trap 1,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/21,20,43.47,-81.252
Vandewalle2 Trap 2,Western Bean Cutworm (WBC),Dry Beans,ON,8/30/21,19,43.47,-81.256
Popcorn  1,Western Bean Cutworm (WBC),Field Corn,ON,6/11/19,0,43.52,-81.138
Beaton Farm ,Western Bean Cutworm (WBC),Field Corn,NS,6/13/19,0,46.059,-61.414
Overmars,Western Bean Cutworm (WBC),Field Corn,NS,6/14/19,0,45.542,-61.911
Winchester,Western Bean Cutworm (WBC),Field Corn,ON,6/17/19,0,45.054,-75.337
Winchester,Western Bean Cutworm (WBC),Field Corn,ON,6/17/19,0,45.054,-75.337
Alexandria,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,45.191,-74.527
Morrisburg,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,44.922,-75.206
MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/18/19,0,42.708,-84.467
MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/18/19,0,42.708,-84.467
MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/18/19,0,42.69,-84.495
MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/18/19,0,42.69,-84.495
WBC - RT - HCREEK,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,42.708,-81.892
WBC - RT - PHILN,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,42.599,-81.945
WBC - RT - RT,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,42.45,-81.89
WBC - RT - SLOANS,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,42.64,-81.87
Alexandria,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,45.191,-74.527
Morrisburg,Western Bean Cutworm (WBC),Field Corn,ON,6/18/19,0,44.922,-75.206
Beaton Farm ,Western Bean Cutworm (WBC),Field Corn,NS,6/20/19,0,46.059,-61.414
Verschurens,Western Bean Cutworm (WBC),Field Corn,NS,6/20/19,0,46.194,-60.274
Overmars,Western Bean Cutworm (WBC),Field Corn,NS,6/21/19,0,45.543,-61.91
Swinkles,Western Bean Cutworm (WBC),Field Corn,NS,6/21/19,0,45.598,-61.754
Alexandria,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.191,-74.527
Augusta,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,44.722,-75.61
Home Plot,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,42.593,-80.497
Jamieson Plot,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,42.715,-80.556
Lambs,Western Bean Cutworm (WBC),Field Corn,NS,6/24/19,0,45.07,-64.732
Merivale,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.312,-75.711
Morrisburg,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,44.922,-75.206
MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/24/19,0,42.708,-84.467
MSUCrops WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/24/19,0,42.708,-84.467
MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/24/19,0,42.69,-84.495
MSUEnt WBC,Western Bean Cutworm (WBC),Field Corn,MI,6/24/19,0,42.69,-84.495
Richmond,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.203,-75.792
WBC - RT - HCREEK,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,42.708,-81.892
WBC - RT - PHILN,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,42.599,-81.945
Winchester,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.054,-75.337
Alexandria,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.191,-74.527
Augusta,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,44.722,-75.61
Merivale,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.312,-75.711
Morrisburg,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,44.922,-75.206
Richmond,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.203,-75.792
Winchester,Western Bean Cutworm (WBC),Field Corn,ON,6/24/19,0,45.054,-75.337
Bishops ,Western Bean Cutworm (WBC),Field Corn,NS,6/25/19,0,44.767,-65.435
Clarence Road,Western Bean Cutworm (WBC),Field Corn,NS,6/25/19,0,44.911,-65.198
Noel trap,Western Bean Cutworm (WBC),Field Corn,NS,6/25/19,0,45.312,-63.643
Badertscher1,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.705,-83.677
Badertscher2,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.674,-83.659
Badertscher3,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.727,-83.789
Badertscher3,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.727,-83.789
Badertscher4,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.761,-83.556
Badertscher5,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.635,-83.689
Badertscher6,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.633,-83.575
Badertscher6,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,40.633,-83.575
Beers1,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,41.328,-80.776
Beers2,Western Bean Cutworm (WBC),Field Corn,OH,6/26/19,0,41.334,-80.777
