Field ID,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Switchgrass,Fallow/Idle Cropland,Peaches,Apples,Grapes,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Garlic,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop Oats/Corn,Lettuce,Dbl Crop Triticale/Corn,Pumpkins,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other
STA_MAC,505,0,182,0,0,0,0,39,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,3,2,4,3,0,1,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,865,738,8,73,50,0
STA_NOB,245,2,10,0,0,0,0,43,2,0,0,100,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,44,8,17,7,35,109,0,2,0,172,12,0,38,0,8,0,0,0,0,1,0,0,0,2,0,0,869,455,158,172,111,3
STA_PAN,411,14,3,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,1,1,0,39,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,700,41,72,54,0
STA_SWE,257,0,56,0,0,0,0,0,0,0,0,11,0,1,0,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,56,11,3,0,2,71,0,0,0,239,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21,869,469,84,239,72,6
STA_THO,334,0,65,0,0,0,0,3,0,0,0,43,3,0,0,1,2,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,77,16,0,1,4,34,0,5,0,260,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,449,47,260,98,0
STA_WAT,288,0,133,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,38,1,0,0,0,246,0,5,0,45,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,461,305,45,39,16
WIS_COO,128,0,10,0,0,0,0,22,0,0,0,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,1,111,0,7,0,482,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,227,135,482,21,2
WIS_COO_2,54,0,1,0,0,0,0,20,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,34,32,6,0,1,75,14,9,0,578,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,108,105,578,73,2
WIS_KEN,1,0,3,0,1,0,0,2,23,2,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,35,96,5,9,37,0,80,70,112,49,29,11,112,48,41,5,29,13,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,866,228,266,29,271,80
ZUE_REE,8,0,107,0,12,52,0,51,10,8,0,5,0,1,0,6,1,2,5,0,0,0,26,0,0,0,0,1,0,0,0,0,41,13,5,0,0,151,1,3,0,281,17,1,0,1,0,0,1,0,0,25,0,13,0,16,2,0,866,353,173,281,59,0
SMI_CAN_2,49,0,0,0,0,0,0,0,0,6,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,31,11,14,335,10,6,0,274,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,107,371,274,129,0
SMI_COB_3,140,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,19,4,0,0,129,0,9,0,480,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,155,189,480,41,1
SMI_DOU_3,39,0,37,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,2,1,0,188,8,10,0,451,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,76,211,451,96,0
SMI_JOH,246,1,1,0,1,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,10,3,3,245,6,2,0,241,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,284,288,241,57,0
SMI_KEL,120,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,254,10,64,0,356,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,124,331,356,55,0
SMI_LAT,77,0,38,0,1,0,0,0,0,0,0,97,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,6,1,1,289,5,22,0,249,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,865,217,323,249,76,0
SMI_LAT_2,79,0,0,0,1,0,0,0,0,0,0,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,8,6,1,0,373,21,26,0,182,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,868,176,444,182,61,5
SMI_MCC,0,0,9,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,22,0,0,0,167,5,2,0,512,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,867,95,179,512,81,0
