Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Squash,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
MIL_MCC,652,1,824,0,0,0,0,0,0,0,0,152,112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127,18,3,0,0,631,35,53,3,372,260,4,0,0,0,0,0,0,0,0,3248,1629,986,372,148,0
KAT_SAU,391,34,14,0,0,0,0,7,1,0,0,92,463,3,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,195,28,2,3,0,1070,65,336,0,481,3,0,0,0,0,0,0,0,0,0,3193,546,1474,481,228,1
KAT_SAU_2,485,21,83,0,0,0,0,159,0,5,0,59,645,3,0,0,0,0,1,18,0,0,0,0,0,0,0,1,1,245,29,8,2,0,665,27,114,0,596,3,0,0,0,0,28,0,0,0,0,3198,862,809,596,284,2
KAT_TEE,405,0,7,0,0,0,0,1,0,1,0,177,346,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,8,171,44,14,1,0,998,23,219,0,649,126,9,0,0,0,0,0,0,0,0,3208,596,1375,649,230,8
KAT_TEE_2,323,0,7,0,0,0,0,0,0,2,0,29,267,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,50,2,1,0,0,1306,212,821,0,175,9,0,0,0,0,0,0,0,0,0,3206,362,2348,175,53,0
KAT_HAB_2,905,0,29,0,0,0,0,8,0,2,0,65,660,0,27,0,1,0,1,0,0,1,0,1,9,0,0,0,0,132,20,11,7,2,572,131,314,1,277,33,3,0,0,0,0,0,0,0,0,3212,1048,1056,277,172,0
KAT_HAB,770,0,234,0,0,0,0,1,0,0,0,16,372,0,2,0,0,0,0,1,0,1,0,0,29,0,0,0,0,516,30,2,1,1,493,42,341,0,329,35,2,0,0,0,0,0,0,2,0,3220,1055,914,329,550,0
KAT_BAR,478,0,77,0,1,0,0,6,0,0,0,23,84,0,0,0,0,0,0,2,0,0,0,0,7,1,0,0,137,168,103,83,7,4,719,19,689,1,530,46,7,1,0,0,0,0,0,0,0,3193,596,1485,530,365,137
SMI_LAT,694,0,1,0,0,0,0,12,0,90,0,645,133,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,26,268,49,19,5,1,653,34,49,0,379,159,0,0,0,0,0,0,0,0,0,3219,1443,896,379,342,26
SMI_DUR,358,14,232,0,0,2,0,20,1,2,0,308,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,175,79,26,1,2,855,52,36,12,510,456,3,4,0,0,1,0,0,0,0,3247,950,1416,510,283,0
SMI_HOF,356,0,184,0,0,2,0,5,0,2,0,143,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,150,74,13,0,14,975,72,242,8,661,135,11,0,0,0,0,0,0,0,0,3212,692,1457,661,251,77
SMI_JOH,473,0,422,0,0,0,0,0,0,2,0,215,167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,133,62,35,5,1,737,127,138,7,579,136,4,0,0,0,2,0,0,0,0,3247,1115,1150,579,236,1
SMI_JOH_2,753,2,13,0,0,0,0,18,0,3,0,220,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,93,47,21,2,0,1148,140,43,6,386,173,8,0,0,0,0,0,0,0,0,3247,1009,1518,386,163,89
GAB_ALL,56,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,333,209,264,192,43,7,666,36,556,5,203,627,8,0,0,0,0,0,0,0,0,3235,71,1905,203,715,333
KAT_JEF,180,0,5,0,0,0,0,8,0,0,0,13,724,0,5,0,1,0,0,9,0,2,0,0,0,0,0,0,0,120,100,45,10,1,611,139,422,1,654,141,6,3,0,0,0,0,0,0,0,3200,224,1321,654,276,0
KAT_JEF_2,333,0,24,0,0,0,0,0,0,0,0,38,462,0,6,0,0,0,3,3,0,0,0,0,3,1,0,0,8,60,41,11,2,0,595,41,178,1,543,656,200,1,0,0,0,0,0,0,0,3210,412,1671,543,114,8
STA_WIL,783,0,58,0,0,0,0,74,0,0,0,585,103,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,157,21,12,0,4,722,4,70,0,373,189,2,0,0,0,80,0,0,0,0,3244,1583,991,373,194,4
STA_HEM_2,841,0,91,0,3,1,0,66,0,6,0,751,33,1,21,3,2,0,5,9,0,31,0,5,12,1,0,0,7,103,73,54,17,94,260,1,44,0,440,234,15,2,1,0,0,0,1,0,7,3235,1829,648,440,341,7
STA_HEM,927,0,346,0,0,0,0,18,0,0,0,403,66,0,0,0,0,0,0,1,0,2,0,0,67,10,1,0,25,170,46,14,2,0,420,1,44,1,494,169,11,0,0,0,0,0,0,0,0,3238,1773,646,494,232,25
STA_SWE,859,1,63,0,2,1,1,76,0,4,0,604,111,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,8,174,50,5,0,2,550,2,25,6,443,215,19,4,0,6,0,0,0,0,0,3236,1625,819,443,231,8
STA_COL,826,0,172,0,56,0,0,214,0,0,0,443,48,0,50,6,0,0,0,0,0,3,0,4,1,4,0,0,4,110,117,63,0,2,388,0,36,1,581,88,2,1,0,21,3,0,0,0,10,3254,1811,517,581,292,4
WIS_COO_2,275,0,92,0,0,0,0,0,0,0,0,94,131,0,0,0,0,0,0,0,0,51,0,3,0,0,0,0,21,62,144,42,4,7,1096,24,53,3,517,542,16,0,0,0,0,0,0,0,0,3177,464,1741,517,259,21
WIS_COO,692,0,74,0,0,0,15,42,0,0,0,283,151,0,0,0,0,0,0,0,0,22,0,8,0,0,1,0,14,68,29,4,0,0,733,5,50,3,939,50,4,0,0,0,0,0,0,0,0,3187,1115,845,939,101,14
LET_NOB,1433,0,47,0,10,0,0,81,0,4,0,786,27,0,26,3,0,0,0,0,0,2,0,1,2,0,0,0,2,90,31,14,10,1,418,0,13,0,189,44,0,0,0,0,0,0,0,0,0,3234,2393,476,189,146,2
LET_TAB,866,0,37,0,15,0,0,8,0,9,0,1047,27,0,22,1,0,0,46,0,0,0,0,0,0,1,0,0,4,153,13,9,7,6,605,5,89,0,201,14,0,1,0,0,39,0,0,0,0,3225,2092,719,201,188,4
WIS_HIG,5,0,1,0,0,0,0,0,1,4,0,4,9,0,0,0,0,0,0,0,1,18,3,154,0,0,0,0,8,195,256,220,101,5,1491,1,20,2,524,147,9,0,0,0,0,0,0,0,0,3179,173,1675,524,777,8
WIS_MEG,146,0,2,0,117,8,2,9,37,0,0,55,122,0,0,1,0,0,3,0,0,3,0,13,0,0,1,0,45,266,445,190,28,8,712,3,27,5,834,109,0,0,0,0,0,0,0,0,0,3191,394,864,834,937,45
WIS_KEN,1,0,2,0,0,1,0,0,1,0,0,3,5,0,0,1,0,0,0,0,0,5,4,109,0,0,4,0,796,285,344,270,84,3,768,3,19,6,339,84,35,0,0,0,0,0,0,0,0,3172,126,918,339,986,796
ZUE_REE,416,0,464,0,3,0,0,491,2,68,0,121,66,0,4,0,0,0,0,0,0,3,0,2,25,0,0,0,483,80,88,22,1,2,384,2,38,0,386,45,11,0,0,0,0,0,0,0,19,3226,1615,482,386,193,483
DEG_PER_STRIP,711,1,125,0,0,0,0,173,6,4,0,300,199,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,154,61,8,2,0,867,44,108,2,437,19,0,0,0,0,0,0,0,0,0,3223,1322,1040,437,225,0
DEG_FOU_WOOD,991,0,7,0,0,0,0,2,0,1,0,329,470,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,166,76,6,0,0,445,28,83,1,559,53,5,0,0,0,0,0,0,1,0,3226,1334,615,559,248,0
DEG_DIE_HILL,464,0,16,1,2,0,0,37,13,10,0,378,192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,181,375,191,49,12,345,40,99,3,729,39,11,0,0,0,0,0,0,6,0,3222,927,549,729,808,28
DEG_DIE_SWC,741,0,175,0,42,1,0,4,0,1,0,47,156,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,214,72,13,2,1,700,23,84,4,816,110,10,0,0,0,0,0,0,0,0,3222,1015,932,816,302,2
DEG_YOU_BOCES,382,1,14,0,0,0,0,1,1,2,0,69,142,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,258,417,140,26,2,534,29,101,4,965,127,4,0,0,0,0,0,0,0,0,3228,473,801,965,843,6
DEG_YOU_OSHEA,567,0,519,0,0,0,0,1,0,0,0,257,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,202,262,82,2,0,792,20,118,5,189,59,14,0,0,0,0,1,0,0,0,3226,1345,1008,189,548,33
DEG_YOU_JONES,815,0,23,0,3,1,0,3,0,5,0,265,372,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,43,136,199,34,3,5,537,16,46,5,650,55,3,0,0,0,0,0,0,1,1,3226,1121,667,650,377,43
DEG_VIL,1000,0,46,0,4,1,0,2,0,54,0,292,226,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,101,133,193,51,1,1,513,4,31,11,452,103,6,0,0,0,1,0,0,0,0,3233,1405,669,452,379,101
SEA_HOO,704,0,578,0,2,3,0,618,2,3,0,440,40,0,7,1,0,0,0,27,6,4,0,0,22,0,0,0,2,150,36,15,3,0,250,2,36,1,139,72,4,40,0,0,7,0,0,0,2,3216,2462,365,139,204,2
MIL_HUM,955,0,499,0,0,0,0,98,93,8,0,313,87,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,61,36,14,0,541,4,16,0,291,36,1,0,0,0,0,0,0,0,0,3247,2059,598,291,210,2
ONE_TER,612,0,7,0,0,0,0,0,0,0,0,406,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,316,355,312,100,1,305,47,4,0,585,153,11,0,0,0,0,0,0,0,0,3326,1025,521,585,1084,41
ONE_ADO,611,0,6,0,0,1,0,0,0,0,0,128,361,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,136,5,6,0,1,1423,97,15,5,300,234,3,0,0,0,0,0,0,0,0,3335,748,1778,300,148,0
ONE_STA,1719,4,2,0,0,0,0,1,2,12,0,84,48,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,1,195,90,47,58,13,576,8,20,0,242,189,2,0,0,0,0,0,0,0,0,3335,1846,808,242,403,1
